Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Mark Moseley,WAS,35,K,16,0,1,1,10,10,19,14,14,7,3,1,47,33,51,70.2%,63,62,98.4%,,,,,
Ali Haji-Sheikh*+,NYG,22,K,16,0,1,1,13,13,12,11,11,8,5,2,42,35,56,83.3%,23,22,95.7%,,,,,
Raul Allegre,BAL,24,K,16,0,,,6,5,12,11,12,10,5,4,35,30,55,85.7%,24,22,91.7%,,,,,
Benny Ricardo,MIN,29,K,16,0,,,11,10,13,11,9,4,,,33,25,44,75.8%,34,33,97.1%,,,,,
Eddie Murray,DET,27,K,16,0,,,6,6,15,13,7,3,4,3,32,25,54,78.1%,38,38,100.0%,,,,,
Gary Anderson*,PIT,24,K,16,0,2,2,9,8,10,9,10,8,,,31,27,49,87.1%,39,38,97.4%,,,,,
Ray Wersching,SFO,33,K,16,0,,,11,11,10,10,5,3,4,1,30,25,52,83.3%,51,51,100.0%,,,,,
Nick Lowery,KAN,27,K,16,0,1,1,5,5,6,6,14,10,4,2,30,24,58,80.0%,45,44,97.8%,,,,,
Neil O'Donoghue,STL,30,K,16,0,1,,6,4,8,3,10,6,3,2,28,15,52,53.6%,47,45,95.7%,,,,,
Rafael Septien,DAL,30,K,16,0,,,5,5,8,8,12,9,2,,27,22,47,81.5%,59,57,96.6%,,,,,
Chris Bahr,RAI,30,K,16,0,,,11,9,9,8,6,4,1,,27,21,47,77.8%,53,51,96.2%,,,,,
Uwe von Schamann,MIA,27,K,16,0,2,2,6,6,8,5,6,3,5,2,27,18,52,66.7%,48,45,93.8%,,,,,
Jan Stenerud,GNB,41,K,16,0,2,2,6,6,9,7,9,6,,,26,21,48,80.8%,52,52,100.0%,,,,,
Tony Franklin,PHI,27,K,16,0,1,1,5,5,9,6,8,2,3,1,26,15,52,57.7%,27,24,88.9%,,,,,
Norm Johnson,SEA,23,K,16,0,1,1,4,4,7,4,10,8,3,1,25,18,54,72.0%,50,49,98.0%,,,,,
Bob Thomas,CHI,31,K,16,0,1,1,9,9,4,,6,3,5,1,25,14,50,56.0%,38,35,92.1%,,,,,
Rich Karlis,DEN,24,K,16,0,,,8,7,9,7,7,6,1,1,25,21,50,84.0%,34,33,97.1%,,,,,
Rolf Benirschke,SDG,28,K,16,0,,,7,7,7,5,7,2,3,1,24,15,51,62.5%,45,43,95.6%,,,,,
Matt Bahr,CLE,27,K,16,0,1,1,9,9,6,5,7,6,1,,24,21,47,87.5%,40,38,95.0%,,,,,
Morten Andersen,NOR,23,K,16,0,2,2,8,8,4,3,6,2,4,3,24,18,52,75.0%,38,37,97.4%,,,,,
Pat Leahy,NYJ,32,K,16,0,4,4,4,3,7,5,8,4,1,,24,16,49,66.7%,37,36,97.3%,,,,,
Jim Breech,CIN,27,K,16,0,2,2,7,7,7,5,5,2,2,,23,16,47,69.6%,41,39,95.1%,,,,,
Bill Capece,TAM,24,K,15,0,,,8,7,4,,8,3,3,,23,10,49,43.5%,26,23,88.5%,,,,,
Mick Luckhurst,ATL,25,K,16,0,,,5,4,5,4,11,9,1,,22,17,49,77.3%,45,43,95.6%,,,,,
Florian Kempf,HOU,27,K,16,0,1,1,4,4,8,7,6,4,2,1,21,17,51,81.0%,34,33,97.1%,,,,,
Fred Steinfort,2TM,31,K,11,0,,,5,4,7,3,9,,,,21,7,35,33.3%,18,17,94.4%,,,,,
Joe Danelo,BUF,30,K,14,0,,,4,2,6,5,6,3,4,,20,10,48,50.0%,35,33,94.3%,,,,,
Chuck Nelson,RAM,23,K,12,0,,,3,1,4,3,4,1,,,11,5,41,45.5%,37,33,89.2%,,,,,
Mike Lansford,RAM,25,K,4,0,,,3,3,1,1,4,2,1,,9,6,49,66.7%,9,9,100.0%,,,,,
John Smith,NWE,34,K,5,0,,,1,1,4,1,1,1,,,6,3,43,50.0%,15,12,80.0%,,,,,
Joaquin Zendejas,NWE,23,K,2,0,,,,,,,1,,,,1,,,0.0%,4,3,75.0%,,,,,
David Warnke,TAM,23,K,1,0,,,1,,,,,,,,1,,,0.0%,2,1,50.0%,,,,,
Steve Cox,CLE,25,K,7,0,,,,,,,,,1,1,1,1,58,100.0%,,,,,,,,
Ross Browner,CIN,29,RDE,12,9,,,,,,,,,,,,,,,1,1,100.0%,,,,,
Pat Ryan,NYJ,28,QB,16,0,,,,,,,,,,,,,,,1,1,100.0%,,,,,
George Yarno,TAM,26,RG/LG,14,11,,,,,,,,,,,,,,,1,1,100.0%,,,,,
