Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Braden Mann,NYJ,23,P,16,0,82,3598,43.9,446,3052,37.2,60,5,6.1%,19,23.2%,0
Tress Way,WAS,30,P,16,0,73,3504,48.0,209,3235,44.3,65,3,4.1%,23,31.5%,0
Kevin Huber,CIN,35,P,16,0,71,3350,47.2,170,3040,42.8,72,7,9.9%,19,26.8%,0
Cameron Johnston,PHI,28,P,16,0,71,3318,46.7,274,2924,40.6,66,6,8.5%,26,36.6%,1
Matt Haack,MIA,26,P,16,0,68,3040,44.7,297,2703,39.8,63,2,2.9%,26,38.2%,0
Johnny Hekker,LAR,30,P,16,0,68,3099,45.6,297,2702,39.2,63,5,7.4%,28,41.2%,1
Mitch Wishnowsky,SFO,28,P,16,0,66,3093,46.9,183,2790,41.6,60,6,9.1%,25,37.9%,1
Riley Dixon,NYG,27,P,16,0,65,2911,44.8,232,2559,38.8,71,6,9.2%,28,43.1%,1
Sam Martin,DEN,30,P,16,0,65,3040,46.8,226,2734,41.4,69,4,6.2%,19,29.2%,1
Pat O'Donnell,CHI,29,P,16,0,64,2924,45.7,294,2530,39.5,64,5,7.8%,28,43.8%,0
Thomas Morstead,NOR,34,P,16,0,62,2674,43.1,46,2588,41.7,58,2,3.2%,23,37.1%,0
Michael Dickson,SEA,24,P,16,0,61,3028,49.6,199,2709,44.4,67,6,9.8%,32,52.5%,0
Jack Fox*,DET,24,P,16,0,59,2897,49.1,116,2641,44.8,67,7,11.9%,26,44.1%,0
Andy Lee,ARI,38,P,16,0,58,2600,44.8,201,2299,39.6,61,5,8.6%,21,36.2%,0
Jordan Berry,PIT,29,P,11,0,57,2609,45.8,242,2307,40.5,62,3,5.3%,23,40.4%,0
Ty Long,LAC,27,P,16,0,57,2669,46.8,564,2045,34.1,63,3,5.3%,12,21.1%,3
Logan Cooke,JAX,25,P,14,0,56,2669,47.7,148,2421,43.2,67,5,8.9%,19,33.9%,0
Sterling Hofrichter,ATL,24,P,16,0,56,2381,42.5,142,2199,39.3,57,2,3.6%,17,30.4%,0
Jake Bailey*+,NWE,23,P,16,0,55,2678,48.7,71,2507,45.6,71,5,9.1%,31,56.4%,0
Bradley Pinion,TAM,26,P,16,0,55,2486,45.2,236,2210,40.2,62,2,3.6%,19,34.5%,0
Bryan Anger,HOU,32,P,16,0,54,2505,46.4,128,2257,41.8,67,6,11.1%,19,35.2%,0
Britton Colquitt,MIN,35,P,16,0,54,2435,45.1,321,2054,36.7,59,3,5.6%,11,20.4%,2
Tommy Townsend,KAN,24,P,16,0,52,2339,45.0,119,2100,40.4,67,6,11.5%,20,38.5%,0
Jamie Gillan,CLE,23,P,16,0,51,2244,44.0,229,1955,38.3,59,3,5.9%,14,27.5%,0
Sam Koch,BAL,38,P,15,0,51,2268,44.5,82,2166,42.5,59,1,2.0%,22,43.1%,0
JK Scott,GNB,25,P,16,0,46,2092,45.5,291,1741,37.0,62,3,6.5%,15,32.6%,1
Joseph Charlton,CAR,23,P,16,0,45,2082,46.3,184,1838,40.8,67,3,6.7%,21,46.7%,0
AJ Cole III,LVR,25,P,16,0,44,1939,44.1,133,1766,40.1,63,2,4.5%,20,45.5%,0
Rigoberto Sanchez,IND,26,P,14,0,42,1940,46.2,141,1719,40.0,60,4,9.5%,18,42.9%,1
Corey Bojorquez,BUF,24,P,16,0,41,2082,50.8,138,1804,44.0,72,7,17.1%,18,43.9%,0
Brett Kern,TEN,34,P,13,0,37,1695,45.8,100,1535,41.5,66,3,8.1%,22,59.5%,0
Dustin Colquitt,2TM,38,P,6,0,26,1133,43.6,103,990,38.1,59,2,7.7%,8,30.8%,0
Hunter Niswander,DAL,26,P,8,0,26,1228,47.2,95,1093,42.0,58,2,7.7%,10,38.5%,0
Chris Jones,DAL,31,P,8,0,24,1022,42.6,37,965,40.2,54,1,4.2%,5,20.8%,0
Ryan Allen,2TM,30,P,3,0,14,680,48.6,100,540,38.6,65,2,14.3%,2,14.3%,0
Trevor Daniel,TEN,26,P,2,0,4,157,39.3,7,150,30.0,52,0,0.0%,0,0.0%,1
Aldrick Rosas,JAX,26,K,6,0,3,110,36.7,23,87,29.0,44,0,0.0%,0,0.0%,0
Jake Elliott,PHI,25,K,16,0,2,77,38.5,0,77,38.5,42,0,0.0%,1,50.0%,0
Johnny Townsend,BAL,25,P,1,0,2,100,50.0,26,74,37.0,55,0,0.0%,0,0.0%,0
Ka'imi Fairbairn,HOU,26,K,16,0,1,26,26.0,0,26,26.0,26,0,0.0%,1,100.0%,0
