Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Kellen Winslow,23,SDG,16,11,89,1290,14.5,9,65,5.6,80.6,2,"PB,AP-1"
Earl Cooper,23,SFO,16,16,83,567,6.8,4,66,5.2,35.4,8,
Dwight Clark,23,SFO,16,12,82,991,12.1,8,71,5.1,61.9,2,
John Jefferson,24,SDG,16,16,82,1340,16.3,13,58,5.1,83.8,0,"PB,AP-1,AP OPoY-4"
Charlie Joiner,33,SDG,16,16,71,1132,15.9,4,51,4.4,70.8,3,"PB,AP-1"
James Lofton,24,GNB,16,16,71,1226,17.3,4,47,4.4,76.6,0,"PB,AP-2"
Ahmad Rashad,31,MIN,16,16,69,1095,15.9,5,76,4.3,68.4,0,PB
Pat Tilley,27,STL,14,14,68,966,14.2,6,60,4.9,69.0,0,PB
Steve Largent,26,SEA,16,16,66,1064,16.1,6,67,4.1,66.5,1,
Wes Chandler,24,NOR,16,16,65,975,15.0,6,50,4.1,60.9,2,
Rickey Young,27,MIN,16,16,64,499,7.8,2,22,4.0,31.2,2,
Mike Pruitt,26,CLE,16,16,63,471,7.5,0,28,3.9,29.4,9,PB
Ted Brown,23,MIN,16,16,62,623,10.0,2,67,3.9,38.9,6,
Sam McCullum,28,SEA,16,16,62,874,14.1,6,58,3.9,54.6,0,
Roger Carr,28,BAL,16,16,61,924,15.1,5,43,3.8,57.8,0,
Tony Hill,24,DAL,16,13,60,1055,17.6,8,58,3.8,65.9,0,
Mike Barber,27,HOU,16,16,59,712,12.1,5,79,3.7,44.5,0,
Alfred Jenkins,28,ATL,16,16,58,1035,17.8,6,57,3.6,64.7,0,PB
Art Monk,23,WAS,16,11,58,797,13.7,3,54,3.6,49.8,0,
Jerry Butler,23,BUF,16,16,57,832,14.6,6,69,3.6,52.0,0,PB
Tony Galbreath,26,NOR,16,4,57,470,8.2,2,21,3.6,29.4,3,
Tony Nathan,24,MIA,16,6,57,588,10.3,5,61,3.6,36.8,9,
Dan Ross,23,CIN,16,16,56,724,12.9,4,37,3.5,45.3,1,
Dave Casper,28,2TM,16,15,56,796,14.2,4,43,3.5,49.8,3,PB
Dave Casper,28,OAK,6,6,22,270,12.3,1,35,3.7,45.0,1,
Dave Casper,28,HOU,10,9,34,526,15.5,3,43,3.4,52.6,2,
Wallace Francis,29,ATL,16,16,54,862,16.0,7,81,3.4,53.9,0,
Clarence Harmon,25,WAS,16,14,54,534,9.9,4,45,3.4,33.4,4,
Cullen Bryant,29,RAM,16,16,53,386,7.3,3,25,3.3,24.1,1,
Freddie Scott,28,DET,16,16,53,834,15.7,4,43,3.3,52.1,2,
Sammy White,26,MIN,16,16,53,887,16.7,5,50,3.3,55.4,0,
Joe Cribbs,22,BUF,16,16,52,415,8.0,1,21,3.3,25.9,16,"PB,AP ORoY-2"
Earnest Gray,23,NYG,16,16,52,777,14.9,10,50,3.3,48.6,1,
Reggie Rucker,33,CLE,16,16,52,768,14.8,4,45,3.3,48.0,0,
William Andrews,25,ATL,16,16,51,456,8.9,1,26,3.2,28.5,6,PB
Dave Logan,26,CLE,16,16,51,822,16.1,4,65,3.2,51.4,0,
Ozzie Newsome,24,CLE,16,16,51,594,11.6,3,44,3.2,37.1,2,
Billy Sims,25,DET,16,16,51,621,12.2,3,87,3.2,38.8,12,"PB,AP-2,AP ORoY-1"
Joe Washington,27,BAL,16,11,51,494,9.7,3,33,3.2,30.9,5,
Bruce Harper,25,NYJ,15,1,50,634,12.7,3,52,3.3,42.3,2,
Eddie Lee Ivery,23,GNB,16,16,50,481,9.6,1,46,3.1,30.1,3,
Wilbert Montgomery,26,PHI,12,12,50,407,8.1,2,31,4.2,33.9,3,
Greg Pruitt,29,CLE,16,9,50,444,8.9,5,43,3.1,27.8,1,
Bob Chandler,31,OAK,16,16,49,786,16.0,10,56,3.1,49.1,1,
Jim Jensen,27,DEN,14,13,49,377,7.7,1,28,3.5,26.9,1,
Harold Carmichael,31,PHI,16,16,48,815,17.0,9,56,3.0,50.9,1,PB
Gerry Ellis,23,GNB,15,13,48,496,10.3,3,69,3.2,33.1,7,
Gordon Jones,23,TAM,16,14,48,669,13.9,5,41,3.0,41.8,1,
Freddie Solomon,27,SFO,16,13,48,658,13.7,8,93,3.0,41.1,5,
Jerry Eckwood,26,TAM,15,8,47,475,10.1,1,40,3.1,31.7,7,
Henry Marshall,26,KAN,16,16,47,799,17.0,6,75,2.9,49.9,0,
Nat Moore,29,MIA,16,16,47,564,12.0,7,33,2.9,35.3,1,
Charlie Smith,30,PHI,16,16,47,825,17.6,3,46,2.9,51.6,0,
Junior Miller,23,ATL,16,14,46,584,12.7,9,36,2.9,36.5,2,"PB,AP-2"
Walter Payton,27,CHI,16,16,46,367,8.0,1,54,2.9,22.9,5,"PB,AP-1"
J.T. Smith,25,KAN,16,16,46,655,14.2,2,77,2.9,40.9,1,"PB,AP-1"
Rick Upchurch,28,DEN,16,14,46,605,13.2,3,35,2.9,37.8,2,
Stanley Morgan,25,NWE,16,16,45,991,22.0,6,71,2.8,61.9,0,"PB,AP-2"
Cliff Branch,32,OAK,16,15,44,858,19.5,7,86,2.8,53.6,0,
Tony Reed,25,KAN,15,7,44,422,9.6,1,34,2.9,28.1,1,
Lynn Swann,28,PIT,13,11,44,710,16.1,7,68,3.4,54.6,0,
