Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Leon Bright,NYG,27,RB,8,0,37,325,0,33,8.8,4,72,0,20,18.0,421
Mike Nelms*,WAS,27,DB,8,0,32,252,0,28,7.9,23,557,0,58,24.2,809
Stump Mitchell,STL,23,RB,9,1,27,165,0,15,6.1,16,364,0,33,22.8,867
Greg Pruitt,RAI,31,RB,9,0,27,209,0,25,7.7,14,371,0,55,26.5,631
Robbie Martin,DET,24,WR,9,0,26,275,0,58,10.6,16,268,0,27,16.8,561
Ron Fellows,DAL,24,DB,9,0,25,189,0,17,7.6,16,359,0,35,22.4,548
Billy Johnson,ATL,30,WR,9,0,24,273,0,71,11.4,,,0,,,284
Bruce Harper,NYJ,27,RB,9,0,23,184,0,24,8.0,18,368,0,37,20.4,854
Eddie Payton,MIN,31,RB,9,0,22,179,0,35,8.1,12,271,0,32,22.6,450
Willie Sydnor,PIT,23,WR,8,0,22,172,0,21,7.8,2,37,0,20,18.5,209
LeRoy Irvin,RAM,25,DB,9,0,22,242,1,63,11.0,,,0,,,242
Jeff Groth,NOR,25,WR,9,9,21,144,0,18,6.9,,,0,,,528
Wally Henry,PHI,28,WR,8,0,20,103,0,11,5.2,24,541,0,44,22.5,644
Phil Epps,GNB,24,WR,9,1,20,150,0,35,7.5,,,0,,,376
Tommy Vigorito,MIA,23,RB,9,1,20,192,1,59,9.6,,,0,,,477
Carl Roaches,HOU,29,WR,9,0,19,104,0,25,5.5,21,441,0,45,21.0,545
Dwight Walker,CLE,23,RB,9,0,19,101,0,14,5.3,13,295,0,36,22.7,532
Paul Johns,SEA,24,WR,9,9,19,210,0,37,11.1,3,57,0,23,19.0,500
Dennis Gentry,CHI,23,RB,9,0,17,89,0,16,5.2,9,161,0,23,17.9,280
Mike Fuller,CIN,29,DB,9,2,17,95,0,13,5.6,1,9,0,9,9.0,104
Ricky Smith,NWE,22,CB,9,0,16,139,0,19,8.7,24,567,1,98,23.6,699
John Holt,TAM,23,DB,9,0,16,81,0,22,5.1,,,0,,,81
Rick Upchurch*+,DEN,30,WR,9,8,15,242,2,78,16.1,,,0,,,639
Freddie Solomon,SFO,29,WR,9,7,13,122,0,27,9.4,,,0,,,441
Rick Woods,PIT,23,DB,5,0,13,142,0,20,10.9,,,0,,,154
James Brooks,SDG,24,RB,9,0,12,138,0,29,11.5,33,749,0,47,22.7,1383
Anthony Hancock,KAN,22,WR,9,0,12,103,0,30,8.6,27,609,0,68,22.6,828
Mike Mosley,BUF,24,WR,9,0,11,61,0,16,5.5,18,487,0,66,27.1,644
Robert Holt,BUF,23,WR,7,0,10,45,0,21,4.5,7,156,0,37,22.3,249
Dwight Hicks*,SFO,26,FS,9,9,10,54,0,13,5.4,,,0,,,59
Theo Bell,TAM,29,WR,9,0,9,62,0,14,6.9,,,0,,,265
Larry Anderson,BAL,26,SS,9,6,8,54,0,28,6.8,27,517,0,33,19.1,571
Dana McLemore,SFO,22,DB,8,0,7,156,1,93,22.3,16,353,0,45,22.1,509
Jeff Fisher,CHI,24,DB,9,0,7,53,0,17,7.6,7,102,0,20,14.6,174
Gerald Willhite,DEN,23,RB,9,2,6,63,0,23,10.5,17,337,0,26,19.8,974
Danny Pittman,NYG,24,WR,8,0,6,40,0,9,6.7,5,117,0,31,23.4,178
Johnnie Gray,GNB,29,SS,9,9,6,48,0,15,8.0,2,29,0,25,14.5,98
Nick Giaquinto,WAS,27,RB,7,0,5,34,0,12,6.8,1,21,0,21,21.0,125
Dino Hall,CLE,27,RB,9,0,4,33,0,10,8.3,22,430,0,32,19.5,555
Nesby Glasgow,BAL,25,FS,9,9,4,24,0,8,6.0,,,0,,,24
Rod Hill,DAL,23,DB,9,0,4,39,0,26,9.8,,,0,,,39
Roland Hooks,BUF,29,RB,6,0,4,13,0,8,3.3,,,0,,,36
Roy Green,STL,25,WR,9,9,3,20,0,11,6.7,,,0,,,483
J.T. Smith,KAN,27,WR,5,3,3,26,0,16,8.7,,,0,,,194
Matt Bouza,BAL,23,WR,9,9,2,0,0,0,0.0,3,31,0,12,10.3,318
Rufus Bess,MIN,26,DB,8,0,2,17,0,11,8.5,,,0,,,17
Glenn Blackwood,MIA,25,SS,9,9,2,2,0,2,1.0,,,0,,,44
John Sciarra,PHI,28,FS,8,1,2,5,0,5,2.5,,,0,,,5
Doug Donley,DAL,23,WR,6,0,1,14,0,14,14.0,8,151,0,33,18.9,188
Willard Harrell,STL,30,RB,7,0,1,1,0,1,1.0,8,150,0,31,18.8,292
Earl Ferrell,STL,24,RB,9,0,1,6,0,6,6.0,4,88,0,27,22.0,94
Greg Williams,WAS,23,DB,9,0,1,9,0,9,9.0,1,2,0,2,2.0,11
Kenny Easley*,SEA,23,SS,8,8,1,15,0,15,15.0,,,0,,,63
Gregg Johnson,SEA,24,DB,9,0,1,3,0,3,3.0,,,0,,,3
Mike Merriweather,PIT,22,LB,9,0,1,3,0,3,3.0,,,0,,,3
Beasley Reece,NYG,28,FS,9,9,1,8,0,8,8.0,,,0,,,21
Bill Simpson,BUF,31,FS,9,9,1,0,0,0,0.0,,,0,,,45
Reggie Brown,ATL,22,RB,8,0,,,0,,,24,466,0,33,19.4,466
Barry Redden,RAM,22,RB,9,0,,,0,,,22,502,0,85,22.8,542
Michael Morton,TAM,22,RB,9,0,,,0,,,21,361,0,26,17.2,369
