Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Michael Turner,26.0,ATL,16.0,16.0,376.0,1699.0,17.0,85.0,46.5,70.0,4.5,106.2,23.5,3.0,"PB,AP-1,AP MVP-2,AP OPoY-6"
Adrian Peterson,23.0,MIN,16.0,15.0,363.0,1760.0,10.0,82.0,45.5,67.0,4.8,110.0,22.7,9.0,"PB,AP-1,AP MVP-4,AP OPoY-2"
Clinton Portis,27.0,WAS,16.0,16.0,342.0,1487.0,9.0,78.0,46.8,31.0,4.3,92.9,21.4,3.0,"PB,AP-2"
Matt Forte,23.0,CHI,16.0,16.0,316.0,1238.0,8.0,65.0,40.5,50.0,3.9,77.4,19.8,1.0,AP ORoY-4
Ryan Grant,26.0,GNB,16.0,14.0,312.0,1203.0,4.0,54.0,44.6,57.0,3.9,75.2,19.5,4.0,
LaDainian Tomlinson,29.0,SDG,16.0,16.0,292.0,1110.0,11.0,52.0,43.2,45.0,3.8,69.4,18.3,1.0,
Thomas Jones,30.0,NYJ,16.0,14.0,290.0,1312.0,13.0,63.0,51.4,59.0,4.5,82.0,18.1,2.0,PB
Jamal Lewis,29.0,CLE,16.0,16.0,279.0,1002.0,4.0,43.0,38.7,29.0,3.6,62.6,17.4,2.0,
DeAngelo Williams,25.0,CAR,16.0,16.0,273.0,1515.0,18.0,65.0,44.3,69.0,5.5,94.7,17.1,0.0,"AP-2,AP OPoY-5"
Steve Slaton,22.0,HOU,16.0,15.0,268.0,1282.0,9.0,62.0,43.3,71.0,4.8,80.1,16.8,3.0,
Steven Jackson,25.0,STL,12.0,11.0,253.0,1042.0,7.0,57.0,44.3,56.0,4.1,86.8,21.1,5.0,
Chris Johnson,23.0,TEN,15.0,14.0,251.0,1228.0,9.0,54.0,42.6,66.0,4.9,81.9,16.7,1.0,"PB,AP MVP-7,AP ORoY-2"
Marshawn Lynch,22.0,BUF,15.0,15.0,250.0,1036.0,8.0,53.0,46.8,50.0,4.1,69.1,16.7,2.0,PB
Frank Gore,25.0,SFO,14.0,14.0,240.0,1036.0,6.0,44.0,45.8,41.0,4.3,74.0,17.1,6.0,
Marion Barber III,25.0,DAL,15.0,13.0,238.0,885.0,7.0,57.0,39.5,35.0,3.7,59.0,15.9,7.0,
Kevin Smith,22.0,DET,16.0,12.0,238.0,976.0,8.0,51.0,44.1,50.0,4.1,61.0,14.9,2.0,
Brian Westbrook,29.0,PHI,14.0,14.0,233.0,936.0,9.0,49.0,45.9,39.0,4.0,66.9,16.6,2.0,
Le'Ron McClain,24.0,BAL,16.0,16.0,232.0,902.0,10.0,53.0,45.7,82.0,3.9,56.4,14.5,4.0,"PB,AP-1"
