Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Brandon Aubrey*+,DAL,28,K,17,0,,,,,,,,,,,0,49,52,36,38,,157,9.2
Justin Tucker*,BAL,34,K,17,0,,,,,,,,,,,0,51,52,32,37,,147,8.6
Jason Myers,SEA,32,K,17,0,,,,,,,,,,,0,33,33,35,42,,138,8.1
Harrison Butker,KAN,28,K,17,0,,,,,,,,,,,0,38,38,33,35,,137,8.1
Cairo Santos,CHI,32,K,17,0,,,,,,,,,,,0,31,33,35,38,,136,8.0
Jake Elliott,PHI,28,K,17,0,,,,,,,,,,,0,45,46,30,32,,135,7.9
Matt Gay,IND,29,K,17,0,,,,,,,,,,,0,35,36,33,41,,134,7.9
Blake Grupe,NOR,25,K,17,0,,,,,,,,,,,0,40,40,30,37,,130,7.6
Jason Sanders,MIA,28,K,17,0,,,,,,,,,,,0,58,59,24,28,,130,7.6
Cameron Dicker,LAC,23,K,17,0,,,,,,,,,,,0,35,35,31,33,,128,7.5
Christian McCaffrey*+,SFO,27,RB,16,16,14,7,,,,,,21,,,0,,,,,,126,7.9
Raheem Mostert*,MIA,31,RB,15,15,18,3,,,,,,21,,,0,,,,,,126,8.4
Brandon McManus,JAX,32,K,17,0,,,,,,,,,,,0,35,35,30,37,,125,7.4
Dustin Hopkins,CLE,33,K,15,0,,,,,,,,,,,0,24,26,33,36,,123,8.2
Younghoe Koo,ATL,29,K,17,0,,,,,,,,,,,0,27,28,32,37,,123,7.2
Jake Moody,SFO,24,K,17,0,,,,,,,,,,,0,60,61,21,25,,123,7.2
Tyler Bass,BUF,26,K,17,0,,,,,,,,,,,0,49,50,24,29,,121,7.1
Chase McLaughlin,TAM,27,K,17,0,,,,,,,,,,,0,33,33,29,31,,120,7.1
Greg Zuerlein,NYJ,36,K,16,0,,,,,,,,,,,0,15,16,35,38,,120,7.5
Wil Lutz,DEN,29,K,17,0,,,,,,,,,,,0,29,31,30,34,,119,7.0
Evan McPherson,CIN,24,K,17,0,,,,,,,,,,,0,40,40,26,31,,118,6.9
Anders Carlson,GNB,25,K,17,0,,,,,,,,,,,0,34,39,27,33,,115,6.8
Nick Folk,TEN,39,K,17,0,,,,,,,,,,,0,28,30,29,30,,115,6.8
Chris Boswell,PIT,32,K,17,0,,,,,,,,,,,0,27,28,29,31,,114,6.7
Daniel Carlson,LVR,28,K,17,0,,,,,,,,,,,0,32,32,26,30,,110,6.5
Greg Joseph,MIN,29,K,17,0,,,,,,,,,,,0,36,38,24,30,,108,6.4
Matt Prater,ARI,39,K,17,0,,,,,,,,,,,0,22,23,28,33,,106,6.2
Ka'imi Fairbairn,HOU,29,K,12,0,,,,,,,,,,,0,21,22,27,28,,102,8.5
Eddy Piñeiro,CAR,28,K,15,0,,,,,,,,,,,0,17,20,25,29,,92,6.1
Kyren Williams*,LAR,23,RB,12,11,12,3,,,,,,15,1,,0,,,,,,92,7.7
Josh Allen,BUF,27,QB,17,17,15,,,,,,,15,,,0,,,,,,90,5.3
Jalen Hurts*,PHI,25,QB,17,17,15,,,,,,,15,,,0,,,,,,90,5.3
Riley Patterson,2TM,24,K,15,0,,,,,,,,,,,0,41,44,16,18,,89,5.9
Joey Slye,WAS,27,K,17,0,,,,,,,,,,,0,32,35,19,24,,89,5.2
CeeDee Lamb*+,DAL,24,WR,17,17,2,12,,,,,,14,1,,0,,,,,,86,5.1
Gus Edwards,BAL,28,RB,17,9,13,,,,,,,13,1,,0,,,,,,80,4.7
David Montgomery,DET,26,RB,14,14,13,,,,,,,13,1,,0,,,,,,80,5.7
Mike Evans*,TAM,30,WR,17,17,,13,,,,,,13,,,0,,,,,,78,4.6
Tyreek Hill*+,MIA,29,WR,16,16,,13,,,,,,13,,,0,,,,,,78,4.9
Travis Etienne,JAX,24,RB,17,17,11,1,,,,,,12,2,,0,,,,,,76,4.5
Joe Mixon,CIN,27,RB,17,17,9,3,,,,,,12,1,,0,,,,,,74,4.4
Derrick Henry*,TEN,29,RB,17,17,12,,,,,,,12,,,0,,,,,,72,4.2
Chad Ryland,NWE,24,K,17,0,,,,,,,,,,,0,24,25,16,25,,72,4.2
Deebo Samuel,SFO,27,WR,15,15,5,7,,,,,,12,,,0,,,,,,72,4.8
De'Von Achane,MIA,22,RB,11,4,8,3,,,,,,11,,,0,,,,,,66,6.0
Jahmyr Gibbs*,DET,21,RB,15,3,10,1,,,,,,11,,,0,,,,,,66,4.4
Lucas Havrisik,LAR,24,K,9,0,,,,,,,,,,,0,19,22,15,20,,64,7.1
Sam LaPorta*,DET,22,TE,17,14,,10,,,,,,10,2,,0,,,,,,64,3.8
Brett Maher,LAR,34,K,8,0,,,,,,,,,,,0,13,15,17,23,,64,8.0
Saquon Barkley,NYG,26,RB,14,14,6,4,,,,,,10,1,,0,,,,,,62,4.4
Jayden Reed,GNB,23,WR,16,13,2,8,,,,,,10,1,,0,,,,,,62,3.9
Jordan Addison,MIN,21,WR,17,14,,10,,,,,,10,,,0,,,,,,60,3.5
Jakobi Meyers,LVR,27,WR,16,16,2,8,,,,,,10,,,0,,,,,,60,3.8
Amon-Ra St. Brown*+,DET,24,WR,16,16,,10,,,,,,10,,,0,,,,,,60,3.8
Courtland Sutton,DEN,28,WR,16,14,,10,,,,,,10,,,0,,,,,,60,3.8
Jerome Ford,CLE,24,RB,17,12,4,5,,,,,,9,1,,0,,,,,,56,3.3
Breece Hall,NYJ,22,RB,17,16,5,4,,,,,,9,1,,0,,,,,,56,3.3
Brian Robinson Jr.,WAS,24,RB,15,15,5,4,,,,,,9,1,,0,,,,,,56,3.7
James Conner,ARI,28,RB,13,13,7,2,,,,,,9,,,0,,,,,,54,4.2
Kareem Hunt,CLE,28,RB,15,2,9,,,,,,,9,,,0,,,,,,54,3.6
D.J. Moore,CHI,26,WR,17,17,1,8,,,,,,9,,,0,,,,,,54,3.2
Isiah Pacheco,KAN,24,RB,14,13,7,2,,,,,,9,,,0,,,,,,54,3.9
Kenneth Walker III,SEA,23,RB,15,15,8,1,,,,,,9,,,0,,,,,,54,3.6
Rachaad White,TAM,24,RB,17,17,6,3,,,,,,9,,,0,,,,,,54,3.2
Nico Collins,HOU,24,WR,15,10,,8,,,,,,8,1,,0,,,,,,50,3.3
Brandin Cooks,DAL,30,WR,16,15,,8,,,,,,8,1,,0,,,,,,50,3.1
Stefon Diggs*,BUF,30,WR,17,17,,8,,,,,,8,1,,0,,,,,,50,2.9
Calvin Ridley,JAX,29,WR,17,17,,8,,,,,,8,1,,0,,,,,,50,2.9
