Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Philip Rivers,29,SDG,QB,16,16,9-7-0,357,541,66.0,4710,30,5.5,13,2.4,234,49.9,59,8.7,8.73,13.2,294.4,101.8,66.9,38,227,6.56,7.74,7.77,1,1,"PB,AP OPoY-4"
Peyton Manning,34,IND,QB,16,16,10-6-0,450,679,66.3,4700,33,4.9,17,2.5,253,54.1,73,6.9,6.77,10.4,293.8,91.9,71.6,16,91,2.30,6.63,6.48,0,2,PB
Drew Brees,31,NOR,QB,16,16,11-5-0,448,658,68.1,4620,33,5.0,22,3.3,238,51.2,80,7.0,6.52,10.3,288.8,90.9,70.8,25,185,3.66,6.49,6.01,4,5,PB
Matt Schaub,29,HOU,QB,16,16,6-10-0,365,574,63.6,4370,24,4.2,12,2.1,221,47.9,60,7.6,7.51,12.0,273.1,92.0,61.0,32,226,5.28,6.84,6.74,2,2,
Eli Manning,29,NYG,QB,16,16,10-6-0,339,539,62.9,4002,31,5.8,25,4.6,169,47.9,92,7.4,6.49,11.8,250.1,85.3,57.7,16,117,2.88,7.00,6.09,1,1,
Carson Palmer,31,CIN,QB,16,16,4-12-0,362,586,61.8,3970,26,4.4,20,3.4,206,48.4,78,6.8,6.13,11.0,248.1,82.4,55.1,26,201,4.25,6.16,5.54,1,1,
Aaron Rodgers,27,GNB,QB,15,15,10-5-0,312,475,65.7,3922,28,5.9,11,2.3,183,51.4,86,8.3,8.39,12.6,261.5,101.2,69.6,31,193,6.13,7.37,7.50,0,1,AP OPoY-5
Tom Brady,33,NWE,QB,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,189,50.1,79,7.9,9.02,12.0,243.8,111.0,79.1,25,175,4.84,7.21,8.25,2,3,"PB,AP-1,AP MVP-1,AP OPoY-1"
Matt Ryan,25,ATL,QB,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46.1,46,6.5,6.76,10.4,231.6,91.0,71.2,23,158,3.87,5.97,6.23,5,6,PB
Kyle Orton,28,DEN,QB,13,13,3-10-0,293,498,58.8,3653,20,4.0,9,1.8,173,42.7,71,7.3,7.33,12.5,281.0,87.5,53.8,34,243,6.39,6.41,6.40,1,1,
Joe Flacco,25,BAL,QB,16,16,12-4-0,306,489,62.6,3622,25,5.1,10,2.0,174,44.0,67,7.4,7.51,11.8,226.4,93.6,59.1,40,294,7.56,6.29,6.39,2,4,
