Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Julius Adams,33,NWE,RDE,16,16,0,0,0,0,,0,0,0,0,2.5,,0,
Dick Ambrose,28,CLE,RILB,16,16,1,0,0,0,,0,2,0,0,0.0,,0,
John Anderson,25,GNB,LOLB,16,16,3,12,0,8,,0,4,22,0,1.0,,0,
Ken Anderson,32,CIN,QB,16,16,0,0,0,0,,5,2,-20,0,0.0,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Ottis Anderson,24,STL,RB,16,16,0,0,0,0,,13,3,0,0,0.0,,0,
William Andrews,26,ATL,FB,16,16,0,0,0,0,,12,0,0,0,0.0,,0,"PB,AP-2,AP OPoY-8"
Dan Audick,27,SFO,LT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Gary Barbaro,27,KAN,FS,16,16,5,134,0,34,,0,1,0,0,0.0,,0,PB
Jerome Barkum,31,NYJ,TE,16,16,0,0,0,0,,0,3,0,0,0.0,,0,
Steve Bartkowski,29,ATL,QB,16,16,0,0,0,0,,4,3,-1,0,0.0,,0,PB
Bob Baumhower,26,MIA,NT,16,16,0,0,0,0,,0,3,10,0,9.0,,0,"PB,AP-2"
Mike Bell,24,KAN,RDE,16,16,0,0,0,0,,0,1,0,0,5.0,,0,
Gregg Bingham,30,HOU,LILB,16,16,2,20,0,17,,0,1,0,0,1.0,,0,
Richard Bishop,31,NWE,NT,16,16,0,0,0,0,,0,0,0,0,4.5,,0,
Glenn Blackwood,24,MIA,SS,16,16,4,124,0,39,,0,1,5,0,1.0,,0,
Matt Blair,31,MIN,LOLB,16,16,1,1,0,1,,1,2,0,0,6.0,,0,PB
Stan Blinka,24,NYJ,MLB,16,16,1,15,0,15,,0,0,0,0,0.0,,0,
Mel Blount,33,PIT,RCB,16,16,6,106,1,50,,0,0,0,0,0.0,,0,"PB,AP-1"
Russ Bolinger,27,DET,RG,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Ron Bolton,31,CLE,LCB,16,16,1,3,0,3,,0,2,0,0,0.0,,0,
Jeff Bostic,23,WAS,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Henry Bradley,28,CLE,NT,16,16,0,0,0,0,,0,1,0,0,1.0,,0,
Tom Brahaney,30,STL,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Mark Brammer,23,BUF,TE,16,16,0,0,0,0,,3,1,0,0,0.0,,0,
Larry Braziel,27,BAL,RCB,16,16,3,35,0,27,,1,1,0,0,0.0,,0,
Robert Brazile,28,HOU,ROLB,16,16,2,7,0,7,,0,0,0,0,2.0,,0,"PB,AP-2"
Louis Breeden,28,CIN,LCB,16,16,4,145,1,102,,0,1,10,0,0.0,,0,
Bob Breunig,28,DAL,MLB,16,16,2,8,0,8,,0,0,0,0,0.0,,0,
Pete Brock,27,NWE,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Stan Brock,23,NOR,RT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Ted Brown,24,MIN,FB,16,16,0,0,0,0,,3,3,0,0,0.0,,0,
Ross Browner,27,CIN,RDE,16,16,0,0,0,0,,0,1,0,0,10.0,,0,
Dave Browning,25,OAK,RDE,16,16,1,8,0,8,,0,1,0,0,7.0,,0,
Bob Brudzinski,26,MIA,LOLB,16,16,2,35,0,19,,0,0,0,0,0.0,,0,
Willie Buchanon,31,SDG,LCB,16,16,5,31,0,18,,0,4,0,0,0.0,,0,
Ken Burrough,33,HOU,WR,16,16,0,0,0,0,,1,2,0,0,0.0,,0,
Blair Bush,25,CIN,C,16,16,0,0,0,0,,0,1,12,0,0.0,,0,
Bobby Butler,22,ATL,LCB,16,16,5,86,0,41,,0,0,0,0,0.0,,0,
Jerry Butler,24,BUF,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
Keith Butler,25,SEA,RLB,16,16,2,0,0,0,,1,0,0,0,1.5,,0,
Mike Butler,27,GNB,LDE,16,16,0,0,0,0,,0,0,0,0,10.5,,0,
Dave Butz,31,WAS,LDT,16,16,1,26,0,26,,0,0,0,0,5.0,,0,
Lynn Cain,26,ATL,RB,16,16,0,0,0,0,,3,2,0,0,0.0,,0,
Glenn Cameron,28,CIN,RILB,16,16,1,0,0,0,,0,0,0,0,0.0,,0,
Earl Campbell,26,HOU,RB,16,16,0,0,0,0,,10,2,0,0,0.0,,0,PB
Gary Campbell,29,CHI,RLB,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Harold Carmichael,32,PHI,WR,16,16,0,0,0,0,,3,1,0,0,0.0,,0,
Harry Carson,28,NYG,RILB,16,16,0,0,0,0,,0,1,2,0,4.0,,0,PB
Rubin Carter,29,DEN,NT,16,16,0,0,0,0,,0,1,0,0,3.0,,0,
Barney Chavous,30,DEN,LDE,16,16,0,0,0,0,,0,1,0,0,4.0,,0,
Al Chesley,24,PHI,LILB,16,16,2,66,0,35,,0,2,11,0,2.5,,0,
Mario Clark,27,BUF,LCB,16,16,5,142,0,53,,0,2,5,0,1.0,,0,
Raymond Clayborn,26,NWE,LCB,16,16,2,39,0,39,,0,2,4,0,0.0,,0,
Garry Cobb,24,DET,LLB,16,16,3,32,0,17,,0,3,0,0,2.5,,0,
Paul Coffman,25,GNB,TE,16,16,0,0,0,0,,1,1,0,0,0.0,,0,
Cris Collinsworth,22,CIN,WR,16,16,0,0,0,0,,3,1,0,0,0.0,,0,"PB,AP-2,AP ORoY-2"
Neal Colzie,27,TAM,SS,16,16,6,110,1,82,,1,1,0,0,1.0,,0,
Tom Condon,29,KAN,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Steve Courson,26,PIT,RG,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Nolan Cromwell,26,RAM,FS,16,16,5,94,0,94,,0,3,4,0,0.0,,0,"PB,AP-1"
George Cumby,25,GNB,RILB,16,16,3,22,0,17,,0,2,70,0,0.0,,0,
Buddy Curry,23,ATL,RILB,16,16,1,35,1,35,,0,0,0,0,0.0,,0,
Mike Dawson,28,STL,LDT/NT,16,16,0,0,0,0,,0,2,0,0,2.0,,0,
Dan Dierdorf,32,STL,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Ray Donaldson,23,BAL,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Pat Donovan,28,DAL,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,"PB,AP-2"
Keith Dorney,24,DET,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Tony Dorsett,27,DAL,RB,16,16,0,0,0,0,,10,2,0,0,0.0,,0,"PB,AP-1,AP MVP-3,AP OPoY-2"
Mike Douglass,26,GNB,ROLB,16,16,3,20,0,13,,0,3,0,0,9.5,,0,
A.J. Duhe,26,MIA,LILB,16,16,1,11,0,11,,0,1,0,0,7.5,,0,
John Dutton,30,DAL,LDT,16,16,0,0,0,0,,0,0,0,0,4.5,,1,
Herm Edwards,27,PHI,RCB,16,16,3,1,0,1,,0,1,4,0,0.0,,0,
Homer Elias,26,DET,LG,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Gerry Ellis,24,GNB,FB,16,16,0,0,0,0,,5,1,0,0,0.0,,0,
Doug English,28,DET,RDT,16,16,0,0,0,0,,0,3,20,0,9.0,,0,"PB,AP-2"
Larry Evans,28,DEN,LILB,16,16,1,1,0,1,,0,1,0,0,2.0,,0,
Vince Evans,26,CHI,QB,16,16,0,0,0,0,,13,2,-10,0,0.0,,0,
Keith Fahnhorst,29,SFO,RT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Mike Fanning,28,RAM,LDT,16,16,0,0,0,0,,0,1,0,0,5.0,,0,
Ken Fantetti,24,DET,MLB,16,16,2,18,0,17,,0,1,0,0,0.0,,0,
Gary Fencik,27,CHI,SS,16,16,6,121,1,69,,0,1,0,0,1.0,,0,"PB,AP-1"
Joe Ferguson,31,BUF,QB,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
