Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
David Akers*+,SFO,37,K,16,0,2,2,16,16,14,13,11,6,9,7,52,44,55,84.6%,34,34,100.0%,93,6077,47,50.5%,65.3
Graham Gano,WAS,24,K,16,0,,,15,14,9,5,11,8,6,4,41,31,59,75.6%,26,25,96.2%,73,4426,32,43.8%,60.6
Neil Rackers,HOU,35,K,16,0,,,14,14,11,10,8,4,5,4,38,32,54,84.2%,40,39,97.5%,36,2182,15,41.7%,60.6
Mike Nugent,CIN,29,K,16,0,,,14,14,8,5,16,14,,,38,33,49,86.8%,34,33,97.1%,80,5215,36,45.0%,65.2
Dan Bailey,DAL,23,K,16,0,1,1,9,8,11,11,12,10,4,2,37,32,51,86.5%,39,39,100.0%,67,4243,24,35.8%,63.3
Billy Cundiff,BAL,31,K,15,0,1,1,9,9,12,10,9,7,6,1,37,28,51,75.7%,38,38,100.0%,76,4881,44,57.9%,64.2
Sebastian Janikowski*,OAK,33,K,15,0,1,1,8,8,5,5,11,10,10,7,35,31,63,88.6%,36,36,100.0%,80,4968,32,40.0%,62.1
John Kasay,NOR,42,K,16,0,,,11,11,10,10,8,5,5,2,34,28,53,82.4%,63,63,100.0%,2,18,,,9.0
Nick Novak,SDG,30,K,15,0,,,11,11,5,4,11,8,7,4,34,27,53,79.4%,42,41,97.6%,86,5551,30,34.9%,64.5
Dan Carpenter,MIA,26,K,14,0,,,11,10,7,6,12,11,4,2,34,29,58,85.3%,26,26,100.0%,68,4420,39,57.4%,65.0
Stephen Gostkowski,NWE,27,K,16,0,1,1,13,12,6,5,11,9,2,1,33,28,50,84.8%,59,59,100.0%,103,6568,41,39.8%,63.8
Robbie Gould,CHI,29,K,16,0,,,10,10,6,6,10,6,6,6,32,28,57,87.5%,37,37,100.0%,81,5119,43,53.1%,63.2
Rob Bironas,TEN,33,K,16,0,,,5,5,10,9,10,9,7,6,32,29,53,90.6%,34,34,100.0%,78,4847,44,56.4%,62.1
Shaun Suisham,PIT,30,K,16,0,2,2,8,8,8,6,11,6,2,1,31,23,51,74.2%,36,36,100.0%,72,4698,28,38.9%,65.3
Stephen Hauschka,SEA,26,K,16,0,2,2,6,5,10,9,8,7,4,2,30,25,52,83.3%,34,34,100.0%,75,4899,26,34.7%,65.3
