Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Kyle Larson,CIN,28,P,16,0,100,3945,39.5,436,3449,34.1,57,3,3.0%,28,28.0%,1
Brad Maynard,CHI,34,P,16,0,96,3957,41.2,203,3654,38.1,67,5,5.2%,40,41.7%,0
Nick Harris,DET,30,P,16,0,90,3952,43.9,414,3418,38.0,66,6,6.7%,24,26.7%,0
Shane Lechler*+,OAK,32,P,16,0,90,4391,48.8,425,3706,41.2,70,13,14.4%,33,36.7%,0
Craig Hentrich,TEN,37,P,16,0,87,3725,42.8,290,3175,36.5,75,13,14.9%,27,31.0%,0
Sam Koch,BAL,26,P,16,0,84,3777,45.0,245,3352,39.9,74,9,10.7%,34,40.5%,0
Donnie Jones,STL,28,P,16,0,82,4100,50.0,590,3370,41.1,68,7,8.5%,20,24.4%,0
Jon Ryan,SEA,27,P,15,0,78,3557,45.6,324,2993,37.9,63,12,15.4%,22,28.2%,1
Josh Bidwell,TAM,32,P,16,0,77,3426,44.5,392,2894,37.6,64,7,9.1%,27,35.1%,0
Saverio Rocca,PHI,35,P,16,0,77,3334,43.3,296,2958,37.9,65,4,5.2%,24,31.2%,1
Dave Zastudil,CLE,30,P,16,0,75,3410,45.5,235,2955,39.4,65,11,14.7%,23,30.7%,0
Brandon Fields,MIA,24,P,16,0,74,3249,43.9,485,2624,35.5,71,7,9.5%,24,32.4%,0
Jason Baker,CAR,30,P,16,0,73,3217,44.1,276,2841,37.4,63,5,6.8%,30,41.1%,3
Chris Kluwe,MIN,27,P,16,0,73,3473,47.6,624,2589,35.0,62,13,17.8%,23,31.5%,1
Dustin Colquitt,KAN,26,P,14,0,70,3110,44.4,209,2741,39.2,73,8,11.4%,27,38.6%,0
Mitch Berger,PIT,36,P,13,0,66,2728,41.3,243,2405,36.4,61,4,6.1%,19,28.8%,0
Andy Lee,SFO,26,P,16,0,66,3155,47.8,364,2611,39.0,82,9,13.6%,13,19.7%,1
Ryan Plackemeier,2TM,24,P,11,0,66,2741,41.5,310,2231,33.3,62,10,15.2%,17,25.8%,1
Jeff Feagles*,NYG,42,P,16,0,64,2814,44.0,140,2574,40.2,61,5,7.8%,23,35.9%,0
Michael Koenen,ATL,26,P,16,0,63,2566,40.7,49,2437,37.5,60,4,6.3%,25,39.7%,2
Steve Weatherford,3TM,26,P,14,0,59,2521,42.7,307,2014,34.1,61,10,16.9%,8,13.6%,0
Brian Moorman,BUF,32,P,16,0,58,2557,44.1,187,2270,39.1,63,5,8.6%,23,39.7%,0
Sam Paulescu,DAL,24,P,10,0,53,2213,41.8,246,1867,35.2,70,5,9.4%,14,26.4%,0
Hunter Smith,IND,31,P,16,0,53,2343,44.2,249,2054,38.8,64,2,3.8%,23,43.4%,0
Matt Turk,HOU,40,P,16,0,53,2240,42.3,235,1865,35.2,59,7,13.2%,17,32.1%,0
Mike Scifres,SDG,28,P,16,0,51,2332,45.7,146,2086,40.9,67,5,9.8%,19,37.3%,0
Chris Hanson,NWE,32,P,16,0,49,2143,43.7,158,1785,36.4,70,10,20.4%,19,38.8%,0
Derrick Frost,GNB,28,P,12,0,48,2021,42.1,189,1732,36.1,65,5,10.4%,8,16.7%,0
Brett Kern,DEN,22,P,16,0,46,2150,46.7,330,1740,37.8,64,4,8.7%,13,28.3%,0
Adam Podlesh,JAX,25,P,11,0,46,1989,43.2,206,1683,36.6,60,5,10.9%,12,26.1%,0
Reggie Hodges,NYJ,26,P,12,0,44,1884,42.8,187,1597,35.5,61,5,11.4%,14,31.8%,1
Dirk Johnson,ARI,33,P,12,0,40,1670,41.8,182,1408,35.2,59,4,10.0%,13,32.5%,0
Ben Graham,3TM,35,P,9,0,37,1571,42.5,320,1251,33.8,59,0,0.0%,10,27.0%,0
Durant Brooks,WAS,23,P,6,0,26,1030,39.6,195,835,32.1,60,0,0.0%,9,34.6%,0
Mat McBriar,DAL,29,P,6,0,24,1175,49.0,144,971,38.8,66,3,12.5%,5,20.8%,1
Glenn Pakulak,NOR,28,P,8,0,24,1144,47.7,197,907,37.8,70,2,8.3%,3,12.5%,0
Jeremy Kapinos,GNB,24,P,4,0,17,667,39.2,60,587,34.5,55,1,5.9%,7,41.2%,0
Paul Ernster,PIT,26,P,3,0,12,379,31.6,4,375,31.3,43,0,0.0%,4,33.3%,0
Josh Brown,STL,29,K,16,0,1,20,20.0,0,20,20.0,20,0,0.0%,1,100.0%,0
Matt Cassel,NWE,26,QB,16,15,1,57,57.0,0,57,57.0,57,0,0.0%,1,100.0%,0
Phil Dawson,CLE,33,K,16,0,1,33,33.0,0,33,33.0,33,0,0.0%,1,100.0%,0
