Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Joe Danelo,NYG,28,K,16,0,1,1,9,7,9,7,11,6,8,3,38,24,55,63.2%,31,31,100.0%,,,,,
Pat Leahy,NYJ,30,K,16,0,,,13,11,8,6,12,8,3,,36,25,49,69.4%,39,38,97.4%,,,,,
Nick Lowery*,KAN,25,K,16,0,,,5,5,15,13,9,7,7,1,36,26,52,72.2%,38,37,97.4%,,,,,
Eddie Murray,DET,25,K,16,0,1,1,5,5,14,9,11,7,4,3,35,25,53,71.4%,46,46,100.0%,,,,,
Rafael Septien*+,DAL,28,K,16,0,1,1,11,11,9,8,12,7,2,,35,27,47,77.1%,40,40,100.0%,,,,,
Mick Luckhurst,ATL,23,K,16,0,2,1,7,7,12,8,11,5,1,,33,21,47,63.6%,51,51,100.0%,,,,,
Jim Breech,CIN,25,K,16,0,,,11,9,9,7,11,5,1,1,32,22,51,68.8%,51,49,96.1%,,,,,
Neil O'Donoghue,STL,28,K,16,0,2,2,8,8,6,4,11,5,5,,32,19,47,59.4%,37,36,97.3%,,,,,
Tony Franklin,PHI,25,K,16,0,,,5,5,9,7,13,7,4,1,31,20,50,64.5%,43,41,95.3%,,,,,
Uwe von Schamann,MIA,25,K,16,0,,,9,9,12,11,10,4,,,31,24,46,77.4%,38,37,97.4%,,,,,
Mark Moseley,WAS,33,K,16,0,1,1,8,7,8,6,12,5,1,,30,19,49,63.3%,42,38,90.5%,,,,,
Fred Steinfort,DEN,29,K,16,0,,,9,6,11,5,8,6,2,,30,17,49,56.7%,37,36,97.3%,,,,,
Rolf Benirschke,SDG,26,K,16,0,2,2,7,7,8,5,4,3,5,2,26,19,52,73.1%,61,55,90.2%,,,,,
Frank Corral,RAM,26,K,16,0,,,9,6,6,5,11,6,,,26,17,44,65.4%,36,36,100.0%,,,,,
Matt Bahr,2TM,25,K,15,0,3,3,7,5,10,5,5,2,1,,26,15,47,57.7%,34,34,100.0%,,,,,
Rick Danmeier,MIN,29,K,16,0,1,1,6,5,12,11,6,4,,,25,21,45,84.0%,37,34,91.9%,,,,,
Benny Ricardo,NOR,27,K,16,0,,,5,5,9,3,10,5,1,,25,13,46,52.0%,24,24,100.0%,,,,,
John Smith,NWE,32,K,16,0,,,7,7,6,2,7,5,4,1,24,15,50,62.5%,39,37,94.9%,,,,,
Nick Mike-Mayer,BUF,31,K,16,0,,,6,4,7,5,10,5,1,,24,14,46,58.3%,37,37,100.0%,,,,,
Jan Stenerud,GNB,39,K,16,0,2,2,8,7,9,9,3,2,2,2,24,22,53,91.7%,36,35,97.2%,,,,,
Chris Bahr,OAK,28,K,16,0,,,8,6,4,2,7,3,5,3,24,14,51,58.3%,33,27,81.8%,,,,,
Bill Capece,TAM,22,K,13,0,,,7,5,5,3,10,5,2,2,24,15,51,62.5%,32,30,93.8%,,,,,
Ray Wersching,SFO,31,K,12,0,2,2,7,7,7,4,7,4,,,23,17,48,73.9%,30,30,100.0%,,,,,
Toni Fritsch,HOU,36,K,16,0,,,4,3,4,4,13,7,1,1,22,15,50,68.2%,34,32,94.1%,,,,,
Mike Wood,BAL,27,K,16,0,2,2,3,2,5,3,7,3,1,,18,10,48,55.6%,33,29,87.9%,,,,,
John Roveto,CHI,23,K,11,0,1,,7,6,3,2,7,2,,,18,10,43,55.6%,20,19,95.0%,,,,,
David Trout,PIT,24,K,16,0,3,3,6,5,2,1,5,3,1,,17,12,48,70.6%,46,38,82.6%,,,,,
Efren Herrera,SEA,30,K,12,0,,,7,6,3,3,5,2,2,1,17,12,54,70.6%,25,23,92.0%,,,,,
Dave Jacobs,CLE,24,K,5,0,,,3,2,6,2,1,,2,,12,4,35,33.3%,10,9,90.0%,,,,,
Wilson Alvarez,SEA,24,K,4,0,,,3,3,,,4,,,,7,3,28,42.9%,15,14,93.3%,,,,,
Garo Yepremian,TAM,37,K,3,0,,,,,1,1,3,1,,,4,2,44,50.0%,6,6,100.0%,,,,,
Bob Thomas,CHI,29,K,2,0,,,2,1,1,1,,,,,3,2,37,66.7%,3,2,66.7%,,,,,
Hans Nielsen,CHI,29,K,3,0,,,1,,1,,,,,,2,,,0.0%,8,8,100.0%,,,,,
Steve Cox,CLE,23,P,16,0,,,,,,,,,1,,1,,,0.0%,,,,,,,,
Reggie Wilkes,PHI,25,LOLB,14,8,,,,,,,,,,,,,,,1,1,100.0%,,,,,
Rich Wingo,GNB,25,LILB,16,16,,,,,,,,,,,,,,,1,1,100.0%,,,,,
