Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
John Abraham,30,ATL,RDE,16,16,0,0,0,0,1,4,0,0,0,0,16.5,38,37,1,20,30,0,AP-2
Flozell Adams,33,DAL,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PB
Gaines Adams,25,TAM,RDE,16,16,2,50,1,45,6,0,0,0,0,0,6.5,38,27,11,5,21,0,
Jared Allen,26,MIN,RDE,16,16,0,0,0,0,3,3,0,0,0,0,14.5,54,41,13,20,28,2,"PB,AP-1"
Will Allen,30,MIA,LCB,16,16,3,62,1,32,15,1,0,0,0,0,1.0,50,42,8,3,5,0,
O.J. Atogwe,27,STL,FS,16,16,5,91,0,43,5,6,0,3,75,1,0.0,85,77,8,1,0,0,
Jonathan Babineaux,27,ATL,LDT,16,16,0,0,0,0,2,0,0,1,0,0,3.5,38,31,7,14,10,0,
Jeff Backus,31,DET,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Ronde Barber,33,TAM,RCB,16,16,4,69,1,65,12,0,0,1,2,0,2.0,75,67,8,5,6,0,PB
Khalif Barnes,26,JAX,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Eric Barton,31,NYJ,LILB,16,16,0,0,0,0,4,1,0,1,1,0,1.5,119,93,26,2,4,0,
Jon Beason,23,CAR,MLB,16,16,3,52,0,44,8,0,0,1,12,0,0.0,138,110,28,3,1,0,"PB,AP-1"
Yeremiah Bell,30,MIA,SS,16,16,0,0,0,0,10,3,0,1,0,0,1.0,120,100,20,3,1,0,
Antoine Bethea,24,IND,FS,16,16,2,0,0,0,4,0,0,1,0,0,0.0,101,74,27,2,0,0,
Matt Birk,32,MIN,C,16,16,0,0,0,0,0,0,1,0,-22,0,0.0,0,0,0,0,0,0,
Justin Blalock,25,ATL,LG,16,16,0,0,0,0,0,0,0,2,0,1,0.0,0,0,0,0,0,0,
Dre' Bly,31,DEN,RCB,16,16,2,5,0,5,8,1,0,0,0,0,0.0,62,54,8,4,0,0,
Stewart Bradley,25,PHI,MLB,16,16,1,17,0,17,6,1,0,1,0,0,1.0,108,86,22,10,4,0,
Tyler Brayton,29,CAR,LDE,16,16,0,0,0,0,3,1,0,1,0,0,4.5,40,35,5,6,5,0,
Drew Brees,29,NOR,QB,16,16,0,0,0,0,0,0,6,2,-34,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-1"
Lance Briggs,28,CHI,RLB,16,16,3,12,0,9,11,1,0,2,21,1,0.5,110,90,20,8,2,0,PB
Keith Brooking,33,ATL,RLB,16,16,0,0,0,0,4,0,0,0,0,0,0.0,102,71,31,2,3,0,
Derrick Brooks,35,TAM,RLB,16,16,1,-2,0,-2,7,1,0,0,0,0,0.0,73,58,15,7,0,0,PB
Alex Brown,29,CHI,RDE,16,16,1,-2,0,-2,5,1,0,1,18,0,6.0,44,42,2,19,18,0,
Duane Brown,23,HOU,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Jason Brown,25,BAL,C,16,16,0,0,0,0,0,0,1,1,-1,0,0.0,0,0,0,,,0,
Levi Brown,24,ARI,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Phillip Buchanon,28,TAM,LCB,16,16,2,33,1,26,6,1,0,1,0,0,0.0,52,48,4,3,0,0,
Keith Bulluck,31,TEN,RLB,16,16,0,0,0,0,6,1,0,1,0,0,0.5,98,75,23,6,1,0,
Brodrick Bunkley,25,PHI,RDT,16,16,0,0,0,0,2,0,0,1,0,0,2.0,47,34,13,2,3,0,
Jason Campbell,27,WAS,QB,16,16,0,0,0,0,0,0,7,1,0,0,0.0,0,0,0,0,0,0,
Chris Canty,26,DAL,RDE,16,16,0,0,0,0,5,0,0,0,0,0,3.0,37,25,12,4,8,0,
Brandon Carr,22,KAN,LCB,16,16,2,67,0,35,6,0,0,2,17,0,0.0,73,70,3,3,0,0,
Kevin Carter,35,TAM,LDE,16,16,0,0,0,0,2,1,0,0,0,0,4.0,49,28,21,3,9,0,
Desmond Clark,31,CHI,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Jeromey Clary,25,SDG,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
