Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Greg Zuerlein*+,LAR,30,K,14,0,,,,,,,,,,,,44.0,46.0,38.0,40.0,,158,11.3
Stephen Gostkowski,NWE,33,K,16,0,,,,,,,,,,,,45.0,47.0,37.0,40.0,,156,9.8
Robbie Gould,SFO,35,K,16,0,,,,,,,,,,,,28.0,30.0,39.0,41.0,,145,9.1
Chris Boswell*,PIT,26,K,16,0,,,,,,,,,,,,37.0,39.0,35.0,38.0,,142,8.9
Harrison Butker,KAN,22,K,13,0,,,,,,,,,,,,28.0,28.0,38.0,42.0,,142,10.9
Justin Tucker,BAL,28,K,16,0,,,,,,,,,,,,39.0,39.0,34.0,37.0,,141,8.8
Wil Lutz,NOR,23,K,16,0,,,,,,,,,,,,47.0,50.0,31.0,36.0,,140,8.8
Matt Bryant,ATL,42,K,16,0,,,,,,,,,,,,35.0,35.0,34.0,39.0,,137,8.6
Ryan Succop,TEN,31,K,16,0,,,,,,,,,,,,31.0,33.0,35.0,42.0,,136,8.5
Kai Forbath,MIN,30,K,16,0,,,,,,,,,,,,34.0,39.0,32.0,38.0,,130,8.1
Matt Prater,DET,33,K,16,0,,,,,,,,,,,,40.0,41.0,30.0,35.0,,130,8.1
Graham Gano*,CAR,30,K,16,0,,,,,,,,,,,,34.0,37.0,29.0,30.0,,121,7.6
Phil Dawson,ARI,42,K,16,0,,,,,,,,,,,,23.0,26.0,32.0,40.0,,119,7.4
Jake Elliott,PHI,22,K,15,0,,,,,,,,,,,,39.0,42.0,26.0,31.0,,117,7.8
Stephen Hauschka,BUF,32,K,16,0,,,,,,,,,,,,29.0,29.0,29.0,33.0,,116,7.3
Todd Gurley*+,LAR,23,RB,15,15,13.0,6.0,,,,,,19.0,,,,,,,,,114,7.6
Adam Vinatieri,IND,45,K,15,0,,,,,,,,,,,,22.0,24.0,29.0,34.0,,109,7.3
Chandler Catanzaro,NYJ,26,K,16,0,,,,,,,,,,,,29.0,29.0,25.0,30.0,,104,6.5
Blair Walsh,SEA,27,K,16,0,,,,,,,,,,,,37.0,38.0,21.0,29.0,,100,6.3
Brandon McManus,DEN,26,K,16,0,,,,,,,,,,,,27.0,27.0,24.0,32.0,,99,6.2
Ka'imi Fairbairn,HOU,23,K,16,0,,,,,,,,,,,,32.0,35.0,20.0,25.0,,92,5.8
Cody Parkey,MIA,25,K,16,0,,,,,,,,,,,,26.0,29.0,21.0,23.0,,89,5.6
Alvin Kamara*,NOR,22,RB,16,3,8.0,5.0,,1.0,,,,14.0,1.0,,,,,,,,86,5.4
Randy Bullock,CIN,28,K,15,0,,,,,,,,,,,,31.0,33.0,18.0,20.0,,85,5.7
Giorgio Tavecchio,OAK,27,K,16,0,,,,,,,,,,,,33.0,34.0,16.0,21.0,,81,5.1
Josh Lambo,JAX,27,K,10,0,,,,,,,,,,,,22.0,24.0,19.0,20.0,,79,7.9
Mason Crosby,GNB,33,K,16,0,,,,,,,,,,,,33.0,35.0,15.0,19.0,,78,4.9
DeAndre Hopkins*+,HOU,25,WR,15,15,,13.0,,,,,,13.0,,,,,,,,,78,5.2
Patrick Murray,TAM,26,K,12,0,,,,,,,,,,,,21.0,22.0,19.0,23.0,,78,6.5
Aldrick Rosas,NYG,23,K,16,0,,,,,,,,,,,,20.0,23.0,18.0,25.0,,74,4.6
Melvin Gordon,LAC,24,RB,16,16,8.0,4.0,,,,,,12.0,,,,,,,,,72,4.5
Mark Ingram*,NOR,28,RB,16,12,12.0,,,,,,,12.0,,,,,,,,,72,4.5
Dan Bailey,DAL,29,K,12,0,,,,,,,,,,,,26.0,28.0,15.0,20.0,,71,5.9
Zane Gonzalez,CLE,22,K,16,0,,,,,,,,,,,,25.0,26.0,15.0,20.0,,70,4.4
Le'Veon Bell*+,PIT,25,RB,15,15,9.0,2.0,,,,,,11.0,,,,,,,,,66,4.4
Kareem Hunt*,KAN,22,RB,16,16,8.0,3.0,,,,,,11.0,,,,,,,,,66,4.1
Jimmy Graham*,SEA,31,TE,16,13,,10.0,,,,,,10.0,1.0,,,,,,,,62,3.9
Davante Adams*,GNB,25,WR,14,14,,10.0,,,,,,10.0,,,,,,,,,60,4.3
Leonard Fournette,JAX,22,RB,13,13,9.0,1.0,,,,,,10.0,,,,,,,,,60,4.6
Dustin Hopkins,WAS,27,K,8,0,,,,,,,,,,,,18.0,19.0,14.0,17.0,,60,7.5
