Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Roddy White,29,ATL,16,16,179,115,1389,12.1,10,73,54.2,46,7.2,86.8,64.2,7.8,1,"PB,AP-1,AP OPoY-5"
Reggie Wayne,32,IND,16,16,175,111,1355,12.2,6,72,53.1,50,6.9,84.7,63.4,7.7,1,"PB,AP-1"
Jason Witten,28,DAL,16,16,128,94,1002,10.7,9,42,53.9,33,5.9,62.6,73.4,7.8,1,"PB,AP-1"
Santana Moss,31,WAS,16,16,145,93,1115,12.0,6,61,53.8,56,5.8,69.7,64.1,7.7,3,
Larry Fitzgerald,27,ARI,16,15,173,90,1137,12.6,6,58,44.5,41,5.6,71.1,52.0,6.6,0,PB
Andre Johnson,29,HOU,13,13,138,86,1216,14.1,8,59,54.3,60,6.6,93.5,62.3,8.8,1,PB
Brandon Marshall,26,MIA,14,14,146,86,1014,11.8,3,56,51.4,46,6.1,72.4,58.9,6.9,2,
Wes Welker,29,NWE,15,11,123,86,848,9.9,7,47,57.7,35,5.7,56.5,69.9,6.9,1,"PB,AP CPoY-4"
Danny Amendola,25,STL,16,6,123,85,689,8.1,3,35,50.4,36,5.3,43.1,69.1,5.6,2,
Marques Colston,27,NOR,15,11,131,84,1023,12.2,7,57,58.8,43,5.6,68.2,64.1,7.8,0,
Stevie Johnson,24,BUF,16,13,141,82,1073,13.1,10,61,50.4,45,5.1,67.1,58.2,7.6,1,
Davone Bess,25,MIA,16,8,125,79,820,10.4,5,42,48.8,29,4.9,51.3,63.2,6.6,3,
Hakeem Nicks,22,NYG,13,12,128,79,1052,13.3,11,45,53.9,46,6.1,80.9,61.7,8.2,1,
LeSean McCoy,22,PHI,15,13,91,78,592,7.6,2,29,59.3,40,5.2,39.5,85.7,6.5,2,
Chris Cooley,28,WAS,16,16,126,77,849,11.0,3,40,49.2,35,4.8,53.1,61.1,6.7,3,
Calvin Johnson,25,DET,15,15,137,77,1120,14.5,12,54,49.6,87,5.1,74.7,56.2,8.2,1,"PB,AP-2"
Brandon Lloyd,29,DEN,16,11,153,77,1448,18.8,11,72,49.7,71,4.8,90.5,50.3,9.5,0,"PB,AP-2"
Greg Jennings,27,GNB,16,16,125,76,1265,16.6,12,51,54.4,86,4.8,79.1,60.8,10.1,2,PB
Dwayne Bowe,26,KAN,16,16,133,72,1162,16.1,15,55,50.4,75,4.5,72.6,54.1,8.7,1,"PB,AP-2"
Terrell Owens,37,CIN,14,11,139,72,983,13.7,9,47,44.6,78,5.1,70.2,51.8,7.1,0,
Percy Harvin,22,MIN,14,13,109,71,868,12.2,5,40,49.5,53,5.1,62.0,65.1,8.0,1,
Brandon Pettigrew,25,DET,16,16,111,71,722,10.2,4,33,49.5,35,4.4,45.1,64.0,6.5,0,
Tony Gonzalez,34,ATL,16,16,108,70,656,9.4,6,40,52.8,34,4.4,41.0,64.8,6.1,0,PB
Jeremy Maclin,22,PHI,16,16,115,70,964,13.8,10,40,48.7,83,4.4,60.3,60.9,8.4,1,
Miles Austin,26,DAL,16,16,119,69,1041,15.1,7,46,52.9,69,4.3,65.1,58.0,8.7,1,PB
Ben Watson,30,CLE,16,16,102,68,763,11.2,3,39,53.9,44,4.3,47.7,66.7,7.5,0,
Pierre Garcon,24,IND,14,14,119,67,784,11.7,6,41,52.9,57,4.8,56.0,56.3,6.6,0,
Chad Johnson,32,CIN,14,12,126,67,831,12.4,4,47,51.6,42,4.8,59.4,53.2,6.6,0,
Jacob Tamme,25,IND,16,8,93,67,631,9.4,4,35,61.3,30,4.2,39.4,72.0,6.8,0,
Arian Foster,24,HOU,16,13,84,66,604,9.2,2,34,51.2,50,4.1,37.8,78.6,7.2,3,"PB,AP-1,AP OPoY-3"
Lance Moore,27,NOR,16,1,94,66,763,11.6,8,40,60.6,80,4.1,47.7,70.2,8.1,2,
Mike Thomas,23,JAX,16,11,102,66,820,12.4,4,38,51.0,50,4.1,51.3,64.7,8.0,3,
Kellen Winslow,27,TAM,16,11,98,66,730,11.1,5,36,52.0,41,4.1,45.6,67.3,7.4,1,
Jabar Gaffney,30,DEN,16,11,112,65,875,13.5,2,41,50.0,50,4.1,54.7,58.0,7.8,1,
Mike Williams,26,SEA,14,13,110,65,751,11.6,2,41,47.3,68,4.6,53.6,59.1,6.8,0,AP CPoY-2
Mike Williams,23,TAM,16,16,129,65,964,14.8,11,44,42.6,58,4.1,60.3,50.4,7.5,3,AP ORoY-2
Anquan Boldin,30,BAL,16,16,109,64,837,13.1,7,43,51.4,61,4.0,52.3,58.7,7.7,1,
Ray Rice,23,BAL,16,14,83,63,556,8.8,1,23,42.2,34,3.9,34.8,75.9,6.7,0,
Peyton Hillis,24,CLE,16,14,77,61,477,7.8,2,25,42.9,47,3.8,29.8,79.2,6.2,8,
Derrick Mason,36,BAL,16,15,100,61,802,13.1,7,44,56.0,42,3.8,50.1,61.0,8.0,0,
Deion Branch,31,2TM,15,12,92,61,818,13.4,6,43,60.9,79,4.1,54.5,66.3,8.9,1,
Deion Branch,31,SEA,4,3,18,13,112,8.6,1,7,61.1,41,3.3,28.0,72.2,6.2,1,
Deion Branch,31,NWE,11,9,74,48,706,14.7,5,36,60.8,79,4.4,64.2,64.9,9.5,0,
Mario Manningham,24,NYG,16,8,93,60,944,15.7,9,28,50.5,92,3.8,59.0,64.5,10.2,1,
Zach Miller,25,OAK,15,15,92,60,685,11.4,5,37,53.3,43,4.0,45.7,65.2,7.4,1,PB
Mike Wallace,24,PIT,16,16,98,60,1257,21.0,10,48,53.1,56,3.8,78.6,61.2,12.8,1,
Eddie Royal,24,DEN,16,10,105,59,627,10.6,3,32,41.9,41,3.7,39.2,56.2,6.0,4,
Darren Sproles,27,SDG,16,3,75,59,520,8.8,2,25,46.7,57,3.7,32.5,78.7,6.9,3,
Hines Ward,34,PIT,16,15,95,59,755,12.8,5,35,51.6,43,3.7,47.2,62.1,7.9,1,
Jahvid Best,21,DET,16,9,80,58,487,8.4,2,15,37.5,75,3.6,30.4,72.5,6.1,1,
Austin Collie,25,IND,9,6,71,58,649,11.2,8,32,71.8,73,6.4,72.1,81.7,9.1,1,
Marcedes Lewis,26,JAX,16,16,89,58,700,12.1,10,37,52.8,42,3.6,43.8,65.2,7.9,2,PB
Vernon Davis,26,SFO,16,16,93,56,914,16.3,7,35,49.5,66,3.5,57.1,60.2,9.8,0,
Nate Burleson,29,DET,14,14,86,55,625,11.4,6,29,52.3,58,3.9,44.6,64.0,7.3,2,
Michael Crabtree,23,SFO,16,15,101,55,741,13.5,6,40,44.6,60,3.4,46.3,54.5,7.3,0,
Dustin Keller,26,NYJ,16,13,100,55,687,12.5,5,33,44.0,41,3.4,42.9,55.0,6.9,0,
Braylon Edwards,27,NYJ,16,15,101,53,904,17.1,7,40,45.5,74,3.3,56.5,52.5,9.0,1,
Brandon Gibson,23,STL,14,12,91,53,620,11.7,2,32,48.4,41,3.8,44.3,58.2,6.8,0,
Jermaine Gresham,22,CIN,15,10,83,52,471,9.1,4,26,50.6,27,3.5,31.4,62.7,5.7,2,
Santonio Holmes,26,NYJ,12,10,96,52,746,14.3,6,35,46.9,52,4.3,62.2,54.2,7.8,2,
Jordan Shipley,25,CIN,15,4,74,52,600,11.5,3,31,52.7,64,3.5,40.0,70.3,8.1,0,
LaDainian Tomlinson,31,NYJ,15,13,79,52,368,7.1,0,19,45.6,21,3.5,24.5,65.8,4.7,4,
Jason Avant,27,PHI,16,3,76,51,573,11.2,1,29,60.5,34,3.2,35.8,67.1,7.5,0,
Donald Driver,35,GNB,15,15,85,51,565,11.1,4,30,49.4,61,3.4,37.7,60.0,6.6,1,
Matt Forte,25,CHI,16,16,70,51,547,10.7,3,21,48.6,89,3.2,34.2,72.9,7.8,3,
Jacoby Jones,26,HOU,15,7,78,51,562,11.0,3,30,51.3,47,3.4,37.5,65.4,7.2,1,
Johnny Knox,24,CHI,16,16,100,51,960,18.8,5,43,47.0,67,3.2,60.0,51.0,9.6,1,
Kevin Walter,29,HOU,16,16,80,51,621,12.2,5,33,55.0,35,3.2,38.8,63.8,7.8,0,
Antonio Gates,30,SDG,10,10,65,50,782,15.6,10,42,69.2,48,5.0,78.2,76.9,12.0,0,"PB,AP-2"
