Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Mike Nugent,CIN,31,K,16,0,,,2.0,2.0,7.0,6.0,9.0,7.0,4.0,3.0,22.0,18.0,54.0,81.8%,53.0,52.0,98.1%,86.0,5428.0,32.0,37.2%,63.1
Kai Forbath,WAS,26,K,13,0,,,4.0,3.0,10.0,10.0,6.0,4.0,2.0,1.0,22.0,18.0,50.0,81.8%,26.0,26.0,100.0%,57.0,3420.0,14.0,24.6%,60.0
John Potter,WAS,23,K,3,0,,,2.0,2.0,,,1.0,1.0,1.0,,4.0,3.0,43.0,75.0%,7.0,7.0,100.0%,14.0,848.0,8.0,57.1%,60.6
Shayne Graham,NOR,36,K,2,0,,,1.0,1.0,,,1.0,1.0,,,2.0,2.0,40.0,100.0%,7.0,7.0,100.0%,,,,,
Spencer Lanning,CLE,25,P,16,0,,,,,,,,,,,,,,,1.0,1.0,100.0%,8.0,403.0,,,50.4
Pat McAfee,IND,26,P,16,0,,,,,,,,,,,,,,,,,,88.0,5647.0,41.0,46.6%,64.2
Thomas Morstead,NOR,27,P,16,0,,,,,,,,,,,,,,,,,,86.0,5563.0,52.0,60.5%,64.7
Matthew Bosher,ATL,26,P,16,0,,,,,,,,,,,,,,,,,,79.0,4836.0,50.0,63.3%,61.2
Sam Martin,DET,23,P,16,0,,,,,,,,,,,,,,,,,,70.0,4492.0,38.0,54.3%,64.2
Michael Koenen,TAM,31,P,16,0,,,,,,,,,,,,,,,,,,69.0,4294.0,41.0,59.4%,62.2
Tim Masthay,GNB,26,P,16,0,,,,,,,,,,,,,,,,,,36.0,2367.0,17.0,47.2%,65.8
Jeff Locke,MIN,24,P,16,0,,,,,,,,,,,,,,,,,,4.0,253.0,1.0,25.0%,63.3
Johnny Hekker*+,STL,23,P,16,0,,,,,,,,,,,,,,,,,,3.0,69.0,,,23.0
Brett Kern,TEN,27,P,16,0,,,,,,,,,,,,,,,,,,3.0,181.0,,,60.3
Brad Nortman,CAR,24,P,16,0,,,,,,,,,,,,,,,,,,2.0,120.0,,,60.0
Britton Colquitt,DEN,28,P,16,0,,,,,,,,,,,,,,,,,,1.0,62.0,,,62.0
Dustin Colquitt,KAN,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,77.0,,,77.0
Brandon Fields*,MIA,29,P,16,0,,,,,,,,,,,,,,,,,,1.0,53.0,,,53.0
Shane Lechler,HOU,37,P,16,0,,,,,,,,,,,,,,,,,,1.0,68.0,,,68.0
Andy Lee,SFO,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,53.0,,,53.0
Adam Podlesh,CHI,30,P,16,0,,,,,,,,,,,,,,,,,,1.0,43.0,,,43.0
Saverio Rocca,WAS,40,P,16,0,,,,,,,,,,,,,,,,,,1.0,56.0,,,56.0
Steve Weatherford,NYG,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,49.0,,,49.0
Dave Zastudil,ARI,35,P,16,0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0
