Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Michael Thomas,26.0,NOR,16.0,15.0,185.0,149.0,1725.0,11.6,9.0,91.0,70.8,49.0,9.3,107.8,80.5,9.3,1.0,"PB,AP-1,AP OPoY-1"
Christian McCaffrey,23.0,CAR,16.0,16.0,142.0,116.0,1005.0,8.7,4.0,58.0,59.9,28.0,7.3,62.8,81.7,7.1,1.0,"PB,AP-1,AP OPoY-3"
Keenan Allen,27.0,LAC,16.0,16.0,149.0,104.0,1199.0,11.5,6.0,63.0,59.1,45.0,6.5,74.9,69.8,8.0,0.0,PB
DeAndre Hopkins,27.0,HOU,15.0,15.0,150.0,104.0,1165.0,11.2,7.0,68.0,58.7,43.0,6.9,77.7,69.3,7.8,0.0,"PB,AP-1"
Julian Edelman,33.0,NWE,16.0,13.0,153.0,100.0,1117.0,11.2,6.0,54.0,54.2,44.0,6.3,69.8,65.4,7.3,3.0,
Julio Jones,30.0,ATL,15.0,15.0,157.0,99.0,1394.0,14.1,6.0,77.0,55.4,54.0,6.6,92.9,63.1,8.9,1.0,"PB,AP-2"
Allen Robinson,26.0,CHI,16.0,15.0,154.0,98.0,1147.0,11.7,7.0,63.0,57.1,49.0,6.1,71.7,63.6,7.4,0.0,
Travis Kelce,30.0,KAN,16.0,16.0,136.0,97.0,1229.0,12.7,5.0,65.0,64.0,47.0,6.1,76.8,71.3,9.0,1.0,"PB,AP-2"
Cooper Kupp,26.0,LAR,16.0,14.0,134.0,94.0,1161.0,12.4,10.0,51.0,53.0,66.0,5.9,72.6,70.1,8.7,3.0,AP CPoY-5
Austin Ekeler,24.0,LAC,16.0,8.0,108.0,92.0,993.0,10.8,8.0,42.0,56.5,84.0,5.8,62.1,85.2,9.2,3.0,
Tyler Boyd,25.0,CIN,16.0,15.0,148.0,90.0,1046.0,11.6,5.0,51.0,46.6,47.0,5.6,65.4,60.8,7.1,2.0,
Darren Waller,27.0,OAK,16.0,16.0,117.0,90.0,1145.0,12.7,3.0,53.0,64.1,75.0,5.6,71.6,76.9,9.8,1.0,AP CPoY-3
Robert Woods,27.0,LAR,15.0,15.0,139.0,90.0,1134.0,12.6,2.0,54.0,51.1,48.0,6.0,75.6,64.7,8.2,0.0,
Zach Ertz,29.0,PHI,15.0,15.0,135.0,88.0,916.0,10.4,6.0,50.0,56.3,30.0,5.9,61.1,65.2,6.8,1.0,PB
D.J. Moore,22.0,CAR,15.0,15.0,135.0,87.0,1175.0,13.5,4.0,63.0,58.5,52.0,5.8,78.3,64.4,8.7,2.0,
Chris Godwin,23.0,TAM,14.0,14.0,121.0,86.0,1333.0,15.5,9.0,63.0,60.3,71.0,6.1,95.2,71.1,11.0,0.0,"PB,AP-2"
George Kittle,26.0,SFO,14.0,14.0,107.0,85.0,1053.0,12.4,5.0,53.0,61.7,61.0,6.1,75.2,79.4,9.8,1.0,"PB,AP-1"
