Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Verron Haynes,26,PIT,14,0,74,274,3,17,31.1,20,3.7,19.6,5.3,2,
Maurice Morris,26,SEA,16,2,71,288,1,18,42.3,49,4.1,18.0,4.4,0,
Michael Pittman,30,TAM,16,4,70,436,1,10,37.1,64,6.2,27.3,4.4,1,
Cedric Benson,23,CHI,9,1,67,272,0,12,35.8,36,4.1,30.2,7.4,1,
Marshall Faulk,32,STL,16,1,65,292,0,15,46.2,20,4.5,18.3,4.1,2,
Shawn Bryson,29,DET,16,2,64,306,1,12,35.9,77,4.8,19.1,4.0,1,
Chris Perry,24,CIN,14,2,61,279,0,17,47.5,30,4.6,19.9,4.4,2,
Zack Crockett,33,OAK,16,10,60,208,1,11,40.0,24,3.5,13.0,3.8,1,
Tony Fisher,26,GNB,14,4,60,173,1,9,40.0,17,2.9,12.4,4.3,2,
Maurice Hicks,27,SFO,14,3,59,308,3,13,40.7,73,5.2,22.0,4.2,0,
Michael Turner,23,SDG,16,0,57,335,3,12,47.4,83,5.9,20.9,3.6,0,
David Carr,26,HOU,16,16,56,308,1,20,50.0,20,5.5,19.3,3.5,17,
Ryan Moats,23,PHI,7,1,55,278,3,12,38.2,59,5.1,39.7,7.9,3,
Lamar Gordon,25,PHI,14,4,54,182,1,12,53.7,11,3.4,13.0,3.9,3,
Patrick Pass,28,NWE,12,4,54,245,3,13,40.7,31,4.5,20.4,4.5,2,
Ron Dayne,27,DEN,10,0,53,270,1,14,50.9,55,5.1,27.0,5.3,1,
Heath Evans,27,2TM,12,3,52,192,0,12,38.5,21,3.7,16.0,4.3,0,
Heath Evans,27,MIA,6,2,1,0,0,0,0.0,,0.0,0.0,0.2,0,
Heath Evans,27,NWE,6,1,51,192,0,12,39.2,21,3.8,32.0,8.5,0,
Kevin Faulk,29,NWE,8,2,51,145,0,6,29.4,13,2.8,18.1,6.4,3,
Noah Herron,23,2TM,7,0,48,123,2,9,39.6,17,2.6,17.6,6.9,0,
Noah Herron,23,PIT,2,0,3,2,0,0,0.0,1,0.7,1.0,1.5,0,
Noah Herron,23,GNB,5,0,45,121,2,9,42.2,17,2.7,24.2,9.0,0,
Vernand Morency,25,HOU,12,1,46,184,2,7,34.8,25,4.0,15.3,3.8,1,
Jake Plummer,31,DEN,16,16,46,151,2,14,37.0,22,3.3,9.4,2.9,4,PB
Tyson Thompson,24,DAL,15,0,46,182,0,11,37.0,16,4.0,12.1,3.1,2,
Aaron Brooks,29,NOR,13,13,45,281,2,20,60.0,22,6.2,21.6,3.5,4,
Shaud Williams,25,BUF,16,0,45,161,0,7,31.1,28,3.6,10.1,2.8,0,
Anthony Thomas,28,2TM,9,2,43,92,0,5,23.3,12,2.1,10.2,4.8,0,
Anthony Thomas,28,DAL,5,2,36,80,0,5,27.8,12,2.2,16.0,7.2,0,
Anthony Thomas,28,NOR,4,0,7,12,0,0,0.0,4,1.7,3.0,1.8,0,
Mark Brunell,35,WAS,16,15,42,111,0,12,28.6,25,2.6,6.9,2.6,11,AP CPoY-3
Dominic Rhodes,26,IND,13,1,40,118,4,11,40.0,24,3.0,9.1,3.1,2,
Alvin Pearman,23,JAX,16,0,39,149,1,6,35.9,45,3.8,9.3,2.4,4,
Brandon Jacobs,23,NYG,16,0,38,99,7,19,57.9,21,2.6,6.2,2.4,1,
Duce Staley,30,PIT,5,1,38,148,1,10,47.4,17,3.9,29.6,7.6,1,
Nick Goings,27,CAR,16,1,37,133,0,6,32.4,17,3.6,8.3,2.3,1,
Matt Hasselbeck,30,SEA,16,16,36,124,1,8,38.9,23,3.4,7.8,2.3,4,PB
LaBrandon Toefield,25,JAX,9,2,36,142,4,9,41.7,32,3.9,15.8,4.0,0,
Brooks Bollinger,26,NYJ,11,9,35,135,0,13,45.7,15,3.9,12.3,3.2,3,
Trent Green,35,KAN,16,16,35,82,0,10,31.4,13,2.3,5.1,2.2,8,PB
Derrick Ward,25,NYG,14,0,35,123,0,6,37.1,12,3.5,8.8,2.5,0,
Mike Alstott,32,TAM,16,7,34,80,6,12,55.9,9,2.4,5.0,2.1,0,
Drew Bledsoe,33,DAL,16,16,34,50,2,7,29.4,9,1.5,3.1,2.1,17,
Mike McMahon,26,PHI,9,7,34,118,3,9,47.1,19,3.5,13.1,3.8,8,
Carson Palmer,26,CIN,16,16,34,41,1,6,29.4,14,1.2,2.6,2.1,5,"PB,AP MVP-5,AP OPoY-4"
Peyton Manning,29,IND,16,16,33,45,0,6,21.2,12,1.4,2.8,2.1,5,"PB,AP-1,AP MVP-2,AP OPoY-2"
Jarrett Payton,25,TEN,13,0,33,105,2,6,36.4,15,3.2,8.1,2.5,0,
Ciatrick Fason,23,MIN,13,0,32,62,4,12,40.6,15,1.9,4.8,2.5,1,
Steve McNair,32,TEN,14,14,32,139,1,12,46.9,19,4.3,9.9,2.3,7,PB
David Garrard,27,JAX,7,5,31,172,3,14,51.6,28,5.5,24.6,4.4,4,
Byron Leftwich,25,JAX,11,11,31,67,2,7,38.7,9,2.2,6.1,2.8,8,
J.P. Losman,24,BUF,9,8,31,154,0,11,45.2,30,5.0,17.1,3.4,7,
Ben Roethlisberger,23,PIT,12,12,31,69,3,10,32.3,13,2.2,5.8,2.6,2,
Najeh Davenport,26,GNB,5,1,30,105,2,9,43.3,24,3.5,21.0,6.0,1,
Alex Smith,21,SFO,9,7,30,103,0,3,30.0,19,3.4,11.4,3.3,11,
Eli Manning,24,NYG,16,16,29,80,1,6,34.5,14,2.8,5.0,1.8,9,
Josh McCown,26,ARI,9,6,29,139,0,7,51.7,12,4.8,15.4,3.2,5,
Lorenzo Neal,35,SDG,16,15,29,98,0,18,82.8,9,3.4,6.1,1.8,0,"PB,AP-2"
Earnest Graham,25,TAM,16,0,28,83,0,4,28.6,16,3.0,5.2,1.8,1,
Tom Brady,28,NWE,16,16,27,89,1,15,63.0,15,3.3,5.6,1.7,4,"PB,AP-2,AP MVP-3,AP OPoY-4"
Rock Cartwright,26,WAS,16,0,27,199,2,10,55.6,52,7.4,12.4,1.7,1,
Gus Frerotte,34,MIA,16,15,27,61,0,6,33.3,14,2.3,3.8,1.7,13,
Donovan McNabb,29,PHI,9,9,25,55,1,7,28.0,11,2.2,6.1,2.8,8,
Daunte Culpepper,28,MIN,7,7,24,147,1,11,54.2,18,6.1,21.0,3.4,5,
Jake Delhomme,30,CAR,16,16,24,31,1,3,20.8,12,1.3,1.9,1.5,12,PB
Joey Harrington,27,DET,12,11,24,80,0,3,29.2,15,3.3,6.7,2.0,7,
Kyle Orton,23,CHI,15,15,24,44,0,3,8.3,15,1.8,2.9,1.6,12,
Mike Cloud,30,2TM,7,0,24,59,0,1,25.0,15,2.5,8.4,3.4,0,
Mike Cloud,30,NWE,6,0,23,59,0,1,26.1,15,2.6,9.8,3.8,0,
Mike Cloud,30,NYG,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,
Kyle Boller,24,BAL,9,9,23,66,1,7,43.5,9,2.9,7.3,2.6,8,
Obafemi Ayanbadejo,30,ARI,16,2,22,46,0,5,40.9,11,2.1,2.9,1.4,1,
Drew Brees,26,SDG,16,16,21,49,1,8,47.6,9,2.3,3.1,1.3,8,
Trent Dilfer,33,CLE,11,11,20,46,0,2,15.0,12,2.3,4.2,1.8,9,
William Green,26,CLE,8,0,20,78,0,4,40.0,17,3.9,9.8,2.5,0,
Reno Mahe,25,PHI,15,0,20,87,0,3,45.0,13,4.4,5.8,1.3,2,
Chris Simms,25,TAM,11,10,19,31,0,2,21.1,10,1.6,2.8,1.7,6,
Brett Favre,36,GNB,16,16,18,62,0,4,27.8,20,3.4,3.9,1.1,10,
Charlie Frye,24,CLE,7,5,18,60,1,6,38.9,16,3.3,8.6,2.6,7,
Kelly Holcomb,32,BUF,10,8,18,11,1,5,33.3,8,0.6,1.1,1.8,13,
Brad Johnson,37,MIN,15,9,18,53,0,2,16.7,16,2.9,3.5,1.2,5,
Anthony Wright,29,BAL,9,7,18,68,0,9,50.0,22,3.8,7.6,2.0,5,
Derrick Blaylock,26,NYJ,7,1,17,53,0,3,41.2,11,3.1,7.6,2.4,0,
Kerry Collins,33,OAK,15,15,17,39,1,3,29.4,18,2.3,2.6,1.1,13,
Jeff Garcia,35,DET,6,5,17,51,1,5,35.3,14,3.0,8.5,2.8,1,
Mack Strong,34,SEA,16,6,17,78,0,7,47.1,16,4.6,4.9,1.1,0,"PB,AP-1"
Leonard Weaver,23,SEA,16,0,17,80,0,3,47.1,24,4.7,5.0,1.1,0,
Sammy Morris,28,MIA,16,2,16,58,1,3,50.0,9,3.6,3.6,1.0,0,
Bruce Perry,24,PHI,2,1,16,74,0,3,50.0,11,4.6,37.0,8.0,0,
Justin Griffith,25,ATL,16,15,15,65,0,3,46.7,19,4.3,4.1,0.9,1,
Ryan Fitzpatrick,23,STL,4,3,14,64,2,6,50.0,14,4.6,16.0,3.5,3,
Jamal Robertson,28,CAR,7,0,14,41,1,3,35.7,11,2.9,5.9,2.0,1,
B.J. Askew,25,NYJ,10,1,13,59,0,3,46.2,14,4.5,5.9,1.3,0,
Ran Carthon,24,IND,6,0,13,18,1,3,46.2,7,1.4,3.0,2.2,1,
Brian Griese,30,TAM,6,6,13,12,0,1,7.7,7,0.9,2.0,2.2,2,
Arlen Harris,25,STL,16,0,13,21,1,2,23.1,10,1.6,1.3,0.8,0,
Cody Pickett,25,SFO,5,2,13,42,0,4,30.8,12,3.2,8.4,2.6,3,
Kurt Warner,34,ARI,10,10,13,28,0,3,38.5,13,2.2,2.8,1.3,9,
Moe Williams,31,MIN,6,1,13,20,0,2,30.8,9,1.5,3.3,2.2,1,
Anquan Boldin,25,ARI,14,14,12,45,0,2,50.0,11,3.8,3.2,0.9,2,
Chris Chambers,27,MIA,16,16,12,92,0,4,50.0,61,7.7,5.8,0.8,5,PB
Matt Jones,22,JAX,16,1,12,51,0,2,33.3,25,4.3,3.2,0.8,2,
Antwaan Randle El,26,PIT,16,15,12,73,0,2,41.7,43,6.1,4.6,0.8,4,
Jim Sorgi,25,IND,5,0,12,1,0,1,16.7,6,0.1,0.2,2.4,1,
Charlie Batch,31,PIT,4,2,11,30,1,3,27.3,15,2.7,7.5,2.8,1,
ReShard Lee,25,GNB,7,1,11,16,0,1,18.2,4,1.5,2.3,1.6,2,
Bradlee Van Pelt,25,DEN,3,0,11,48,1,5,54.5,11,4.4,16.0,3.7,0,
Jason Wright,23,CLE,3,0,11,27,1,1,27.3,6,2.5,9.0,3.7,0,
Aveion Cason,26,STL,2,0,10,65,1,3,60.0,14,6.5,32.5,5.0,0,
Brad Hoover,29,CAR,15,15,10,22,0,4,50.0,4,2.2,1.5,0.7,0,
Marc Bulger,28,STL,8,8,9,29,0,2,55.6,9,3.2,3.6,1.1,4,
Jamie Martin,35,STL,8,5,9,6,0,1,11.1,9,0.7,0.8,1.1,2,
Matt Schaub,24,ATL,16,1,9,76,0,5,55.6,23,8.4,4.8,0.6,1,
Arnaz Battle,25,SFO,10,8,8,11,0,2,37.5,9,1.4,1.1,0.8,1,
Todd Bouman,33,NOR,16,3,8,15,0,2,37.5,6,1.9,0.9,0.5,4,
Antonio Chatman,26,GNB,16,3,8,34,0,3,62.5,11,4.3,2.1,0.5,0,
Mark Clayton,23,BAL,14,10,8,33,1,2,62.5,11,4.1,2.4,0.6,0,
Larry Fitzgerald,22,ARI,16,16,8,41,0,3,62.5,15,5.1,2.6,0.5,0,PB
T.J. Houshmandzadeh,28,CIN,14,12,8,62,1,3,87.5,17,7.8,4.4,0.6,1,
Jeremi Johnson,25,CIN,16,11,8,14,0,1,25.0,5,1.8,0.9,0.5,2,
Tommy Maddox,34,PIT,4,2,8,26,0,2,25.0,16,3.3,6.5,2.0,2,
Darren Sproles,22,SDG,15,0,8,50,0,2,50.0,21,6.3,3.3,0.5,3,
Lee Suggs,25,CLE,8,0,8,15,0,1,25.0,7,1.9,1.9,1.0,0,
Chris Weinke,33,CAR,3,0,8,-5,0,0,0.0,1,-0.6,-1.7,2.7,0,
Dee Brown,27,KAN,8,0,7,21,0,0,28.6,7,3.0,2.6,0.9,0,
Dante Hall,27,KAN,16,2,7,11,0,0,42.9,7,1.6,0.7,0.4,5,
Eddie Kennison,32,KAN,16,16,7,43,0,1,28.6,23,6.1,2.7,0.4,1,
Matt Mauck,26,TEN,2,1,7,39,0,2,42.9,12,5.6,19.5,3.5,1,
James Mungro,27,IND,12,0,7,15,0,1,28.6,7,2.1,1.3,0.6,0,
Patrick Ramsey,26,WAS,4,1,7,3,0,0,14.3,5,0.4,0.8,1.8,2,
Tim Rattay,28,SFO,4,4,7,18,0,2,42.9,13,2.6,4.5,1.8,3,
Vinny Testaverde,42,NYJ,6,4,7,4,2,2,28.6,2,0.6,0.7,1.2,8,
Amos Zereoue,29,NWE,3,0,7,14,0,2,28.6,12,2.0,4.7,2.3,0,
Tim Carter,26,NYG,15,1,6,46,0,2,66.7,22,7.7,3.1,0.4,0,
Matt Cassel,23,NWE,2,0,6,12,0,2,50.0,9,2.0,6.0,3.0,2,
Andre Johnson,24,HOU,13,13,6,10,0,2,33.3,5,1.7,0.8,0.5,1,
Mike Karney,24,NOR,16,14,6,12,0,2,50.0,3,2.0,0.8,0.4,0,
Damien Nash,23,TEN,3,0,6,32,0,2,83.3,8,5.3,10.7,2.0,0,
Chad Pennington,29,NYJ,3,3,6,27,0,2,50.0,14,4.5,9.0,2.0,8,
Tony Richardson,34,KAN,16,16,6,20,0,1,50.0,8,3.3,1.3,0.4,0,
Sage Rosenfels,27,MIA,4,1,6,15,0,2,33.3,12,2.5,3.8,1.5,1,
Terrelle Smith,27,CLE,16,15,6,9,0,1,16.7,4,1.5,0.6,0.4,0,
Seneca Wallace,25,SEA,7,0,6,-5,0,0,0.0,,-0.8,-0.7,0.9,2,
Jamel White,28,BAL,5,0,6,17,0,0,0.0,5,2.8,3.4,1.2,0,
Charlie Adams,26,DEN,16,2,5,14,0,1,40.0,13,2.8,0.9,0.3,4,
Justin Fargas,25,OAK,14,0,5,28,0,1,40.0,15,5.6,2.0,0.4,0,
Doug Flutie,43,NWE,5,0,5,-1,0,0,0.0,2,-0.2,-0.2,1.0,2,
Justin Green,23,BAL,12,4,5,4,0,0,20.0,4,0.8,0.3,0.4,0,
Chad Johnson,27,CIN,16,16,5,33,0,2,80.0,11,6.6,2.1,0.3,1,"PB,AP-1"
Ashley Lelie,25,DEN,16,13,5,84,0,5,100.0,39,16.8,5.3,0.3,0,
Travis Minor,26,MIA,16,0,5,17,0,0,0.0,9,3.4,1.1,0.3,0,
Cecil Sapp,27,DEN,16,0,5,21,0,1,20.0,10,4.2,1.3,0.3,0,
Ken Dorsey,24,SFO,3,3,4,11,0,0,25.0,6,2.8,3.7,1.3,2,
Tim Dwight,30,NWE,16,1,4,11,0,2,50.0,12,2.8,0.7,0.3,1,
Lee Evans,24,BUF,16,15,4,38,0,2,50.0,39,9.5,2.4,0.3,0,
Jabar Gaffney,25,HOU,16,13,4,13,0,1,50.0,10,3.3,0.8,0.3,0,
James Jackson,29,ARI,8,0,4,11,0,0,0.0,3,2.8,1.4,0.5,0,
Kyle Johnson,27,DEN,16,14,4,9,1,3,75.0,4,2.3,0.6,0.3,0,
Eric Parker,26,SDG,15,9,4,55,0,3,75.0,30,13.8,3.7,0.3,2,
Koren Robinson,25,MIN,14,5,4,27,1,1,75.0,13,6.8,1.9,0.3,2,"PB,AP CPoY-5"
Paul Smith,27,DET,12,5,4,16,0,1,50.0,6,4.0,1.3,0.3,1,
Steve Smith Sr.,26,CAR,16,16,4,25,1,2,75.0,20,6.3,1.6,0.3,2,"PB,AP-1,AP CPoY-1"
Kordell Stewart,33,BAL,1,0,4,24,0,2,75.0,13,6.0,24.0,4.0,0,
Roddy White,24,ATL,16,8,4,12,0,1,25.0,16,3.0,0.8,0.3,1,
Quinn Gray,26,JAX,1,0,3,1,0,1,33.3,3,0.3,1.0,3.0,1,
Dan Kreider,28,PIT,16,8,3,21,0,1,66.7,12,7.0,1.3,0.2,0,
Jason McKie,25,CHI,8,2,3,22,0,1,66.7,13,7.3,2.8,0.4,0,
Santana Moss,26,WAS,16,16,3,-3,0,0,0.0,3,-1.0,-0.2,0.2,3,"PB,AP-2"
Tab Perry,23,CIN,16,0,3,9,1,1,66.7,7,3.0,0.6,0.2,1,
Rod Smart,28,CAR,12,0,3,6,0,1,33.3,6,2.0,0.5,0.3,1,
Hines Ward,29,PIT,15,15,3,10,0,1,66.7,7,3.3,0.7,0.2,1,
Troy Williamson,22,MIN,14,3,3,28,0,2,100.0,11,9.3,2.0,0.2,0,
Derrick Wimbush,25,JAX,14,1,3,12,1,1,66.7,7,4.0,0.9,0.2,1,
Damien Anderson,26,ARI,5,0,2,7,0,0,0.0,6,3.5,1.4,0.4,0,
Tony Banks,32,HOU,2,0,2,-2,0,0,0.0,-1,-1.0,-1.0,1.0,0,
Bernard Berrian,25,CHI,11,2,2,31,0,1,50.0,37,15.5,2.8,0.2,1,
Antonio Brown,27,WAS,7,0,2,7,0,0,0.0,4,3.5,1.0,0.3,2,
Nate Burleson,24,MIN,12,9,2,-6,0,0,0.0,-2,-3.0,-0.5,0.2,0,
Reche Caldwell,26,SDG,16,2,2,10,0,1,50.0,7,5.0,0.6,0.1,2,
Todd Collins,34,KAN,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,
Donald Driver,30,GNB,16,16,2,13,0,0,100.0,9,6.5,0.8,0.1,0,
Joey Galloway,34,TAM,16,16,2,4,0,0,50.0,4,2.0,0.3,0.1,0,AP CPoY-5
David Givens,25,NWE,13,10,2,13,0,0,50.0,9,6.5,1.0,0.2,0,
Terry Glenn,31,DAL,16,16,2,-4,1,1,50.0,6,-2.0,-0.3,0.1,0,
Tim Hasselbeck,27,NYG,2,0,2,-3,0,0,0.0,-1,-1.5,-1.5,1.0,0,
Shaun Hill,25,MIN,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,
Terry Jackson,29,SFO,16,0,2,11,0,0,0.0,11,5.5,0.7,0.1,0,
Jon Kitna,33,CIN,3,0,2,14,0,2,100.0,11,7.0,4.7,0.7,0,
Greg Lewis,25,PHI,16,16,2,13,0,0,0.0,8,6.5,0.8,0.1,0,
Keenan McCardell,35,SDG,16,16,2,6,0,0,0.0,3,3.0,0.4,0.1,0,
Dennis Northcutt,28,CLE,16,7,2,33,0,1,50.0,31,16.5,2.1,0.1,0,
Roscoe Parrish,23,BUF,10,1,2,-2,0,0,0.0,4,-1.0,-0.2,0.2,2,
Lousaka Polite,24,DAL,14,3,2,8,0,1,100.0,6,4.0,0.6,0.1,0,
Courtney Roby,22,TEN,13,6,2,16,0,1,100.0,11,8.0,1.2,0.2,1,
Aaron Rodgers,22,GNB,3,0,2,7,0,1,50.0,8,3.5,2.3,0.7,2,
Tony Romo,25,DAL,16,0,2,-2,0,0,0.0,-1,-1.0,-0.1,0.1,0,
Donte' Stallworth,25,NOR,16,13,2,2,0,0,0.0,3,1.0,0.1,0.1,1,
Travis Taylor,27,MIN,16,13,2,3,0,0,50.0,5,1.5,0.2,0.1,1,
Marques Tuiasosopo,26,OAK,1,1,2,19,0,1,100.0,10,9.5,19.0,2.0,2,
Alvis Whitted,31,OAK,16,0,2,51,0,2,100.0,27,25.5,3.2,0.1,0,
Reggie Williams,22,JAX,16,7,2,3,0,1,50.0,10,1.5,0.2,0.1,2,
Drew Bennett,27,TEN,13,10,1,3,0,0,0.0,3,3.0,0.2,0.1,0,
Jeff Blake,35,CHI,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,
Corey Bradford,30,HOU,16,6,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,0,
Nehemiah Broughton,23,WAS,4,0,1,3,0,0,0.0,3,3.0,0.8,0.3,0,
Kris Brown,29,HOU,16,0,1,4,0,1,100.0,4,4.0,0.3,0.1,0,
Reggie Brown,24,PHI,16,11,1,5,0,0,100.0,5,5.0,0.3,0.1,1,AP ORoY-2
Antonio Bryant,24,CLE,16,15,1,3,0,0,0.0,3,3.0,0.2,0.1,1,
Michael Clayton,23,TAM,14,10,1,2,0,0,0.0,2,2.0,0.1,0.1,1,
Keary Colbert,23,CAR,16,16,1,6,0,0,0.0,6,6.0,0.4,0.1,1,
Jerricho Cotchery,23,NYJ,16,1,1,4,0,0,0.0,4,4.0,0.3,0.1,2,
Patrick Crayton,26,DAL,11,0,1,0,0,0,0.0,,0.0,0.0,0.1,3,
Kevin Curtis,27,STL,16,9,1,5,1,1,100.0,5,5.0,0.3,0.1,2,
Koy Detmer,32,PHI,16,0,1,1,0,1,200.0,1,1.0,0.1,0.1,2,
Eddie Drummond,25,DET,12,0,1,-3,0,0,0.0,-3,-3.0,-0.3,0.1,1,
Jay Fiedler,34,NYJ,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,1,
Doug Gabriel,25,OAK,14,2,1,5,0,0,100.0,5,5.0,0.4,0.1,0,
Ben Graham,32,NYJ,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,
Madison Hedgecock,24,STL,16,7,1,0,0,0,0.0,,0.0,0.0,0.1,0,
Devery Henderson,23,NOR,15,3,1,9,0,0,100.0,9,9.0,0.6,0.1,0,
William Henderson,34,GNB,16,8,1,-5,0,0,0.0,-5,-5.0,-0.3,0.1,1,
Craig Hentrich,34,TEN,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,
Chris Hetherington,33,SFO,16,6,1,3,0,0,0.0,3,3.0,0.2,0.1,0,
Torry Holt,29,STL,14,14,1,2,0,0,0.0,2,2.0,0.1,0.1,2,PB
Darrell Jackson,27,SEA,6,6,1,7,0,0,100.0,7,7.0,1.2,0.2,0,
Bryan Johnson,27,CHI,7,6,1,5,0,0,100.0,5,5.0,0.7,0.1,0,
Bryant Johnson,24,ARI,14,4,1,0,0,0,0.0,,0.0,0.0,0.1,0,
Keyshawn Johnson,33,DAL,16,14,1,3,0,0,0.0,3,3.0,0.2,0.1,3,
Brandon Jones,23,TEN,10,8,1,1,0,0,0.0,1,1.0,0.1,0.1,0,
Donnie Jones,25,MIA,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,
Shane Lechler,29,OAK,16,0,1,2,0,0,0.0,2,2.0,0.1,0.1,0,
