Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Shaun Alexander,28,SEA,16,16,370,1880,27,109,52.7,88,5.1,117.5,23.1,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
Edgerrin James,27,IND,15,15,360,1506,13,97,58.9,33,4.2,100.4,24.0,2,PB
Tiki Barber,30,NYG,16,16,357,1860,9,74,47.9,95,5.2,116.3,22.3,1,"PB,AP-1,AP MVP-4,AP OPoY-3"
Clinton Portis,24,WAS,16,16,352,1516,11,76,48.3,47,4.3,94.8,22.0,3,
LaDainian Tomlinson,26,SDG,16,16,339,1462,18,72,46.9,62,4.3,91.4,21.2,3,"PB,AP-2"
Rudi Johnson,26,CIN,16,14,337,1458,12,80,50.1,33,4.3,91.1,21.1,1,
Larry Johnson,26,KAN,16,9,336,1750,20,99,53.0,49,5.2,109.4,21.0,5,"PB,AP-2"
Willis McGahee,24,BUF,16,15,325,1247,5,71,44.3,27,3.8,77.9,20.3,1,
Thomas Jones,27,CHI,15,15,314,1335,9,63,38.9,42,4.3,89.0,20.9,2,
Reuben Droughns,27,CLE,16,16,309,1232,2,61,44.0,75,4.0,77.0,19.3,6,
Cadillac Williams,23,TAM,14,14,290,1178,6,59,42.4,71,4.1,84.1,20.7,3,AP ORoY-1
Warrick Dunn,30,ATL,16,16,280,1416,3,67,45.4,65,5.1,88.5,17.5,3,PB
LaMont Jordan,27,OAK,14,14,272,1025,9,62,45.6,26,3.8,73.2,19.4,2,
Jamal Lewis,26,BAL,15,15,269,906,3,49,41.3,25,3.4,60.4,17.9,5,
Julius Jones,24,DAL,13,12,257,993,5,48,38.1,51,3.9,76.4,19.8,4,
Willie Parker,25,PIT,15,15,255,1202,4,48,47.1,80,4.7,80.1,17.0,4,
Steven Jackson,22,STL,15,15,254,1046,8,50,41.7,51,4.1,69.7,16.9,3,
Mike Anderson,32,DEN,15,15,239,1014,12,61,48.1,44,4.2,67.6,15.9,2,
Domanick Williams,25,HOU,11,11,230,976,2,39,43.5,44,4.2,88.7,20.9,2,
Chris Brown,24,TEN,15,14,224,851,5,37,40.6,38,3.8,56.7,14.9,4,
Curtis Martin,32,NYJ,12,12,220,735,5,37,40.0,49,3.3,61.3,18.3,2,
Corey Dillon,31,NWE,12,10,209,733,12,51,47.4,29,3.5,61.1,17.4,1,
Ronnie Brown,24,MIA,15,14,207,907,4,42,44.9,65,4.4,60.5,13.8,4,
DeShaun Foster,25,CAR,15,5,205,879,2,38,41.0,70,4.3,58.6,13.7,2,
Fred Taylor,29,JAX,11,11,194,787,3,29,37.6,71,4.1,71.5,17.6,0,
Kevin Jones,23,DET,13,13,186,664,5,29,41.4,40,3.6,51.1,14.3,2,
Stephen Davis,31,CAR,13,11,180,549,12,32,37.2,39,3.1,42.2,13.8,2,
Kevan Barlow,26,SFO,12,12,176,581,3,20,27.8,29,3.3,48.4,14.7,2,
Tatum Bell,24,DEN,15,1,173,921,8,42,39.9,68,5.3,61.4,11.5,3,
Ricky Williams,28,MIA,12,3,168,743,6,39,45.8,35,4.4,61.9,14.0,1,AP CPoY-5
Antowain Smith,33,NOR,16,7,166,659,3,23,36.1,42,4.0,41.2,10.4,2,
Marcel Shipp,27,ARI,15,11,157,451,0,23,40.8,19,2.9,30.1,10.5,4,
Brian Westbrook,26,PHI,12,12,156,617,3,29,37.8,31,4.0,51.4,13.0,0,
Mewelde Moore,23,MIN,16,8,155,662,1,33,40.0,33,4.3,41.4,9.7,2,
Greg Jones,24,JAX,14,13,151,575,4,32,42.4,27,3.8,41.1,10.8,0,
Samkon Gado,23,GNB,8,5,143,582,6,32,42.0,64,4.1,72.8,17.9,4,
Marion Barber III,22,DAL,13,2,138,538,5,31,37.7,28,3.9,41.4,10.6,3,
Frank Gore,22,SFO,14,1,127,608,3,27,45.7,72,4.8,43.4,9.1,2,
Michael Bennett,27,MIN,16,6,126,473,3,21,38.9,61,3.8,29.6,7.9,5,
T.J. Duckett,24,ATL,14,0,121,380,8,24,37.2,25,3.1,27.1,8.6,2,
Priest Holmes,32,KAN,7,7,119,451,6,30,43.7,35,3.8,64.4,17.0,1,
Chester Taylor,26,BAL,15,1,117,487,0,30,41.9,52,4.2,32.5,7.8,3,
J.J. Arrington,22,ARI,15,5,112,370,2,16,38.4,32,3.3,24.7,7.5,1,
Jerome Bettis,33,PIT,12,0,110,368,9,30,50.0,39,3.3,30.7,9.2,0,
Artose Pinner,27,DET,16,2,106,349,3,22,45.3,19,3.3,21.8,6.6,0,
Michael Vick,25,ATL,15,15,102,597,6,43,56.9,32,5.9,39.8,6.8,11,PB
Aaron Stecker,30,NOR,15,4,95,363,0,24,42.1,32,3.8,24.2,6.3,3,
Deuce McAllister,27,NOR,5,5,93,335,3,21,41.9,26,3.6,67.0,18.6,0,
Jonathan Wells,26,HOU,15,6,90,325,4,20,51.1,14,3.6,21.7,6.0,1,
Ladell Betts,26,WAS,12,0,89,338,1,17,38.2,22,3.8,28.2,7.4,3,
Travis Henry,27,TEN,10,1,88,335,0,13,31.8,29,3.8,33.5,8.8,2,
Cedric Houston,23,NYJ,12,4,81,302,2,15,42.0,17,3.7,25.2,6.8,1,
Ahman Green,28,GNB,5,5,77,255,0,12,39.0,13,3.3,51.0,15.4,1,
Adrian Peterson,26,CHI,16,0,76,391,2,21,46.1,36,5.1,24.4,4.8,1,
