Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Pierre Garcon,27,WAS,16,16,181,113,1346,11.9,5,61,50.8,53,7.1,84.1,62.4,7.4,1,AP CPoY-6
Antonio Brown,25,PIT,16,14,167,110,1499,13.6,8,70,53.3,56,6.9,93.7,65.9,9.0,1,"PB,AP-2"
Andre Johnson,32,HOU,16,16,181,109,1407,12.9,5,69,50.3,62,6.8,87.9,60.2,7.8,0,PB
Julian Edelman,27,NWE,16,11,151,105,1056,10.1,6,54,52.3,44,6.6,66.0,69.5,7.0,6,
Brandon Marshall,29,CHI,16,16,164,100,1295,13.0,12,70,53.0,44,6.3,80.9,61.0,7.9,0,PB
A.J. Green,25,CIN,16,16,178,98,1426,14.6,11,65,47.2,82,6.1,89.1,55.1,8.0,1,"PB,AP-2"
Kendall Wright,24,TEN,16,12,139,94,1079,11.5,2,55,52.5,45,5.9,67.4,67.6,7.8,2,
Dez Bryant,25,DAL,16,16,159,93,1233,13.3,13,68,52.2,79,5.8,77.1,58.5,7.8,3,PB
Demaryius Thomas,26,DEN,16,16,142,92,1430,15.5,14,66,58.5,78,5.8,89.4,64.8,10.1,1,"PB,AP-2"
Alshon Jeffery,23,CHI,16,14,148,89,1421,16.0,7,62,52.0,80,5.6,88.8,60.1,9.6,3,PB
Eric Decker,26,DEN,16,16,136,87,1288,14.8,11,63,58.1,61,5.4,80.5,64.0,9.5,2,
Josh Gordon,22,CLE,14,14,159,87,1646,18.9,9,64,49.1,95,6.2,117.6,54.7,10.4,0,"PB,AP-1,AP CPoY-6"
Jimmy Graham,27,NOR,16,12,142,86,1215,14.1,16,61,52.1,56,5.4,75.9,60.6,8.6,0,"PB,AP-1"
Anquan Boldin,33,SFO,16,16,129,85,1179,13.9,7,63,58.9,63,5.3,73.7,65.9,9.1,0,
Harry Douglas,29,ATL,16,11,132,85,1067,12.6,2,47,53.8,80,5.3,66.7,64.4,8.1,3,
Jordy Nelson,28,GNB,16,16,127,85,1314,15.5,8,60,56.7,76,5.3,82.1,66.9,10.3,0,
Calvin Johnson,28,DET,14,14,156,84,1492,17.8,12,69,51.9,87,6.0,106.6,53.8,9.6,1,"PB,AP-1"
Tony Gonzalez,37,ATL,16,16,121,83,859,10.3,8,57,60.3,25,5.2,53.7,68.6,7.1,0,PB
Larry Fitzgerald,30,ARI,16,16,135,82,954,11.6,10,49,48.9,75,5.1,59.6,60.7,7.1,1,PB
T.Y. Hilton,24,IND,16,10,139,82,1083,13.2,5,46,48.2,73,5.1,67.7,59.0,7.8,1,
DeSean Jackson,27,PHI,16,16,126,82,1332,16.2,9,60,55.6,61,5.1,83.3,65.1,10.6,1,PB
