Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Will Allen,31,2TM,DB,17,2,2,40,0,27,4,1,0,1,49,0,0.0,43,30,13,2.0,0.0,0,
Jared Allen,31,MIN,RDE,16,16,0,0,0,0,6,2,0,0,0,0,11.5,52,33,19,13.0,26.0,0,
Nate Allen,26,PHI,SS,16,16,1,43,0,43,5,1,0,0,0,0,1.0,82,59,23,2.0,1.0,0,
Kiko Alonso,23,BUF,MLB,16,16,4,38,0,32,4,1,0,2,13,0,2.0,159,87,72,11.0,1.0,0,AP DRoY-2
Tyson Alualu,26,JAX,LDE,16,16,0,0,0,0,1,0,0,0,0,0,1.5,42,33,9,3.0,9.0,0,
Prince Amukamara,24,NYG,RCB,16,16,1,-4,0,-4,13,2,0,0,0,0,0.0,85,76,9,4.0,0.0,0,
James Anderson,30,CHI,RLB,16,16,0,0,0,0,3,0,0,1,0,0,4.0,102,84,18,10.0,5.0,0,
Jason Babin,33,JAX,LOLB,16,16,0,0,0,0,0,3,0,0,0,0,7.5,40,31,9,10.0,23.0,0,
Jonathan Babineaux,32,ATL,RDT,16,16,0,0,0,0,0,1,0,2,8,0,1.0,42,28,14,7.0,4.0,0,
Johnthan Banks,24,TAM,RCB,16,16,3,33,0,18,5,0,0,0,0,0,0.0,55,49,6,1.0,0.0,0,
Connor Barwin,27,PHI,LOLB,16,16,1,-2,0,-2,10,2,0,1,0,0,5.0,58,44,14,10.0,9.0,0,
Yeremiah Bell,35,ARI,SS,16,16,2,6,0,6,9,0,0,0,0,0,1.0,77,61,16,5.0,2.0,0,
Antoine Bethea,29,IND,SS,16,16,2,48,0,46,6,0,0,1,0,0,1.0,110,80,30,3.0,4.0,0,
NaVorro Bowman,25,SFO,LILB,16,16,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9.0,5.0,0,"PB,AP-1"
Tom Brady,36,NWE,QB,16,16,0,0,0,0,0,0,9,5,-10,0,0.0,0,0,0,0.0,0.0,0,"PB,AP MVP-2,AP OPoY-4"
Drew Brees,34,NOR,QB,16,16,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,,,0,"PB,AP OPoY-4"
Michael Brockers,23,STL,RDT,16,16,0,0,0,0,0,1,0,0,0,0,5.5,46,38,8,7.0,10.0,0,
Ahmad Brooks,29,SFO,LOLB,16,16,1,22,0,22,7,2,1,1,0,0,8.5,60,52,8,12.0,15.0,0,"PB,AP-2"
Dez Bryant,25,DAL,WR,16,16,0,0,0,0,1,0,3,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
Vontaze Burfict,23,CIN,RLB,16,16,1,12,0,12,6,1,0,2,13,1,3.0,171,114,57,9.0,5.0,0,"PB,AP-2"
Kevin Burnett,31,OAK,LLB,16,16,1,0,0,0,4,3,0,1,3,0,2.5,105,83,22,12.0,5.0,0,
Jermon Bushrod,29,CHI,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0.0,0.0,0,
Calais Campbell,27,ARI,LDE,16,16,0,0,0,0,6,1,0,2,2,0,9.0,58,45,13,14.0,21.0,1,
Brandon Carr,27,DAL,LCB,16,16,3,49,1,49,12,0,0,1,21,0,0.0,71,60,11,2.0,0.0,0,
Kam Chancellor,25,SEA,SS,16,16,3,78,0,32,6,1,0,0,0,0,0.0,99,65,34,3.0,1.0,0,"PB,AP-2"
Chris Chester,30,WAS,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Barry Church,25,DAL,FS,16,16,1,0,0,0,6,3,0,1,27,1,0.0,135,107,28,3.0,1.0,0,
Ryan Clark,34,PIT,FS,16,16,2,50,0,37,4,0,0,1,0,0,0.0,104,61,43,1.0,0.0,0,
Adrian Clayborn,25,TAM,RDE,16,16,0,0,0,0,1,2,0,0,0,0,5.5,64,43,21,18.0,14.0,0,
Chris Clemons,28,MIA,SS,16,16,1,0,0,0,8,0,0,0,0,0,0.0,93,63,30,1.0,0.0,0,
Barry Cofield,29,WAS,NT,16,16,0,0,0,0,1,0,0,1,0,0,2.5,32,17,15,5.0,11.0,0,
Trent Cole,31,PHI,ROLB,16,16,0,0,0,0,3,3,0,0,0,0,8.0,56,44,12,12.0,13.0,1,
Daryn Colledge,31,ARI,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Chris Conte,24,CHI,FS,16,16,3,48,0,35,7,2,0,0,0,0,0.0,89,72,17,1.0,0.0,0,
Fletcher Cox,23,PHI,RDE,16,16,0,0,0,0,1,0,0,1,3,0,3.0,41,29,12,4.0,9.0,0,
Antonio Cromartie,29,NYJ,LCB,16,16,3,20,0,20,9,1,0,0,0,0,0.0,38,35,3,0.0,0.0,0,PB
Andy Dalton,26,CIN,QB,16,16,0,0,0,0,0,0,4,0,-14,0,0.0,0,0,0,0.0,0.0,0,
Karlos Dansby,32,ARI,RILB,16,16,4,48,2,23,19,1,0,1,0,0,6.5,122,114,8,12.0,12.0,0,AP-2
Lavonte David,23,TAM,RLB,16,16,5,87,0,32,10,2,0,1,0,0,7.0,145,107,38,21.0,13.0,1,AP-1
Demario Davis,24,NYJ,LILB,16,16,1,0,0,0,1,0,0,0,0,0,1.0,106,63,43,5.0,5.0,0,
Thomas Davis,30,CAR,LLB,16,16,2,-2,0,0,7,1,0,0,0,0,4.0,123,85,38,13.0,5.0,0,AP CPoY-6
Vontae Davis,25,IND,RCB,16,16,1,0,0,0,12,0,0,0,0,0,0.0,46,41,5,0.0,0.0,0,
Eric Decker,26,DEN,WR,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,
Darnell Dockett,32,ARI,RDE,16,16,0,0,0,0,0,0,0,0,0,0,4.5,46,36,10,12.0,13.0,0,
D'Brickashaw Ferguson,30,NYJ,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Larry Fitzgerald,30,ARI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
Joe Flacco,28,BAL,QB,16,16,0,0,0,0,0,0,8,2,0,0,0.0,0,0,0,0.0,0.0,0,
London Fletcher,38,WAS,LILB,16,16,0,0,0,0,2,1,0,0,0,0,2.0,111,63,48,4.0,3.0,0,
Matt Forte,28,CHI,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
Jerrell Freeman,27,IND,RILB,16,16,2,13,0,13,6,6,0,2,24,0,5.5,126,83,43,6.0,7.0,0,
Pierre Garcon,27,WAS,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,AP CPoY-6
Roberto Garza,34,CHI,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
Marcus Gilchrist,25,SDG,SS,16,16,2,43,0,26,5,1,0,1,0,0,1.0,77,59,18,3.0,1.0,0,
Frank Gore,30,SFO,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,PB
Gino Gradkowski,25,BAL,C,16,16,0,0,0,0,0,0,2,1,-20,0,0.0,0,0,0,0.0,0.0,0,
A.J. Green,25,CIN,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
BenJarvus Green-Ellis,28,CIN,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0.0,0.0,0,
Chad Greenway,30,MIN,LLB,16,16,3,23,0,23,4,0,0,0,0,0,3.0,134,83,51,6.0,5.0,0,
