Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Ryan Succop,TEN,31,K,16,0,,,10,10,7,7,20,16,5,2,42,35,52,83.3%,33,31,93.9%,80,5120,47,58.8%,64.0
Harrison Butker,KAN,22,K,13,0,,,8,8,17,16,12,10,5,4,42,38,53,90.5%,28,28,100.0%,78,5006,61,78.2%,64.2
Robbie Gould,SFO,35,K,16,0,,,8,7,11,11,18,17,4,4,41,39,52,95.1%,30,28,93.3%,4,101,,,25.3
Stephen Gostkowski,NWE,33,K,16,0,,,16,16,9,9,11,8,4,4,40,37,62,92.5%,47,45,95.7%,99,6228,40,40.4%,62.9
Greg Zuerlein*+,LAR,30,K,14,0,1,1,8,8,12,11,12,12,7,6,40,38,56,95.0%,46,44,95.7%,95,6075,73,76.8%,63.9
Phil Dawson,ARI,42,K,16,0,1,1,7,7,14,10,13,10,5,4,40,32,57,80.0%,26,23,88.5%,76,4647,34,44.7%,61.1
Matt Bryant,ATL,42,K,16,0,1,1,6,6,13,10,10,9,9,8,39,34,57,87.2%,35,35,100.0%,,,,,
Chris Boswell*,PIT,26,K,16,0,,,10,10,14,12,10,9,4,4,38,35,53,92.1%,39,37,94.9%,90,5681,46,51.1%,63.1
Kai Forbath,MIN,30,K,16,0,,,8,8,14,12,7,6,9,6,38,32,53,84.2%,39,34,87.2%,88,5587,44,50.0%,63.5
Justin Tucker,BAL,28,K,16,0,,,7,7,11,11,12,11,7,5,37,34,57,91.9%,39,39,100.0%,90,5601,55,61.1%,62.2
Wil Lutz,NOR,23,K,16,0,,,10,10,5,4,16,13,5,4,36,31,53,86.1%,50,47,94.0%,94,5972,58,61.7%,63.5
Matt Prater,DET,33,K,16,0,2,2,4,4,10,10,8,7,11,7,35,30,58,85.7%,41,40,97.6%,17,977,6,35.3%,57.5
Adam Vinatieri,IND,45,K,15,0,,,11,11,10,7,7,6,6,5,34,29,54,85.3%,24,22,91.7%,,,,,
Stephen Hauschka,BUF,32,K,16,0,,,6,6,9,9,9,7,9,7,33,29,56,87.9%,29,29,100.0%,74,4361,37,50.0%,58.9
Brandon McManus,DEN,26,K,16,0,,,8,6,12,11,6,4,6,3,32,24,53,75.0%,27,27,100.0%,71,4191,45,63.4%,59.0
Jake Elliott,PHI,22,K,15,0,,,5,5,7,4,13,12,6,5,31,26,61,83.9%,42,39,92.9%,84,5212,42,50.0%,62.0
Graham Gano*,CAR,30,K,16,0,,,8,8,11,11,10,10,1,,30,29,48,96.7%,37,34,91.9%,83,5313,70,84.3%,64.0
Chandler Catanzaro,NYJ,26,K,16,0,1,1,6,6,4,4,17,12,2,2,30,25,57,83.3%,29,29,100.0%,71,4349,45,63.4%,61.3
Blair Walsh,SEA,27,K,16,0,,,6,6,10,7,12,8,1,,29,21,49,72.4%,38,37,97.4%,78,4837,39,50.0%,62.0
Ka'imi Fairbairn,HOU,23,K,16,0,,,4,3,10,8,7,6,4,3,25,20,55,80.0%,35,32,91.4%,75,4718,49,65.3%,62.9
Aldrick Rosas,NYG,23,K,16,0,,,8,8,5,3,9,4,3,3,25,18,52,72.0%,23,20,87.0%,62,3759,26,41.9%,60.6
Cody Parkey,MIA,25,K,16,0,,,6,6,8,8,7,6,2,1,23,21,54,91.3%,29,26,89.7%,67,4013,28,41.8%,59.9
Patrick Murray,TAM,26,K,12,0,,,5,5,8,8,5,4,5,2,23,19,50,82.6%,22,21,95.5%,59,3590,14,23.7%,60.8
Giorgio Tavecchio,OAK,27,K,16,0,,,5,5,7,5,5,3,4,3,21,16,53,76.2%,34,33,97.1%,64,4058,48,75.0%,63.4
Randy Bullock,CIN,28,K,15,0,,,6,6,8,7,5,4,1,1,20,18,51,90.0%,33,31,93.9%,65,4071,30,46.2%,62.6
Dan Bailey,DAL,29,K,12,0,1,1,4,3,5,4,5,4,5,3,20,15,56,75.0%,28,26,92.9%,56,3605,32,57.1%,64.4
Zane Gonzalez,CLE,22,K,16,0,,,5,5,6,4,6,4,3,2,20,15,54,75.0%,26,25,96.2%,56,3286,33,58.9%,58.7
Josh Lambo,JAX,27,K,10,0,,,2,2,11,11,5,4,2,2,20,19,56,95.0%,24,22,91.7%,57,3322,22,38.6%,58.3
Mason Crosby,GNB,33,K,16,0,,,8,8,4,2,4,4,3,1,19,15,50,78.9%,35,33,94.3%,68,4248,36,52.9%,62.5
Dustin Hopkins,WAS,27,K,8,0,1,1,7,7,2,2,5,4,2,,17,14,49,82.4%,19,18,94.7%,40,2574,29,72.5%,64.4
Connor Barth,CHI,31,K,10,0,1,1,4,4,,,9,5,2,1,16,11,54,68.8%,17,17,100.0%,37,2374,17,45.9%,64.2
Jason Myers,JAX,26,K,6,0,,,4,4,3,2,5,5,3,,15,11,47,73.3%,17,15,88.2%,35,2117,26,74.3%,60.5
Nick Rose,2TM,23,K,10,0,,,6,6,4,3,2,1,2,1,14,11,55,78.6%,26,23,88.5%,38,2352,24,63.2%,61.9
Nick Novak,LAC,36,K,7,0,,,4,4,5,4,2,,2,1,13,9,50,69.2%,18,17,94.4%,,,,,
Mike Nugent,2TM,35,K,8,0,,,3,3,4,3,5,4,1,1,13,11,55,84.6%,17,15,88.2%,36,2262,18,50.0%,62.8
Nick Folk,TAM,33,K,4,0,,,2,2,2,1,5,2,2,1,11,6,50,54.5%,9,7,77.8%,18,1114,13,72.2%,61.9
Travis Coons,LAC,25,K,3,0,,,4,4,3,2,1,1,,,8,7,40,87.5%,6,5,83.3%,,,,,
Younghoe Koo,LAC,23,K,4,0,,,2,2,,,4,1,,,6,3,41,50.0%,9,9,100.0%,,,,,
Cairo Santos,2TM,26,K,5,0,,,,,4,4,,,1,,5,4,39,80.0%,14,14,100.0%,20,1308,12,60.0%,65.4
Sam Ficken,LAR,25,K,2,0,,,2,2,1,,,,,,3,2,23,66.7%,5,4,80.0%,8,511,5,62.5%,63.9
Caleb Sturgis,PHI,28,K,1,0,,,,,1,1,1,1,1,1,3,3,50,100.0%,2,1,50.0%,6,374,2,33.3%,62.3
Jeff Heath,DAL,26,SS,15,15,,,,,,,,,,,,,,,3,2,66.7%,5,308,2,40.0%,61.6
Drew Kaser,LAC,24,P,16,0,,,,,,,,,,,,,,,3,1,33.3%,,,,,
Marshall Koehn,CIN,25,K,1,0,,,,,,,,,,,,,,,1,1,100.0%,2,139,1,50.0%,69.5
Matthew Bosher,ATL,30,P,16,0,,,,,,,,,,,,,,,,,,84,5332,49,58.3%,63.5
Bradley Pinion,SFO,23,P,16,0,,,,,,,,,,,,,,,,,,79,5065,64,81.0%,64.1
Rigoberto Sanchez,IND,23,P,16,0,,,,,,,,,,,,,,,,,,70,4385,46,65.7%,62.6
Sam Martin,DET,27,P,10,0,,,,,,,,,,,,,,,,,,50,3242,25,50.0%,64.8
Jeff Locke,DET,28,P,5,0,,,,,,,,,,,,,,,,,,23,1485,16,69.6%,64.6
Kamu Grugier-Hill,PHI,23,LB,16,0,,,,,,,,,,,,,,,,,,4,248,1,25.0%,62.0
Pat O'Donnell,CHI,26,P,16,0,,,,,,,,,,,,,,,,,,4,260,2,50.0%,65.0
Riley Dixon,DEN,24,P,16,0,,,,,,,,,,,,,,,,,,2,118,,,59.0
Jon Ryan,SEA,36,P,16,0,,,,,,,,,,,,,,,,,,2,125,,,62.5
Britton Colquitt,CLE,32,P,16,0,,,,,,,,,,,,,,,,,,1,64,,,64.0
Dustin Colquitt,KAN,35,P,16,0,,,,,,,,,,,,,,,,,,1,48,,,48.0
Lac Edwards,NYJ,25,P,16,0,,,,,,,,,,,,,,,,,,1,55,,,55.0
Shane Lechler,HOU,41,P,16,0,,,,,,,,,,,,,,,,,,1,46,,,46.0
Andy Lee,ARI,35,P,16,0,,,,,,,,,,,,,,,,,,1,68,,,68.0
Thomas Morstead,NOR,31,P,16,0,,,,,,,,,,,,,,,,,,1,65,1,100.0%,65.0
Ryan Quigley,MIN,27,P,16,0,,,,,,,,,,,,,,,,,,1,51,,,51.0
