Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Nate Kaeding*+,SDG,27,K,16,0,,,,,,,,,,,,50,51,32,35,,146,9.1
David Akers*,PHI,35,K,16,0,,,,,,,,,,,,43,45,32,37,,139,8.7
Ryan Longwell,MIN,35,K,16,0,,,,,,,,,,,,54,55,26,28,,132,8.3
Mason Crosby,GNB,25,K,16,0,,,,,,,,,,,,48,49,27,36,,129,8.1
Lawrence Tynes,NYG,31,K,16,0,,,,,,,,,,,,45,45,27,32,,126,7.9
Stephen Gostkowski,NWE,25,K,16,0,,,,,,,,,,,,47,47,26,31,,125,7.8
Jay Feely,NYJ,33,K,16,0,,,,,,,,,,,,32,32,30,36,,122,7.6
Matt Prater,DEN,25,K,16,0,,,,,,,,,,,,32,32,30,35,,122,7.6
Jeff Reed,PIT,30,K,16,0,,,,,,,,,,,,41,41,27,31,,122,7.6
Rob Bironas,TEN,31,K,16,0,,,,,,,,,,,,37,37,27,32,,118,7.4
Dan Carpenter*,MIA,24,K,16,0,,,,,,,,,,,,37,38,25,28,,112,7.0
Rian Lindell,BUF,32,K,16,0,,,,,,,,,,,,24,24,28,33,,108,6.8
Adrian Peterson*+,MIN,24,RB,16,15,18,,,,,,,18,,,,,,,,,108,6.8
Kris Brown,HOU,33,K,16,0,,,,,,,,,,,,43,44,21,32,,106,6.6
Robbie Gould,CHI,27,K,16,0,,,,,,,,,,,,33,33,24,28,,105,6.6
Ryan Succop,KAN,23,K,16,0,,,,,,,,,,,,29,29,25,29,,104,6.5
Olindo Mare,SEA,36,K,16,0,,,,,,,,,,,,28,28,24,26,,100,6.3
Chris Johnson*+,TEN,24,RB,16,16,14,2,,,,,,16,1,,,,,,,,98,6.1
Shayne Graham,CIN,32,K,16,0,,,,,,,,,,,,28,29,23,28,,97,6.1
John Kasay,CAR,40,K,16,0,,,,,,,,,,,,31,32,22,27,,97,6.1
Maurice Jones-Drew*,JAX,24,RB,16,16,15,1,,,,,,16,,,,,,,,,96,6.0
Sebastian Janikowski,OAK,31,K,16,0,,,,,,,,,,,,17,17,26,29,,95,5.9
Nick Folk,DAL,25,K,14,0,,,,,,,,,,,,36,36,18,28,,90,6.4
John Carney,NOR,45,K,11,0,,,,,,,,,,,,50,52,13,17,,89,8.1
Jason Hanson,DET,39,K,16,0,,,,,,,,,,,,25,25,21,28,,88,5.5
Neil Rackers,ARI,33,K,14,0,,,,,,,,,,,,37,38,16,17,,85,6.1
Shaun Suisham,2TM,28,K,14,0,,,,,,,,,,,0,25,26,20,24,,85,6.1
Thomas Jones,NYJ,31,RB,16,16,14,,,,,,,14,,,,,,,,,84,5.3
Willis McGahee,BAL,28,RB,16,1,12,2,,,,,,14,,,,,,,,,84,5.3
