Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Sam Acho,24,ARI,LOLB/ROLB,16,16,2.0,2.0,0.0,2.0,3,2,0,0,0,0,4.0,48,35,13,6.0,12.0,0.0,
Mike Adams,31,DEN,SS,16,16,0.0,0.0,0.0,0.0,11,2,0,2,0,0,1.0,80,60,20,1.0,8.0,1.0,
Dwayne Allen,22,IND,TE,16,16,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0.0,1,1,0,0.0,0.0,0.0,
Jared Allen,30,MIN,RDE,16,16,0.0,0.0,0.0,0.0,3,1,0,1,0,0,12.0,46,36,10,17.0,21.0,0.0,PB
Russell Allen,26,JAX,RLB,16,16,0.0,0.0,0.0,0.0,6,0,0,1,0,0,0.5,131,107,24,9.0,4.0,0.0,
Tyson Alualu,25,JAX,LDT,16,16,0.0,0.0,0.0,0.0,1,0,0,1,0,0,3.5,45,34,11,3.0,4.0,0.0,
Nnamdi Asomugha,31,PHI,RCB,16,16,1.0,0.0,0.0,0.0,12,0,0,0,0,0,0.0,55,47,8,2.0,0.0,0.0,
Geno Atkins,24,CIN,RDT,16,16,0.0,0.0,0.0,0.0,2,4,0,0,0,0,12.5,54,39,15,17.0,21.0,0.0,"PB,AP-1"
Cliff Avril,26,DET,LDE,16,16,0.0,0.0,0.0,0.0,1,2,0,0,0,0,9.5,35,28,7,10.0,14.0,0.0,
Jonathan Babineaux,31,ATL,RDT,16,16,1.0,-2.0,0.0,-2.0,4,1,0,1,15,1,3.5,31,25,6,11.0,6.0,0.0,
Ronde Barber,37,TAM,FS,16,16,4.0,160.0,1.0,78.0,13,1,0,0,0,0,1.0,92,71,21,8.0,0.0,0.0,
Nick Barnett,31,BUF,RLB,16,16,0.0,0.0,0.0,0.0,1,3,0,0,0,0,2.0,112,72,40,6.0,1.0,0.0,
Mark Barron,23,TAM,SS,16,16,1.0,12.0,0.0,12.0,10,1,0,0,0,0,0.0,88,71,17,4.0,0.0,0.0,
Connor Barwin,26,HOU,ROLB,16,16,0.0,0.0,0.0,0.0,6,0,0,1,0,0,3.0,44,35,9,12.0,16.0,1.0,
Yeremiah Bell,34,NYJ,FS,16,16,0.0,0.0,0.0,0.0,2,0,0,3,18,0,1.0,90,73,17,3.0,1.0,0.0,
Michael Bennett,27,TAM,LDE,16,16,0.0,0.0,0.0,0.0,3,3,0,0,0,0,9.0,41,34,7,18.0,18.0,0.0,
Eric Berry,24,KAN,SS,16,16,1.0,0.0,0.0,0.0,10,0,0,0,0,0,0.0,86,73,13,10.0,0.0,0.0,PB
Antoine Bethea,28,IND,FS,16,16,0.0,0.0,0.0,0.0,7,0,0,0,0,0,2.0,100,75,25,3.0,3.0,0.0,
Matt Birk,36,BAL,C,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
Justin Blalock,29,ATL,LG,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
Kevin Boothe,29,NYG,LG,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
Stephen Bowen,28,WAS,RDE,16,16,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,25,13,12,3.0,7.0,0.0,
