Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Tarik Cohen*+,CHI,23,RB,16,7,33,411,0,44,12.5,2,22,0,22,11.0,1599
Ryan Switzer,PIT,24,WR,16,1,30,252,0,23,8.4,30,607,0,35,20.2,1133
DeAndre Carter,2TM,25,WR,14,4,26,249,0,42,9.6,19,425,0,30,22.4,897
Jojo Natson,LAR,24,WR,13,0,26,280,0,60,10.8,6,108,0,24,18.0,388
Tyler Lockett,SEA,26,WR,16,14,25,143,0,19,5.7,19,493,0,84,25.9,1670
Jabrill Peppers,CLE,23,FS,16,16,25,219,0,33,8.8,19,408,0,29,21.5,643
Andre Roberts*+,NYJ,30,WR,16,1,23,324,1,78,14.1,40,1174,1,99,29.4,1597
Desmond King+,LAC,24,DB,16,8,23,318,1,73,13.8,22,522,0,40,23.7,915
Marcus Sherels,MIN,31,DB,12,0,23,276,0,70,12.0,2,34,0,17,17.0,310
Cyrus Jones,2TM,25,DB,13,0,23,304,1,70,13.2,1,12,0,12,12.0,316
Chester Rogers,IND,24,WR,16,10,23,215,0,51,9.3,1,10,0,10,10.0,706
Tyler Ervin,HOU,25,RB,9,0,21,175,0,27,8.3,10,253,0,36,25.3,463
Adam Humphries,TAM,25,WR,16,10,21,139,0,16,6.6,2,17,0,13,8.5,983
Christian Kirk,ARI,22,WR,12,7,21,164,0,44,7.8,,,0,,,789
Alex Erickson,CIN,26,WR,16,6,20,212,0,38,10.6,40,1049,0,77,26.2,1450
Dwayne Harris,OAK,31,WR,15,1,20,281,1,99,14.1,29,663,0,34,22.9,996
Justin Hardy,ATL,27,WR,16,0,20,147,0,18,7.4,2,7,0,7,3.5,287
Julian Edelman,NWE,32,WR,12,12,20,154,0,25,7.7,,,0,,,1111
Tyreek Hill*+,KAN,24,WR,16,16,20,213,1,91,10.7,,,0,,,1843
Dede Westbrook,JAX,25,WR,16,9,19,266,1,74,14.0,3,37,0,16,12.3,1118
Isaiah McKenzie,2TM,23,WR,8,1,16,100,0,21,6.3,12,237,0,33,19.8,582
Adoree' Jackson,TEN,23,RCB,16,13,16,148,0,26,9.3,,,0,,,155
Jakeem Grant,MIA,26,WR,10,2,14,228,1,71,16.3,18,535,1,102,29.7,1036
Richie James,SFO,23,WR,13,2,12,75,0,23,6.3,23,580,1,97,25.2,785
Jamal Agnew,DET,23,DB,6,0,12,57,0,16,4.8,8,216,0,45,27.0,290
Jawill Davis,NYG,23,WR,7,0,12,89,0,23,7.4,7,171,0,32,24.4,300
Jaydon Mickens,JAX,24,WR,6,0,12,59,0,16,4.9,6,149,0,31,24.8,208
Alvin Kamara*,NOR,23,RB,15,13,12,82,0,16,6.8,4,126,0,50,31.5,1800
River Cracraft,DEN,24,WR,8,0,12,40,0,20,3.3,3,43,0,23,14.3,127
Tramon Williams,GNB,35,SS/LCB,16,16,12,83,0,23,6.9,,,0,,,83
Damiere Byrd,CAR,25,WR,8,0,11,104,0,30,9.5,2,34,0,22,17.0,146
Cole Beasley,DAL,29,WR,16,4,11,61,0,14,5.5,1,8,0,8,8.0,741
Danny Amendola,MIA,33,WR,15,15,11,59,0,12,5.4,,,0,,,632
Adam Jones,DEN,35,DB,7,2,10,25,0,10,2.5,4,85,0,25,21.3,110
Darren Sproles,PHI,35,RB,6,2,10,83,0,14,8.3,1,2,0,2,2.0,365
Trent Taylor,SFO,24,WR,14,0,10,78,0,18,7.8,1,15,0,15,15.0,308
Tavon Austin,DAL,28,WR,7,0,10,58,0,22,5.8,,,0,,,253
Tim White,BAL,24,WR,3,0,9,75,0,14,8.3,6,135,0,37,22.5,224
Quadree Henderson,NYG,22,WR,5,0,9,68,0,21,7.6,5,112,0,30,22.4,180
Micah Hyde,BUF,28,SS,15,15,9,75,0,31,8.3,,,0,,,100
Patrick Peterson*,ARI,28,LCB,16,16,9,64,0,16,7.1,,,0,,,113
Dante Pettis,SFO,23,WR,12,7,9,27,0,14,3.0,,,0,,,492
Pharoh Cooper,2TM,23,WR,7,0,8,79,0,45,9.9,13,277,0,28,21.3,356
Greg Stroman,WAS,22,DB,15,3,8,27,0,10,3.4,6,110,0,23,18.3,160
T.J. Jones,DET,26,WR,15,3,8,87,0,25,10.9,4,81,0,22,20.3,358
Tommylee Lewis,NOR,26,WR,7,3,8,60,0,17,7.5,3,69,0,26,23.0,199
Odell Beckham Jr.,NYG,26,WR,12,12,8,34,0,16,4.3,1,26,0,26,26.0,1131
Kenjon Barner,2TM,29,RB,9,0,7,29,0,13,4.1,9,220,0,37,24.4,323
Janarion Grant,BAL,25,WR,2,0,7,52,0,51,7.4,2,56,0,32,28.0,108
Randall Cobb,GNB,28,WR,9,6,7,46,0,17,6.6,,,0,,,429
Golden Tate,2TM,30,WR,15,7,7,28,0,12,4.0,,,0,,,857
Corey Clement,PHI,24,RB,11,0,6,17,0,10,2.8,13,333,0,48,25.6,801
D.J. Moore,CAR,21,WR,16,10,6,32,0,15,5.3,5,119,0,32,23.8,1111
Antonio Callaway,CLE,21,WR,16,11,5,61,0,37,12.2,8,143,0,35,17.9,797
JJ Jones,2TM,26,WR,4,0,5,24,0,11,4.8,3,69,0,33,23.0,96
Travis Benjamin,LAC,29,WR,12,3,5,16,0,8,3.2,1,17,0,17,17.0,260
Kaelin Clay,NYG,26,WR,2,0,5,15,0,6,3.0,,,0,,,15
DeSean Jackson,TAM,32,WR,12,10,5,24,0,11,4.8,,,0,,,827
Trevor Davis,GNB,25,WR,2,0,4,44,0,15,11.0,1,20,0,20,20.0,64
Ray-Ray McCloud,BUF,22,WR,10,1,4,20,0,13,5.0,1,18,0,18,18.0,78
Brandon Zylstra,MIN,25,WR,16,0,4,26,0,9,6.5,1,15,0,15,15.0,64
Jaire Alexander,GNB,21,LCB,13,11,4,25,0,24,6.3,,,0,,,52
Rishard Matthews,2TM,29,WR,8,0,4,38,0,18,9.5,,,0,,,62
Trey Quinn,WAS,23,WR,3,2,4,52,0,30,13.0,,,0,,,127
Nick Williams,2TM,28,WR,4,0,4,47,0,38,11.8,,,0,,,52
Phillip Lindsay*,DEN,24,RB,15,8,3,23,0,15,7.7,7,163,0,32,23.3,1471
Cameron Batson,TEN,23,WR,11,2,3,4,0,5,1.3,,,0,,,87
DaeSean Hamilton,DEN,23,WR,14,5,3,31,0,13,10.3,,,0,,,274
Maurice Harris,WAS,26,WR,12,7,3,11,0,6,3.7,,,0,,,325
Brandon Tate,NOR,31,WR,1,0,3,15,0,8,5.0,,,0,,,15
Marcus Murphy,BUF,27,RB,11,1,2,15,0,9,7.5,13,324,0,49,24.9,615
Rashad Greene,JAX,26,WR,8,1,2,16,0,8,8.0,5,105,0,31,21.0,181
Mike Hughes,MIN,21,DB,6,2,2,13,0,13,6.5,4,107,0,46,26.8,148
Stacy Coley,2TM,24,WR,3,0,2,6,0,6,3.0,2,27,0,21,13.5,33
Jarvis Landry*,CLE,26,WR,16,14,2,10,0,8,5.0,2,22,0,14,11.0,1068
