Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Brandon Powell,DET,23,WR,6,1,2,8,0,5,4.0,2,43,0,27,21.5,184
Jamison Crowder,WAS,25,WR,9,7,2,20,0,11,10.0,,,0,,,438
Quandre Diggs,DET,25,SS,16,16,2,4,0,4,2.0,,,0,,,45
Josh Jackson,GNB,22,RCB/DB,16,10,2,0,0,0,0.0,,,0,,,0
Jeremy Kerley,BUF,30,WR,1,1,2,10,0,6,5.0,,,0,,,17
Jordy Nelson,OAK,33,WR,15,14,2,7,0,7,3.5,,,0,,,744
Darius Phillips,CIN,23,DB,15,1,2,24,0,16,12.0,,,0,,,24
Jalen Richard,OAK,25,RB,16,1,2,3,0,3,1.5,,,0,,,869
Kenny Stills,MIA,26,WR,15,15,2,6,0,6,3.0,,,0,,,559
Marvin Hall,ATL,25,WR,16,0,1,0,0,0,0.0,26,616,0,53,23.7,765
Corey Coleman,NYG,24,WR,8,1,1,19,0,19,19.0,23,598,0,51,26.0,693
Taysom Hill,NOR,28,QB,16,4,1,0,0,0,0.0,14,348,0,47,24.9,546
De'Anthony Thomas,KAN,25,RB,5,0,1,48,0,48,48.0,3,58,0,26,19.3,141
Chris Herndon,NYJ,22,TE,16,12,1,0,0,0,0.0,2,21,0,11,10.5,523
Keenan Allen*,LAC,26,WR,16,14,1,0,0,0,0.0,1,25,0,25,25.0,1277
Jaylen Samuels,PIT,22,RB,14,3,1,0,0,0,0.0,1,0,0,0,0.0,455
Nelson Agholor,PHI,25,WR,16,16,1,0,0,0,0.0,,,0,,,768
Jerome Baker,MIA,22,RLB,16,11,1,0,0,0,0.0,,,0,,,25
Terrence Brooks,NYJ,26,DB,16,0,1,0,0,0,0.0,,,0,,,0
Marqui Christian,LAR,24,DB,16,0,1,11,0,11,11.0,,,0,,,11
Bruce Ellington,2TM,27,WR,7,3,1,0,0,0,0.0,,,0,,,226
T.Y. Hilton,IND,29,WR,14,14,1,2,0,2,2.0,,,0,,,1272
Kevin King,GNB,23,RCB,6,6,1,0,0,0,0.0,,,0,,,0
Cooper Kupp,LAR,25,WR,8,8,1,4,0,4,4.0,,,0,,,595
Tyrann Mathieu,HOU,26,SS,16,16,1,6,0,6,6.0,,,0,,,22
Riley McCarron,NWE,25,WR,1,0,1,0,0,0,0.0,,,0,,,0
Quenton Meeks,JAX,21,DB,8,1,1,1,0,1,1.0,,,0,,,1
Demarcus Robinson,KAN,24,WR,16,5,1,0,0,0,0.0,,,0,,,288
Dominique Rodgers-Cromartie,OAK,32,DB,7,1,1,0,0,0,0.0,,,0,,,0
Tre Sullivan,PHI,24,DB,12,1,1,0,0,0,0.0,,,0,,,0
Eric Weddle*,BAL,33,FS,16,16,1,18,0,18,18.0,,,0,,,18
Tremon Smith,KAN,22,DB,14,1,,,0,,,33,886,0,97,26.8,886
Cordarrelle Patterson,NWE,27,WR,15,5,,,0,,,23,663,1,95,28.8,1138
Darius Jennings,TEN,26,WR,16,0,,,0,,,22,698,1,94,31.7,801
Chris Moore,BAL,25,WR,16,0,,,0,,,22,491,0,39,22.3,704
Blake Countess,LAR,25,DB,16,1,,,0,,,17,419,0,40,24.6,419
Ameer Abdullah,2TM,25,RB,10,0,,,0,,,14,365,0,33,26.1,394
Zach Pascal,IND,24,WR,16,4,,,0,,,14,297,0,29,21.2,575
Danny Johnson,WAS,23,DB,14,1,,,0,,,12,283,0,44,23.6,283
T.J. Logan,ARI,24,FB,10,0,,,0,,,12,296,0,36,24.7,335
Dontrell Hilliard,CLE,23,RB,11,0,,,0,,,11,264,0,31,24.0,369
D.J. Reed,SFO,22,DB,15,2,,,0,,,11,332,0,90,30.2,332
Devontae Booker,DEN,26,RB,16,0,,,0,,,10,234,0,35,23.4,692
Kenyan Drake,MIA,24,RB,16,7,,,0,,,10,213,0,26,21.3,1225
Ty Montgomery,2TM,25,WR,13,0,,,0,,,10,210,0,27,21.0,633
Curtis Samuel,CAR,22,WR,13,8,,,0,,,10,209,0,32,20.9,787
Brandon Williams,ARI,26,DB,16,0,,,0,,,10,192,0,29,19.2,192
Bobo Wilson,TAM,23,WR,5,0,,,0,,,10,284,0,38,28.4,336
Bashaud Breeland,GNB,26,RCB,7,5,,,0,,,8,173,0,38,21.6,221
Benny Cunningham,CHI,28,RB,15,0,,,0,,,8,173,0,31,21.6,202
Rashaad Penny,SEA,22,RB,14,0,,,0,,,8,140,0,23,17.5,634
Senorise Perry,MIA,27,RB,16,0,,,0,,,8,164,0,32,20.5,164
DJ Chark,JAX,22,WR,11,0,0,-8,0,-8,,7,186,0,47,26.6,358
Taquan Mizzell,CHI,25,RB,9,1,,,0,,,7,106,0,22,15.1,200
Dare Ogunbowale,TAM,24,RB,2,0,,,0,,,7,137,0,25,19.6,137
Shaun Wilson,TAM,23,RB,5,0,,,0,,,7,122,0,29,17.4,156
Byron Marshall,WAS,24,RB,6,0,,,0,,,6,114,0,28,19.0,153
Anthony Miller,CHI,24,WR,15,4,,,0,,,6,139,0,31,23.2,588
Deonte Thompson,2TM,29,WR,13,6,,,0,,,6,147,0,35,24.5,308
Victor Bolden,2TM,23,WR,6,0,,,0,,,5,116,0,28,23.2,126
Taiwan Jones,BUF,30,RB,6,0,,,0,,,5,89,0,27,17.8,89
Cody Latimer,NYG,26,WR,6,2,,,0,,,5,123,0,34,24.6,313
Darius Jackson,2TM,25,RB,4,0,,,0,,,4,90,0,27,22.5,106
Brendan Langley,DEN,24,DB,5,0,,,0,,,4,61,0,18,15.3,61
Sony Michel,NWE,23,RB,13,8,,,0,,,4,77,0,26,19.3,1058
J'Mon Moore,GNB,23,WR,12,0,,,0,,,4,102,0,37,25.5,117
Boston Scott,PHI,23,RB,2,0,,,0,,,4,96,0,35,24.0,96
Jamaal Williams,GNB,23,RB,16,8,,,0,,,4,95,0,30,23.8,769
Kapri Bibbs,2TM,25,RB,12,0,,,0,,,3,57,0,20,19.0,275
Chase Edmonds,ARI,22,RB,16,0,,,0,,,3,48,0,18,16.0,359
Shelton Gibson,PHI,24,WR,15,0,,,0,,,3,57,0,30,19.0,105
Holton Hill,MIN,21,DB,16,3,,,0,,,3,85,0,30,28.3,87
Jacquizz Rodgers,TAM,28,RB,16,0,,,0,,,3,52,0,21,17.3,464
Antony Auclair,TAM,25,TE,16,10,,,0,,,2,19,0,10,9.5,67
Kalen Ballage,MIA,23,RB,12,0,,,0,,,2,26,0,16,13.0,267
Giovani Bernard,CIN,27,RB,12,4,,,0,,,2,25,0,14,12.5,454
T.J. Carrie,CLE,28,RCB,16,8,,,0,,,2,33,0,19,16.5,33
Jourdan Lewis,DAL,23,DB,15,1,,,0,,,2,38,0,19,19.0,71
Matt Longacre,LAR,27,ROLB,13,7,,,0,,,2,30,0,16,15.0,30
Lucas Patrick,GNB,25,G,14,4,,,0,,,2,23,0,15,11.5,23
Calvin Ridley,ATL,24,WR,16,5,,,0,,,2,50,0,32,25.0,898
Wendell Smallwood,PHI,24,RB,16,6,,,0,,,2,33,0,17,16.5,627
Luke Willson,DET,28,TE,14,8,,,0,,,2,35,0,20,17.5,122
Blake Bell,JAX,27,TE,10,4,,,0,,,1,9,0,9,9.0,76
Alfred Blue,HOU,27,RB,16,2,,,0,,,1,13,0,13,13.0,666
Tommy Bohanon,JAX,28,FB,16,6,,,0,,,1,25,0,25,25.0,66
Trenton Cannon,NYJ,24,RB,16,0,,,0,,,1,20,0,20,20.0,277
Orson Charles,CLE,27,TE,13,2,,,0,,,1,12,0,12,12.0,35
Robbie Chosen,NYJ,25,WR,14,9,,,0,,,1,13,0,13,13.0,757
Chris Conley,KAN,26,WR,16,13,,,0,,,1,5,0,5,5.0,340
Dane Cruikshank,TEN,23,DB,12,0,,,0,,,1,39,0,39,39.0,105
Matthew Dayes,SFO,24,RB,7,0,,,0,,,1,17,0,17,17.0,17
James Develin,NWE,30,FB,16,8,,,0,,,1,15,0,15,15.0,84
Ted Ginn Jr.,NOR,33,WR,5,3,,,0,,,1,1,0,1,1.0,236
Corey Grant,JAX,27,RB,5,1,,,0,,,1,6,0,6,6.0,113
Demetrius Harris,KAN,27,TE,15,3,,,0,,,1,11,0,11,11.0,175
Brian Hill,ATL,23,RB,10,0,,,0,,,1,16,0,16,16.0,182
Derwin James*+,LAC,22,FS,16,16,,,0,,,1,20,0,20,20.0,50
Andy Janovich,DEN,25,FB,16,7,,,0,,,1,8,0,8,8.0,125
Marcus Johnson,IND,24,WR,5,0,,,0,,,1,23,0,23,23.0,123
Bronson Kaufusi,NYJ,27,LB,3,0,,,0,,,1,0,0,0,0.0,0
Matt LaCosse,DEN,26,TE,15,5,,,0,,,1,10,0,10,10.0,260
Zach Line,NOR,28,RB,16,6,,,0,,,1,16,0,16,16.0,71
J.D. McKissic,SEA,25,RB,5,0,,,0,,,1,18,0,18,18.0,26
Donte Moncrief,JAX,25,WR,16,14,,,0,,,1,7,0,7,7.0,675
David Moore,SEA,23,WR,16,7,,,0,,,1,18,0,18,18.0,468
Roosevelt Nix,PIT,26,RB,16,0,,,0,,,1,12,0,12,12.0,54
Niles Paul,JAX,29,WR,6,1,,,0,,,1,8,0,8,8.0,103
Aldrick Robinson,MIN,30,WR,14,0,,,0,,,1,21,0,21,21.0,252
Anthony Sherman*,KAN,30,RB,16,1,,,0,,,1,5,0,5,5.0,103
Scott Simonson,NYG,26,TE,16,4,,,0,,,1,12,0,12,12.0,98
Durham Smythe,MIA,23,TE,15,2,,,0,,,1,0,0,0,0.0,50
Willie Snead,BAL,26,WR,16,10,,,0,,,1,13,0,13,13.0,677
Jeremy Sprinkle,WAS,24,TE,16,9,,,0,,,1,6,0,6,6.0,47
Logan Thomas,BUF,27,TE,12,3,,,0,,,1,23,0,23,23.0,100
Michael Thomas*,NYG,28,SS,16,6,,,0,,,1,4,0,4,4.0,30
Roc Thomas,MIN,23,RB,5,0,,,0,,,1,20,0,20,20.0,71
Chris Thompson,WAS,28,RB,10,0,,,0,,,1,0,0,0,0.0,451
Corey Thompson,BUF,25,LB,6,1,,,0,,,1,0,0,0,0.0,0
Eric Tomlinson,NYJ,26,TE,15,12,,,0,,,1,10,0,10,10.0,82
Marquez Valdes-Scantling,GNB,24,WR,16,10,,,0,,,1,21,0,21,21.0,631
Tanner Vallejo,CLE,24,LB,13,1,,,0,,,1,2,0,2,2.0,2
Spencer Ware,KAN,27,RB,13,2,,,0,,,1,10,0,10,10.0,480
Jordan Wilkins,IND,24,RB,16,3,,,0,,,1,7,0,7,7.0,428
Brandon Wilson,CIN,24,RB,16,0,,,0,,,1,-3,0,-3,-3.0,-3
Robert Woods,LAR,26,WR,16,16,,,0,,,1,0,0,0,0.0,1376
