Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
David Akers*+,SFO,37,K,16,0,,,,,,,,,,,,34,34,44,52,,166,10.4
John Kasay,NOR,42,K,16,0,,,,,,,,,,,,63,63,28,34,,147,9.2
Stephen Gostkowski,NWE,27,K,16,0,,,,,,,,,,,,59,59,28,33,,143,8.9
Mason Crosby,GNB,27,K,16,0,,,,,,,,,,,,68,69,24,28,,140,8.8
Dan Bailey,DAL,23,K,16,0,,,,,,,,,,,,39,39,32,37,,135,8.4
Neil Rackers,HOU,35,K,16,0,,,,,,,,,,,,39,40,32,38,,135,8.4
Mike Nugent,CIN,29,K,16,0,,,,,,,,,,,,33,34,33,38,,132,8.3
Sebastian Janikowski*,OAK,33,K,15,0,,,,,,,,,,,,36,36,31,35,,129,8.6
Matt Bryant,ATL,36,K,16,0,,,,,,,,,,,,45,45,27,29,,126,7.9
Jason Hanson,DET,41,K,16,0,,,,,,,,,,,,54,54,24,29,,126,7.9
Billy Cundiff,BAL,31,K,15,0,,,,,,,,,,,,38,38,28,37,,122,8.1
Nick Novak,SDG,30,K,15,0,,,,,,,,,,,,41,42,27,34,,122,8.1
Rob Bironas,TEN,33,K,16,0,,,,,,,,,,,,34,34,29,32,,121,7.6
Robbie Gould,CHI,29,K,16,0,,,,,,,,,,,,37,37,28,32,,121,7.6
LeSean McCoy*+,PHI,23,RB,15,15,17,3,,,,,,20,,,,,,,,,120,8.0
Graham Gano,WAS,24,K,16,0,,,,,,,,,,,,25,26,31,41,,118,7.4
Alex Henery,PHI,24,K,16,0,,,,,,,,,,,,46,46,24,27,,118,7.4
Dan Carpenter,MIA,26,K,14,0,,,,,,,,,,,,26,26,29,34,,113,8.1
Olindo Mare,CAR,38,K,16,0,,,,,,,,,,,,44,45,22,28,,110,6.9
Stephen Hauschka,SEA,26,K,16,0,,,,,,,,,,,,34,34,25,30,,109,6.8
Rob Gronkowski*+,NWE,22,TE,16,16,1,17,,,,,,18,,,,,,,,,108,6.8
Shaun Suisham,PIT,30,K,16,0,,,,,,,,,,,,36,36,23,31,,105,6.6
Ryan Longwell,MIN,37,K,16,0,,,,,,,,,,,,38,39,22,28,,104,6.5
Connor Barth,TAM,25,K,16,0,,,,,,,,,,,,23,23,26,28,,101,6.3
Nick Folk,NYJ,27,K,16,0,,,,,,,,,,,,44,44,19,25,,101,6.3
Lawrence Tynes,NYG,33,K,16,0,,,,,,,,,,,,43,43,19,24,,100,6.3
Calvin Johnson*+,DET,26,WR,16,16,,16,,,,,,16,,,,,,,,,96,6.0
Josh Scobee,JAX,29,K,16,0,,,,,,,,,,,,24,24,23,25,,93,5.8
Adam Vinatieri,IND,39,K,16,0,,,,,,,,,,,,24,24,23,27,,93,5.8
