Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Jeff Rutledge,24,RAM,4,0,5,-3,0,4,-0.6,-0.8,1.3,0,
Rick Upchurch,29,DEN,13,10,5,56,0,37,11.2,4.3,0.4,0,
Dave Wilson,22,NOR,11,4,5,1,0,9,0.2,0.1,0.5,4,
Doug Cosbie,25,DAL,16,0,4,33,0,15,8.3,2.1,0.3,1,
Steve Dils,26,MIN,2,2,4,14,0,7,3.5,7.0,2.0,3,
Calvin Hill,34,CLE,14,0,4,23,0,9,5.8,1.6,0.3,1,
Bo Matthews,30,NYG,5,1,4,14,0,6,3.5,2.8,0.8,0,
Sam Adkins,26,SEA,3,0,3,28,0,13,9.3,9.3,1.0,0,
Rickey Claitt,24,WAS,13,0,3,19,0,11,6.3,1.5,0.2,0,
Dwight Clark,24,SFO,16,16,3,32,0,18,10.7,2.0,0.2,0,PB
Chuck Fusina,24,TAM,4,0,3,3,0,7,1.0,0.8,0.8,0,
Roy Green,24,STL,16,2,3,60,1,44,20.0,3.8,0.2,2,
Jim Hart,37,STL,10,9,3,2,0,4,0.7,0.2,0.3,4,
Terry LeCount,25,MIN,16,2,3,51,0,38,17.0,3.2,0.2,0,
Randy Love,25,STL,16,0,3,11,0,4,3.7,0.7,0.2,0,
Ed Luther,24,SDG,16,0,3,-8,0,-1,-2.7,-0.5,0.2,0,
Henry Marshall,27,KAN,12,12,3,69,0,34,23.0,5.8,0.3,2,
Mike Moroski,24,ATL,3,0,3,17,0,14,5.7,5.7,1.0,0,
Mark Nichols,22,DET,12,0,3,50,0,30,16.7,4.2,0.3,1,
Drew Pearson,30,DAL,16,15,3,31,0,25,10.3,1.9,0.2,4,
Chuck Ramsey,29,NYJ,16,0,3,0,0,,0.0,0.0,0.2,2,
Robb Riddick,24,BUF,10,0,3,29,0,12,9.7,2.9,0.3,1,
Pat Ryan,26,NYJ,15,0,3,-5,0,-1,-1.7,-0.3,0.2,0,
Bobby Scott,32,NOR,4,1,3,-4,0,-1,-1.3,-1.0,0.8,1,
Cliff Stoudt,26,PIT,2,0,3,11,0,10,3.7,5.5,1.5,0,
Ray Strong,25,ATL,16,0,3,6,0,3,2.0,0.4,0.2,1,
Jeff West,28,SEA,15,0,3,25,0,27,8.3,1.7,0.2,1,
Otis Wonsley,24,WAS,15,0,3,11,0,7,3.7,0.7,0.2,1,
Hank Bauer,27,SDG,16,0,2,7,0,4,3.5,0.4,0.1,0,
Mark Brammer,23,BUF,16,16,2,17,0,11,8.5,1.1,0.1,3,
Tony Davis,28,TAM,16,0,2,5,0,3,2.5,0.3,0.1,0,
Russell Erxleben,24,NOR,16,0,2,10,0,26,5.0,0.6,0.1,1,
