Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Matt Schaub,28,HOU,QB,16,16,9-7-0,396,583,67.9,4770,29,5.0,15,2.6,231,53.3,72,8.2,8.02,12.0,298.1,98.6,72.9,25,149,4.11,7.60,7.44,2,4,PB
Peyton Manning,33,IND,QB,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,241,54.6,80,7.9,7.78,11.5,281.3,99.9,80.7,10,74,1.72,7.62,7.51,7,7,"PB,AP-1,AP MVP-1,AP OPoY-3"
Tony Romo,29,DAL,QB,16,16,11-5-0,347,550,63.1,4483,26,4.7,9,1.6,203,48.3,80,8.2,8.36,12.9,280.2,97.6,65.5,34,196,5.82,7.34,7.54,3,3,PB
Aaron Rodgers,26,GNB,QB,16,16,11-5-0,350,541,64.7,4434,30,5.5,7,1.3,198,47.4,83,8.2,8.72,12.7,277.1,103.2,69.1,50,306,8.46,6.98,7.47,2,2,PB
Tom Brady,32,NWE,QB,16,16,10-6-0,371,565,65.7,4398,28,5.0,13,2.3,215,54.6,81,7.8,7.74,11.9,274.9,96.2,74.1,16,86,2.75,7.42,7.38,1,1,"PB,AP CPoY-1"
Drew Brees,30,NOR,QB,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,210,53.9,75,8.5,8.90,12.1,292.5,109.6,82.0,20,135,3.75,7.96,8.31,2,4,"PB,AP-2,AP MVP-2,AP OPoY-2"
Ben Roethlisberger,27,PIT,QB,15,15,9-6-0,337,506,66.6,4328,26,5.1,12,2.4,201,50.7,60,8.6,8.51,12.8,288.5,100.5,69.0,50,348,8.99,7.16,7.12,2,3,
Philip Rivers,28,SDG,QB,16,16,13-3-0,317,486,65.2,4254,28,5.8,9,1.9,208,50.7,81,8.8,9.07,13.4,265.9,104.4,77.2,25,167,4.89,8.00,8.30,2,4,"PB,AP MVP-3,AP OPoY-4"
Brett Favre,40,MIN,QB,16,16,12-4-0,363,531,68.4,4202,33,6.2,7,1.3,214,49.9,63,7.9,8.56,11.6,262.6,107.2,74.4,34,247,6.02,7.00,7.61,2,2,"PB,AP MVP-4,AP CPoY-4"
Eli Manning,28,NYG,QB,16,16,8-8-0,317,509,62.3,4021,27,5.3,14,2.8,183,46.4,74,7.9,7.72,12.7,251.3,93.1,71.7,30,216,5.57,7.06,6.89,1,2,
