Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tyrod Taylor,32.0,HOU,QB,6.0,6.0,2-4-0,91.0,150.0,60.7,966.0,5.0,3.3,5.0,3.3,44.0,44.8,52.0,6.4,5.61,10.6,161.0,76.7,46.4,13.0,119.0,7.98,5.2,4.43,0.0,0.0,
Mike White,26.0,NYJ,QB,4.0,3.0,1-2-0,88.0,132.0,66.7,953.0,5.0,3.8,8.0,6.1,49.0,53.7,28.0,7.2,5.25,10.8,238.3,75.1,56.5,4.0,18.0,2.94,6.88,4.96,1.0,1.0,
Mike Glennon,32.0,NYG,QB,6.0,4.0,0-4-0,90.0,167.0,53.9,790.0,4.0,2.4,10.0,6.0,43.0,33.0,60.0,4.7,2.51,8.8,131.7,49.7,14.7,9.0,68.0,5.11,4.1,2.0,0.0,0.0,
Drew Lock,25.0,DEN,QB,6.0,3.0,0-3-0,67.0,111.0,60.4,787.0,2.0,1.8,2.0,1.8,32.0,36.7,44.0,7.1,6.64,11.7,131.2,80.4,28.1,9.0,52.0,7.5,6.13,5.71,0.0,0.0,
Colt McCoy,35.0,ARI,QB,8.0,3.0,2-1-0,74.0,99.0,74.7,740.0,3.0,3.0,1.0,1.0,39.0,51.4,50.0,7.5,7.63,10.0,92.5,101.4,60.4,6.0,40.0,5.71,6.67,6.81,0.0,0.0,
Geno Smith,31.0,SEA,QB,4.0,3.0,1-2-0,65.0,95.0,68.4,702.0,5.0,5.3,1.0,1.1,31.0,44.4,84.0,7.4,7.97,10.8,175.5,103.0,51.8,13.0,117.0,12.04,5.42,5.93,0.0,0.0,
Cam Newton,32.0,CAR,QB,8.0,5.0,0-5-0,69.0,126.0,54.8,684.0,4.0,3.2,5.0,4.0,32.0,39.0,64.0,5.4,4.28,9.9,85.5,64.4,30.4,10.0,83.0,7.35,4.42,3.35,0.0,0.0,
Josh Johnson,35.0,2TM,QB,4.0,1.0,0-1-0,57.0,85.0,67.1,638.0,5.0,5.9,2.0,2.4,39.0,55.7,28.0,7.5,7.62,11.2,159.5,99.0,,3.0,23.0,3.41,6.99,7.1,0.0,0.0,
Trey Lance,21.0,SFO,QB,6.0,2.0,1-1-0,41.0,71.0,57.7,603.0,5.0,7.0,2.0,2.8,27.0,38.7,76.0,8.5,8.63,14.7,100.5,97.3,39.0,4.0,15.0,5.33,7.84,7.97,0.0,0.0,
Tim Boyle,27.0,DET,QB,5.0,3.0,0-3-0,61.0,94.0,64.9,526.0,3.0,3.2,6.0,6.4,28.0,44.7,42.0,5.6,3.36,8.6,105.2,63.5,31.4,0.0,0.0,0.0,5.6,3.36,0.0,0.0,
Case Keenum,33.0,CLE,QB,7.0,2.0,2-0-0,47.0,72.0,65.3,462.0,3.0,4.2,1.0,1.4,25.0,49.4,34.0,6.4,6.63,9.8,66.0,91.3,42.7,5.0,29.0,6.49,5.62,5.82,0.0,0.0,
Gardner Minshew II,25.0,PHI,QB,4.0,2.0,1-1-0,41.0,60.0,68.3,439.0,4.0,6.7,1.0,1.7,24.0,46.2,36.0,7.3,7.9,10.7,109.8,104.8,66.2,5.0,31.0,7.69,6.28,6.82,0.0,0.0,
Cooper Rush,28.0,DAL,QB,5.0,1.0,1-0-0,30.0,47.0,63.8,422.0,3.0,6.4,1.0,2.1,18.0,40.0,73.0,9.0,9.3,14.1,84.4,105.1,47.8,3.0,19.0,6.0,8.06,8.36,1.0,1.0,
Jordan Love,23.0,GNB,QB,6.0,1.0,0-1-0,36.0,62.0,58.1,411.0,2.0,3.2,3.0,4.8,22.0,38.5,62.0,6.6,5.1,11.4,68.5,68.7,36.8,3.0,23.0,4.62,5.97,4.51,0.0,0.0,
P.J. Walker,26.0,CAR,QB,5.0,1.0,1-0-0,36.0,66.0,54.5,362.0,1.0,1.5,3.0,4.5,19.0,35.6,24.0,5.5,3.74,10.1,72.4,56.5,23.4,7.0,47.0,9.59,4.32,2.74,0.0,0.0,
Joe Flacco,36.0,NYJ,QB,2.0,1.0,0-1-0,27.0,42.0,64.3,338.0,3.0,7.1,0.0,0.0,14.0,56.8,62.0,8.0,9.48,12.5,169.0,113.0,49.5,2.0,13.0,4.55,7.39,8.75,0.0,0.0,
Mason Rudolph,26.0,PIT,QB,2.0,1.0,0-0-1,35.0,58.0,60.3,277.0,1.0,1.7,1.0,1.7,16.0,41.4,36.0,4.8,4.34,7.9,138.5,70.8,45.4,0.0,0.0,0.0,4.78,4.34,1.0,0.0,
Nick Foles,32.0,CHI,QB,1.0,1.0,1-0-0,24.0,35.0,68.6,250.0,1.0,2.9,0.0,0.0,14.0,46.2,30.0,7.1,7.71,10.4,250.0,98.5,51.6,4.0,21.0,10.26,5.87,6.38,1.0,1.0,
Brian Hoyer,36.0,NWE,QB,5.0,0.0,,9.0,11.0,81.8,227.0,1.0,9.1,0.0,0.0,8.0,81.8,48.0,20.6,22.45,25.2,45.4,149.1,97.9,0.0,0.0,0.0,20.64,22.45,0.0,0.0,
Jake Fromm,23.0,NYG,QB,3.0,2.0,0-2-0,27.0,60.0,45.0,210.0,1.0,1.7,3.0,5.0,10.0,27.3,36.0,3.5,1.58,7.8,70.0,38.9,18.8,6.0,33.0,9.09,2.68,0.94,0.0,0.0,
Garrett Gilbert,30.0,WAS,QB,1.0,1.0,0-1-0,20.0,31.0,64.5,194.0,0.0,0.0,0.0,0.0,8.0,42.4,46.0,6.3,6.26,9.7,194.0,81.9,45.6,2.0,20.0,6.06,5.27,5.27,0.0,0.0,
Sean Mannion,29.0,MIN,QB,1.0,1.0,0-1-0,22.0,36.0,61.1,189.0,1.0,2.8,0.0,0.0,8.0,31.6,30.0,5.3,5.81,8.6,189.0,84.1,39.1,2.0,15.0,5.26,4.58,5.11,0.0,0.0,
Brandon Allen,29.0,CIN,QB,6.0,1.0,0-1-0,17.0,34.0,50.0,149.0,2.0,5.9,0.0,0.0,5.0,21.1,26.0,4.4,5.56,8.8,24.8,81.6,10.4,4.0,33.0,10.53,3.05,4.11,0.0,1.0,
Nick Mullens,26.0,CLE,QB,1.0,1.0,0-1-0,20.0,30.0,66.7,147.0,1.0,3.3,0.0,0.0,9.0,40.0,25.0,4.9,5.57,7.4,147.0,89.2,81.5,0.0,0.0,0.0,4.9,5.57,0.0,0.0,
Ian Book,23.0,NOR,QB,1.0,1.0,0-1-0,12.0,20.0,60.0,135.0,0.0,0.0,2.0,10.0,5.0,28.6,56.0,6.8,2.25,11.3,135.0,40.6,2.8,8.0,54.0,28.57,2.89,-0.32,0.0,0.0,
Kyle Allen,25.0,WAS,QB,2.0,0.0,,12.0,19.0,63.2,120.0,1.0,5.3,0.0,0.0,6.0,42.9,19.0,6.3,7.37,10.0,60.0,98.6,29.3,2.0,5.0,9.52,5.48,6.43,0.0,0.0,
Cedrick Wilson Jr.,26.0,DAL,WR,16.0,4.0,,3.0,3.0,100.0,88.0,0.0,0.0,0.0,0.0,3.0,100.0,35.0,29.3,29.33,29.3,5.5,118.7,99.9,0.0,0.0,0.0,29.33,29.33,0.0,0.0,
Chad Henne,36.0,KAN,QB,4.0,0.0,,11.0,16.0,68.8,82.0,0.0,0.0,0.0,0.0,6.0,62.5,17.0,5.1,5.13,7.5,20.5,80.7,74.1,0.0,0.0,0.0,5.13,5.13,0.0,0.0,
Tom Kennedy,25.0,DET,WR,12.0,0.0,,1.0,1.0,100.0,75.0,1.0,100.0,0.0,0.0,1.0,100.0,75.0,75.0,95.0,75.0,6.3,158.3,100.0,0.0,0.0,0.0,75.0,95.0,0.0,0.0,
Blaine Gabbert,32.0,TAM,QB,6.0,0.0,,7.0,11.0,63.6,67.0,0.0,0.0,0.0,0.0,4.0,41.7,23.0,6.1,6.09,9.6,11.2,80.5,36.6,1.0,10.0,8.33,4.75,4.75,0.0,0.0,
Tyler Boyd,27.0,CIN,WR,16.0,10.0,,1.0,1.0,100.0,46.0,0.0,0.0,0.0,0.0,1.0,100.0,46.0,46.0,46.0,46.0,2.9,118.7,99.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,
Jakobi Meyers,25.0,NWE,WR,17.0,16.0,,2.0,2.0,100.0,45.0,0.0,0.0,0.0,0.0,1.0,50.0,30.0,22.5,22.5,22.5,2.6,118.7,78.1,0.0,0.0,0.0,22.5,22.5,0.0,0.0,
Mitchell Trubisky,27.0,BUF,QB,6.0,0.0,,6.0,8.0,75.0,43.0,0.0,0.0,1.0,12.5,2.0,50.0,15.0,5.4,-0.25,7.2,7.2,47.4,77.7,0.0,0.0,0.0,5.38,-0.25,0.0,0.0,
Jack Fox,25.0,DET,P,17.0,0.0,,2.0,3.0,66.7,38.0,0.0,0.0,0.0,0.0,2.0,66.7,21.0,12.7,12.67,19.0,2.2,109.7,,0.0,0.0,0.0,12.67,12.67,0.0,0.0,
Chris Streveler,26.0,ARI,QB,2.0,0.0,,6.0,9.0,66.7,36.0,0.0,0.0,0.0,0.0,1.0,36.4,17.0,4.0,4.0,6.0,18.0,74.3,3.0,2.0,17.0,18.18,1.73,1.73,0.0,0.0,
Justin Jefferson,22.0,MIN,WR,17.0,17.0,,2.0,4.0,50.0,35.0,0.0,0.0,0.0,0.0,2.0,50.0,24.0,8.8,8.75,17.5,2.1,80.2,48.7,0.0,0.0,0.0,8.75,8.75,0.0,0.0,"PB,AP-2"
C.J. Beathard,28.0,JAX,QB,2.0,0.0,,2.0,2.0,100.0,33.0,0.0,0.0,0.0,0.0,1.0,50.0,28.0,16.5,16.5,16.5,16.5,118.7,92.3,0.0,0.0,0.0,16.5,16.5,0.0,0.0,
Christian Kirk,25.0,ARI,WR,17.0,11.0,,1.0,1.0,100.0,33.0,0.0,0.0,0.0,0.0,1.0,100.0,33.0,33.0,33.0,33.0,1.9,118.7,100.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,
Kendrick Bourne,26.0,NWE,WR,17.0,5.0,,1.0,1.0,100.0,25.0,1.0,100.0,0.0,0.0,1.0,100.0,25.0,25.0,45.0,25.0,1.5,158.3,100.0,0.0,0.0,0.0,25.0,45.0,0.0,0.0,
Jacob Eason,24.0,IND,QB,1.0,0.0,,2.0,5.0,40.0,25.0,0.0,0.0,1.0,20.0,2.0,40.0,10.0,5.0,-4.0,12.5,25.0,16.7,0.1,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,
Deebo Samuel,25.0,SFO,WR,16.0,15.0,,1.0,2.0,50.0,24.0,1.0,50.0,0.0,0.0,1.0,50.0,24.0,12.0,22.0,24.0,1.5,133.3,99.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,"PB,AP-1"
Chris Banjo,31.0,ARI,DB,16.0,0.0,,1.0,1.0,100.0,23.0,0.0,0.0,0.0,0.0,1.0,100.0,23.0,23.0,23.0,23.0,1.4,118.7,,0.0,0.0,0.0,23.0,23.0,0.0,0.0,
Josh Rosen,24.0,ATL,QB,4.0,0.0,,2.0,11.0,18.2,19.0,0.0,0.0,2.0,18.2,1.0,18.2,14.0,1.7,-6.45,9.5,4.8,0.0,0.2,0.0,0.0,0.0,1.73,-6.45,0.0,0.0,
Kadarius Toney,22.0,NYG,WR,10.0,4.0,,1.0,3.0,33.3,19.0,0.0,0.0,0.0,0.0,1.0,25.0,19.0,6.3,6.33,19.0,1.9,56.2,2.3,1.0,6.0,25.0,3.25,3.25,0.0,0.0,
Dante Pettis,26.0,NYG,WR,3.0,0.0,,1.0,1.0,100.0,16.0,0.0,0.0,0.0,0.0,1.0,100.0,16.0,16.0,16.0,16.0,5.3,118.7,94.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,
Courtland Sutton,26.0,DEN,WR,17.0,16.0,,1.0,1.0,100.0,16.0,0.0,0.0,0.0,0.0,1.0,100.0,16.0,16.0,16.0,16.0,0.9,118.7,100.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,
Tommy Townsend,25.0,KAN,P,16.0,0.0,,1.0,1.0,100.0,16.0,0.0,0.0,0.0,0.0,1.0,100.0,16.0,16.0,16.0,16.0,1.0,118.7,,0.0,0.0,0.0,16.0,16.0,0.0,0.0,
Ryan Fitzpatrick,39.0,WAS,QB,1.0,1.0,0-1-0,3.0,6.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,14.3,6.0,2.2,2.17,4.3,13.0,56.2,3.0,1.0,2.0,14.29,1.57,1.57,0.0,0.0,
Matthias Farley,29.0,TEN,DB,17.0,0.0,,1.0,1.0,100.0,6.0,0.0,0.0,0.0,0.0,1.0,100.0,6.0,6.0,6.0,6.0,0.4,91.7,,0.0,0.0,0.0,6.0,6.0,0.0,0.0,
Derrick Henry,27.0,TEN,RB,8.0,8.0,,1.0,1.0,100.0,5.0,1.0,100.0,0.0,0.0,1.0,100.0,5.0,5.0,25.0,5.0,0.6,127.1,80.6,0.0,0.0,0.0,5.0,25.0,0.0,0.0,
Kellen Mond,22.0,MIN,QB,1.0,0.0,,2.0,3.0,66.7,5.0,0.0,0.0,0.0,0.0,0.0,33.3,6.0,1.7,1.67,2.5,5.0,70.1,18.2,0.0,0.0,0.0,1.67,1.67,0.0,0.0,
John Wolford,26.0,LAR,QB,3.0,0.0,,1.0,4.0,25.0,5.0,0.0,0.0,1.0,25.0,0.0,,5.0,1.3,-10.0,5.0,1.7,0.0,0.1,1.0,8.0,20.0,-0.6,-9.6,0.0,0.0,
Ezekiel Elliott,26.0,DAL,RB,17.0,17.0,,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,4.0,4.0,4.0,0.2,83.3,12.2,0.0,0.0,0.0,4.0,4.0,0.0,0.0,
Marcus Mariota,28.0,LVR,QB,10.0,0.0,,1.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,2.0,2.0,4.0,0.4,56.2,46.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,
Johnny Hekker,31.0,LAR,P,17.0,0.0,,1.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,0.1,79.2,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,
Greg Ward,26.0,PHI,WR,17.0,0.0,,1.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,2.0,0.1,56.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Kendall Hinton,24.0,DEN,WR,16.0,1.0,,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.1,79.2,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Keenan Allen,29.0,LAC,WR,16.0,16.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PB
Danny Amendola,36.0,HOU,WR,8.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cole Beasley,32.0,BUF,WR,16.0,8.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David Blough,26.0,DET,QB,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.1,1.0,6.0,100.0,-6.0,-6.0,0.0,0.0,
Chris Boswell,30.0,PIT,K,17.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A.J. Brown,24.0,TEN,WR,13.0,13.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rex Burkhead,31.0,HOU,RB,16.0,5.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Keelan Cole,28.0,NYJ,WR,15.0,11.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jamison Crowder,28.0,NYJ,WR,12.0,4.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,87.5,1.0,3.0,100.0,-3.0,-3.0,0.0,0.0,
Stefon Diggs,28.0,BUF,WR,17.0,17.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.4,1.0,2.0,100.0,-2.0,-2.0,0.0,0.0,PB
Riley Dixon,28.0,NYG,P,17.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Leonard Fournette,26.0,TAM,RB,14.0,13.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Feleipe Franks,24.0,ATL,QB,9.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,,,0.0,-45.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,
