Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tom Brady,44.0,TAM,QB,17.0,17.0,13-4-0,485.0,719.0,67.5,5316.0,43.0,6.0,12.0,1.7,269.0,52.6,62.0,7.4,7.84,11.0,312.7,102.1,73.1,22.0,144.0,2.97,6.98,7.41,3.0,5.0,"PB,AP-2,AP MVP-2,AP OPoY-3"
Justin Herbert,23.0,LAC,QB,17.0,17.0,9-8-0,443.0,672.0,65.9,5014.0,38.0,5.7,15.0,2.2,256.0,51.1,72.0,7.5,7.59,11.3,294.9,97.7,70.9,31.0,214.0,4.41,6.83,6.95,5.0,5.0,PB
Matthew Stafford,33.0,LAR,QB,17.0,17.0,12-5-0,404.0,601.0,67.2,4886.0,41.0,6.8,17.0,2.8,233.0,52.6,79.0,8.1,8.22,12.1,287.4,102.9,69.2,30.0,243.0,4.75,7.36,7.45,3.0,4.0,
Patrick Mahomes,26.0,KAN,QB,17.0,17.0,12-5-0,436.0,658.0,66.3,4839.0,37.0,5.6,13.0,2.0,260.0,53.2,75.0,7.4,7.59,11.1,284.6,98.5,67.7,28.0,146.0,4.08,6.84,7.07,3.0,3.0,PB
Derek Carr,30.0,LVR,QB,17.0,17.0,10-7-0,428.0,626.0,68.4,4804.0,23.0,3.7,14.0,2.2,217.0,49.7,61.0,7.7,7.4,11.2,282.6,94.0,58.4,40.0,241.0,6.01,6.85,6.6,3.0,6.0,
Joe Burrow,25.0,CIN,QB,16.0,16.0,10-6-0,366.0,520.0,70.4,4611.0,34.0,6.5,14.0,2.7,202.0,47.6,82.0,8.9,8.96,12.6,288.2,108.3,60.2,51.0,370.0,8.93,7.43,7.51,2.0,3.0,AP CPoY-1
Dak Prescott,28.0,DAL,QB,16.0,16.0,11-5-0,410.0,596.0,68.8,4449.0,37.0,6.2,10.0,1.7,227.0,51.4,51.0,7.5,7.95,10.9,278.1,104.2,60.5,30.0,144.0,4.79,6.88,7.34,1.0,2.0,AP CPoY-2
Josh Allen,25.0,BUF,QB,17.0,17.0,11-6-0,409.0,646.0,63.3,4407.0,36.0,5.6,15.0,2.3,234.0,49.4,61.0,6.8,6.89,10.8,259.2,92.2,66.3,26.0,164.0,3.87,6.31,6.38,0.0,0.0,
Kirk Cousins,33.0,MIN,QB,16.0,16.0,8-8-0,372.0,561.0,66.3,4221.0,33.0,5.9,7.0,1.2,192.0,46.2,64.0,7.5,8.14,11.3,263.8,103.1,58.3,28.0,197.0,4.75,6.83,7.42,3.0,4.0,PB
Aaron Rodgers,38.0,GNB,QB,16.0,16.0,13-3-0,366.0,531.0,68.9,4115.0,37.0,7.0,4.0,0.8,213.0,50.6,75.0,7.7,8.8,11.2,257.2,111.9,74.1,30.0,188.0,5.35,7.0,8.0,1.0,2.0,"PB,AP-1,AP MVP-1,AP OPoY-4"
Matt Ryan,36.0,ATL,QB,17.0,17.0,7-10-0,375.0,560.0,67.0,3968.0,20.0,3.6,12.0,2.1,195.0,46.0,64.0,7.1,6.84,10.6,233.4,90.4,52.2,40.0,274.0,6.67,6.16,5.92,3.0,4.0,
Jimmy Garoppolo,30.0,SFO,QB,15.0,15.0,9-6-0,301.0,441.0,68.3,3810.0,20.0,4.5,12.0,2.7,172.0,50.4,83.0,8.6,8.32,12.7,254.0,98.7,59.2,29.0,201.0,6.17,7.68,7.38,3.0,3.0,
Mac Jones,23.0,NWE,QB,17.0,17.0,10-7-0,352.0,521.0,67.6,3801.0,22.0,4.2,13.0,2.5,177.0,49.0,75.0,7.3,7.02,10.8,223.6,92.5,56.9,28.0,241.0,5.1,6.48,6.22,1.0,1.0,"PB,AP ORoY-2"
Kyler Murray,24.0,ARI,QB,14.0,14.0,9-5-0,333.0,481.0,69.2,3787.0,24.0,5.0,10.0,2.1,172.0,49.6,77.0,7.9,7.94,11.4,270.5,100.6,63.2,31.0,286.0,6.05,6.84,6.9,1.0,1.0,PB
Ben Roethlisberger,39.0,PIT,QB,16.0,16.0,9-7-0,390.0,605.0,64.5,3740.0,22.0,3.6,10.0,1.7,188.0,42.6,59.0,6.2,6.17,9.6,233.8,86.8,41.3,38.0,239.0,5.91,5.44,5.43,6.0,7.0,
Ryan Tannehill,33.0,TEN,QB,17.0,17.0,12-5-0,357.0,531.0,67.2,3734.0,21.0,4.0,14.0,2.6,192.0,46.2,57.0,7.0,6.64,10.5,219.6,89.6,61.8,47.0,327.0,8.13,5.89,5.53,3.0,4.0,
Trevor Lawrence,22.0,JAX,QB,17.0,17.0,3-14-0,359.0,602.0,59.6,3641.0,12.0,2.0,17.0,2.8,177.0,44.6,58.0,6.0,5.18,10.1,214.2,71.9,39.1,32.0,238.0,5.05,5.37,4.54,1.0,2.0,
Carson Wentz,29.0,IND,QB,17.0,17.0,9-8-0,322.0,516.0,62.4,3563.0,27.0,5.2,7.0,1.4,165.0,44.0,76.0,6.9,7.34,11.1,209.6,94.6,60.6,32.0,227.0,5.84,6.09,6.5,0.0,0.0,
Taylor Heinicke,28.0,WAS,QB,16.0,15.0,7-8-0,321.0,494.0,65.0,3419.0,20.0,4.0,15.0,3.0,167.0,44.9,73.0,6.9,6.36,10.7,213.7,85.9,45.8,38.0,278.0,7.14,5.9,5.39,3.0,4.0,
Jared Goff,27.0,DET,QB,14.0,14.0,3-10-1,332.0,494.0,67.2,3245.0,19.0,3.8,8.0,1.6,162.0,46.9,63.0,6.6,6.61,9.8,231.8,91.5,45.5,35.0,280.0,6.62,5.6,5.64,2.0,2.0,
Jalen Hurts,23.0,PHI,QB,15.0,15.0,8-7-0,265.0,432.0,61.3,3144.0,16.0,3.7,9.0,2.1,143.0,43.9,91.0,7.3,7.08,11.9,209.6,87.2,54.6,26.0,150.0,5.68,6.54,6.35,2.0,2.0,
Russell Wilson,33.0,SEA,QB,14.0,14.0,6-8-0,259.0,400.0,64.8,3113.0,25.0,6.3,6.0,1.5,135.0,44.6,69.0,7.8,8.36,12.0,222.4,103.1,60.6,33.0,266.0,7.62,6.58,7.11,0.0,1.0,PB
Teddy Bridgewater,29.0,DEN,QB,14.0,14.0,7-7-0,285.0,426.0,66.9,3052.0,18.0,4.2,7.0,1.6,146.0,46.0,64.0,7.2,7.27,10.7,218.0,94.9,53.4,31.0,211.0,6.78,6.22,6.32,0.0,1.0,
Baker Mayfield,26.0,CLE,QB,14.0,14.0,6-8-0,253.0,418.0,60.5,3010.0,17.0,4.1,13.0,3.1,143.0,44.3,71.0,7.2,6.61,11.9,215.0,83.1,40.9,43.0,269.0,9.33,5.95,5.41,0.0,0.0,
Lamar Jackson,24.0,BAL,QB,12.0,12.0,7-5-0,246.0,382.0,64.4,2882.0,16.0,4.2,13.0,3.4,135.0,46.9,49.0,7.5,6.85,11.7,240.2,87.0,56.8,38.0,190.0,9.05,6.41,5.78,4.0,4.0,PB
Davis Mills,23.0,HOU,QB,13.0,11.0,2-9-0,263.0,394.0,66.8,2664.0,16.0,4.1,10.0,2.5,118.0,44.0,67.0,6.8,6.43,10.1,204.9,88.8,41.2,31.0,206.0,7.29,5.78,5.48,0.0,0.0,
Tua Tagovailoa,23.0,MIA,QB,13.0,12.0,7-5-0,263.0,388.0,67.8,2653.0,16.0,4.1,10.0,2.6,137.0,50.2,65.0,6.8,6.5,10.1,204.1,90.1,55.7,20.0,152.0,4.9,6.13,5.81,0.0,2.0,
Sam Darnold,24.0,CAR,QB,12.0,11.0,4-7-0,243.0,406.0,59.9,2527.0,9.0,2.2,13.0,3.2,123.0,41.0,63.0,6.2,5.23,10.4,210.6,71.9,38.8,35.0,204.0,7.94,5.27,4.35,0.0,0.0,
Daniel Jones,24.0,NYG,QB,11.0,11.0,4-7-0,232.0,361.0,64.3,2428.0,10.0,2.8,7.0,1.9,116.0,43.9,54.0,6.7,6.41,10.5,220.7,84.8,47.5,22.0,160.0,5.74,5.92,5.62,1.0,1.0,
Zach Wilson,22.0,NYJ,QB,13.0,13.0,3-10-0,213.0,383.0,55.6,2334.0,9.0,2.3,11.0,2.9,112.0,37.0,54.0,6.1,5.27,11.0,179.5,69.7,33.4,44.0,370.0,10.3,4.6,3.86,1.0,1.0,
Justin Fields,22.0,CHI,QB,12.0,10.0,2-8-0,159.0,270.0,58.9,1870.0,7.0,2.6,10.0,3.7,83.0,38.2,64.0,6.9,5.78,11.8,155.8,73.2,31.4,36.0,264.0,11.76,5.25,4.24,0.0,0.0,
Andy Dalton,34.0,CHI,QB,8.0,6.0,3-3-0,149.0,236.0,63.1,1515.0,8.0,3.4,9.0,3.8,83.0,42.9,60.0,6.4,5.38,10.2,189.4,76.9,39.2,18.0,143.0,7.09,5.4,4.44,1.0,1.0,
Jacoby Brissett,29.0,MIA,QB,11.0,5.0,2-3-0,141.0,225.0,62.7,1283.0,5.0,2.2,4.0,1.8,69.0,46.3,52.0,5.7,5.35,9.1,116.6,78.1,54.3,19.0,132.0,7.79,4.72,4.39,0.0,0.0,
Jameis Winston,27.0,NOR,QB,7.0,7.0,5-2-0,95.0,161.0,59.0,1170.0,14.0,8.7,3.0,1.9,56.0,44.8,72.0,7.3,8.17,12.3,167.1,102.8,69.8,11.0,69.0,6.4,6.4,7.24,0.0,1.0,
Trevor Siemian,30.0,NOR,QB,6.0,4.0,0-4-0,108.0,188.0,57.4,1154.0,11.0,5.9,3.0,1.6,61.0,41.1,46.0,6.1,6.59,10.7,192.3,88.4,41.3,9.0,64.0,4.57,5.53,5.96,1.0,1.0,
Tyler Huntley,23.0,BAL,QB,7.0,4.0,1-3-0,122.0,188.0,64.9,1081.0,3.0,1.6,4.0,2.1,55.0,41.3,43.0,5.8,5.11,8.9,154.4,76.6,55.0,18.0,107.0,8.74,4.73,4.15,1.0,1.0,
Taysom Hill,31.0,NOR,QB/WR,12.0,9.0,4-1-0,78.0,134.0,58.2,978.0,4.0,3.0,5.0,3.7,43.0,42.0,70.0,7.3,6.22,12.5,81.5,75.4,48.5,9.0,64.0,6.29,6.39,5.38,0.0,0.0,
