Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Sebastian Janikowski,OAK,32,K,16,0,,,8,8,14,13,12,8,7,4,41,33,59,80.5%,43,43,100.0%,93,6007,29,31.2%,64.6
Dan Carpenter,MIA,25,K,16,0,1,1,9,9,5,5,18,11,8,4,41,30,60,73.2%,25,25,100.0%,70,4470,14,20.0%,63.9
Nick Folk,NYJ,26,K,16,0,1,1,11,10,16,14,6,3,5,2,39,30,56,76.9%,37,37,100.0%,81,4986,7,8.6%,61.6
Josh Brown,STL,31,K,16,0,,,12,11,14,12,9,7,4,3,39,33,53,84.6%,27,26,96.3%,73,4819,5,6.8%,66.0
David Akers*,PHI,36,K,16,0,,,12,12,11,9,12,10,3,1,38,32,50,84.2%,47,47,100.0%,96,6135,23,24.0%,63.9
Graham Gano,WAS,23,K,16,0,1,1,10,8,7,4,14,11,3,,35,24,49,68.6%,28,28,100.0%,71,4617,9,12.7%,65.0
David Buehler,DAL,23,K,16,0,,,8,8,7,4,11,8,6,4,32,24,53,75.0%,44,42,95.5%,84,5409,22,26.2%,64.4
Jeff Reed,2TM,31,K,14,0,2,2,10,9,9,8,7,3,4,2,32,24,53,75.0%,32,32,100.0%,71,4341,6,8.5%,61.1
Matt Bryant,ATL,35,K,16,0,,,11,11,9,8,10,8,1,1,31,28,51,90.3%,44,44,100.0%,,,,,
Neil Rackers,HOU,34,K,16,0,,,8,8,11,11,7,5,4,3,30,27,57,90.0%,43,43,100.0%,86,5658,13,15.1%,65.8
Robbie Gould,CHI,28,K,16,0,1,1,9,9,9,8,7,4,4,3,30,25,54,83.3%,35,35,100.0%,77,4890,16,20.8%,63.5
Olindo Mare,SEA,37,K,16,0,2,2,12,10,7,7,7,5,2,1,30,25,51,83.3%,31,31,100.0%,72,4679,20,27.8%,65.0
Billy Cundiff*+,BAL,30,K,16,0,,,11,11,9,8,8,7,1,,29,26,49,89.7%,39,39,100.0%,79,5399,40,50.6%,68.3
John Kasay,CAR,41,K,16,0,,,9,9,2,2,14,11,4,3,29,25,55,86.2%,17,17,100.0%,4,228,,,57.0
Adam Vinatieri,IND,38,K,16,0,,,8,8,10,9,10,9,,,28,26,48,92.9%,51,51,100.0%,,,,,
Mason Crosby,GNB,26,K,16,0,1,1,8,7,5,4,10,8,4,2,28,22,56,78.6%,46,46,100.0%,84,5088,4,4.8%,60.6
Josh Scobee,JAX,28,K,16,0,2,2,3,3,7,6,14,9,2,2,28,22,59,78.6%,41,41,100.0%,76,4949,15,19.7%,65.1
Nate Kaeding,SDG,28,K,13,0,,,6,6,8,7,10,9,4,1,28,23,50,82.1%,40,40,100.0%,72,4490,4,5.6%,62.4
Connor Barth,TAM,24,K,16,0,,,6,6,10,10,10,6,2,1,28,23,53,82.1%,36,36,100.0%,78,4809,1,1.3%,61.7
Phil Dawson,CLE,35,K,16,0,3,3,7,7,10,10,5,3,3,,28,23,48,82.1%,28,28,100.0%,67,4035,7,10.4%,60.2
Jay Feely,ARI,34,K,16,0,,,8,8,6,6,10,8,3,2,27,24,55,88.9%,29,29,100.0%,70,4512,16,22.9%,64.5
Ryan Succop,KAN,24,K,16,0,,,6,6,9,7,8,6,3,1,26,20,53,76.9%,42,42,100.0%,78,4730,8,10.3%,60.6
Rob Bironas,TEN,32,K,16,0,,,6,6,9,8,8,8,3,2,26,24,55,92.3%,38,38,100.0%,76,4956,17,22.4%,65.2
Garrett Hartley,NOR,24,K,14,0,1,1,6,4,9,7,7,6,2,2,25,20,52,80.0%,40,40,100.0%,34,2096,4,11.8%,61.6
Lawrence Tynes,NYG,32,K,15,0,,,12,12,4,2,4,3,3,2,23,19,53,82.6%,43,43,100.0%,78,4826,6,7.7%,61.9
Rian Lindell,BUF,33,K,16,0,1,1,6,6,6,5,2,1,6,3,21,16,51,76.2%,32,31,96.9%,67,4192,8,11.9%,62.6
Mike Nugent,CIN,28,K,9,0,,,5,5,7,7,3,1,4,2,19,15,54,78.9%,17,17,100.0%,44,2765,7,15.9%,62.8
Ryan Longwell,MIN,36,K,16,0,,,7,7,9,8,2,2,,,18,17,48,94.4%,31,30,96.8%,65,4047,3,4.6%,62.3
Matt Prater,DEN,26,K,12,0,,,3,3,7,7,5,4,3,2,18,16,59,88.9%,29,28,96.6%,57,3688,20,35.1%,64.7
Dave Rayner,DET,28,K,8,0,,,3,3,3,3,8,5,2,2,16,13,55,81.3%,16,16,100.0%,34,2136,2,5.9%,62.8
Shaun Suisham,PIT,29,K,7,0,1,1,4,4,1,1,9,8,,,15,14,48,93.3%,19,19,100.0%,40,2323,2,5.0%,58.1
Jason Hanson,DET,40,K,8,0,,,1,1,4,4,5,4,4,3,14,12,52,85.7%,19,19,100.0%,40,2458,1,2.5%,61.5
Stephen Gostkowski,NWE,26,K,8,0,,,2,2,7,6,3,2,1,,13,10,43,76.9%,26,26,100.0%,42,2750,15,35.7%,65.5
Joe Nedney,SFO,37,K,9,0,,,6,6,2,2,2,1,3,2,13,11,51,84.6%,17,17,100.0%,37,2420,4,10.8%,65.4
Shayne Graham,2TM,33,K,9,0,1,1,5,5,5,5,1,1,,,12,12,41,100.0%,41,39,95.1%,62,3800,3,4.8%,61.3
Clint Stitser,CIN,25,K,5,0,,,5,4,2,2,1,1,,,8,7,47,87.5%,10,8,80.0%,23,1312,,,57.0
Stephen Hauschka,DEN,25,K,4,0,,,1,1,3,3,3,2,,,7,6,46,85.7%,10,10,100.0%,20,1224,2,10.0%,61.2
John Carney,NOR,46,K,2,0,,,2,1,4,4,,,,,6,5,32,83.3%,3,3,100.0%,1,11,,,11.0
Kris Brown,SDG,34,K,3,0,,,1,1,3,3,,,1,,5,4,36,80.0%,8,8,100.0%,17,978,1,5.9%,57.5
Aaron Pettrey,CIN,24,K,2,0,1,1,2,1,,,1,,,,4,2,28,50.0%,5,5,100.0%,8,491,1,12.5%,61.4
Shane Andrus,SFO,30,K,2,0,,,1,1,2,1,1,,,,4,2,38,50.0%,3,3,100.0%,6,359,,,59.8
Wes Welker*,NWE,29,WR,15,11,,,,,,,,,,,,,,,1,1,100.0%,1,45,,,45.0
Ndamukong Suh*+,DET,23,LDT,16,16,,,,,,,,,,,,,,,1,,0.0%,,,,,
Michael Koenen,ATL,28,P,16,0,,,,,,,,,,,,,,,,,,88,5926,23,26.1%,67.3
Pat McAfee,IND,23,P,15,0,,,,,,,,,,,,,,,,,,84,5595,16,19.0%,66.6
Thomas Morstead,NOR,24,P,16,0,,,,,,,,,,,,,,,,,,49,3315,10,20.4%,67.7
Jeremy Kapinos,2TM,26,P,5,0,,,,,,,,,,,,,,,,,,8,481,,,60.1
Mike Scifres,SDG,30,P,16,0,,,,,,,,,,,,,,,,,,7,371,1,14.3%,53.0
Nick Harris,DET,32,P,16,0,,,,,,,,,,,,,,,,,,3,168,,,56.0
Matt Dodge,NYG,23,P,16,0,,,,,,,,,,,,,,,,,,2,117,,,58.5
Andy Lee,SFO,28,P,16,0,,,,,,,,,,,,,,,,,,2,100,,,50.0
Britton Colquitt,DEN,25,P,16,0,,,,,,,,,,,,,,,,,,1,69,,,69.0
Kevin Huber,CIN,25,P,16,0,,,,,,,,,,,,,,,,,,1,62,,,62.0
Brad Maynard,CHI,36,P,16,0,,,,,,,,,,,,,,,,,,1,53,,,53.0
Mat McBriar*,DAL,31,P,16,0,,,,,,,,,,,,,,,,,,1,69,,,69.0
Brian Moorman,BUF,34,P,16,0,,,,,,,,,,,,,,,,,,1,35,,,35.0
Jon Ryan,SEA,29,P,16,0,,,,,,,,,,,,,,,,,,1,66,,,66.0
Hunter Smith,WAS,33,P,9,0,,,,,,,,,,,,,,,,,,1,15,,,15.0
