Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Sam Adams,33,CIN,LDT,16,16,0,0,0,0,0.0,0,0,0,0,0,2.0,14.0,10.0,4.0,4.0,3.0,0,
Jared Allen,24,KAN,RDE,16,16,1,3,0,3,10.0,5,1,6,24,0,7.5,76.0,64.0,12.0,15.0,15.0,0,
Will Allen,24,TAM,FS,16,16,0,0,0,0,1.0,0,0,0,0,0,0.0,77.0,56.0,21.0,3.0,2.0,0,
O.J. Atogwe,25,STL,FS,16,16,3,8,0,7,10.0,5,0,1,0,0,1.0,75.0,66.0,9.0,0.0,1.0,0,
Akin Ayodele,27,DAL,RILB,16,16,2,2,0,2,4.0,0,1,2,2,0,1.0,84.0,64.0,20.0,6.0,2.0,0,
Champ Bailey,28,DEN,LCB,16,16,10,162,1,70,21.0,0,0,1,4,0,0.0,86.0,74.0,12.0,5.0,0.0,0,"PB,AP-1,AP DPoY-2"
Ronde Barber,31,TAM,RCB,16,16,3,103,2,66,16.0,2,0,0,0,0,0.0,100.0,85.0,15.0,5.0,1.0,0,"PB,AP-2"
Tiki Barber,31,NYG,RB,16,16,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
Alex Barron,24,STL,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
Anthony Becht,29,TAM,TE,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
Matt Birk,30,MIN,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
Dre' Bly,29,DET,RCB,16,16,3,13,0,8,18.0,4,0,1,5,0,0.0,59.0,51.0,8.0,1.0,1.0,0,
Anquan Boldin,26,ARI,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
Tom Brady,29,NWE,QB,16,16,0,0,0,0,0.0,0,12,1,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
Drew Brees,27,NOR,QB,16,16,0,0,0,0,0.0,0,8,1,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2"
