Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Stephen Gostkowski*+,NWE,24,K,16,0,,,,,,,,,,,,40,40,36,40,,148,9.3
David Akers,PHI,34,K,16,0,,,,,,,,,,,,45,45,33,40,,144,9.0
John Carney*,NYG,44,K,15,0,,,,,,,,,,,,38,38,35,38,,143,9.5
Matt Bryant,TAM,33,K,16,0,,,,,,,,,,,,35,36,32,38,,131,8.2
John Kasay,CAR,39,K,16,0,,,,,,,,,,,,46,46,28,31,,130,8.1
Jason Elam,ATL,38,K,16,0,,,,,,,,,,,,42,42,29,31,,129,8.1
Rob Bironas,TEN,30,K,16,0,,,,,,,,,,,,40,40,29,33,,127,7.9
Mason Crosby,GNB,24,K,16,0,,,,,,,,,,,,46,46,27,34,,127,7.9
Nate Kaeding,SDG,26,K,16,0,,,,,,,,,,,,46,46,27,32,,127,7.9
Ryan Longwell,MIN,34,K,16,0,,,,,,,,,,,,40,40,29,34,,127,7.9
Kris Brown,HOU,32,K,16,0,,,,,,,,,,,,37,37,29,33,,124,7.8
Rian Lindell,BUF,31,K,16,0,,,,,,,,,,,,34,34,30,38,,124,7.8
Matt Stover,BAL,40,K,16,0,,,,,,,,,,,,41,41,27,33,,122,7.6
DeAngelo Williams,CAR,25,RB,16,16,18,2,,,,,,20,1,,,,,,,,122,7.6
Joe Nedney,SFO,35,K,16,0,,,,,,,,,,,,34,34,29,33,,121,7.6
Robbie Gould,CHI,26,K,16,0,,,,,,,,,,,,41,41,26,29,,119,7.4
Neil Rackers,ARI,32,K,16,0,,,,,,,,,,,,44,44,25,28,,119,7.4
Jeff Reed,PIT,29,K,16,0,,,,,,,,,,,,36,37,27,31,,117,7.3
Matt Prater,DEN,24,K,16,0,,,,,,,,,,,,39,40,25,34,,114,7.1
Josh Brown,STL,29,K,16,0,,,,,,,,,,,,19,19,31,36,,112,7.0
Jay Feely,NYJ,32,K,15,0,,,,,,,,,,,,39,39,24,28,,111,7.4
Phil Dawson,CLE,33,K,16,0,,,,,,,,,,,,18,18,30,36,,108,6.8
Dan Carpenter,MIA,23,K,16,0,,,,,,,,,,,,40,40,21,25,,103,6.4
Shaun Suisham,WAS,27,K,16,0,,,,,,,,,,,,25,25,26,36,,103,6.4
Adam Vinatieri,IND,36,K,16,0,,,,,,,,,,,,43,43,20,25,,103,6.4
Nick Folk,DAL,24,K,16,0,,,,,,,,,,,,42,42,20,22,,102,6.4
Olindo Mare,SEA,35,K,16,0,,,,,,,,,,,,30,30,24,27,,102,6.4
Michael Turner*+,ATL,26,RB,16,16,17,,,,,,,17,,,,,,,,,102,6.4
