Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Kareem Hunt,26,CLE,8,1,78,386,5,22,47.4,33,4.9,48.3,9.8,0,
Trevor Lawrence,22,JAX,17,17,73,334,2,22,50.7,26,4.6,19.6,4.3,9,
Justin Fields,22,CHI,12,10,72,420,2,22,48.6,23,5.8,35.0,6.0,12,
Carlos Hyde,31,JAX,12,2,72,253,1,14,50.0,18,3.5,21.1,6.0,2,
Duke Johnson,28,MIA,5,4,71,330,3,18,49.3,27,4.6,66.0,14.2,0,
Taysom Hill,31,NOR,12,9,70,374,5,26,61.4,44,5.3,31.2,5.8,2,
Kenneth Gainwell,22,PHI,16,1,68,291,5,19,50.0,18,4.3,18.2,4.3,2,
Justin Jackson,25,LAC,14,2,68,364,2,18,50.0,75,5.4,26.0,4.9,1,
Jaret Patterson,22,WAS,17,1,68,266,2,15,50.0,13,3.9,15.6,4.0,1,
David Johnson,30,HOU,13,4,67,228,0,7,34.3,15,3.4,17.5,5.2,1,
Patrick Mahomes,26,KAN,17,17,66,381,2,25,50.0,32,5.8,22.4,3.9,9,PB
Kenyan Drake,27,LVR,12,2,63,254,2,15,44.4,21,4.0,21.2,5.3,1,
Justin Herbert,23,LAC,17,17,63,302,3,28,58.7,36,4.8,17.8,3.7,1,PB
Daniel Jones,24,NYG,11,11,62,298,2,16,48.4,46,4.8,27.1,5.6,7,
Ty Johnson,24,NYJ,16,3,61,238,2,13,47.5,24,3.9,14.9,3.8,2,
Taylor Heinicke,28,WAS,16,15,60,313,1,20,46.7,38,5.2,19.6,3.8,7,
Deebo Samuel,25,SFO,16,15,59,365,8,21,54.2,49,6.2,22.8,3.7,4,"PB,AP-1"
Carson Wentz,29,IND,17,17,57,215,1,21,49.1,18,3.8,12.6,3.4,8,
Dontrell Hilliard,26,TEN,8,5,56,350,2,15,46.4,68,6.3,43.8,7.0,2,
Nyheim Hines,25,IND,17,4,56,276,2,15,48.2,34,4.9,16.2,3.3,3,
Royce Freeman,25,2TM,15,0,56,169,0,8,44.6,13,3.0,11.3,3.7,0,
Royce Freeman,25,CAR,8,0,21,77,0,4,47.6,13,3.7,9.6,2.6,0,
Royce Freeman,25,HOU,7,0,35,92,0,4,42.9,13,2.6,13.1,5.0,0,
Peyton Barber,27,LVR,10,1,55,212,2,12,47.3,27,3.9,21.2,5.5,2,
Samaje Perine,26,CIN,16,0,55,246,1,11,41.8,46,4.5,15.4,3.4,0,
Craig Reynolds,25,DET,5,2,55,230,0,11,43.6,35,4.2,46.0,11.0,0,
Ryan Tannehill,33,TEN,17,17,55,270,7,33,65.5,28,4.9,15.9,3.2,10,
Salvon Ahmed,23,MIA,12,0,54,149,0,8,29.6,16,2.8,12.4,4.5,0,
Chris Carson,27,SEA,4,4,54,232,3,11,55.6,33,4.3,58.0,13.5,1,
Tony Jones,24,NOR,11,4,54,142,0,7,37.0,11,2.6,12.9,4.9,0,
Derrick Gore,27,KAN,11,0,51,256,2,12,60.8,51,5.0,23.3,4.6,0,
Ameer Abdullah,28,2TM,17,1,51,166,0,8,45.1,15,3.3,9.8,3.0,0,
Ameer Abdullah,28,MIN,6,0,7,30,0,0,42.9,9,4.3,5.0,1.2,0,
Ameer Abdullah,28,CAR,11,1,44,136,0,8,45.5,15,3.1,12.4,4.0,0,
Sam Darnold,24,CAR,12,11,48,222,5,20,60.4,30,4.6,18.5,4.0,9,
J.D. McKissic,28,WAS,11,3,48,212,2,14,60.4,15,4.4,19.3,4.4,0,
Dak Prescott,28,DAL,16,16,48,146,1,7,27.1,21,3.0,9.1,3.0,14,AP CPoY-2
Tyler Huntley,23,BAL,7,4,47,294,2,22,55.3,21,6.3,42.0,6.7,4,
Cam Newton,32,CAR,8,5,47,230,5,20,55.3,33,4.9,28.8,5.9,4,
Brandon Bolden,31,NWE,17,1,44,226,1,12,43.2,24,5.1,13.3,2.6,1,
Mac Jones,23,NWE,17,17,44,129,0,22,52.3,13,2.9,7.6,2.6,7,"PB,AP ORoY-2"
Dare Ogunbowale,27,JAX,17,2,43,137,1,5,37.2,12,3.2,8.1,2.5,0,
Russell Wilson,33,SEA,14,14,43,183,2,17,44.2,17,4.3,13.1,3.1,6,PB
Tua Tagovailoa,23,MIA,13,12,42,128,3,13,40.5,23,3.0,9.8,3.2,9,
Jeremy McNichols,26,TEN,14,0,41,156,0,6,41.5,14,3.8,11.1,2.9,0,
Trey Sermon,22,SFO,9,2,41,167,1,9,56.1,16,4.1,18.6,4.6,0,
Joe Burrow,25,CIN,16,16,40,118,2,14,40.0,12,3.0,7.4,2.5,5,AP CPoY-1
Derek Carr,30,LVR,17,17,40,108,0,9,40.0,22,2.7,6.4,2.4,13,
Matt Ryan,36,ATL,17,17,40,82,1,9,30.0,17,2.1,4.8,2.4,11,
Damien Williams,29,CHI,12,2,40,164,2,11,52.5,23,4.1,13.7,3.3,0,
Le'Veon Bell,29,2TM,8,0,39,101,2,9,46.2,12,2.6,12.6,4.9,0,
Le'Veon Bell,29,BAL,5,0,31,83,2,8,48.4,12,2.7,16.6,6.2,0,
Le'Veon Bell,29,TAM,3,0,8,18,0,1,37.5,7,2.3,6.0,2.7,0,
Jimmy Garoppolo,30,SFO,15,15,38,51,3,15,47.4,7,1.3,3.4,2.5,8,
Trey Lance,21,SFO,6,2,38,168,1,8,42.1,15,4.4,28.0,6.3,0,
Adrian Peterson,36,2TM,4,3,38,98,2,6,42.1,16,2.6,24.5,9.5,1,
Adrian Peterson,36,TEN,3,2,27,82,1,4,44.4,16,3.0,27.3,9.0,0,
