Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
David Akers*,PHI,36,K,16,0,,,,,,,,,,,,47,47,32,38,,143,8.9
Sebastian Janikowski,OAK,32,K,16,0,,,,,,,,,,,,43,43,33,41,,142,8.9
Adam Vinatieri,IND,38,K,16,0,,,,,,,,,,,,51,51,26,28,,129,8.1
Matt Bryant,ATL,35,K,16,0,,,,,,,,,,,,44,44,28,31,,128,8.0
Nick Folk,NYJ,26,K,16,0,,,,,,,,,,,,37,37,30,39,,127,7.9
Josh Brown,STL,31,K,16,0,,,,,,,,,,,,26,27,33,39,,125,7.8
Neil Rackers,HOU,34,K,16,0,,,,,,,,,,,,43,43,27,30,,124,7.8
Billy Cundiff*+,BAL,30,K,16,0,,,,,,,,,,,,39,39,26,29,,117,7.3
Dan Carpenter,MIA,25,K,16,0,,,,,,,,,,,,25,25,30,41,,115,7.2
David Buehler,DAL,23,K,16,0,,,,,,,,,,,,42,44,24,32,,114,7.1
Mason Crosby,GNB,26,K,16,0,,,,,,,,,,,,46,46,22,28,,112,7.0
Rob Bironas,TEN,32,K,16,0,,,,,,,,,,,,38,38,24,26,,110,6.9
Robbie Gould,CHI,28,K,16,0,,,,,,,,,,,,35,35,25,30,,110,6.9
Nate Kaeding,SDG,28,K,13,0,,,,,,,,,,,,40,40,23,28,,109,8.4
Arian Foster*+,HOU,24,RB,16,13,16,2,,,,,,18,,,,,,,,,108,6.8
Jay Feely,ARI,34,K,16,0,1,,,,,,,1,,,,29,29,24,27,,107,6.7
Josh Scobee,JAX,28,K,16,0,,,,,,,,,,,,41,41,22,28,,107,6.7
Olindo Mare,SEA,37,K,16,0,,,,,,,,,,,,31,31,25,30,,106,6.6
Connor Barth,TAM,24,K,16,0,,,,,,,,,,,,36,36,23,28,,105,6.6
Jeff Reed,2TM,31,K,14,0,,,,,,,,,,,0,32,32,24,32,,104,7.4
Ryan Succop,KAN,24,K,16,0,,,,,,,,,,,,42,42,20,26,,102,6.4
Graham Gano,WAS,23,K,16,0,,,,,,,,,,,,28,28,24,35,,100,6.3
Garrett Hartley,NOR,24,K,14,0,,,,,,,,,,,,40,40,20,25,,100,7.1
Lawrence Tynes,NYG,32,K,15,0,,,,,,,,,,,,43,43,19,23,,100,6.7
Phil Dawson,CLE,35,K,16,0,,,,,,,,,,,,28,28,23,28,,97,6.1
John Kasay,CAR,41,K,16,0,,,,,,,,,,,,17,17,25,29,,92,5.8
Dwayne Bowe*,KAN,26,WR,16,16,,15,,,,,,15,,,,,,,,,90,5.6
Ryan Longwell,MIN,36,K,16,0,,,,,,,,,,,,30,31,17,18,,81,5.1
Rian Lindell,BUF,33,K,16,0,,,,,,,,,,,,31,32,16,21,,79,4.9
BenJarvus Green-Ellis,NWE,25,RB,16,11,13,,,,,,,13,,,,,,,,,78,4.9
Peyton Hillis,CLE,24,RB,16,14,11,2,,,,,,13,,,,,,,,,78,4.9
Rashard Mendenhall,PIT,23,RB,16,16,13,,,,,,,13,,,,,,,,,78,4.9
Adrian Peterson*,MIN,25,RB,15,15,12,1,,,,,,13,,,,,,,,,78,5.2
Matt Prater,DEN,26,K,12,0,,,,,,,,,,,,28,29,16,18,,76,6.3
Shayne Graham,2TM,33,K,9,0,,,,,,,,,,,0,39,41,12,12,,75,8.3
Calvin Johnson*,DET,25,WR,15,15,,12,,,,,,12,1,,,,,,,,74,4.9
Greg Jennings*,GNB,27,WR,16,16,,12,,,,,,12,,,,,,,,,72,4.5
Chris Johnson*,TEN,25,RB,16,16,11,1,,,,,,12,,,,,,,,,72,4.5
Michael Turner*,ATL,28,RB,16,15,12,,,,,,,12,,,,,,,,,72,4.5
Mike Tolbert,SDG,25,RB,15,4,11,,,,,,,11,1,,,,,,,,68,4.5
Brandon Lloyd*,DEN,29,WR,16,11,,11,,,,,,11,,,,,,,,,66,4.1
Hakeem Nicks,NYG,22,WR,13,12,,11,,,,,,11,,,,,,,,,66,5.1
Mike Williams,TAM,23,WR,16,16,,11,,,,,,11,,,,,,,,,66,4.1
Roddy White*+,ATL,29,WR,16,16,,10,,,,,,10,2,,,,,,,,64,4.0
Mike Nugent,CIN,28,K,9,0,,,,,,,,,,,,17,17,15,19,,62,6.9
Shaun Suisham,PIT,29,K,7,0,,,,,,,,,,,,19,19,14,15,,61,8.7
Antonio Gates*,SDG,30,TE,10,10,,10,,,,,,10,,,,,,,,,60,6.0
Rob Gronkowski,NWE,21,TE,16,11,,10,,,,,,10,,,,,,,,,60,3.8
Stevie Johnson,BUF,24,WR,16,13,,10,,,,,,10,,,,,,,,,60,3.8
Marcedes Lewis*,JAX,26,TE,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Jeremy Maclin,PHI,22,WR,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Darren McFadden,OAK,23,RB,13,13,7,3,,,,,,10,,,,,,,,,60,4.6
Mike Wallace,PIT,24,WR,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Kenny Britt,TEN,22,WR,12,7,,9,,,,,,9,1,,,,,,,,56,4.7
Matt Forte,CHI,25,RB,16,16,6,3,,,,,,9,1,,,,,,,,56,3.5
Stephen Gostkowski,NWE,26,K,8,0,,,,,,,,,,,,26,26,10,13,,56,7.0
Jason Witten*+,DAL,28,TE,16,16,,9,,,,,,9,1,,,,,,,,56,3.5
Jason Hanson,DET,40,K,8,0,,,,,,,,,,,,19,19,12,14,,55,6.9
Dave Rayner,DET,28,K,8,0,,,,,,,,,,,,16,16,13,16,,55,6.9
Brandon Jacobs,NYG,28,RB,16,5,9,,,,,,,9,,,,,,,,,54,3.4
Mario Manningham,NYG,24,WR,16,8,,9,,,,,,9,,,,,,,,,54,3.4
LeSean McCoy,PHI,22,RB,15,13,7,2,,,,,,9,,,,,,,,,54,3.6
Terrell Owens,CIN,37,WR,14,11,,9,,,,,,9,,,,,,,,,54,3.9
Michael Vick*,PHI,30,QB,12,12,9,,,,,,,9,,,,,,,,,54,4.5
Cedric Benson,CIN,28,RB,16,16,7,1,,,,,,8,1,,,,,,,,50,3.1
Ahmad Bradshaw,NYG,24,RB,16,11,8,,,,,,,8,1,,,,,,,,50,3.1
Joe Nedney,SFO,37,K,9,0,,,,,,,,,,,,17,17,11,13,,50,5.6
Miles Austin*,DAL,26,WR,16,16,1,7,,,,,,8,,,,,,,,,48,3.0
Dez Bryant,DAL,22,WR,12,2,,6,2,,,,,8,,,,,,,,,48,4.0
Michael Bush,OAK,26,RB,14,3,8,,,,,,,8,,,,,,,,,48,3.4
Jamaal Charles*+,KAN,24,RB,16,6,5,3,,,,,,8,,,,,,,,,48,3.0
Austin Collie,IND,25,WR,9,6,,8,,,,,,8,,,,,,,,,48,5.3
DeSean Jackson*,PHI,24,WR,14,14,1,6,1,,,,,8,,,,,,,,,48,3.4
Andre Johnson*,HOU,29,WR,13,13,,8,,,,,,8,,,,,,,,,48,3.7
Lance Moore,NOR,27,WR,16,1,,8,,,,,,8,,,,,,,,,48,3.0
Knowshon Moreno,DEN,23,RB,13,13,5,3,,,,,,8,,,,,,,,,48,3.7
Vernon Davis,SFO,26,TE,16,16,,7,,,,,,7,1,,,,,,,,44,2.8
Braylon Edwards,NYJ,27,WR,16,15,,7,,,,,,7,1,,,,,,,,44,2.8
Percy Harvin,MIN,22,WR,14,13,1,5,,1,,,,7,1,,,,,,,,44,3.1
