Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Pharoh Cooper,LAR,21,WR,10,3,5.0,5.0,0,6.0,1.0,14.0,323.0,0,51.0,23.1,434
Michael Campanaro,BAL,25,WR,3,0,5.0,63.0,0,17.0,12.6,,,0,,,135
Vernon Hargreaves III,TAM,21,LCB,16,16,5.0,29.0,0,12.0,5.8,,,0,,,29
Cre'von LeBlanc,CHI,22,RCB,13,9,5.0,43.0,0,13.0,8.6,,,0,,,67
Randall Cobb,GNB,26,WR,13,10,4.0,54.0,0,23.0,13.5,,,0,,,697
Cole Beasley,DAL,27,WR,16,6,3.0,3.0,0,3.0,1.0,,,0,,,843
Marqise Lee,JAX,25,WR,16,6,2.0,3.0,0,3.0,1.5,18.0,545.0,1,100.0,30.3,1434
Kenjon Barner,PHI,27,RB,13,0,2.0,22.0,0,22.0,11.0,9.0,277.0,0,61.0,30.8,470
Reggie Bush,BUF,31,RB,13,0,2.0,13.0,0,13.0,6.5,5.0,103.0,0,35.0,20.6,203
Bralon Addison,CHI,23,WR,2,0,2.0,3.0,0,3.0,1.5,1.0,18.0,0,18.0,18.0,36
Lardarius Webb,BAL,31,FS,16,16,2.0,3.0,0,3.0,1.5,1.0,8.0,0,8.0,8.0,11
Joe Haden,CLE,27,LCB,13,13,2.0,18.0,0,13.0,9.0,,,0,,,27
Jordan Poyer,CLE,25,FS,6,6,2.0,2.0,0,2.0,1.0,,,0,,,2
Cordarrelle Patterson*+,MIN,25,WR,16,8,1.0,9.0,0,9.0,9.0,25.0,792.0,1,104.0,31.7,1297
Jeremy Ross,2TM,28,WR,6,1,1.0,10.0,0,10.0,10.0,11.0,224.0,0,28.0,20.4,271
Will Blackmon,WAS,32,FS,15,6,1.0,16.0,0,16.0,16.0,4.0,109.0,0,45.0,27.3,204
Josh Ferguson,IND,23,RB,16,0,1.0,0.0,0,0.0,0.0,4.0,80.0,0,24.0,20.0,236
Braxton Miller,HOU,24,WR,10,6,1.0,1.0,0,1.0,1.0,3.0,41.0,0,17.0,13.7,141
Bryce Callahan,CHI,25,DB,11,10,1.0,3.0,0,3.0,3.0,2.0,17.0,0,17.0,8.5,20
T.Y. Hilton*,IND,27,WR,16,16,1.0,5.0,0,5.0,5.0,2.0,5.0,0,5.0,2.5,1458
D.J. Alexander*,KAN,25,LB,16,1,1.0,0.0,0,0.0,0.0,,,0,,,0
Antwon Blake,TEN,26,DB,16,1,1.0,1.0,0,1.0,1.0,,,0,,,-1
Aaron Burbridge,SFO,23,WR,16,3,1.0,0.0,0,0.0,0.0,,,0,,,88
