Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Justin Tucker*,BAL,33,K,17,0,,,13.0,13.0,11.0,11.0,5.0,4.0,14.0,9.0,43.0,37.0,58.0,86.0%,32.0,31.0,96.9%,86.0,5449.0,60.0,69.8%,63.4
Ryan Succop,TAM,36,K,17,0,,,11.0,10.0,8.0,7.0,12.0,12.0,7.0,2.0,38.0,31.0,54.0,81.6%,25.0,24.0,96.0%,,,,,
Jason Myers*,SEA,31,K,17,0,,,9.0,9.0,16.0,15.0,6.0,4.0,6.0,6.0,37.0,34.0,56.0,91.9%,42.0,41.0,97.6%,93.0,5839.0,54.0,58.1%,62.8
Daniel Carlson+,LVR,27,K,17,0,,,9.0,9.0,11.0,11.0,4.0,3.0,13.0,11.0,37.0,34.0,57.0,91.9%,36.0,35.0,97.2%,90.0,5548.0,57.0,63.3%,61.6
Nick Folk,NWE,38,K,17,0,1.0,1.0,9.0,9.0,8.0,8.0,14.0,10.0,5.0,4.0,37.0,32.0,54.0,86.5%,35.0,32.0,91.4%,33.0,1953.0,3.0,9.1%,59.2
Younghoe Koo,ATL,28,K,17,0,,,9.0,9.0,7.0,7.0,10.0,9.0,11.0,7.0,37.0,32.0,54.0,86.5%,35.0,33.0,94.3%,,,,,
Greg Zuerlein,NYJ,35,K,17,0,,,5.0,5.0,10.0,10.0,11.0,9.0,11.0,6.0,37.0,30.0,60.0,81.1%,29.0,28.0,96.6%,56.0,3590.0,47.0,83.9%,64.1
Brandon McManus,DEN,31,K,17,0,,,7.0,6.0,6.0,4.0,10.0,10.0,13.0,8.0,36.0,28.0,55.0,77.8%,27.0,25.0,92.6%,73.0,4580.0,51.0,69.9%,62.7
Chase McLaughlin,IND,26,K,16,0,,,7.0,7.0,6.0,5.0,11.0,9.0,12.0,9.0,36.0,30.0,54.0,83.3%,21.0,21.0,100.0%,72.0,4682.0,38.0,52.8%,65.0
Riley Patterson,JAX,23,K,17,0,,,8.0,8.0,11.0,10.0,13.0,10.0,3.0,2.0,35.0,30.0,53.0,85.7%,37.0,36.0,97.3%,88.0,5492.0,44.0,50.0%,62.4
Eddy Piñeiro,CAR,27,K,17,0,,,2.0,2.0,17.0,16.0,14.0,13.0,2.0,2.0,35.0,33.0,54.0,94.3%,32.0,30.0,93.8%,83.0,5146.0,46.0,55.4%,62.0
Greg Joseph,MIN,28,K,17,0,,,10.0,10.0,5.0,5.0,8.0,7.0,10.0,4.0,33.0,26.0,61.0,78.8%,46.0,40.0,87.0%,89.0,5639.0,54.0,60.7%,63.4
Brett Maher,DAL,33,K,17,0,,,9.0,9.0,5.0,5.0,7.0,6.0,11.0,9.0,32.0,29.0,60.0,90.6%,53.0,50.0,94.3%,100.0,6506.0,78.0,78.0%,65.1
Robbie Gould,SFO,40,K,17,0,,,14.0,13.0,5.0,5.0,11.0,7.0,2.0,2.0,32.0,27.0,51.0,84.4%,51.0,50.0,98.0%,95.0,5983.0,47.0,49.5%,63.0
Jason Sanders,MIA,27,K,17,0,,,6.0,5.0,7.0,7.0,13.0,12.0,6.0,2.0,32.0,26.0,55.0,81.3%,44.0,41.0,93.2%,88.0,5486.0,61.0,69.3%,62.3
Cade York,CLE,21,K,17,0,,,5.0,5.0,12.0,9.0,8.0,6.0,7.0,4.0,32.0,24.0,58.0,75.0%,37.0,35.0,94.6%,81.0,5032.0,50.0,61.7%,62.1
Graham Gano,NYG,35,K,17,0,,,2.0,2.0,10.0,9.0,11.0,10.0,9.0,8.0,32.0,29.0,57.0,90.6%,34.0,32.0,94.1%,84.0,5117.0,50.0,59.5%,60.9
Tyler Bass,BUF,25,K,16,0,,,4.0,4.0,13.0,11.0,11.0,10.0,3.0,2.0,31.0,27.0,56.0,87.1%,50.0,48.0,96.0%,92.0,5759.0,43.0,46.7%,62.6
Wil Lutz,NOR,28,K,17,0,,,6.0,6.0,11.0,9.0,8.0,4.0,6.0,4.0,31.0,23.0,60.0,74.2%,33.0,33.0,100.0%,75.0,4554.0,48.0,64.0%,60.7
Ka'imi Fairbairn,HOU,28,K,17,0,,,7.0,7.0,8.0,7.0,10.0,9.0,6.0,6.0,31.0,29.0,56.0,93.5%,24.0,24.0,100.0%,75.0,4564.0,33.0,44.0%,60.9
Matt Gay,LAR,28,K,17,0,,,9.0,9.0,8.0,8.0,4.0,4.0,9.0,7.0,30.0,28.0,58.0,93.3%,32.0,31.0,96.9%,77.0,4843.0,61.0,79.2%,62.9
Joey Slye,WAS,26,K,17,0,1.0,1.0,8.0,8.0,5.0,4.0,10.0,8.0,6.0,4.0,30.0,25.0,58.0,83.3%,28.0,24.0,85.7%,77.0,4802.0,60.0,77.9%,62.4
Evan McPherson,CIN,23,K,16,0,1.0,1.0,6.0,5.0,4.0,4.0,13.0,9.0,5.0,5.0,29.0,24.0,59.0,82.8%,44.0,40.0,90.9%,90.0,5604.0,51.0,56.7%,62.3
Mason Crosby,GNB,38,K,17,0,,,10.0,10.0,8.0,8.0,7.0,6.0,4.0,1.0,29.0,25.0,56.0,86.2%,39.0,37.0,94.9%,74.0,4494.0,15.0,20.3%,60.7
Michael Badgley,2TM,27,K,13,0,,,7.0,6.0,7.0,7.0,11.0,9.0,3.0,2.0,28.0,24.0,53.0,85.7%,33.0,33.0,100.0%,5.0,195.0,1.0,20.0%,39.0
Chris Boswell,PIT,31,K,12,0,,,4.0,4.0,5.0,4.0,10.0,5.0,9.0,7.0,28.0,20.0,59.0,71.4%,18.0,18.0,100.0%,50.0,3073.0,21.0,42.0%,61.5
Matt Prater,ARI,38,K,13,0,,,1.0,1.0,10.0,10.0,8.0,6.0,6.0,5.0,25.0,22.0,57.0,88.0%,18.0,17.0,94.4%,49.0,3098.0,34.0,69.4%,63.2
Harrison Butker,KAN,27,K,13,0,,,7.0,7.0,5.0,4.0,5.0,4.0,7.0,3.0,24.0,18.0,62.0,75.0%,41.0,38.0,92.7%,68.0,4378.0,44.0,64.7%,64.4
Jake Elliott,PHI,27,K,16,0,,,6.0,6.0,9.0,8.0,2.0,1.0,6.0,5.0,23.0,20.0,56.0,87.0%,53.0,51.0,96.2%,91.0,5893.0,63.0,69.2%,64.8
Cairo Santos,CHI,31,K,16,0,,,4.0,4.0,7.0,7.0,7.0,6.0,5.0,4.0,23.0,21.0,51.0,91.3%,32.0,27.0,84.4%,49.0,3076.0,28.0,57.1%,62.8
Cameron Dicker,2TM,22,K,11,0,,,7.0,7.0,7.0,7.0,7.0,7.0,1.0,,22.0,21.0,48.0,95.5%,24.0,24.0,100.0%,55.0,3519.0,46.0,83.6%,64.0
Randy Bullock,TEN,33,K,15,0,,,5.0,5.0,5.0,5.0,8.0,6.0,2.0,1.0,20.0,17.0,51.0,85.0%,28.0,28.0,100.0%,56.0,3539.0,31.0,55.4%,63.2
Matthew Wright,2TM,26,K,6,0,,,1.0,1.0,7.0,6.0,8.0,6.0,2.0,2.0,18.0,15.0,59.0,83.3%,15.0,15.0,100.0%,36.0,2244.0,15.0,41.7%,62.3
Dustin Hopkins,LAC,32,K,5,0,,,2.0,2.0,6.0,6.0,2.0,1.0,,,10.0,9.0,43.0,90.0%,12.0,12.0,100.0%,19.0,1175.0,17.0,89.5%,61.8
Matt Ammendola,2TM,26,K,4,0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,7.0,5.0,31.0,71.4%,7.0,5.0,71.4%,16.0,1022.0,12.0,75.0%,63.9
Austin Seibert,DET,26,K,3,0,,,,,1.0,1.0,3.0,2.0,1.0,,5.0,3.0,48.0,60.0%,12.0,12.0,100.0%,18.0,1096.0,3.0,16.7%,60.9
Rodrigo Blankenship,2TM,25,K,3,0,,,2.0,2.0,,,2.0,1.0,1.0,1.0,5.0,4.0,50.0,80.0%,5.0,4.0,80.0%,20.0,1303.0,17.0,85.0%,65.2
Caleb Shudak,TEN,25,K,1,0,,,1.0,1.0,3.0,2.0,,,,,4.0,3.0,38.0,75.0%,1.0,1.0,100.0%,5.0,315.0,4.0,80.0%,63.0
Taylor Bertolet,LAC,30,K,2,0,,,3.0,3.0,,,,,,,3.0,3.0,28.0,100.0%,6.0,6.0,100.0%,11.0,630.0,5.0,45.5%,57.3
Tristan Vizcaino,2TM,26,K,3,0,,,,,1.0,1.0,1.0,1.0,,,2.0,2.0,46.0,100.0%,3.0,3.0,100.0%,12.0,740.0,4.0,33.3%,61.7
Nick Sciba,PIT,23,K,1,0,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,38.0,100.0%,1.0,1.0,100.0%,4.0,232.0,,,58.0
Dominik Eberle,DET,26,K,1,0,,,,,,,1.0,1.0,,,1.0,1.0,49.0,100.0%,4.0,2.0,50.0%,7.0,361.0,5.0,71.4%,51.6
Josh Lambo,TEN,32,K,1,0,,,,,,,,,,,,,,,4.0,3.0,75.0%,5.0,307.0,,,61.4
Justin Reid,KAN,25,FS,17,17,,,,,,,,,,,,,,,2.0,1.0,50.0%,7.0,445.0,5.0,71.4%,63.6
Mitch Wishnowsky,SFO,30,P,17,0,,,,,,,,,,,,,,,2.0,1.0,50.0%,4.0,240.0,,,60.0
Bradley Pinion,ATL,28,P,17,0,,,,,,,,,,,,,,,,,,80.0,5143.0,59.0,73.8%,64.3
Jake Camarda,TAM,23,P,17,0,,,,,,,,,,,,,,,,,,78.0,4859.0,40.0,51.3%,62.3
Jack Fox,DET,26,P,17,0,,,,,,,,,,,,,,,,,,63.0,4077.0,45.0,71.4%,64.7
Jake Bailey,NWE,25,P,9,0,,,,,,,,,,,,,,,,,,46.0,2949.0,28.0,60.9%,64.1
Trenton Gill,CHI,23,P,17,0,,,,,,,,,,,,,,,,,,27.0,1743.0,13.0,48.1%,64.6
Braden Mann,NYJ,25,P,17,0,,,,,,,,,,,,,,,,,,17.0,855.0,11.0,64.7%,50.3
Ramiz Ahmed,GNB,27,K,1,0,,,,,,,,,,,,,,,,,,6.0,370.0,3.0,50.0%,61.7
JK Scott,LAC,27,P,17,0,,,,,,,,,,,,,,,,,,6.0,387.0,5.0,83.3%,64.5
Eno Benjamin,3TM,23,RB,15,3,,,,,,,,,,,,,,,,,,3.0,158.0,,,52.7
Ryan Stonehouse,TEN,23,P,17,0,,,,,,,,,,,,,,,,,,3.0,180.0,2.0,66.7%,60.0
Thomas Morstead,MIA,36,P,17,0,,,,,,,,,,,,,,,,,,2.0,147.0,,,73.5
Corey Bojorquez,CLE,26,P,17,0,,,,,,,,,,,,,,,,,,1.0,79.0,,,79.0
Logan Cooke,JAX,27,P,17,0,,,,,,,,,,,,,,,,,,1.0,45.0,,,45.0
Michael Dickson,SEA,26,P,17,0,,,,,,,,,,,,,,,,,,1.0,65.0,,,65.0
Riley Dixon,LAR,29,P,17,0,,,,,,,,,,,,,,,,,,1.0,43.0,,,43.0
Jamie Gillan,NYG,25,P,17,0,,,,,,,,,,,,,,,,,,1.0,57.0,,,57.0
Johnny Hekker,CAR,32,P,17,0,,,,,,,,,,,,,,,,,,1.0,8.0,,,8.0
Sam Martin,BUF,32,P,16,0,,,,,,,,,,,,,,,,,,1.0,63.0,,,63.0
Arryn Siposs,PHI,30,P,13,0,,,,,,,,,,,,,,,,,,1.0,70.0,,,70.0
Tress Way*,WAS,32,P,17,0,,,,,,,,,,,,,,,,,,1.0,63.0,,,63.0
