Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Harrison Butker,KAN,24,K,16,0,,,,,,,,,,,,45,48,34,38,,147,9.2
Wil Lutz*,NOR,25,K,16,0,,,,,,,,,,,,48,49,32,36,,144,9.0
Justin Tucker*+,BAL,30,K,16,0,,,,,,,,,,,,57,59,28,29,,141,8.8
Zane Gonzalez,ARI,24,K,16,0,,,,,,,,,,,,34,35,31,35,,127,7.9
Matt Gay,TAM,25,K,16,0,,,,,,,,,,,,43,48,27,35,,124,7.8
Dan Bailey,MIN,31,K,16,0,,,,,,,,,,,,40,44,27,29,,121,7.6
Josh Lambo,JAX,29,K,16,0,,,,,,,,,,,,19,20,33,34,,118,7.4
Christian McCaffrey*+,CAR,23,RB,16,16,15,4,,,,,,19,1,,,,,,,,116,7.3
Chris Boswell,PIT,28,K,16,0,,,,,,,,,,,,28,28,29,31,,115,7.2
Aaron Jones,GNB,25,RB,16,16,16,3,,,,,,19,,,,,,,,,114,7.1
Greg Zuerlein,LAR,32,K,16,0,,,,,,,,,,,,42,42,24,33,,114,7.1
Matt Prater,DET,35,K,16,0,,,,,,,,,,,,35,36,26,31,,113,7.1
Brandon McManus,DEN,28,K,16,0,,,,,,,,,,,,25,26,29,34,,112,7.0
Robbie Gould,SFO,37,K,13,0,,,,,,,,,,,,41,42,23,31,,110,8.5
Jason Myers,SEA,28,K,16,0,,,,,,,,,,,,40,44,23,28,,109,6.8
Derrick Henry*,TEN,25,RB,15,15,16,2,,,,,,18,,,,,,,,,108,7.2
Mason Crosby,GNB,35,K,16,0,,,,,,,,,,,,40,41,22,24,,106,6.6
Joey Slye,CAR,23,K,16,0,,,,,,,,,,,,31,35,25,32,,106,6.6
Randy Bullock,CIN,30,K,16,0,,,,,,,,,,,,24,25,27,31,,105,6.6
Austin Seibert,CLE,23,K,16,0,,,,,,,,,,,,30,35,25,29,,105,6.6
Jason Sanders,MIA,24,K,16,0,,1,,,,,,1,,,,29,30,23,30,,104,6.5
Jake Elliott,PHI,24,K,16,0,,,,,,,,,,,,35,37,22,26,,101,6.3
Ka'imi Fairbairn,HOU,25,K,16,0,,,,,,,,,,,,40,45,20,25,,100,6.3
Stephen Hauschka,BUF,34,K,16,0,,,,,,,,,,,,30,32,22,28,,96,6.0
Dustin Hopkins,WAS,29,K,16,0,,,,,,,,,,,,21,22,25,30,,96,6.0
Brett Maher,DAL,30,K,13,0,,,,,,,,,,,,36,36,20,30,,96,7.4
Eddy Piñeiro,CHI,24,K,16,0,,,,,,,,,,,,27,29,23,28,,96,6.0
Mark Ingram*,BAL,30,RB,15,15,10,5,,,,,,15,2,,,,,,,,94,6.3
Daniel Carlson,OAK,24,K,16,0,,,,,,,,,,,,34,36,19,26,,91,5.7
Todd Gurley,LAR,25,RB,15,15,12,2,,,,,,14,1,,,,,,,,86,5.7
Ezekiel Elliott*,DAL,24,RB,16,16,12,2,,,,,,14,,,,,,,,,84,5.3
Younghoe Koo,ATL,25,K,8,0,,,,,,,,,,,,15,16,23,26,,84,10.5
Sam Ficken,NYJ,27,K,15,0,,,,,,,,,,,,23,26,19,27,,80,5.3
Chase McLaughlin,3TM,23,K,11,0,,,,,,,,,,,0,26,26,18,23,,80,7.3
Dalvin Cook*,MIN,24,RB,14,14,13,,,,,,,13,,,,,,,,,78,5.6
Adam Vinatieri,IND,47,K,12,0,,,,,,,,,,,,22,28,17,25,,73,6.1
Aldrick Rosas,NYG,25,K,16,0,,,,,,,,,,,,35,39,12,17,,71,4.4
Austin Ekeler,LAC,24,RB,16,8,3,8,,,,,,11,,,,,,,,,66,4.1
Kenny Golladay*,DET,26,WR,16,16,,11,,,,,,11,,,,,,,,,66,4.1
Mark Andrews*,BAL,24,TE,15,4,,10,,,,,,10,,,,,,,,,60,4.0
Cooper Kupp,LAR,26,WR,16,14,,10,,,,,,10,,,,,,,,,60,3.8
Raheem Mostert,SFO,27,RB,16,0,8,2,,,,,,10,,,,,,,,,60,3.8
Michael Badgley,LAC,24,K,8,0,,,,,,,,,,,,19,19,13,16,,58,7.3
Josh Allen,BUF,23,QB,16,16,9,,,,,,,9,1,,,,,,,,56,3.5
Chris Godwin*,TAM,23,WR,14,14,,9,,,,,,9,1,,,,,,,,56,4.0
A.J. Brown,TEN,22,WR,16,11,1,8,,,,,,9,,,,,,,,,54,3.4
Chris Carson,SEA,25,RB,15,15,7,2,,,,,,9,,,,,,,,,54,3.6
Jared Cook*,NOR,32,TE,14,7,,9,,,,,,9,,,,,,,,,54,3.9
Nick Folk,NWE,35,K,7,0,,,,,,,,,,,,12,12,14,17,,54,7.7
Melvin Gordon,LAC,26,RB,12,11,8,1,,,,,,9,,,,,,,,,54,4.5
Marvin Jones,DET,29,WR,13,11,,9,,,,,,9,,,,,,,,,54,4.2
DeVante Parker,MIA,26,WR,16,14,,9,,,,,,9,,,,,,,,,54,3.4
Michael Thomas*+,NOR,26,WR,16,15,,9,,,,,,9,,,,,,,,,54,3.4
DJ Chark*,JAX,23,WR,15,14,,8,,,,,,8,1,,,,,,,,50,3.3
Kenyan Drake,2TM,25,RB,14,10,8,,,,,,,8,1,,0,,,,,,50,3.6
Mike Evans*,TAM,26,WR,13,13,,8,,,,,,8,1,,,,,,,,50,3.8
Marlon Mack,IND,23,RB,14,12,8,,,,,,,8,1,,,,,,,,50,3.6
Saquon Barkley,NYG,22,RB,13,13,6,2,,,,,,8,,,,,,,,,48,3.7
Nick Chubb*,CLE,24,RB,16,16,8,,,,,,,8,,,,,,,,,48,3.0
Amari Cooper*,DAL,25,WR,16,16,,8,,,,,,8,,,,,,,,,48,3.0
Tyler Lockett,SEA,27,WR,16,16,,8,,,,,,8,,,,,,,,,48,3.0
Joe Mixon,CIN,23,RB,16,15,5,3,,,,,,8,,,,,,,,,48,3.0
Darius Slayton,NYG,22,WR,14,9,,8,,,,,,8,,,,,,,,,48,3.4
Deshaun Watson*,HOU,24,QB,15,15,7,1,,,,,,8,,,,,,,,,48,3.2
Peyton Barber,TAM,25,RB,16,7,6,1,,,,,,7,1,,,,,,,,44,2.8
Kai Forbath,2TM,32,K,4,0,,,,,,,,,,,0,11,12,11,11,,44,11.0
DeAndre Hopkins*+,HOU,27,WR,15,15,,7,,,,,,7,1,,,,,,,,44,2.9
D.K. Metcalf,SEA,22,WR,16,15,,7,,,,,,7,1,,,,,,,,44,2.8
Calvin Ridley,ATL,25,WR,13,10,,7,,,,,,7,1,,,,,,,,44,3.4
Marquise Brown,BAL,22,WR,14,11,,7,,,,,,7,,,,,,,,,42,3.0
Tevin Coleman,SFO,26,RB,14,11,6,1,,,,,,7,,,,,,,,,42,3.0
James Conner,PIT,24,RB,10,10,4,3,,,,,,7,,,,,,,,,42,4.2
Darren Fells,HOU,33,TE,16,14,,7,,,,,,7,,,,,,,,,42,2.6
Mecole Hardman*,KAN,21,WR,16,5,,6,,1,,,,7,,,,,,,,,42,2.6
Taysom Hill,NOR,29,WR/QB,16,5,1,6,,,,,,7,,,,,,,,,42,2.6
Tyreek Hill*,KAN,25,WR,12,12,,7,,,,,,7,,,,,,,,,42,3.5
Jordan Howard,PHI,25,RB,10,4,6,1,,,,,,7,,,,,,,,,42,4.2
Lamar Jackson*+,BAL,22,QB,15,15,7,,,,,,,7,,,,,,,,,42,2.8
Josh Jacobs,OAK,21,RB,13,13,7,,,,,,,7,,,,,,,,,42,3.2
Phillip Lindsay,DEN,25,RB,16,16,7,,,,,,,7,,,,,,,,,42,2.6
Terry McLaurin,WAS,24,WR,14,14,,7,,,,,,7,,,,,,,,,42,3.0
Sony Michel,NWE,24,RB,16,14,7,,,,,,,7,,,,,,,,,42,2.6
David Montgomery,CHI,22,RB,16,8,6,1,,,,,,7,,,,,,,,,42,2.6
Allen Robinson,CHI,26,WR,16,15,,7,,,,,,7,,,,,,,,,42,2.6
Curtis Samuel,CAR,23,WR,16,15,1,6,,,,,,7,,,,,,,,,42,2.6
Adam Thielen,MIN,29,WR,10,10,1,6,,,,,,7,,,,,,,,,42,4.2
Damien Williams,KAN,27,RB,11,6,5,2,,,,,,7,,,,,,,,,42,3.8
Matt Bryant,ATL,44,K,7,0,,,,,,,,,,,,14,15,9,14,,41,5.9
Cole Beasley,BUF,30,WR,15,10,,6,,,,,,6,2,,,,,,,,40,2.7
Julian Edelman,NWE,33,WR,16,13,,6,,,,,,6,1,,,,,,,,38,2.4
Zach Ertz*,PHI,29,TE,15,15,,6,,,,,,6,1,,,,,,,,38,2.5
Austin Hooper*,ATL,25,TE,13,10,,6,,,,,,6,1,,,,,,,,38,2.9
Kyle Rudolph,MIN,30,TE,16,16,,6,,,,,,6,1,,,,,,,,38,2.4
Deebo Samuel,SFO,23,WR,15,11,3,3,,,,,,6,1,,,,,,,,38,2.5
Miles Sanders,PHI,22,RB,16,11,3,3,,,,,,6,1,,,,,,,,38,2.4
James White,NWE,27,RB,15,1,1,5,,,,,,6,1,,,,,,,,38,2.5
Keenan Allen*,LAC,27,WR,16,16,,6,,,,,,6,,,,,,,,,36,2.3
John Brown,BUF,29,WR,15,15,,6,,,,,,6,,,,,,,,,36,2.4
Jamison Crowder,NYJ,26,WR,16,12,,6,,,,,,6,,,,,,,,,36,2.3
Stefon Diggs,MIN,26,WR,15,15,,6,,,,,,6,,,,,,,,,36,2.4
Devonta Freeman,ATL,27,RB,14,14,2,4,,,,,,6,,,,,,,,,36,2.6
Michael Gallup,DAL,23,WR,14,12,,6,,,,,,6,,,,,,,,,36,2.6
Carlos Hyde,HOU,29,RB,16,14,6,,,,,,,6,,,,,,,,,36,2.3
David Johnson,ARI,28,RB,13,9,2,4,,,,,,6,,,,,,,,,36,2.8
