Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Larry Fitzgerald,22.0,ARI,16.0,16.0,165.0,103.0,1409.0,13.7,10.0,68.0,52.1,47.0,6.4,88.1,62.4,8.5,0.0,PB
Steve Smith Sr.,26.0,CAR,16.0,16.0,150.0,103.0,1563.0,15.2,12.0,72.0,58.0,80.0,6.4,97.7,68.7,10.4,2.0,"PB,AP-1,AP CPoY-1"
Anquan Boldin,25.0,ARI,14.0,14.0,171.0,102.0,1402.0,13.7,7.0,69.0,52.6,54.0,7.3,100.1,59.6,8.2,2.0,
Torry Holt,29.0,STL,14.0,14.0,163.0,102.0,1331.0,13.0,9.0,63.0,52.1,44.0,7.3,95.1,62.6,8.2,2.0,PB
Chad Johnson,27.0,CIN,16.0,16.0,155.0,97.0,1432.0,14.8,9.0,74.0,60.0,70.0,6.1,89.5,62.6,9.2,1.0,"PB,AP-1"
Antonio Gates,25.0,SDG,15.0,15.0,140.0,89.0,1101.0,12.4,10.0,62.0,53.6,38.0,5.9,73.4,63.6,7.9,0.0,"PB,AP-1"
Donald Driver,30.0,GNB,16.0,16.0,146.0,86.0,1221.0,14.2,5.0,63.0,53.4,59.0,5.4,76.3,58.9,8.4,0.0,
Derrick Mason,31.0,BAL,16.0,16.0,137.0,86.0,1073.0,12.5,3.0,53.0,47.4,39.0,5.4,67.1,62.8,7.8,1.0,
Rod Smith,35.0,DEN,16.0,16.0,126.0,85.0,1105.0,13.0,6.0,55.0,60.3,72.0,5.3,69.1,67.5,8.8,2.0,PB
Santana Moss,26.0,WAS,16.0,16.0,134.0,84.0,1483.0,17.7,9.0,61.0,51.5,78.0,5.3,92.7,62.7,11.1,3.0,"PB,AP-2"
Joey Galloway,34.0,TAM,16.0,16.0,152.0,83.0,1287.0,15.5,10.0,56.0,47.4,80.0,5.2,80.4,54.6,8.5,0.0,AP CPoY-5
Reggie Wayne,27.0,IND,16.0,16.0,122.0,83.0,1055.0,12.7,5.0,55.0,61.5,66.0,5.2,65.9,68.0,8.6,1.0,
Chris Chambers,27.0,MIA,16.0,16.0,166.0,82.0,1118.0,13.6,11.0,59.0,45.2,77.0,5.1,69.9,49.4,6.7,5.0,PB
Marvin Harrison,33.0,IND,15.0,15.0,134.0,82.0,1146.0,14.0,12.0,58.0,56.0,80.0,5.5,76.4,61.2,8.6,0.0,"PB,AP-2"
Eric Moulds,32.0,BUF,15.0,15.0,129.0,81.0,816.0,10.1,4.0,39.0,49.6,55.0,5.4,54.4,62.8,6.3,0.0,
Deion Branch,26.0,NWE,16.0,15.0,125.0,78.0,998.0,12.8,5.0,53.0,56.0,51.0,4.9,62.4,62.4,8.0,0.0,
Tony Gonzalez,29.0,KAN,16.0,16.0,116.0,78.0,905.0,11.6,2.0,45.0,51.7,39.0,4.9,56.6,67.2,7.8,0.0,PB
T.J. Houshmandzadeh,28.0,CIN,14.0,12.0,115.0,78.0,956.0,12.3,7.0,52.0,60.0,43.0,5.6,68.3,67.8,8.3,1.0,
Plaxico Burress,28.0,NYG,16.0,15.0,166.0,76.0,1214.0,16.0,7.0,48.0,41.6,78.0,4.8,75.9,45.8,7.3,1.0,
Jerry Porter,27.0,OAK,16.0,14.0,142.0,76.0,942.0,12.4,5.0,44.0,47.2,49.0,4.8,58.9,53.5,6.6,1.0,
