Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Jaire Alexander,22,GNB,LCB,16,16,2,37,0,37,17,1,0,1,0,0,0.0,58,50,8,2,0,0,
Josh Allen,23,BUF,QB,16,16,0,0,0,0,0,0,14,4,-1,0,0.0,0,0,0,0,0,0,
Ricardo Allen,28,ATL,SS,16,16,2,29,0,27,8,0,0,0,0,0,0.0,85,54,31,4,0,0,
Adrian Amos,26,GNB,SS,16,16,2,12,0,9,8,0,0,0,0,0,1.0,84,68,16,4,2,0,
Arik Armstead,26,SFO,RDE/LDE,16,16,0,0,0,0,2,2,0,1,0,0,10.0,54,32,22,11,18,0,
Chidobe Awuzie,24,DAL,LCB,16,16,1,0,0,0,14,0,0,0,0,0,0.0,79,48,31,1,1,0,
Budda Baker,23,ARI,FS,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,0,PB
Shaquil Barrett,27,TAM,ROLB,16,16,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,37,0,"PB,AP-2,AP DPoY-4"
Jessie Bates III,22,CIN,FS,16,16,3,33,0,20,9,1,0,1,0,0,0.0,100,71,29,0,0,0,
Antoine Bethea,35,NYG,FS,16,16,1,7,0,7,6,0,0,2,0,0,0.0,110,81,29,2,0,0,
Joey Bosa,24,LAC,LDE,16,16,0,0,0,0,0,1,0,0,0,0,11.5,67,47,20,18,31,0,PB
Jonathan Bostic,28,WAS,RILB,16,16,1,26,0,26,2,0,0,0,0,0,1.0,105,56,49,3,6,0,
Tre Boston,27,CAR,FS,16,16,3,20,0,20,11,0,0,0,0,0,0.0,68,53,15,1,1,0,
Garrett Bradbury,24,MIN,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Tom Brady,42,NWE,QB,16,16,0,0,0,0,0,0,4,5,0,0,0.0,0,0,0,0,0,0,
Michael Brockers,29,LAR,LDE,16,16,0,0,0,0,1,0,0,0,0,0,3.0,63,34,29,3,9,0,
Malcom Brown,25,NOR,RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,34,18,16,6,5,0,
DeForest Buckner,25,SFO,RDT,16,16,0,0,0,0,2,2,0,4,12,1,7.5,62,34,28,9,14,0,AP-2
Kevin Byard,26,TEN,FS,16,16,5,79,0,28,9,0,0,0,0,0,0.0,84,60,24,2,0,0,
Calais Campbell,33,JAX,RDE,16,16,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,25,0,PB
A.J. Cann,28,JAX,RG,16,16,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,0,
Brandon Carr,33,BAL,RCB/FS,16,16,0,0,0,0,6,0,0,0,0,0,2.0,49,41,8,4,7,0,
Derek Carr,28,OAK,QB,16,16,0,0,0,0,0,0,7,5,-19,0,0.0,0,0,0,0,0,0,
Nick Chubb,24,CLE,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,PB
Kenny Clark,24,GNB,NT,16,16,0,0,0,0,1,1,0,0,0,0,6.0,62,31,31,9,7,0,PB
Ha Ha Clinton-Dix,27,CHI,FS,16,16,2,96,1,59,5,0,0,2,1,0,0.0,78,62,16,0,0,0,
Maliek Collins,24,DAL,LDT,16,16,0,0,0,0,0,0,0,1,0,0,4.0,20,15,5,6,10,0,
Jack Conklin,25,TEN,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Fletcher Cox,29,PHI,RDT,16,16,0,0,0,0,2,3,0,1,1,0,3.5,40,26,14,5,10,0,PB
Zach Cunningham,25,HOU,RILB,16,16,0,0,0,0,2,0,0,2,24,0,2.0,142,99,43,7,3,0,
Lavonte David,29,TAM,RILB,16,16,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,0,
Demario Davis,30,NOR,LLB,16,16,1,1,0,1,12,0,0,0,0,0,4.0,111,87,24,11,9,0,AP-1
Thomas Davis,36,LAC,LLB,16,16,0,0,0,0,2,0,0,0,0,0,1.0,112,65,47,3,2,0,
Dion Dawkins,25,BUF,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
David DeCastro,29,PIT,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PB
Aaron Donald,28,LAR,RDE,16,16,0,0,0,0,2,2,0,1,0,0,12.5,48,29,19,20,24,1,"PB,AP-1,AP DPoY-5"
Jack Doyle,29,IND,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
Bud Dupree,26,PIT,ROLB,16,16,0,0,0,0,3,4,0,1,0,0,11.5,68,49,19,16,17,0,
Terrell Edmunds,22,PIT,SS,16,16,0,0,0,0,3,0,0,0,0,0,0.0,105,71,34,2,2,0,
Tremaine Edmunds,21,BUF,MLB,16,16,1,0,0,0,9,0,0,0,0,0,1.5,115,66,49,10,4,1,PB
Ezekiel Elliott,24,DAL,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB
Rashaan Evans,24,TEN,LILB,16,16,0,0,0,0,0,0,0,1,53,1,2.5,111,69,42,9,8,0,
Dan Feeney,25,LAC,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Matt Feiler,27,PIT,RT,16,16,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,
Jon Feliciano,27,BUF,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Larry Fitzgerald,36,ARI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Ereck Flowers,25,WAS,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Leonard Floyd,27,CHI,ROLB,16,16,0,0,0,0,1,0,0,0,0,0,3.0,40,27,13,3,12,0,
Travis Frederick,28,DAL,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-4"
Kyle Fuller,27,CHI,LCB,16,16,3,37,0,29,12,0,0,0,0,0,0.0,82,72,10,1,0,0,PB
Jimmy Garoppolo,28,SFO,QB,16,16,0,0,0,0,0,0,10,3,-21,0,0.0,0,0,0,0,0,0,AP CPoY-2
