Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Lac Edwards,NYJ,27,P,16,0,87,3991,45.9,309,3622,41.6,63,3,3.4%,28,32.2%,0
Jake Bailey,NWE,22,P,16,0,81,3638,44.9,175,3343,41.3,65,6,7.4%,36,44.4%,0
Pat O'Donnell,CHI,28,P,16,0,80,3586,44.8,247,3299,40.7,75,2,2.5%,26,32.5%,1
Corey Bojorquez,BUF,23,P,16,0,79,3313,41.9,157,3016,37.7,67,7,8.9%,34,43.0%,1
Tress Way*,WAS,29,P,16,0,79,3919,49.6,354,3485,44.1,79,4,5.1%,30,38.0%,0
Brett Kern*+,TEN,33,P,16,0,78,3672,47.1,269,3363,43.1,70,2,2.6%,37,47.4%,0
Colby Wadman,DEN,24,P,16,0,78,3464,44.4,314,3070,39.4,64,4,5.1%,29,37.2%,0
JK Scott,GNB,24,P,16,0,77,3386,44.0,233,3073,39.9,66,4,5.2%,29,37.7%,0
Sam Martin,DET,29,P,16,0,76,3445,45.3,130,3175,41.8,62,7,9.2%,31,40.8%,0
Logan Cooke,JAX,24,P,16,0,75,3507,46.8,127,3340,44.5,66,2,2.7%,25,33.3%,0
Kevin Huber,CIN,34,P,16,0,75,3394,45.3,136,3158,42.1,63,5,6.7%,30,40.0%,0
Michael Palardy,CAR,27,P,16,0,75,3452,46.0,487,2905,38.7,62,3,4.0%,25,33.3%,0
Jordan Berry,PIT,28,P,16,0,74,3368,45.5,265,3023,40.9,69,4,5.4%,24,32.4%,0
Michael Dickson,SEA,23,P,16,0,74,3341,45.1,213,3028,40.9,63,5,6.8%,34,45.9%,0
Cameron Johnston,PHI,27,P,16,0,71,3292,46.4,207,3005,42.3,61,4,5.6%,28,39.4%,0
Riley Dixon,NYG,26,P,16,0,69,3178,46.1,136,3002,42.3,62,2,2.9%,29,42.0%,2
Matt Haack,MIA,25,P,16,0,69,3105,45.0,229,2836,41.1,62,2,2.9%,23,33.3%,0
AJ Cole III,OAK,24,P,16,0,67,3081,46.0,318,2643,39.4,74,6,9.0%,33,49.3%,0
Johnny Hekker,LAR,29,P,16,0,66,3128,47.4,190,2838,42.4,71,5,7.6%,22,33.3%,1
Jamie Gillan,CLE,22,P,16,0,63,2913,46.2,151,2662,41.6,71,5,7.9%,28,44.4%,1
Britton Colquitt,MIN,34,P,16,0,62,2802,45.2,158,2644,42.6,59,0,0.0%,24,38.7%,0
Andy Lee,ARI,37,P,15,0,61,2913,47.8,278,2555,41.2,64,4,6.6%,21,34.4%,1
Thomas Morstead,NOR,33,P,16,0,60,2770,46.2,166,2584,43.1,64,1,1.7%,29,48.3%,0
Rigoberto Sanchez,IND,25,P,16,0,59,2619,44.4,166,2433,41.2,60,1,1.7%,22,37.3%,0
Bradley Pinion,TAM,25,P,16,0,57,2464,43.2,222,2182,38.3,63,3,5.3%,19,33.3%,0
Mitch Wishnowsky,SFO,27,P,16,0,52,2333,44.9,131,2162,41.6,65,2,3.8%,23,44.2%,0
Chris Jones,DAL,30,P,16,0,50,2079,41.6,154,1885,37.0,58,2,4.0%,18,36.0%,1
Dustin Colquitt,KAN,37,P,16,0,48,2126,44.3,89,1977,40.3,68,3,6.3%,21,43.8%,1
Ty Long,LAC,26,P,16,0,48,2256,47.0,252,1964,40.9,60,2,4.2%,17,35.4%,0
Bryan Anger,HOU,31,P,14,0,45,2094,46.5,53,2001,44.5,71,2,4.4%,24,53.3%,0
Sam Koch,BAL,37,P,16,0,40,1855,46.4,143,1632,39.8,62,4,10.0%,21,52.5%,1
Ryan Allen,ATL,29,P,8,0,28,1172,41.9,62,1050,37.5,59,3,10.7%,14,50.0%,0
Trevor Daniel,HOU,25,P,2,0,11,479,43.5,29,450,40.9,54,0,0.0%,2,18.2%,0
Matthew Bosher,ATL,32,P,3,0,9,377,41.9,10,367,36.7,52,0,0.0%,2,22.2%,1
Kasey Redfern,ATL,28,P,3,0,9,371,41.2,39,332,36.9,54,0,0.0%,3,33.3%,0
Matt Wile,ATL,27,P,2,0,6,290,48.3,22,268,44.7,60,0,0.0%,3,50.0%,0
Ryan Winslow,ARI,25,P,2,0,6,291,48.5,6,265,44.2,55,1,16.7%,2,33.3%,0
Zane Gonzalez,ARI,24,K,16,0,2,84,42.0,0,84,42.0,44,0,0.0%,0,0.0%,0
Ka'imi Fairbairn,HOU,25,K,16,0,1,26,26.0,0,26,26.0,26,0,0.0%,1,100.0%,0
Austin Seibert,CLE,23,K,16,0,1,37,37.0,0,37,37.0,37,0,0.0%,1,100.0%,0
