Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Nick Lowery,KAN,26,K,9,0,2,2,4,4,5,5,10,8,3,,24,19,47,79.2%,17,17,100.0%,,,,,
Bill Capece,TAM,23,K,9,0,,,11,10,6,5,3,1,3,2,23,18,51,78.3%,14,14,100.0%,,,,,
Rolf Benirschke*,SDG,27,K,9,0,2,2,7,6,1,,7,7,5,1,22,16,50,72.7%,34,32,94.1%,,,,,
Mark Moseley*+,WAS,34,K,9,0,1,1,6,6,8,8,6,5,,,21,20,48,95.2%,19,16,84.2%,,,,,
Joe Danelo,NYG,29,K,9,0,,,5,5,7,5,8,2,1,,21,12,45,57.1%,18,18,100.0%,,,,,
Uwe von Schamann,MIA,26,K,9,0,,,9,8,5,4,5,3,1,,20,15,47,75.0%,22,21,95.5%,,,,,
Jan Stenerud,GNB,40,K,9,0,1,1,5,4,5,5,6,3,1,,18,13,48,72.2%,27,25,92.6%,,,,,
Jim Breech,CIN,26,K,9,0,2,2,3,3,6,5,5,3,2,1,18,14,50,77.8%,26,25,96.2%,,,,,
Pat Leahy,NYJ,31,K,9,0,1,1,5,3,5,4,6,3,,,17,11,49,64.7%,31,26,83.9%,,,,,
Ray Wersching,SFO,32,K,9,0,,,3,1,6,5,7,6,1,,17,12,45,70.6%,25,23,92.0%,,,,,
Chris Bahr,RAI,29,K,9,0,1,1,3,2,5,4,5,3,2,,16,10,43,62.5%,33,32,97.0%,,,,,
Mike Lansford,RAM,24,K,9,0,,,5,4,8,5,,,2,,15,9,39,60.0%,24,23,95.8%,,,,,
Matt Bahr,CLE,26,K,9,0,1,1,4,3,3,1,7,2,,,15,7,46,46.7%,17,17,100.0%,,,,,
Rafael Septien,DAL,29,K,9,0,1,1,3,3,4,3,4,2,2,1,14,10,53,71.4%,28,28,100.0%,,,,,
Rick Danmeier,MIN,30,K,9,0,,,5,4,2,1,6,3,1,,14,8,43,57.1%,23,23,100.0%,,,,,
Mick Luckhurst,ATL,24,K,9,0,,,6,6,3,,3,2,2,2,14,10,51,71.4%,22,21,95.5%,,,,,
Norm Johnson,SEA,22,K,9,0,,,4,3,6,5,3,2,1,,14,10,48,71.4%,14,13,92.9%,,,,,
Efren Herrera,BUF,31,K,7,0,1,1,2,1,4,2,7,4,,,14,8,49,57.1%,12,11,91.7%,,,,,
Rich Karlis,DEN,23,K,9,0,2,2,3,3,4,3,4,3,,,13,11,47,84.6%,16,15,93.8%,,,,,
Neil O'Donoghue,STL,29,K,8,0,1,1,3,2,3,3,6,2,,,13,8,48,61.5%,16,15,93.8%,,,,,
John Roveto,CHI,24,K,7,0,1,1,,,4,,4,2,4,1,13,4,51,30.8%,10,10,100.0%,,,,,
Gary Anderson,PIT,23,K,9,0,,,4,4,2,1,5,5,1,,12,10,48,83.3%,22,22,100.0%,,,,,
Eddie Murray,DET,26,K,7,0,,,6,6,2,2,4,3,,,12,11,49,91.7%,16,16,100.0%,,,,,
Bob Thomas,2TM,30,K,4,0,1,1,,,5,4,5,5,1,,12,10,46,83.3%,9,9,100.0%,,,,,
Dan Miller,2TM,22,K,5,0,,,3,3,4,,3,2,1,1,11,6,58,54.5%,10,9,90.0%,,,,,
Mike Wood,BAL,28,K,6,0,,,1,,5,3,3,2,1,1,10,6,51,60.0%,6,6,100.0%,,,,,
Tony Franklin,PHI,26,K,9,0,,,1,1,1,1,5,4,2,,9,6,47,66.7%,25,23,92.0%,,,,,
John Smith,NWE,33,K,4,0,1,,2,2,2,2,3,1,,,8,5,42,62.5%,7,6,85.7%,,,,,
Toni Fritsch,NOR,37,K,5,0,1,1,2,1,1,,3,2,,,7,4,42,57.1%,9,8,88.9%,,,,,
Florian Kempf,HOU,26,K,9,0,,,1,1,3,3,1,,1,,6,4,37,66.7%,18,16,88.9%,,,,,
Morten Andersen,NOR,22,K,8,0,,,,,1,1,3,1,1,,5,2,45,40.0%,6,6,100.0%,,,,,
Nick Mike-Mayer,BUF,32,K,2,0,,,2,1,,,2,,,,4,1,21,25.0%,5,4,80.0%,,,,,
Rex Robinson,NWE,23,K,3,0,,,1,1,1,,,,,,2,1,24,50.0%,5,5,100.0%,,,,,
Russell Erxleben,NOR,25,P,9,0,,,1,,,,,,,,1,,,0.0%,1,1,100.0%,,,,,
Steve Cox,CLE,24,P,9,0,,,,,,,,,1,,1,,,0.0%,,,,,,,,
Steve Kreider,CIN,24,WR,9,0,,,,,,,,,,,,,,,1,1,100.0%,,,,,
