Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
CeeDee Lamb,24,DAL,17,17,181,135,1749,13.0,12,80,63.5,92,7.9,102.9,74.6,9.7,3,"PB,AP-1,AP OPoY-3"
Tyreek Hill,29,MIA,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6,10.5,1,"PB,AP-1,AP MVP-6,AP OPoY-2"
Amon-Ra St. Brown,24,DET,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,1,"PB,AP-1"
Evan Engram,29,JAX,17,15,143,114,963,8.4,4,47,53.1,34,6.7,56.6,79.7,6.7,3,PB
Michael Pittman Jr.,26,IND,16,15,156,109,1152,10.6,4,53,51.9,75,6.8,72.0,69.9,7.4,2,
Keenan Allen,31,LAC,13,13,150,108,1243,11.5,7,57,58.7,42,8.3,95.6,72.0,8.3,2,PB
Stefon Diggs,30,BUF,17,17,160,107,1183,11.1,8,58,55.0,55,6.3,69.6,66.9,7.4,2,PB
A.J. Brown,26,PHI,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1,9.2,2,"PB,AP-2"
Puka Nacua,22,LAR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6,9.3,1,"PB,AP-2,AP ORoY-2"
Davante Adams,31,LVR,17,17,175,103,1144,11.1,8,59,48.6,46,6.1,67.3,58.9,6.5,0,
Adam Thielen,33,CAR,17,17,137,103,1014,9.8,4,56,58.4,32,6.1,59.6,75.2,7.4,2,
Ja'Marr Chase,23,CIN,16,16,145,100,1216,12.2,7,63,56.6,76,6.3,76.0,69.0,8.4,1,PB
D.J. Moore,26,CHI,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6,10.0,1,
T.J. Hockenson,26,MIN,15,11,127,95,960,10.1,5,48,53.5,29,6.3,64.0,74.8,7.6,1,
Garrett Wilson,23,NYJ,17,17,168,95,1042,11.0,3,47,44.0,68,5.6,61.3,56.5,6.2,2,
Travis Kelce,34,KAN,15,15,121,93,984,10.6,5,50,62.0,53,6.2,65.6,76.9,8.1,1,PB
Chris Olave,23,NOR,16,11,138,87,1123,12.9,5,57,53.6,51,5.4,70.2,63.0,8.1,0,
Sam LaPorta,22,DET,17,14,120,86,889,10.3,10,48,55.8,48,5.1,52.3,71.7,7.4,0,"PB,AP-2,AP ORoY-3"
Chris Godwin,27,TAM,17,17,130,83,1024,12.3,2,53,50.0,47,4.9,60.2,63.8,7.9,0,
Trey McBride,24,ARI,17,12,106,81,825,10.2,3,42,57.5,38,4.8,48.5,76.4,7.8,1,
David Njoku,27,CLE,16,16,123,81,882,10.9,6,35,43.9,43,5.1,55.1,65.9,7.2,2,PB
DeVonta Smith,25,PHI,16,16,112,81,1066,13.2,7,47,55.4,63,5.1,66.6,72.3,9.5,1,
Nico Collins,24,HOU,15,10,109,80,1297,16.2,8,53,61.5,75,5.3,86.5,73.4,11.9,1,
Mike Evans,30,TAM,17,17,136,79,1255,15.9,13,54,53.7,75,4.6,73.8,58.1,9.2,0,"PB,AP-2"
Tyler Lockett,31,SEA,17,17,122,79,894,11.3,5,47,58.2,37,4.6,52.6,64.8,7.3,0,
Terry McLaurin,28,WAS,17,17,132,79,1002,12.7,4,47,49.2,48,4.6,58.9,59.8,7.6,0,
Rashee Rice,23,KAN,16,8,102,79,938,11.9,7,44,61.8,67,4.9,58.6,77.5,9.2,2,AP ORoY-6
Zay Flowers,23,BAL,16,16,108,77,858,11.1,5,41,55.6,75,4.8,53.6,71.3,7.9,0,AP ORoY-6
Breece Hall,22,NYJ,17,16,95,76,591,7.8,4,28,40.0,50,4.5,34.8,80.0,6.2,2,AP CPoY-7
Calvin Ridley,29,JAX,17,17,136,76,1016,13.4,8,49,48.5,59,4.5,59.8,55.9,7.5,1,AP CPoY-7
Brandon Aiyuk,25,SFO,16,16,105,75,1342,17.9,7,61,70.5,76,4.7,83.9,71.4,12.8,1,AP-2
DeAndre Hopkins,31,TEN,17,16,137,75,1057,14.1,7,48,43.8,61,4.4,62.2,54.7,7.7,0,
Alvin Kamara,28,NOR,13,12,86,75,466,6.2,1,23,45.3,25,5.8,35.8,87.2,5.4,0,
Dalton Kincaid,24,BUF,16,11,91,73,673,9.2,2,29,61.5,51,4.6,42.1,80.2,7.4,1,
Cole Kmet,24,CHI,17,17,90,73,719,9.8,6,36,62.2,53,4.3,42.3,81.1,8.0,1,
Amari Cooper,29,CLE,15,15,128,72,1250,17.4,5,50,53.1,75,4.8,83.3,56.3,9.8,2,PB
Jaylen Waddle,25,MIA,14,14,104,72,1014,14.1,4,47,58.7,60,5.1,72.4,69.2,9.8,0,
Jake Ferguson,24,DAL,17,16,102,71,761,10.7,5,40,55.9,40,4.2,44.8,69.6,7.5,0,PB
Jakobi Meyers,27,LVR,16,16,106,71,807,11.4,8,46,54.7,33,4.4,50.4,67.0,7.6,0,
Jordan Addison,21,MIN,17,14,108,70,911,13.0,10,38,50.0,62,4.1,53.6,64.8,8.4,0,
Drake London,22,ATL,16,16,110,69,905,13.1,2,45,52.7,45,4.3,56.6,62.7,8.2,0,
Josh Downs,22,IND,17,9,98,68,771,11.3,2,30,50.0,59,4.0,45.4,69.4,7.9,0,
Justin Jefferson,24,MIN,10,9,100,68,1074,15.8,5,51,61.0,52,6.8,107.4,68.0,10.7,1,
Tyler Boyd,29,CIN,17,13,98,67,667,10.0,2,28,46.9,64,3.9,39.2,68.4,6.8,0,
Christian McCaffrey,27,SFO,16,16,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7,6.8,3,"PB,AP-1,AP MVP-3,AP OPoY-1"
D.K. Metcalf,26,SEA,16,16,119,66,1114,16.9,8,52,51.3,73,4.1,69.6,55.5,9.4,0,PB
George Kittle,30,SFO,16,16,90,65,1020,15.7,6,42,60.0,66,4.1,63.8,72.2,11.3,0,"PB,AP-1"
Jayden Reed,23,GNB,16,13,94,64,793,12.4,8,32,51.1,59,4.0,49.6,68.1,8.4,2,AP ORoY-6
Rachaad White,24,TAM,17,17,70,64,549,8.6,3,23,54.3,43,3.8,32.3,91.4,7.8,3,
George Pickens,22,PIT,17,16,106,63,1140,18.1,5,42,50.9,86,3.7,67.1,59.4,10.8,3,
Jaxon Smith-Njigba,21,SEA,17,3,93,63,628,10.0,4,29,47.3,35,3.7,36.9,67.7,6.8,0,
Curtis Samuel,27,WAS,16,13,91,62,613,9.9,4,26,50.5,37,3.9,38.3,68.1,6.7,0,
Tyler Conklin,28,NYJ,17,12,87,61,621,10.2,0,27,44.8,37,3.6,36.5,70.1,7.1,0,
Jaylen Warren,25,PIT,17,0,74,61,370,6.1,0,19,44.6,30,3.6,21.8,82.4,5.0,4,
Wan'Dale Robinson,22,NYG,15,8,78,60,525,8.8,1,29,53.8,33,4.0,35.0,76.9,6.7,0,
Deebo Samuel,27,SFO,15,15,89,60,892,14.9,7,34,56.2,54,4.0,59.5,67.4,10.0,1,
Romeo Doubs,23,GNB,17,16,96,59,674,11.4,8,41,51.0,36,3.5,39.6,61.5,7.0,1,
Dallas Goedert,28,PHI,14,14,83,59,592,10.0,3,33,60.2,49,4.2,42.3,71.1,7.1,0,
