Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Husain Abdullah,29,KAN,FS,16,16,1,39,1,39,8,0,0,0,0,0,0.0,71,58,13,2,5,0,
Mike Adams,33,IND,SS,16,16,5,24,0,10,11,2,0,2,0,0,0.0,87,67,20,1,1,0,PB
Ezekiel Ansah,25,DET,LDE,16,16,0,0,0,0,0,3,0,0,0,0,7.5,49,37,12,13,26,0,
Geno Atkins,26,CIN,RDT,16,16,0,0,0,0,1,1,0,0,0,0,3.0,34,20,14,8,9,1,PB
Cliff Avril,28,SEA,RDE,16,16,0,0,0,0,2,1,0,1,0,0,5.0,22,15,7,6,19,0,
David Bakhtiari,23,GNB,LT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Connor Barwin,28,PHI,LOLB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15,21,0,"PB,AP-2"
Michael Bennett,29,SEA,LDE,16,16,0,0,0,0,0,1,0,0,0,0,7.0,38,26,12,14,19,0,
Antoine Bethea,30,SFO,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,86,72,14,4,1,0,PB
Joel Bitonio,23,CLE,LG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Clint Boling,25,CIN,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Tom Brady,37,NWE,QB,16,16,0,0,0,0,0,0,6,1,-4,0,0.0,0,0,0,0,0,0,"PB,AP MVP-5"
Drew Brees,35,NOR,QB,16,16,0,0,0,0,0,0,7,4,-22,0,0.0,0,0,0,0,0,0,PB
Justin Britt,23,SEA,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Michael Brockers,24,STL,RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,32,24,8,5,4,0,
Antonio Brown,26,PIT,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-1,AP OPoY-3"
Red Bryant,30,JAX,LDE,16,16,0,0,0,0,0,1,0,0,0,0,1.0,23,15,8,2,2,0,
Miles Burris,26,OAK,MLB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,109,76,33,4,1,0,
Brandon Carr,28,DAL,LCB,16,16,0,0,0,0,7,0,0,1,0,0,1.0,54,45,9,2,3,0,
Derek Carr,23,OAK,QB,16,16,0,0,0,0,0,0,10,4,-30,0,0.0,0,0,0,0,0,0,
Jurrell Casey,25,TEN,RDE,16,16,0,0,0,0,0,0,0,0,0,0,5.0,68,46,22,13,18,0,
Chris Chester,31,WAS,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Barry Church,26,DAL,SS,16,16,2,49,0,45,6,2,0,1,-1,0,0.0,97,77,20,2,0,0,
Ryan Clady,28,DEN,LT,16,16,0,0,0,0,0,0,0,1,-2,0,0.0,0,0,0,0,0,0,PB
Chris Clemons,33,JAX,RDE,16,16,0,0,0,0,3,4,0,1,0,0,8.0,36,27,9,6,10,0,
Randall Cobb,24,GNB,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB
Riley Cooper,27,PHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Fletcher Cox,24,PHI,LDE,16,16,0,0,0,0,0,1,0,3,21,1,4.0,61,48,13,8,7,0,AP-2
Antonio Cromartie,30,ARI,RCB,16,16,3,65,0,40,10,0,0,1,14,1,0.0,49,44,5,3,0,0,PB
