Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Tony Dorsett,28,DAL,9,9,177,745,5,99,4.2,82.8,19.7,6,"PB,AP-2"
Andra Franklin,23,MIA,9,9,177,701,7,25,4.0,77.9,19.7,3,PB
John Riggins,33,WAS,8,8,177,553,3,19,3.1,69.1,22.1,2,
Billy Sims,27,DET,9,8,172,639,4,29,3.7,71.0,19.1,7,PB
Tony Collins,23,NWE,9,9,164,632,1,54,3.9,70.2,18.2,5,
Marcus Allen,22,RAI,9,9,160,697,11,53,4.4,77.4,17.8,5,"PB,AP-1,AP MVP-3,AP OPoY-2,AP ORoY-1"
Earl Campbell,27,HOU,9,9,157,538,2,22,3.4,59.8,17.4,2,
Pete Johnson,28,CIN,9,9,156,622,7,21,4.0,69.1,17.3,1,
Freeman McNeil,23,NYJ,9,9,151,786,6,48,5.2,87.3,16.8,7,"PB,AP-1"
Walter Payton,29,CHI,9,9,148,596,1,26,4.0,66.2,16.4,3,
Ottis Anderson,25,STL,8,8,145,587,3,64,4.0,73.4,18.1,2,
Mike Pruitt,28,CLE,9,9,143,516,3,17,3.6,57.3,15.9,4,
Franco Harris,32,PIT,9,9,140,604,2,21,4.3,67.1,15.6,1,
William Andrews,27,ATL,9,9,139,573,5,19,4.1,63.7,15.4,1,"PB,AP-2"
Chuck Muncie,29,SDG,9,9,138,569,8,27,4.1,63.2,15.3,4,PB
Wendell Tyler,27,RAM,9,9,137,564,9,54,4.1,62.7,15.2,10,
Joe Cribbs,24,BUF,7,6,134,633,3,62,4.7,90.4,19.1,5,
Eddie Lee Ivery,25,GNB,9,9,127,453,9,32,3.6,50.3,14.1,2,
George Rogers,24,NOR,6,5,122,535,3,38,4.4,89.2,20.3,4,PB
Ted Brown,25,MIN,8,8,120,515,1,30,4.3,64.4,15.0,0,
Wilbert Montgomery,28,PHI,8,8,114,515,7,90,4.5,64.4,14.3,3,
Butch Woolfolk,22,NYG,9,8,112,439,2,18,3.9,48.8,12.4,5,
Wayne Wilson,25,NOR,8,7,103,413,3,20,4.0,51.6,12.9,4,
Randy McMillan,24,BAL,9,9,101,305,1,13,3.0,33.9,11.2,1,
Roosevelt Leaks,29,BUF,9,9,97,405,5,17,4.2,45.0,10.8,2,
Joe Delaney,24,KAN,8,7,95,380,0,36,4.0,47.5,11.9,0,
James Brooks,24,SDG,9,0,87,430,6,48,4.9,47.8,9.7,4,
Billy Jackson,23,KAN,9,7,86,243,3,18,2.8,27.0,9.6,1,
Jeff Moore,26,SFO,9,4,85,281,4,19,3.3,31.2,9.4,4,
Wayne Morris,28,STL,9,7,84,274,4,11,3.3,30.4,9.3,1,
James Wilder,24,TAM,9,9,83,324,3,47,3.9,36.0,9.2,5,
Mark van Eeghen,30,NWE,9,5,82,386,0,17,4.7,42.9,9.1,2,
Gerald Riggs,22,ATL,9,0,78,299,5,37,3.8,33.2,8.7,1,
Rick Parros,24,DEN,9,9,77,277,1,14,3.6,30.8,8.6,3,
James Owens,27,TAM,8,6,76,238,0,14,3.1,29.8,9.5,2,
Mel Carver,23,TAM,9,1,70,229,1,13,3.3,25.4,7.8,2,
Matt Suhey,24,CHI,9,8,70,206,3,15,2.9,22.9,7.8,2,
Gerald Willhite,23,DEN,9,2,70,347,2,23,5.0,38.6,7.8,5,
Mike Guman,24,RAM,9,9,69,266,2,15,3.9,29.6,7.7,3,
Kenny King,25,RAI,9,9,69,264,2,21,3.8,29.3,7.7,1,
Charles White,24,CLE,9,9,69,259,3,18,3.8,28.8,7.7,2,
Rob Carpenter,27,NYG,5,5,67,204,1,23,3.0,40.8,13.4,0,
Sammy Winder,23,DEN,8,2,67,259,1,18,3.9,32.4,8.4,1,
Curtis Dickey,26,BAL,8,6,66,232,1,25,3.5,29.0,8.3,3,
Tony Nathan,26,MIA,8,7,66,233,1,15,3.5,29.1,8.3,2,
Charles Alexander,25,CIN,9,9,64,207,1,18,3.2,23.0,7.1,1,
Sherman Smith,28,SEA,9,8,63,202,0,19,3.2,22.4,7.0,1,
Gerry Ellis,25,GNB,9,8,62,228,1,29,3.7,25.3,6.9,6,
Frank Pollard,25,PIT,9,8,62,238,2,18,3.8,26.4,6.9,3,
Jimmy Rogers,27,NOR,9,1,60,178,2,32,3.0,19.8,6.7,0,
