Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Brett Favre,36,GNB,QB,16,16,0,0,0,0,0,0,10,2,-1,0,0.0,0,0,0,0,0,
Nick Ferguson,31,DEN,SS,16,16,5,59,0,30,8,0,0,1,0,0,0.0,80,62,18,0,0,
London Fletcher,30,BUF,MLB,16,16,1,20,0,20,3,1,0,2,0,0,4.0,158,104,54,6,1,
Larry Foote,25,PIT,RILB,16,16,0,0,0,0,2,0,0,1,27,0,3.0,102,76,26,13,1,
George Foster,25,DEN,RT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Kabeer Gbaja-Biamila,28,GNB,RDE,16,16,0,0,0,0,0,2,0,3,0,0,8.0,53,37,16,10,0,
Robert Geathers,22,CIN,RDE,16,16,0,0,0,0,1,1,0,0,0,0,3.0,34,25,9,5,0,
Ian Gold,27,DEN,RLB,16,16,0,0,0,0,4,4,0,2,0,0,3.0,90,74,16,12,0,
Tony Gonzalez,29,KAN,TE,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,PB
Deon Grant,26,JAX,FS,16,16,3,29,0,29,11,0,0,0,0,0,1.5,66,55,11,1,0,
Trent Green,35,KAN,QB,16,16,0,0,0,0,0,0,8,1,-10,0,0.0,0,0,0,0,0,PB
Morlon Greenwood,27,HOU,RILB,16,16,0,0,0,0,7,0,0,2,0,0,2.0,112,82,30,4,0,
Kelly Gregg,29,BAL,RDT,16,16,0,0,0,0,2,0,0,0,0,0,2.5,61,36,25,3,0,
Robert Griffith,35,ARI,FS,16,16,1,11,0,11,5,2,0,0,0,0,0.0,66,52,14,0,0,
Jordan Gross,25,CAR,RT,16,16,0,0,0,0,,0,0,3,0,0,0.0,,,,,0,
Al Harris,31,GNB,RCB,16,16,3,30,1,22,13,1,0,0,0,0,3.0,53,46,7,3,0,
Tommie Harris,22,CHI,RDT,16,16,0,0,0,0,0,2,0,2,0,0,3.0,34,29,5,9,0,"PB,AP-2"
Jeff Hartings,33,PIT,C,16,16,0,0,0,0,0,0,1,0,-9,0,0.0,0,0,0,0,0,PB
