Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Antonio Brown,26,PIT,16,16,181,129,1698,13.2,13,87,60.2,63,8.1,106.1,71.3,9.4,2,"PB,AP-1,AP OPoY-3"
Demaryius Thomas,27,DEN,16,16,184,111,1619,14.6,11,69,50.5,86,6.9,101.2,60.3,8.8,0,"PB,AP-2"
Julio Jones,25,ATL,15,15,163,104,1593,15.3,6,76,55.8,79,6.9,106.2,63.8,9.8,2,PB
Matt Forte,29,CHI,16,16,130,102,808,7.9,4,28,46.2,56,6.4,50.5,78.5,6.2,2,
Emmanuel Sanders,27,DEN,16,16,141,101,1404,13.9,9,69,63.8,48,6.3,87.8,71.6,10.0,1,PB
Golden Tate,26,DET,16,16,144,99,1331,13.4,4,61,54.2,73,6.2,83.2,68.8,9.2,1,PB
Jordy Nelson,29,GNB,16,16,151,98,1519,15.5,13,71,58.9,80,6.1,94.9,64.9,10.1,0,"PB,AP-2"
Julian Edelman,28,NWE,14,13,134,92,972,10.6,4,50,55.2,69,6.6,69.4,68.7,7.3,3,
Odell Beckham Jr.,22,NYG,12,11,130,91,1305,14.3,12,58,60.8,80,7.6,108.8,70.0,10.0,1,"PB,AP ORoY-1"
Randall Cobb,24,GNB,16,16,127,91,1287,14.1,12,71,63.0,70,5.7,80.4,71.7,10.1,3,PB
Martellus Bennett,27,CHI,16,15,128,90,916,10.2,6,43,51.6,37,5.6,57.3,70.3,7.2,0,PB
Dez Bryant,26,DAL,16,16,136,88,1320,15.0,16,60,55.1,68,5.5,82.5,64.7,9.7,0,"PB,AP-1"
Jimmy Graham,28,NOR,16,13,125,85,889,10.5,10,54,62.4,29,5.3,55.6,68.0,7.1,2,PB
Alshon Jeffery,24,CHI,16,16,145,85,1133,13.3,10,60,51.0,74,5.3,70.8,58.6,7.8,1,
Andre Johnson,33,HOU,15,15,146,85,936,11.0,3,50,47.3,35,5.7,62.4,58.2,6.4,3,
Jeremy Maclin,26,PHI,16,16,143,85,1318,15.5,10,56,52.4,72,5.3,82.4,59.4,9.2,0,AP CPoY-2
Jarvis Landry,22,MIA,16,11,112,84,758,9.0,5,50,52.7,25,5.3,47.4,75.0,6.8,7,
Greg Olsen,29,CAR,16,16,123,84,1008,12.0,6,55,61.0,38,5.3,63.0,68.3,8.2,1,PB
Le'Veon Bell,22,PIT,16,16,105,83,854,10.3,3,41,60.0,48,5.2,53.4,79.0,8.1,0,"PB,AP-1,AP OPoY-4"
Anquan Boldin,34,SFO,16,16,130,83,1062,12.8,5,56,56.2,76,5.2,66.4,63.8,8.2,0,
Rob Gronkowski,25,NWE,15,10,131,82,1124,13.7,12,60,55.7,46,5.5,74.9,62.6,8.6,0,"PB,AP-1,AP OPoY-5,AP CPoY-1"
T.Y. Hilton,25,IND,15,15,131,82,1345,16.4,7,64,56.5,73,5.5,89.7,62.6,10.3,3,PB
Roddy White,33,ATL,14,14,125,80,921,11.5,7,55,56.0,39,5.7,65.8,64.0,7.4,3,
Steve Smith Sr.,35,BAL,16,16,134,79,1065,13.5,6,45,47.0,80,4.9,66.6,59.0,7.9,2,
Keenan Allen,22,SDG,14,14,121,77,783,10.2,4,41,49.6,35,5.5,55.9,63.6,6.5,2,
DeAndre Hopkins,22,HOU,16,16,127,76,1210,15.9,6,57,53.5,76,4.8,75.6,59.8,9.5,2,
