Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Adrian Amos,22,CHI,SS,16,16,0,0,0,0,2,0,0,0,0,0,1.0,67,57,10,2,1,0,
Ezekiel Ansah,26,DET,RDE,16,16,0,0,0,0,1,4,0,2,1,0,14.5,47,39,8,15,34,0,"PB,AP-2"
Stephone Anthony,23,NOR,MLB,16,16,1,5,0,5,5,2,0,1,31,1,1.0,112,70,42,5,4,0,
Geno Atkins,27,CIN,RDT,16,16,0,0,0,0,0,1,0,0,0,0,11.0,42,31,11,17,21,0,"PB,AP-1"
Cliff Avril,29,SEA,RDE,16,16,0,0,0,0,7,2,0,0,0,0,9.0,47,31,16,11,27,0,
Doug Baldwin,27,SEA,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
Tim Barnes,27,STL,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Connor Barwin,29,PHI,LOLB,16,16,0,0,0,0,7,1,0,0,0,0,7.0,54,44,10,9,16,0,
Zane Beadles,29,JAX,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Vic Beasley,23,ATL,LDE,16,16,1,0,0,0,3,2,0,0,0,0,4.0,26,20,6,2,5,0,
Michael Bennett,30,SEA,LDE,16,16,0,0,0,0,0,2,0,0,0,0,10.0,52,33,19,18,30,0,PB
Joe Berger,33,MIN,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Antwon Blake,25,PIT,RCB,16,16,2,112,1,70,11,1,0,0,0,0,1.0,77,65,12,5,1,0,
Russell Bodine,23,CIN,C,16,16,0,0,0,0,0,0,2,0,-9,0,0.0,0,0,0,,,0,
Blake Bortles,23,JAX,QB,16,16,0,0,0,0,0,0,14,5,-30,0,0.0,0,0,0,0,0,0,
NaVorro Bowman,27,SFO,LILB,16,16,0,0,0,0,2,1,0,0,0,0,2.5,154,116,38,7,8,0,"PB,AP-1,AP CPoY-4"
Tom Brady,38,NWE,QB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-2,AP OPoY-4"
Delvin Breaux,26,NOR,LCB,16,16,3,22,0,22,19,0,0,1,0,0,0.0,45,37,8,2,0,0,
Teddy Bridgewater,23,MIN,QB,16,16,0,0,0,0,0,0,8,1,-2,0,0.0,0,0,0,0,0,0,PB
Michael Brockers,25,STL,RDT,16,16,0,0,0,0,0,0,0,0,0,0,3.0,44,27,17,8,6,0,
Antonio Brown,27,PIT,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,1,1,0,0,0,0,"PB,AP-1,AP OPoY-2"
Preston Brown,23,BUF,MLB,16,16,2,46,1,43,4,1,0,1,0,0,0.0,120,66,54,3,6,0,
Brandon Browner,31,NOR,RCB,16,16,1,0,0,0,10,0,0,1,0,0,0.0,76,63,13,0,0,0,
Deone Bucannon,23,ARI,RILB,16,16,1,39,1,39,3,3,0,2,0,0,3.0,112,93,19,11,6,0,
Malcolm Butler,25,NWE,LCB,16,16,2,9,0,9,15,0,0,0,0,0,0.0,67,56,11,1,0,0,PB
Jordan Cameron,27,MIA,TE,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Calais Campbell,29,ARI,LDE,16,16,0,0,0,0,3,0,0,1,0,0,5.0,61,46,15,16,20,0,PB
Brandon Carr,29,DAL,LCB,16,16,0,0,0,0,6,0,0,1,5,0,0.0,76,60,16,1,2,0,
Derek Carr,24,OAK,QB,16,16,0,0,0,0,0,0,10,2,-13,0,0.0,0,0,0,0,0,0,PB
Jurrell Casey,26,TEN,RDE,16,16,0,0,0,0,3,0,0,0,0,0,7.0,54,34,20,11,13,0,PB
T.J. Clemmings,24,MIN,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Ha Ha Clinton-Dix,23,GNB,FS,16,16,2,2,0,2,3,1,0,0,0,0,3.0,100,83,17,3,3,0,
Landon Collins,21,NYG,FS,16,16,1,0,0,0,9,1,0,0,0,0,0.0,112,84,28,5,1,0,
Kirk Cousins,27,WAS,QB,16,16,0,0,0,0,0,0,9,5,-8,0,0.0,0,0,0,0,0,0,
Fletcher Cox,25,PHI,LDE,16,16,0,0,0,0,2,3,0,2,0,0,9.5,71,50,21,11,20,0,"PB,AP-2"
Tyrone Crawford,26,DAL,LDT,16,16,0,0,0,0,1,0,0,0,0,0,5.0,35,23,12,7,9,0,
Jared Crick,26,HOU,LDE,16,16,0,0,0,0,2,1,0,2,0,0,2.0,48,28,20,3,9,0,
Brian Cushing,28,HOU,LILB,16,16,0,0,0,0,3,1,0,0,0,0,0.0,110,63,47,4,2,0,
Mike Daniels,26,GNB,RDE,16,16,1,6,0,6,2,1,0,0,0,0,4.0,49,27,22,7,9,0,
Karlos Dansby,34,CLE,LILB,16,16,3,93,2,52,6,3,0,0,0,0,0.0,108,62,46,6,6,0,
Lavonte David,25,TAM,RLB,16,16,3,19,1,20,13,2,0,2,0,0,3.0,147,85,62,10,5,0,PB
Demario Davis,26,NYJ,LILB,16,16,0,0,0,0,2,0,0,1,0,0,2.0,90,57,33,7,9,0,
Thomas Davis,32,CAR,RLB,16,16,4,22,0,22,7,4,0,1,0,0,5.5,105,75,30,8,12,0,"PB,AP-1"
Vontae Davis,27,IND,RCB,16,16,4,6,0,6,16,0,0,0,0,0,0.0,48,38,10,1,0,0,PB
Aaron Donald,24,STL,LDT,16,16,0,0,0,0,1,0,0,1,40,0,11.0,69,44,25,22,37,0,"PB,AP-1,AP DPoY-2"
Elvis Dumervil,31,BAL,LOLB,16,16,0,0,0,0,1,1,0,2,0,0,6.0,48,29,19,8,21,0,PB
Carlos Dunlap,26,CIN,LDE,16,16,0,0,0,0,1,2,0,1,21,0,13.5,55,37,18,16,34,0,PB
Larry Fitzgerald,32,ARI,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
Ryan Fitzpatrick,33,NYJ,QB,16,16,0,0,0,0,0,0,5,2,-32,0,0.0,0,0,0,,,0,
Travis Frederick,24,DAL,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Kyle Fuller,23,CHI,RCB,16,16,2,24,0,15,9,0,0,0,0,0,0.0,55,47,8,0,0,0,
William Gay,30,PIT,LCB,16,16,2,30,1,23,7,0,0,0,0,0,1.0,58,46,12,7,2,0,
Marcus Gilchrist,27,NYJ,FS,16,16,3,31,0,31,7,0,0,0,0,0,0.0,82,60,22,0,0,0,
Cordy Glenn,26,BUF,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Frank Gore,32,IND,RB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,
Corey Graham,30,BUF,SS,16,16,2,60,1,44,4,0,0,2,29,0,1.0,127,96,31,4,8,0,
A.J. Green,27,CIN,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
Roman Harper,33,CAR,SS,16,16,0,0,0,0,5,0,0,2,1,0,0.0,73,46,27,2,2,0,
Chris Harris Jr.,26,DEN,RCB,16,16,2,94,1,74,6,2,0,0,0,0,0.0,58,49,9,4,0,0,"PB,AP-2"
David Harris,31,NYJ,RILB,16,16,0,0,0,0,4,2,0,0,0,0,4.5,108,67,41,6,7,0,
Damon Harrison,27,NYJ,NT,16,16,0,0,0,0,0,1,0,0,0,0,0.5,72,39,33,5,4,0,
Cameron Heyward,26,PIT,LDE,16,16,0,0,0,0,2,1,0,0,0,0,7.0,54,39,15,15,13,0,
DeAndre Hopkins,23,HOU,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Jerry Hughes,27,BUF,RDE,16,16,0,0,0,0,4,2,0,1,2,0,5.0,52,37,15,8,12,0,
Melvin Ingram,26,SDG,LOLB,16,16,0,0,0,0,6,3,0,1,0,0,10.5,65,52,13,14,20,0,
D'Qwell Jackson,32,IND,LLB,16,16,1,6,1,6,9,1,0,0,0,0,3.0,150,89,61,10,3,0,
Malik Jackson,25,DEN,RDE,16,16,0,0,0,0,7,0,0,2,-2,0,5.5,45,34,11,8,16,1,
Malcolm Jenkins,28,PHI,FS,16,16,2,99,1,99,10,3,0,1,34,0,0.0,109,90,19,9,0,0,PB
Rashad Jennings,30,NYG,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,1,
Calvin Johnson,30,DET,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
Derrick Johnson,33,KAN,LILB,16,16,2,23,0,18,8,2,0,0,0,0,4.0,116,95,21,8,5,0,"PB,AP-2"
Lane Johnson,25,PHI,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
DaQuan Jones,24,TEN,LDE,16,16,0,0,0,0,0,0,0,1,0,0,0.0,45,25,20,3,3,0,
Julio Jones,26,ATL,WR,16,16,0,0,0,0,0,0,3,3,0,1,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-6"
Reshad Jones,27,MIA,FS,16,16,5,104,2,42,10,0,1,1,9,0,2.0,135,106,29,9,2,0,PB
Cameron Jordan,26,NOR,RDE,16,16,0,0,0,0,5,1,0,2,0,0,10.0,45,32,13,15,20,0,PB
Johnathan Joseph,31,HOU,RCB,16,16,1,2,0,2,22,1,0,1,0,0,0.0,58,48,10,1,0,0,
Jermaine Kearse,25,SEA,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,3,1,2,0,0,0,
Jason Kelce,28,PHI,C,16,16,0,0,0,0,0,0,2,2,-17,0,0.0,0,0,0,0,0,0,
Travis Kelce,26,KAN,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,PB
Ryan Kerrigan,27,WAS,ROLB,16,16,0,0,0,0,3,2,0,0,0,0,9.5,42,33,9,12,13,0,
Kendall Langford,29,IND,LDE,16,16,0,0,0,0,3,0,0,0,0,0,7.0,38,23,15,11,18,0,
James Laurinaitis,29,STL,MLB,16,16,1,0,0,0,1,1,0,0,0,0,1.0,109,61,48,2,9,1,
Kyle Long,27,CHI,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,PB
Dwight Lowery,29,IND,FS,16,16,4,96,1,69,8,0,0,0,0,0,1.0,76,56,20,2,2,0,
Khalil Mack,24,OAK,RDE,16,16,0,0,0,0,2,2,0,0,0,0,15.0,77,57,20,23,24,0,"PB,AP-1"
Eli Manning,34,NYG,QB,16,16,0,0,0,0,0,0,11,4,-19,0,0.0,0,0,0,0,0,0,PB
Brandon Marshall,26,DEN,LILB,16,16,1,0,0,0,4,2,0,0,0,0,1.5,102,77,25,9,3,0,
Brandon Marshall,31,NYJ,WR,16,16,0,0,0,0,0,1,3,2,8,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Doug Martin,26,TAM,RB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP CPoY-4"
Zack Martin,25,DAL,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Clay Matthews,29,GNB,RILB,16,16,1,42,0,42,3,0,0,1,0,0,6.5,66,49,17,14,19,0,PB
Jake Matthews,23,ATL,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Rodney McLeod,25,STL,FS,16,16,1,4,0,4,5,3,0,1,20,1,0.0,82,59,23,2,0,0,
Lamar Miller,24,MIA,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Roy Miller,28,JAX,RDT,16,16,0,0,0,0,1,1,0,0,0,0,4.0,40,22,18,6,6,0,
Von Miller,26,DEN,LOLB,16,16,0,0,0,0,1,4,0,3,0,0,11.0,35,30,5,9,32,0,"PB,AP-1"
Kevin Minter,25,ARI,LILB,16,16,0,0,0,0,2,1,0,0,0,0,0.5,94,72,22,8,6,1,
Mike Mitchell,28,PIT,FS,16,16,3,16,0,9,9,2,0,2,0,0,0.0,80,58,22,0,3,0,
Morgan Moses,24,WAS,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
C.J. Mosley,23,BAL,LILB,16,16,0,0,0,0,7,1,0,2,41,1,4.0,117,77,40,13,9,0,
Latavius Murray,25,OAK,RB,16,16,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB
Reggie Nelson,32,CIN,FS,16,16,8,115,0,37,14,0,0,2,25,0,0.0,77,52,25,2,0,0,"PB,AP-2"
Terence Newman,37,MIN,LCB,16,16,3,4,0,4,12,0,0,0,0,0,0.0,62,52,10,2,0,0,
Cam Newton,26,CAR,QB,16,16,0,0,0,0,0,0,5,1,-10,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Derek Newton,28,HOU,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Rob Ninkovich,31,NWE,LDE,16,16,0,0,0,0,7,1,0,1,0,0,6.5,52,33,19,6,17,0,
Josh Norman,28,CAR,RCB,16,16,4,110,2,46,18,3,0,2,12,0,0.0,56,48,8,3,0,0,"PB,AP-1,AP DPoY-4"
Jared Odrick,28,JAX,RDE,16,16,0,0,0,0,3,1,0,0,0,0,5.5,29,23,6,10,8,0,
Greg Olsen,30,CAR,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Brian Orakpo,29,TEN,ROLB,16,16,0,0,0,0,5,1,0,0,0,0,7.0,51,38,13,12,10,0,
Carson Palmer,36,ARI,QB,16,16,0,0,0,0,0,0,6,1,-7,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2"
Ron Parker,28,KAN,SS,16,16,3,5,0,5,12,1,0,0,0,0,5.0,78,67,11,6,5,0,
David Parry,23,IND,LDT,16,16,0,0,0,0,0,0,0,0,0,0,1.0,31,15,16,4,3,0,
Erik Pears,33,SFO,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Domata Peko,31,CIN,LDT,16,16,0,0,0,0,1,0,0,0,0,0,5.0,35,17,18,6,6,0,
Julius Peppers,35,GNB,LOLB,16,16,0,0,0,0,0,2,0,0,0,0,10.5,37,25,12,9,16,0,PB
Marcus Peters,22,KAN,LCB,16,16,8,280,2,90,26,1,0,0,0,0,0.0,60,53,7,2,0,0,"PB,AP-2,AP DRoY-1"
Adrian Peterson,30,MIN,RB,16,16,0,0,0,0,0,0,7,3,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP OPoY-7,AP CPoY-3"
Patrick Peterson,25,ARI,LCB,16,16,2,41,0,40,8,1,4,0,0,0,0.0,35,35,0,1,0,0,"PB,AP-1"
Glover Quin,29,DET,FS,16,16,4,77,1,31,5,1,0,0,0,0,0.0,67,56,11,0,0,0,
Eric Reid,24,SFO,FS,16,16,0,0,0,0,7,1,0,0,0,0,1.0,71,60,11,1,1,0,
Xavier Rhodes,25,MIN,RCB,16,16,1,0,0,0,11,0,0,0,0,0,0.0,58,55,3,1,0,0,
Philip Rivers,34,SDG,QB,16,16,0,0,0,0,0,0,4,3,-5,0,0.0,0,0,0,0,0,0,
Brian Robison,32,MIN,LDE,16,16,0,0,0,0,3,1,0,2,0,0,5.0,34,30,4,8,10,0,
Aaron Rodgers,32,GNB,QB,16,16,0,0,0,0,0,0,8,3,0,0,0.0,0,0,0,0,0,0,PB
Ahtyba Rubin,29,SEA,LDT,16,16,1,2,0,2,1,0,0,0,0,0,2.0,36,20,16,2,4,0,
Matt Ryan,30,ATL,QB,16,16,0,0,0,0,0,0,12,4,-24,0,0.0,0,0,0,0,0,0,
Ryan Schraeder,27,ATL,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Mitchell Schwartz,26,CLE,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Richard Sherman,27,SEA,LCB,16,16,2,30,0,26,14,0,0,0,0,0,0.0,50,33,17,1,0,0,"PB,AP-2"
Kawann Short,26,CAR,RDT,16,16,0,0,0,0,4,3,0,2,0,0,11.0,55,36,19,16,18,0,"PB,AP-2"
