Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Nyheim Hines,IND,24,RB,16,2,30.0,300.0,0,26.0,10.0,3.0,70.0,0,27.0,23.3,1232
Andre Roberts*,BUF,32,WR,15,0,29.0,286.0,0,38.0,9.9,32.0,961.0,0,60.0,30.0,1278
Ray-Ray McCloud,PIT,24,WR,16,2,29.0,298.0,0,57.0,10.3,28.0,646.0,0,49.0,23.1,1086
Jakeem Grant,MIA,28,WR,14,4,29.0,330.0,1,88.0,11.4,6.0,129.0,0,45.0,21.5,852
Nsimba Webster,LAR,24,WR,16,0,25.0,185.0,0,34.0,7.4,16.0,347.0,0,30.0,21.7,532
Mecole Hardman,KAN,22,WR,16,8,25.0,176.0,1,67.0,7.0,9.0,184.0,0,31.0,20.4,951
Steven Sims,WAS,23,WR,12,2,24.0,160.0,0,22.0,6.7,3.0,42.0,0,20.0,14.0,485
CeeDee Lamb,DAL,21,WR,16,14,24.0,172.0,0,27.0,7.2,1.0,47.0,1,47.0,47.0,1236
Kalif Raymond,TEN,26,WR,15,3,23.0,208.0,0,40.0,9.0,15.0,275.0,0,30.0,18.3,667
Alex Erickson,CIN,28,WR,16,2,23.0,232.0,0,29.0,10.1,3.0,71.0,0,24.0,23.7,449
James Proche,BAL,24,WR,14,0,23.0,198.0,0,20.0,8.6,,,0,,,212
Hunter Renfrow,LVR,25,WR,16,6,23.0,265.0,0,32.0,11.5,,,0,,,921
Christian Kirk,ARI,24,WR,14,10,22.0,132.0,0,24.0,6.0,1.0,20.0,0,20.0,20.0,776
Greg Ward,PHI,25,WR,16,10,21.0,134.0,0,22.0,6.4,,,0,,,549
Pharoh Cooper,CAR,25,WR,16,1,20.0,117.0,0,20.0,5.9,18.0,430.0,0,38.0,23.9,620
Gunner Olszewski+,NWE,24,WR,13,2,20.0,346.0,1,70.0,17.3,18.0,418.0,0,33.0,23.2,849
Donovan Peoples-Jones,CLE,21,WR,12,2,18.0,77.0,0,13.0,4.3,18.0,379.0,0,33.0,21.1,760
Brandon Powell,ATL,25,WR,15,1,17.0,152.0,0,24.0,8.9,17.0,343.0,0,29.0,20.2,571
Deonte Harty,NOR,23,WR,9,2,17.0,207.0,0,42.0,12.2,16.0,436.0,0,75.0,27.3,880
Diontae Spencer,DEN,28,WR,11,0,16.0,253.0,1,83.0,15.8,15.0,281.0,0,28.0,18.7,579
Jaydon Mickens,TAM,26,WR,10,0,16.0,99.0,0,14.0,6.2,14.0,340.0,0,34.0,24.3,497
DeAndre Carter,2TM,27,WR,13,0,15.0,126.0,0,19.0,8.4,12.0,250.0,0,29.0,20.8,384
Jabrill Peppers,NYG,25,SS,15,14,15.0,187.0,0,20.0,12.5,,,0,,,193
Jamal Agnew,DET,25,WR,14,2,14.0,178.0,1,74.0,12.7,28.0,783.0,0,71.0,28.0,1083
Kenjon Barner,TAM,31,RB,6,0,13.0,75.0,0,21.0,5.8,7.0,167.0,0,33.0,23.9,242
David Moore,SEA,25,WR,16,6,12.0,111.0,0,20.0,9.3,3.0,47.0,0,21.0,15.7,636
K.J. Hill,LAC,23,CB,15,0,12.0,83.0,0,30.0,6.9,1.0,7.0,0,7.0,7.0,163
Marquez Callaway,NOR,22,WR,11,3,11.0,122.0,0,19.0,11.1,4.0,94.0,0,29.0,23.5,429
Braxton Berrios,NYJ,25,WR,16,2,10.0,86.0,0,18.0,8.6,9.0,167.0,0,28.0,18.6,676
D.J. Reed,SEA,24,RCB,10,8,10.0,78.0,0,15.0,7.8,5.0,137.0,0,49.0,27.4,236
Dwayne Harris,CHI,33,WR,3,0,10.0,81.0,0,19.0,8.1,,,0,,,81
Keelan Cole,JAX,27,WR,16,5,9.0,140.0,1,91.0,15.6,3.0,80.0,0,40.0,26.7,864
Tommylee Lewis,NOR,28,WR,5,0,9.0,69.0,0,17.0,7.7,3.0,89.0,0,34.0,29.7,177
Chad Beebe,MIN,26,WR,14,0,9.0,42.0,0,13.0,4.7,1.0,19.0,0,19.0,19.0,262
Cooper Kupp,LAR,27,WR,15,12,9.0,50.0,0,10.0,5.6,,,0,,,1057
Trent Taylor,SFO,26,WR,12,1,9.0,112.0,0,20.0,12.4,,,0,,,198
Diontae Johnson,PIT,24,WR,15,13,8.0,58.0,0,18.0,7.3,1.0,24.0,0,24.0,24.0,1024
K.J. Osborn,MIN,23,WR,9,0,7.0,27.0,0,8.0,3.9,14.0,303.0,0,38.0,21.6,330
Keke Coutee,HOU,23,WR,8,4,7.0,48.0,0,11.0,6.9,5.0,97.0,0,28.0,19.4,545
Richie James,SFO,25,WR,11,7,6.0,34.0,0,12.0,5.7,4.0,73.0,0,21.0,18.3,501
Desmond King,2TM,26,DB-RCB,15,8,6.0,17.0,0,7.0,2.8,,,0,,,80
Tyler Ervin,GNB,27,RB,8,0,5.0,20.0,0,11.0,4.0,10.0,196.0,0,34.0,19.6,367
Anthony Miller,CHI,26,WR,16,6,5.0,55.0,0,32.0,11.0,1.0,16.0,0,16.0,16.0,568
River Cracraft,SFO,26,WR,9,1,5.0,40.0,0,21.0,8.0,,,0,,,81
Ted Ginn Jr.,CHI,35,WR,6,0,5.0,24.0,0,10.0,4.8,,,0,,,64
Cedrick Wilson Jr.,DAL,25,WR,16,0,5.0,20.0,0,10.0,4.0,,,0,,,197
Devin Duvernay,BAL,23,WR,16,3,4.0,46.0,0,19.0,11.5,21.0,578.0,1,93.0,27.5,895
Dede Westbrook,JAX,27,WR,2,0,4.0,44.0,0,13.0,11.0,4.0,89.0,0,26.0,22.3,137
Isaiah Wright,WAS,23,WR,14,6,4.0,15.0,0,13.0,3.8,2.0,30.0,0,20.0,15.0,258
Jalen Reagor,PHI,21,WR,11,11,4.0,94.0,1,73.0,23.5,,,0,,,516
Golden Tate,NYG,32,WR,12,4,4.0,35.0,0,15.0,8.8,,,0,,,423
D'Ernest Johnson,CLE,24,RB,16,0,3.0,13.0,0,10.0,4.3,14.0,351.0,0,43.0,25.1,544
Chris Claybrooks,JAX,23,CB,13,4,3.0,12.0,0,13.0,4.0,13.0,289.0,0,39.0,22.2,301
KJ Hamler,DEN,21,WR,13,4,3.0,6.0,0,8.0,2.0,2.0,42.0,0,24.0,21.0,469
Jojo Natson,CLE,26,WR,3,0,3.0,25.0,0,13.0,8.3,1.0,31.0,0,31.0,31.0,59
Danny Amendola,DET,35,WR,14,5,3.0,39.0,0,21.0,13.0,,,0,,,643
Tavon Austin,GNB,30,WR,4,0,3.0,14.0,0,7.0,4.7,,,0,,,34
Demarcus Robinson,KAN,26,WR,16,9,2.0,-13.0,0,0.0,-6.5,2.0,21.0,0,21.0,10.5,474
Dante Pettis,2TM,25,WR,7,1,2.0,14.0,0,8.0,7.0,1.0,18.0,0,18.0,18.0,108
Brandon Aiyuk,SFO,22,WR,12,11,2.0,26.0,0,16.0,13.0,,,0,,,856
Damiere Byrd,NWE,27,WR,16,14,2.0,0.0,0,0.0,0.0,,,0,,,619
Antonio Callaway,MIA,23,WR,5,1,2.0,12.0,0,11.0,6.0,,,0,,,32
Will Fuller,HOU,26,WR,11,11,2.0,14.0,0,13.0,7.0,,,0,,,893
Josh Jackson,GNB,24,RCB,12,5,2.0,13.0,0,7.0,6.5,,,0,,,13
Byron Murphy,ARI,22,RCB,15,7,2.0,3.0,0,3.0,1.5,,,0,,,6
Greg Stroman,WAS,24,DB,4,0,2.0,-2.0,0,1.0,-1.0,,,0,,,-2
Danny Johnson,WAS,25,DB,14,0,1.0,3.0,0,3.0,3.0,26.0,573.0,0,46.0,22.0,576
Isaiah Rodgers,IND,22,CB,13,0,1.0,12.0,0,12.0,12.0,24.0,692.0,1,101.0,28.8,704
Darrius Shepherd,GNB,25,WR,8,0,1.0,6.0,0,6.0,6.0,11.0,227.0,0,30.0,20.6,279
J.J. Taylor,NWE,22,RB,6,0,1.0,11.0,0,11.0,11.0,4.0,87.0,0,28.0,21.8,212
C.J. Board,NYG,27,WR,14,4,1.0,6.0,0,6.0,6.0,2.0,54.0,0,34.0,27.0,164
Andy Isabella,ARI,24,WR,13,2,1.0,1.0,0,1.0,1.0,2.0,30.0,0,15.0,15.0,249
Alvin Kamara*,NOR,25,RB,15,10,1.0,0.0,0,0.0,0.0,2.0,44.0,0,31.0,22.0,1732
Isaiah McKenzie,BUF,25,WR,16,7,1.0,84.0,1,84.0,84.0,2.0,32.0,0,27.0,16.0,407
Micah Hyde,BUF,30,FS,15,15,1.0,0.0,0,0.0,0.0,1.0,3.0,0,3.0,3.0,36
Antonio Brown,TAM,32,WR,8,4,1.0,2.0,0,2.0,2.0,,,0,,,483
Bryce Callahan,DEN,29,RCB,10,10,1.0,8.0,0,8.0,8.0,,,0,,,8
Austin Carr,NOR,27,WR,6,0,1.0,1.0,0,1.0,1.0,,,0,,,28
Tarik Cohen,CHI,25,RB,3,0,1.0,0.0,0,0.0,0.0,,,0,,,115
Tyreek Hill*+,KAN,26,WR,15,15,1.0,0.0,0,0.0,0.0,,,0,,,1399
DeSean Jackson,PHI,34,WR,5,5,1.0,2.0,0,2.0,2.0,,,0,,,250
Malcolm Perry,MIA,23,WR,9,2,1.0,12.0,0,12.0,12.0,,,0,,,109
Trey Quinn,JAX,25,WR,1,0,1.0,6.0,0,6.0,6.0,,,0,,,6
Brandon Rusnak,JAX,25,DB,16,1,1.0,3.0,0,3.0,3.0,,,0,,,3
Ken Webster,SFO,24,DB,9,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Cordarrelle Patterson*+,CHI,29,WR,16,3,,,0,,,35.0,1017.0,1,104.0,29.1,1381
Tony Pollard,DAL,23,RB,16,2,,,0,,,32.0,766.0,0,67.0,23.9,1394
