Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Bradley Bozeman,30,LAC,C,15,15,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,
Jonathon Cooper,26,DEN,OLB,15,15,0,0,0,0,1,1,0,0,0,0,8.0,52,29,23,9,17,0,
Poona Ford,29,LAC,DT,15,15,1,3,0,3,5,0,0,0,0,0,3.0,38,23,15,8,9,0,
Daiyan Henley,25,LAC,LB,15,15,0,0,0,0,7,0,0,0,0,0,1.0,142,82,60,7,3,0,
Justin Herbert,26,LAC,QB,15,15,0,0,0,0,0,0,6,4,-6,0,0.0,0,0,0,0,0,0,
D.J. Jones,29,DEN,DT,15,15,0,0,0,0,3,0,0,1,0,0,0.5,38,20,18,1,2,0,
Bo Nix,24,DEN,QB,15,15,0,0,0,0,0,0,2,2,-2,0,0.0,0,0,0,0,0,0,
Otito Ogbonnia,23,LAC,DT,15,15,0,0,0,0,0,0,0,0,0,0,0.0,33,13,20,0,2,0,
John Franklin-Myers,28,DEN,DL,15,14,0,0,0,0,0,0,0,0,0,0,5.5,37,17,20,7,14,0,
Nik Bonitto,25,DEN,OLB,15,13,1,71,1,71,3,2,0,1,50,1,11.5,43,29,14,14,20,0,
Cody Barton,28,DEN,LB,15,12,2,71,0,56,4,1,0,1,52,1,1.5,97,49,48,2,2,0,
Adam Trautman,27,DEN,TE,15,12,0,0,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,
Courtland Sutton,29,DEN,WR,15,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Javonte Williams,24,DEN,RB,15,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Nate Adkins,25,DEN,TE,15,9,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
