Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Jeff Wilkins,STL,34,K,16,0,1,1,11,11,6,6,16,11,3,3,37,32,53,86.5%,35,35,100.0%,83,5194,11,13.3%,62.6
Neil Rackers,ARI,30,K,16,0,,,11,11,9,9,10,7,7,1,37,28,50,75.7%,32,32,100.0%,75,5020,17,22.7%,66.9
Robbie Gould*+,CHI,24,K,16,0,,,6,6,16,14,14,12,,,36,32,49,88.9%,47,47,100.0%,95,6175,11,11.6%,65.0
Olindo Mare,MIA,33,K,16,0,,,10,10,8,6,12,9,6,1,36,26,52,72.2%,22,22,100.0%,67,4339,24,35.8%,64.8
Dave Rayner,GNB,24,K,16,0,,,12,11,9,6,11,8,3,1,35,26,54,74.3%,32,31,96.9%,72,4672,11,15.3%,64.9
Joe Nedney,SFO,33,K,16,0,2,2,12,11,10,8,9,7,2,1,35,29,51,82.9%,29,29,100.0%,74,4463,5,6.8%,60.3
Jason Hanson,DET,36,K,16,0,1,1,12,12,6,6,8,7,6,3,33,29,53,87.9%,30,30,100.0%,76,5055,13,17.1%,66.5
Josh Scobee,JAX,24,K,16,0,,,6,5,7,7,18,14,1,,32,26,48,81.3%,41,41,100.0%,84,5429,21,25.0%,64.6
Lawrence Tynes,KAN,28,K,16,0,1,1,10,10,6,4,10,7,4,2,31,24,53,77.4%,36,35,97.2%,78,4861,5,6.4%,62.3
Josh Brown,SEA,27,K,16,0,,,10,10,7,5,9,7,5,3,31,25,54,80.6%,36,36,100.0%,75,4859,12,16.0%,64.8
Shayne Graham,CIN,29,K,16,0,,,9,9,9,8,8,6,4,2,30,25,51,83.3%,42,40,95.2%,84,5330,13,15.5%,63.5
Matt Stover,BAL,38,K,16,0,,,13,12,9,9,7,6,1,1,30,28,52,93.3%,37,37,100.0%,72,4542,6,8.3%,63.1
Nate Kaeding*,SDG,24,K,16,0,,,7,7,12,11,9,7,1,1,29,26,54,89.7%,58,58,100.0%,100,6457,11,11.0%,64.6
Jason Elam,DEN,36,K,16,0,,,10,10,10,10,8,6,1,1,29,27,51,93.1%,34,34,100.0%,,,,,
Phil Dawson,CLE,31,K,16,0,,,6,5,10,9,12,6,1,1,29,21,51,72.4%,25,25,100.0%,61,3874,11,18.0%,63.5
Adam Vinatieri,IND,34,K,13,0,1,1,3,3,13,12,10,9,1,,28,25,48,89.3%,38,38,100.0%,73,4785,10,13.7%,65.5
Rob Bironas,TEN,28,K,16,0,,,11,10,7,7,8,4,2,1,28,22,60,78.6%,32,32,100.0%,70,4303,10,14.3%,61.5
Jeff Reed,PIT,27,K,16,0,1,1,7,6,11,8,7,4,1,1,27,20,50,74.1%,41,41,100.0%,76,4684,4,5.3%,61.6
Jay Feely,NYG,30,K,16,0,,,7,7,11,10,8,6,1,,27,23,47,85.2%,38,38,100.0%,78,5011,12,15.4%,64.2
Mike Nugent,NYJ,24,K,16,0,1,1,7,7,12,10,4,4,3,2,27,24,54,88.9%,35,34,97.1%,72,4383,2,2.8%,60.9
John Kasay,CAR,37,K,16,0,2,2,6,6,4,4,8,8,7,4,27,24,54,88.9%,28,28,100.0%,57,3555,5,8.8%,62.4
Stephen Gostkowski,NWE,22,K,16,0,,,11,10,10,7,4,2,1,1,26,20,52,76.9%,44,43,97.7%,81,5253,12,14.8%,64.9
John Carney,NOR,42,K,16,0,1,1,9,9,8,7,6,5,1,1,25,23,51,92.0%,47,46,97.9%,53,3215,5,9.4%,60.7
Rian Lindell,BUF,29,K,16,0,,,8,8,5,5,10,8,2,2,25,23,53,92.0%,33,33,100.0%,69,4124,5,7.2%,59.8
Ryan Longwell,MIN,32,K,16,0,2,2,7,7,8,8,6,4,2,,25,21,49,84.0%,28,27,96.4%,66,3904,3,4.5%,59.2
Kris Brown,HOU,30,K,16,0,1,1,4,4,5,3,13,11,2,,25,19,49,76.0%,27,26,96.3%,64,4118,10,15.6%,64.3
Sebastian Janikowski,OAK,28,K,16,0,1,1,3,2,11,9,3,3,7,3,25,18,55,72.0%,16,16,100.0%,50,3176,7,14.0%,63.5
David Akers,PHI,32,K,16,0,,,10,9,5,3,8,6,,,23,18,47,78.3%,48,48,100.0%,83,5456,11,13.3%,65.7
Morten Andersen,ATL,46,K,14,0,,,8,7,6,6,8,7,1,,23,20,45,87.0%,27,27,100.0%,,,,,
Matt Bryant,TAM,31,K,16,0,,,8,8,3,3,9,5,2,1,22,17,62,77.3%,23,22,95.7%,53,3264,4,7.5%,61.6
Mike Vanderjagt,DAL,36,K,10,0,,,7,6,6,5,4,1,1,1,18,13,50,72.2%,33,33,100.0%,46,2765,3,6.5%,60.1
Shaun Suisham,2TM,25,K,8,0,,,1,1,7,6,1,1,2,1,11,9,52,81.8%,14,14,100.0%,30,1858,2,6.7%,61.9
John Hall,WAS,32,K,5,0,,,3,3,4,4,4,2,,,11,9,46,81.8%,9,9,100.0%,16,968,,,60.5
Nick Novak,WAS,25,K,6,0,,,1,1,3,1,6,3,,,10,5,47,50.0%,10,10,100.0%,20,1202,,,60.1
Martin Gramatica,2TM,31,K,8,0,,,2,2,2,2,5,3,,,9,7,48,77.8%,23,23,100.0%,38,2360,1,2.6%,62.1
Michael Koenen,ATL,24,P,16,0,,,1,1,4,1,1,,3,1,9,3,51,33.3%,4,4,100.0%,70,4511,13,18.6%,64.4
Billy Cundiff,NOR,26,K,5,0,,,,,,,,,1,,1,,,0.0%,,,,7,436,,,62.3
Hunter Smith,IND,29,P,16,0,,,,,,,,,,,,,,,1,,0.0%,2,100,,,50.0
Paul Ernster,DEN,24,P,16,0,,,,,,,,,,,,,,,,,,75,5056,19,25.3%,67.4
Jason Baker,CAR,28,P,16,0,,,,,,,,,,,,,,,,,,10,653,1,10.0%,65.3
Derrick Frost,WAS,26,P,16,0,,,,,,,,,,,,,,,,,,10,521,1,10.0%,52.1
Sam Koch,BAL,24,P,16,0,,,,,,,,,,,,,,,,,,10,632,,,63.2
Mat McBriar*,DAL,27,P,16,0,,,,,,,,,,,,,,,,,,3,174,,,58.0
Mike Scifres,SDG,26,P,16,0,,,,,,,,,,,,,,,,,,3,183,,,61.0
Steve Weatherford,NOR,24,P,16,0,,,,,,,,,,,,,,,,,,3,158,,,52.7
Scott Player,ARI,37,P,16,0,,,,,,,,,,,,,,,,,,2,107,,,53.5
Craig Hentrich,TEN,35,P,16,0,,,,,,,,,,,,,,,,,,1,35,,,35.0
Chris Kluwe,MIN,25,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0
Shane Lechler,OAK,30,P,16,0,,,,,,,,,,,,,,,,,,1,67,,,67.0
Brian Moorman*+,BUF,30,P,16,0,,,,,,,,,,,,,,,,,,1,69,,,69.0
Matt Turk,STL,38,P,16,0,,,,,,,,,,,,,,,,,,1,37,,,37.0
Ken Walter,NWE,34,P,4,0,,,,,,,,,,,,,,,,,,1,46,,,46.0
