Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Wally Henry,PHI,27,WR,16,0,54,396,0,52,7.3,25,533,0,43,21.3,1072
Leon Bright,NYG,26,RB,15,1,52,410,0,55,7.9,25,481,0,41,19.2,1379
Robbie Martin,DET,23,WR,16,0,52,450,1,45,8.7,25,509,0,34,20.4,959
J.T. Smith,KAN,26,WR,16,15,50,528,0,62,10.6,,,0,,,1399
LeRoy Irvin+,RAM,24,LCB,16,7,46,615,3,84,13.4,,,0,,,647
Mike Nelms*,WAS,26,DB,16,0,45,492,2,75,10.9,37,1099,0,84,29.7,1594
Jeff Fisher,CHI,23,DB,16,0,43,509,1,88,11.8,7,102,0,23,14.6,614
Stump Mitchell,STL,22,RB,16,0,42,445,1,50,10.6,55,1292,0,67,23.5,1947
Wade Manning,DEN,26,WR,16,0,41,378,0,39,9.2,26,514,0,31,19.8,941
Carl Roaches*,HOU,28,WR,16,0,39,296,0,40,7.6,28,769,1,96,27.5,1065
Eddie Payton,MIN,30,RB,16,0,38,303,0,18,8.0,39,898,1,99,23.0,1201
Jeff Groth,NOR,24,WR,15,13,37,436,0,36,11.8,3,50,0,21,16.7,893
Tommy Vigorito,MIA,22,RB,16,1,36,379,1,87,10.5,4,84,0,25,21.0,816
Bruce Harper,NYJ,26,RB,16,7,35,265,0,46,7.6,23,480,0,42,20.9,1597
Ted Watts,OAK,23,DB,16,0,35,284,1,52,8.1,,,0,,,297
Dino Hall,CLE,26,RB,12,0,33,248,0,40,7.5,36,813,0,48,22.6,1061
James Jones,DAL,23,RB,16,0,33,188,0,17,5.7,27,517,0,33,19.1,925
Scott Woerner,ATL,23,DB,16,0,33,278,0,38,8.4,10,210,0,27,21.0,488
Jim Smith,PIT,26,WR,15,3,30,204,0,28,6.8,,,0,,,790
Freddie Solomon,SFO,28,WR,15,15,29,173,0,19,6.0,,,0,,,1185
Theo Bell,TAM,28,WR,16,9,27,132,0,13,4.9,,,0,,,457
Mike Fuller,CIN,28,SS,15,6,23,177,0,34,7.7,1,34,0,34,34.0,242
James Brooks,SDG,23,RB,14,2,22,290,0,42,13.2,40,949,0,47,23.7,2093
Larry Anderson,PIT,25,DB,16,0,20,208,0,33,10.4,37,825,0,35,22.3,1033
Mark Lee,GNB,23,LCB,16,16,20,187,1,94,9.4,14,270,0,31,19.3,507
Dwight Hicks*,SFO,25,FS,16,16,19,171,0,39,9.0,1,22,0,22,22.0,512
Cleo Montgomery,2TM,25,WR,5,0,17,121,0,17,7.1,17,382,0,38,22.5,503
Roland Hooks,BUF,28,RB,16,1,17,142,0,25,8.4,11,215,0,36,19.5,747
Paul Johns,SEA,23,WR,16,0,16,177,0,34,11.1,5,81,0,20,16.2,389
Will Lewis,SEA,23,DB,10,0,15,100,0,23,6.7,20,378,0,36,18.9,478
Fred Nixon,GNB,23,WR,8,1,15,118,0,17,7.9,12,222,0,25,18.5,367
Ira Matthews,OAK,24,WR,5,0,15,92,0,26,6.1,7,144,0,39,20.6,236
Stanley Morgan,NWE,26,WR,13,13,15,116,0,26,7.7,,,0,,,1166
Kurt Sohn,NYJ,24,WR,16,0,13,66,0,14,5.1,26,528,0,31,20.3,594
Reggie Smith,ATL,25,WR,15,0,12,99,0,53,8.3,47,1143,0,52,24.3,1242
Ron Fellows,DAL,23,DB,16,0,11,44,0,10,4.0,8,170,0,31,21.3,214
David Shula,BAL,22,WR,16,0,10,50,0,11,5.0,5,65,0,16,13.0,115
John Holt,TAM,22,RCB,16,6,9,100,0,56,11.1,11,274,0,40,24.9,387
Lou Piccone,BUF,32,WR,14,0,9,57,0,13,6.3,2,31,0,16,15.5,153
Rick Upchurch,DEN,29,WR,13,10,9,63,0,15,7.0,,,0,,,669
Alvin Garrett,2TM,25,WR,13,0,8,57,0,18,7.1,18,401,0,35,22.3,460
Roland James,NWE,23,RCB,16,6,7,56,0,18,8.0,,,0,,,85
