Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Jason Myers*,SEA,31,K,17,0,,,,,,,,,,,0,41,42,34,37,,143,8.4
Justin Tucker*,BAL,33,K,17,0,,,,,,,,,,,0,31,32,37,43,,142,8.4
Daniel Carlson+,LVR,27,K,17,0,,,,,,,,,,,0,35,36,34,37,,137,8.1
Brett Maher,DAL,33,K,17,0,,,,,,,,,,,0,50,53,29,32,,137,8.1
Robbie Gould,SFO,40,K,17,0,,,,,,,,,,,0,50,51,27,32,,131,7.7
Tyler Bass,BUF,25,K,16,0,,,,,,,,,,,0,48,50,27,31,,129,8.1
Younghoe Koo,ATL,28,K,17,0,,,,,,,,,,,0,33,35,32,37,,129,7.6
Eddy Piñeiro,CAR,27,K,17,0,,,,,,,,,,,0,30,32,33,35,,129,7.6
Nick Folk,NWE,38,K,17,0,,,,,,,,,,,0,32,35,32,37,,128,7.5
Riley Patterson,JAX,23,K,17,0,,,,,,,,,,,0,36,37,30,35,,126,7.4
Graham Gano,NYG,35,K,17,0,,,,,,,,,,,0,32,34,29,32,,119,7.0
Jason Sanders,MIA,27,K,17,0,,,,,,,,,,,0,41,44,26,32,,119,7.0
Greg Joseph,MIN,28,K,17,0,,,,,,,,,,,0,40,46,26,33,,118,6.9
Greg Zuerlein,NYJ,35,K,17,0,,,,,,,,,,,0,28,29,30,37,,118,6.9
Ryan Succop,TAM,36,K,17,0,,,,,,,,,,,0,24,25,31,38,,117,6.9
Matt Gay,LAR,28,K,17,0,,,,,,,,,,,0,31,32,28,30,,115,6.8
Mason Crosby,GNB,38,K,17,0,,,,,,,,,,,0,37,39,25,29,,112,6.6
Evan McPherson,CIN,23,K,16,0,,,,,,,,,,,0,40,44,24,29,,112,7.0
Jake Elliott,PHI,27,K,16,0,,,,,,,,,,,0,51,53,20,23,,111,6.9
Ka'imi Fairbairn,HOU,28,K,17,0,,,,,,,,,,,0,24,24,29,31,,111,6.5
Chase McLaughlin,IND,26,K,16,0,,,,,,,,,,,0,21,21,30,36,,111,6.9
Brandon McManus,DEN,31,K,17,0,,,,,,,,,,,0,25,27,28,36,,109,6.4
Austin Ekeler,LAC,27,RB,17,17,13,5,,,,,,18,,,0,,,,,,108,6.4
Cade York,CLE,21,K,17,0,,,,,,,,,,,0,35,37,24,32,,107,6.3
Michael Badgley,2TM,27,K,13,0,,,,,,,,,,,0,33,33,24,28,,105,8.1
Jamaal Williams,DET,27,RB,17,9,17,,,,,,,17,1,,0,,,,,,104,6.1
Wil Lutz,NOR,28,K,17,0,,,,,,,,,,,0,33,33,23,31,,102,6.0
Joey Slye,WAS,26,K,17,0,,,,,,,,,,,0,24,28,25,30,,99,5.8
Harrison Butker,KAN,27,K,13,0,,,,,,,,,,,0,38,41,18,24,,92,7.1
Cairo Santos,CHI,31,K,16,0,,,,,,,,,,,0,27,32,21,23,,90,5.6
Cameron Dicker,2TM,22,K,11,0,,,,,,,,,,,0,24,24,21,22,,87,7.9
Davante Adams*+,LVR,30,WR,17,17,,14,,,,,,14,,,0,,,,,,84,4.9
Matt Prater,ARI,38,K,13,0,,,,,,,,,,,0,17,18,22,25,,83,6.4
Jalen Hurts*,PHI,24,QB,15,15,13,,,,,,,13,2,,0,,,,,,82,5.5
Nick Chubb*,CLE,27,RB,17,17,12,1,,,,,,13,1,,0,,,,,,80,4.7
Randy Bullock,TEN,33,K,15,0,,,,,,,,,,,0,28,28,17,20,,79,5.3
Chris Boswell,PIT,31,K,12,0,,,,,,,,,,,0,18,18,20,28,,78,6.5
Derrick Henry*,TEN,28,RB,16,16,13,,,,,,,13,,,0,,,,,,78,4.9
Christian McCaffrey*,2TM,26,RB,17,16,8,5,,,,,,13,,,0,,,,,,78,4.6
Travis Kelce*+,KAN,33,TE,17,17,,12,,,,,,12,1,,0,,,,,,74,4.4
Ezekiel Elliott,DAL,27,RB,15,14,12,,,,,,,12,,,0,,,,,,72,4.8
Josh Jacobs*+,LVR,24,RB,17,17,12,,,,,,,12,,,0,,,,,,72,4.2
Tony Pollard*,DAL,25,RB,16,4,9,3,,,,,,12,,,0,,,,,,72,4.5
A.J. Brown*,PHI,25,WR,17,16,,11,,,,,,11,,,0,,,,,,66,3.9
Stefon Diggs*,BUF,29,WR,16,16,,11,,,,,,11,,,0,,,,,,66,4.1
George Kittle*,SFO,29,TE,15,15,,11,,,,,,11,,,0,,,,,,66,4.4
Miles Sanders*,PHI,25,RB,17,15,11,,,,,,,11,,,0,,,,,,66,3.9
Saquon Barkley*,NYG,25,RB,16,16,10,,,,,,,10,1,,0,,,,,,62,3.9
Jerick McKinnon,KAN,30,RB,17,0,1,9,,,,,,10,1,,0,,,,,,62,3.6
Dalvin Cook*,MIN,27,RB,17,17,8,2,,,,,,10,,,0,,,,,,60,3.5
