Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Patrick Peterson*,ARI,22,LCB,16,16,51.0,426.0,0,26.0,8.4,,,0,,,574
Trindon Holliday,2TM,26,WR,15,0,48.0,481.0,1,76.0,10.0,21.0,552.0,1,105.0,26.3,1050
Leon Washington*,SEA,30,RB,16,0,41.0,356.0,0,52.0,8.7,27.0,784.0,1,98.0,29.0,1254
Devin Hester,CHI,30,WR,15,5,40.0,331.0,0,44.0,8.3,24.0,621.0,0,40.0,25.9,1200
Josh Cribbs*,CLE,29,WR,16,2,38.0,457.0,0,60.0,12.0,43.0,1178.0,0,74.0,27.4,1722
Jacoby Jones*+,BAL,28,WR,16,3,37.0,341.0,1,63.0,9.2,38.0,1167.0,2,108.0,30.7,1920
Javier Arenas,KAN,25,RCB,16,9,34.0,297.0,0,27.0,8.7,10.0,204.0,0,27.0,20.4,501
Stefan Logan,DET,31,RB,16,0,33.0,300.0,0,48.0,9.1,28.0,597.0,0,40.0,21.3,942
Marcus Sherels,MIN,25,DB,16,0,32.0,287.0,1,77.0,9.0,16.0,422.0,0,41.0,26.4,709
Ted Ginn Jr.,SFO,27,WR,13,0,32.0,326.0,0,38.0,10.2,11.0,253.0,0,31.0,23.0,587
Darius Reynaud,TEN,28,WR,16,0,31.0,410.0,2,81.0,13.2,53.0,1240.0,1,105.0,23.4,1718
Randall Cobb,GNB,22,WR,15,8,31.0,292.0,1,75.0,9.4,38.0,964.0,0,46.0,25.4,2342
Roscoe Parrish,TAM,30,WR,13,0,30.0,298.0,0,39.0,9.9,4.0,86.0,0,25.0,21.5,384
Antonio Brown,PIT,24,WR,13,10,27.0,183.0,0,29.0,6.8,,,0,,,994
Marcus Thigpen,MIA,26,RB,16,0,26.0,316.0,1,72.0,12.2,38.0,1040.0,1,96.0,27.4,1379
Brandon Banks,WAS,25,WR,12,0,26.0,178.0,0,27.0,6.8,22.0,527.0,0,55.0,24.0,761
T.Y. Hilton,IND,23,WR,15,1,26.0,300.0,1,75.0,11.5,7.0,118.0,0,26.0,16.9,1308
Adam Jones,CIN,29,DB,16,5,26.0,301.0,1,81.0,11.6,3.0,64.0,0,31.0,21.3,365
Damaris Johnson,PHI,23,WR,14,1,26.0,291.0,1,98.0,11.2,,,0,,,559
Wes Welker*,NWE,31,WR,16,12,25.0,243.0,0,31.0,9.7,3.0,33.0,0,17.0,11.0,1650
Phillip Adams,OAK,24,DB,15,2,25.0,139.0,0,47.0,5.6,,,0,,,139
Leodis McKelvin,BUF,27,DB,13,4,23.0,431.0,2,88.0,18.7,18.0,510.0,0,59.0,28.3,950
