Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Andre Johnson,27.0,HOU,16.0,16.0,171.0,115.0,1575.0,13.7,8.0,79.0,62.6,65.0,7.2,98.4,67.3,9.2,1.0,"PB,AP-1"
Wes Welker,27.0,NWE,16.0,14.0,149.0,111.0,1165.0,10.5,3.0,57.0,58.4,64.0,6.9,72.8,74.5,7.8,1.0,"PB,AP-2"
Brandon Marshall,24.0,DEN,15.0,15.0,181.0,104.0,1265.0,12.2,6.0,67.0,50.8,47.0,6.9,84.3,57.5,7.0,4.0,PB
Larry Fitzgerald,25.0,ARI,16.0,16.0,154.0,96.0,1431.0,14.9,12.0,66.0,58.4,78.0,6.0,89.4,62.3,9.3,1.0,"PB,AP-1"
Tony Gonzalez,32.0,KAN,16.0,16.0,155.0,96.0,1058.0,11.0,10.0,66.0,55.5,35.0,6.0,66.1,61.9,6.8,0.0,"PB,AP-1"
T.J. Houshmandzadeh,31.0,CIN,15.0,15.0,137.0,92.0,904.0,9.8,4.0,51.0,54.7,46.0,6.1,60.3,67.2,6.6,0.0,
Eddie Royal,22.0,DEN,15.0,15.0,129.0,91.0,980.0,10.8,5.0,43.0,60.5,93.0,6.1,65.3,70.5,7.6,2.0,
Anquan Boldin,28.0,ARI,12.0,11.0,127.0,89.0,1038.0,11.7,11.0,56.0,56.7,79.0,7.4,86.5,70.1,8.2,4.0,"PB,AP CPoY-4"
Roddy White,27.0,ATL,16.0,15.0,148.0,88.0,1382.0,15.7,7.0,60.0,55.4,70.0,5.5,86.4,59.5,9.3,1.0,PB
Dwayne Bowe,24.0,KAN,16.0,16.0,157.0,86.0,1022.0,11.9,7.0,49.0,47.1,36.0,5.4,63.9,54.8,6.5,0.0,
Antonio Bryant,27.0,TAM,16.0,15.0,138.0,83.0,1248.0,15.0,7.0,58.0,54.3,71.0,5.2,78.0,60.1,9.0,1.0,AP CPoY-4
Chris Cooley,26.0,WAS,16.0,16.0,111.0,83.0,849.0,10.2,1.0,43.0,62.2,28.0,5.2,53.1,74.8,7.6,3.0,PB
Reggie Wayne,30.0,IND,16.0,16.0,131.0,82.0,1145.0,14.0,6.0,65.0,58.0,65.0,5.1,71.6,62.6,8.7,0.0,PB
Hines Ward,32.0,PIT,16.0,15.0,124.0,81.0,1043.0,12.9,7.0,55.0,57.3,49.0,5.1,65.2,65.3,8.4,1.0,
Jason Witten,26.0,DAL,16.0,16.0,121.0,81.0,952.0,11.8,4.0,49.0,54.5,42.0,5.1,59.5,66.9,7.9,0.0,"PB,AP-2"
Greg Jennings,25.0,GNB,16.0,15.0,140.0,80.0,1292.0,16.2,9.0,55.0,50.7,63.0,5.0,80.8,57.1,9.2,1.0,
Derrick Mason,34.0,BAL,16.0,16.0,121.0,80.0,1037.0,13.0,5.0,60.0,57.0,54.0,5.0,64.8,66.1,8.6,2.0,
Lance Moore,25.0,NOR,16.0,6.0,121.0,79.0,928.0,11.7,10.0,40.0,52.1,70.0,4.9,58.0,65.3,7.7,1.0,
Santana Moss,29.0,WAS,16.0,16.0,138.0,79.0,1044.0,13.2,6.0,50.0,47.8,67.0,4.9,65.3,57.2,7.6,1.0,
Calvin Johnson,23.0,DET,16.0,16.0,150.0,78.0,1331.0,17.1,12.0,52.0,47.3,96.0,4.9,83.2,52.0,8.9,3.0,
Steve Smith Sr.,29.0,CAR,14.0,14.0,129.0,78.0,1421.0,18.2,6.0,59.0,56.6,65.0,5.6,101.5,60.5,11.0,1.0,"PB,AP-2,AP OPoY-6"
Steve Breaston,25.0,ARI,16.0,9.0,113.0,77.0,1006.0,13.1,3.0,44.0,56.6,58.0,4.8,62.9,68.1,8.9,1.0,
Dallas Clark,29.0,IND,15.0,15.0,107.0,77.0,848.0,11.0,6.0,41.0,61.7,33.0,5.1,56.5,72.0,7.9,2.0,
Donald Driver,33.0,GNB,16.0,16.0,116.0,74.0,1012.0,13.7,5.0,45.0,50.9,71.0,4.6,63.3,63.8,8.7,0.0,
Jerricho Cotchery,26.0,NYJ,16.0,16.0,112.0,71.0,858.0,12.1,5.0,43.0,53.6,56.0,4.4,53.6,63.4,7.7,2.0,
Laveranues Coles,31.0,NYJ,16.0,16.0,116.0,70.0,850.0,12.1,7.0,45.0,54.3,54.0,4.4,53.1,60.3,7.3,1.0,
Owen Daniels,26.0,HOU,16.0,16.0,101.0,70.0,862.0,12.3,2.0,46.0,60.4,35.0,4.4,53.9,69.3,8.5,2.0,PB
Randy Moss,31.0,NWE,16.0,16.0,125.0,69.0,1008.0,14.6,11.0,46.0,48.0,76.0,4.3,63.0,55.2,8.1,3.0,
Terrell Owens,35.0,DAL,16.0,16.0,140.0,69.0,1052.0,15.2,10.0,38.0,42.1,75.0,4.3,65.8,49.3,7.5,1.0,
Matt Jones,25.0,JAX,12.0,10.0,107.0,65.0,761.0,11.7,2.0,46.0,57.0,35.0,5.4,63.4,60.7,7.1,1.0,
Muhsin Muhammad,35.0,CAR,16.0,15.0,107.0,65.0,923.0,14.2,5.0,46.0,54.2,60.0,4.1,57.7,60.7,8.6,2.0,
Torry Holt,32.0,STL,16.0,14.0,119.0,64.0,796.0,12.4,3.0,40.0,43.7,45.0,4.0,49.8,53.8,6.7,0.0,
Lee Evans,27.0,BUF,16.0,16.0,102.0,63.0,1017.0,16.1,3.0,46.0,53.9,87.0,3.9,63.6,61.8,10.0,2.0,
Matt Forte,23.0,CHI,16.0,16.0,76.0,63.0,477.0,7.6,4.0,23.0,60.5,19.0,3.9,29.8,82.9,6.3,1.0,AP ORoY-4
DeSean Jackson,22.0,PHI,16.0,15.0,120.0,62.0,912.0,14.7,2.0,43.0,45.8,60.0,3.9,57.0,51.7,7.6,4.0,
Maurice Jones-Drew,23.0,JAX,16.0,3.0,75.0,62.0,565.0,9.1,2.0,28.0,56.0,26.0,3.9,35.3,82.7,7.5,6.0,
Isaac Bruce,36.0,SFO,16.0,15.0,108.0,61.0,835.0,13.7,7.0,44.0,52.8,63.0,3.8,52.2,56.5,7.7,0.0,
Antonio Gates,28.0,SDG,16.0,16.0,92.0,60.0,704.0,11.7,8.0,39.0,55.4,34.0,3.8,44.0,65.2,7.7,1.0,PB
Marvin Harrison,36.0,IND,15.0,15.0,107.0,60.0,636.0,10.6,5.0,41.0,47.7,67.0,4.0,42.4,56.1,5.9,1.0,
Kevin Walter,27.0,HOU,16.0,16.0,95.0,60.0,899.0,15.0,8.0,39.0,53.7,61.0,3.8,56.2,63.2,9.5,0.0,
Vincent Jackson,25.0,SDG,16.0,16.0,101.0,59.0,1098.0,18.6,7.0,52.0,54.5,60.0,3.7,68.6,58.4,10.9,1.0,
Kevin Faulk,32.0,NWE,15.0,3.0,74.0,58.0,486.0,8.4,3.0,23.0,58.1,22.0,3.9,32.4,78.4,6.6,0.0,
Bo Scaife,27.0,TEN,16.0,7.0,84.0,58.0,561.0,9.7,2.0,28.0,48.8,44.0,3.6,35.1,69.0,6.7,1.0,
Anthony Gonzalez,24.0,IND,16.0,2.0,79.0,57.0,664.0,11.6,4.0,36.0,62.0,58.0,3.6,41.5,72.2,8.4,0.0,
Steve Smith,23.0,NYG,16.0,4.0,82.0,57.0,574.0,10.1,1.0,36.0,61.0,30.0,3.6,35.9,69.5,7.0,1.0,
