Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Eddie Murray,DET,25,K,16,0,,,,,,,,,,,,46,46,25,35,,121,7.6
Rafael Septien*+,DAL,28,K,16,0,,,,,,,,,,,,40,40,27,35,,121,7.6
Jim Breech,CIN,25,K,16,0,,,,,,,,,,,,49,51,22,32,,115,7.2
Nick Lowery*,KAN,25,K,16,0,,,,,,,,,,,,37,38,26,36,,115,7.2
Mick Luckhurst,ATL,23,K,16,0,,,,,,,,,,,,51,51,21,33,,114,7.1
Chuck Muncie*,SDG,28,RB,15,14,19,,,,,,,19,,,,,,,,,114,7.6
Pat Leahy,NYJ,30,K,16,0,,,,,,,,,,,,38,39,25,36,,113,7.1
Rolf Benirschke,SDG,26,K,16,0,,,,,,,,,,,,55,61,19,26,,112,7.0
Uwe von Schamann,MIA,25,K,16,0,,,,,,,,,,,,37,38,24,31,,109,6.8
Joe Danelo,NYG,28,K,16,0,,,,,,,,,,,,31,31,24,38,,103,6.4
Wendell Tyler,RAM,26,RB,15,15,12,5,,,,,,17,,,,,,,,,102,6.8
Tony Franklin,PHI,25,K,16,0,,,,,,,,,,,,41,43,20,31,,101,6.3
Jan Stenerud,GNB,39,K,16,0,,,,,,,,,,,,35,36,22,24,,101,6.3
Rick Danmeier,MIN,29,K,16,0,,,,,,,,,,,,34,37,21,25,,97,6.1
Pete Johnson*,CIN,27,FB,16,16,12,4,,,,,,16,,,,,,,,,96,6.0
Mark Moseley,WAS,33,K,16,0,,,,,,,,,,,,38,42,19,30,,95,5.9
Neil O'Donoghue,STL,28,K,16,0,,,,,,,,,,,,36,37,19,32,,93,5.8
Billy Sims*,DET,26,RB,14,14,13,2,,,,,,15,,,,,,,,,90,6.4
Frank Corral,RAM,26,K,16,0,,,,,,,,,,,,36,36,17,26,,87,5.4
Fred Steinfort,DEN,29,K,16,0,,,,,,,,,,,,36,37,17,30,,87,5.4
John Smith,NWE,32,K,16,0,,,,,,,,,,,,37,39,15,24,,82,5.1
Ray Wersching,SFO,31,K,12,0,,,,,,,,,,,,30,30,17,23,,81,6.8
Matt Bahr,2TM,25,K,15,0,,,,,,,,,,,0,34,34,15,26,,79,5.3
Nick Mike-Mayer,BUF,31,K,16,0,,,,,,,,,,,,37,37,14,24,,79,4.9
