Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Kellen Winslow,24,SDG,16,16,88,1075,12.2,10,67,5.5,67.2,2,"PB,AP-1,AP MVP-6,AP OPoY-8"
Dwight Clark,24,SFO,16,16,85,1105,13.0,4,78,5.3,69.1,0,PB
Ted Brown,24,MIN,16,16,83,694,8.4,2,63,5.2,43.4,3,
William Andrews,26,ATL,16,16,81,735,9.1,2,70,5.1,45.9,12,"PB,AP-2,AP OPoY-8"
Joe Senser,25,MIN,16,16,79,1004,12.7,8,53,4.9,62.8,3,PB
Steve Largent,27,SEA,16,16,75,1224,16.3,9,57,4.7,76.5,2,PB
James Lofton,25,GNB,16,16,71,1294,18.2,8,75,4.4,80.9,0,"PB,AP-1"
Dan Ross,24,CIN,16,16,71,910,12.8,5,37,4.4,56.9,3,
Alfred Jenkins,29,ATL,16,16,70,1358,19.4,13,67,4.4,84.9,3,"PB,AP-1"
Charlie Joiner,34,SDG,16,16,70,1188,17.0,7,57,4.4,74.3,2,
Frank Lewis,34,BUF,16,16,70,1244,17.8,4,33,4.4,77.8,1,PB
Joe Washington,28,WAS,14,13,70,558,8.0,3,32,5.0,39.9,8,
Ozzie Newsome,25,CLE,16,16,69,1002,14.5,6,62,4.3,62.6,0,"PB,AP-2"
Wes Chandler,25,2TM,16,15,69,1142,16.6,6,51,4.3,71.4,1,
Wes Chandler,25,NOR,4,4,17,285,16.8,1,39,4.3,71.3,0,
Wes Chandler,25,SDG,12,11,52,857,16.5,5,51,4.3,71.4,1,
Cris Collinsworth,22,CIN,16,16,67,1009,15.1,8,74,4.2,63.1,3,"PB,AP-2,AP ORoY-2"
Pat Tilley,28,STL,16,16,66,1040,15.8,3,75,4.1,65.0,1,
Sammy White,27,MIN,16,16,66,1001,15.2,3,53,4.1,62.6,1,
Gerry Ellis,24,GNB,16,16,65,499,7.7,3,46,4.1,31.2,5,
Greg Pruitt,30,CLE,15,6,65,636,9.8,4,33,4.3,42.4,3,
Mike Pruitt,27,CLE,16,16,63,442,7.0,1,21,3.9,27.6,5,
J.T. Smith,26,KAN,16,15,63,852,13.5,2,42,3.9,53.3,2,
John Stallworth,29,PIT,16,16,63,1098,17.4,5,55,3.9,68.6,4,
Harold Carmichael,32,PHI,16,16,61,1028,16.9,6,85,3.8,64.3,3,
Steve Watson,24,DEN,16,13,60,1244,20.7,13,95,3.8,77.8,0,"PB,AP-2"
Freddie Solomon,28,SFO,15,15,59,969,16.4,8,60,3.9,64.6,3,
Ahmad Rashad,32,MIN,16,15,58,884,15.2,7,53,3.6,55.3,1,PB
Kevin House,24,TAM,16,16,56,1176,21.0,9,84,3.5,73.5,2,
Art Monk,24,WAS,16,16,56,894,16.0,6,79,3.5,55.9,0,
Jerry Butler,24,BUF,16,16,55,842,15.3,8,67,3.4,52.6,2,
Lynn Cain,26,ATL,16,16,55,421,7.7,2,28,3.4,26.3,3,
Paul Coffman,25,GNB,16,16,55,687,12.5,4,29,3.4,42.9,1,
Duriel Harris,27,MIA,15,12,53,911,17.2,2,55,3.5,60.7,0,
Freddie Scott,29,DET,16,15,53,1022,19.3,5,48,3.3,63.9,0,
Bruce Harper,26,NYJ,16,7,52,459,8.8,1,24,3.3,28.7,7,
Dave Preston,26,DEN,16,14,52,507,9.8,0,37,3.3,31.7,4,
Derrick Ramsey,25,OAK,16,12,52,674,13.0,4,66,3.3,42.1,2,
Ottis Anderson,24,STL,16,16,51,387,7.6,0,27,3.2,24.2,13,
Earl Cooper,24,SFO,16,11,51,477,9.4,0,50,3.2,29.8,3,
Johnny Perkins,28,NYG,16,14,51,858,16.8,6,80,3.2,53.6,2,
Randy McMillan,23,BAL,16,16,50,466,9.3,1,31,3.1,29.1,1,
Tony Nathan,25,MIA,13,11,50,452,9.0,3,31,3.8,34.8,2,
Preston Dennard,26,RAM,15,15,49,821,16.8,4,64,3.3,54.7,1,
Wilbert Montgomery,27,PHI,15,15,49,521,10.6,2,35,3.3,34.7,6,
Terry Metcalf,30,WAS,16,2,48,595,12.4,0,52,3.0,37.2,6,
James Wilder,23,TAM,16,16,48,507,10.6,1,38,3.0,31.7,3,
Wesley Walker,26,NYJ,13,13,47,770,16.4,9,49,3.6,59.2,0,
James Brooks,23,SDG,14,2,46,329,7.2,3,29,3.3,23.5,7,
Ray Butler,25,BAL,16,16,46,832,18.1,9,67,2.9,52.0,0,
Don Hasselbeck,26,NWE,14,14,46,808,17.6,6,51,3.3,57.7,2,
Tony Hill,25,DAL,16,9,46,953,20.7,4,63,2.9,59.6,1,
Pete Johnson,27,CIN,16,16,46,320,7.0,4,33,2.9,20.0,4,PB
Sam McCullum,29,SEA,16,14,46,567,12.3,3,36,2.9,35.4,1,
Ron Springs,25,DAL,16,13,46,359,7.8,2,32,2.9,22.4,3,
Jimmie Giles,27,TAM,16,16,45,786,17.5,6,81,2.8,49.1,0,PB
Wendell Tyler,26,RAM,15,15,45,436,9.7,5,67,3.0,29.1,11,
Stanley Morgan,26,NWE,13,13,44,1029,23.4,6,76,3.4,79.2,2,
Sherman Smith,27,SEA,16,8,44,406,9.2,1,28,2.8,25.4,3,
Chuck Muncie,28,SDG,15,14,43,362,8.4,0,32,2.9,24.1,9,"PB,AP MVP-6,AP OPoY-6"
Rickey Young,28,MIN,16,13,43,296,6.9,2,22,2.7,18.5,4,
Gary Shirk,31,NYG,16,14,42,445,10.6,3,46,2.6,27.8,1,
Cliff Branch,33,OAK,16,15,41,635,15.5,1,53,2.6,39.7,0,
Bennie Cunningham,27,PIT,15,15,41,574,14.0,3,30,2.7,38.3,0,
Walter Payton,28,CHI,16,16,41,379,9.2,2,30,2.6,23.7,9,
Ken Burrough,33,HOU,16,16,40,668,16.7,7,71,2.5,41.8,1,
Joe Cribbs,23,BUF,15,15,40,603,15.1,7,65,2.7,40.2,12,PB
Jerome Barkum,31,NYJ,16,16,39,495,12.7,7,40,2.4,30.9,0,
Harold Jackson,35,NWE,16,15,39,669,17.2,0,45,2.4,41.8,1,
John Jefferson,25,GNB,13,13,39,632,16.2,4,41,3.0,48.6,0,
Andy Johnson,29,NWE,16,0,39,429,11.0,1,36,2.4,26.8,1,
Ken Margerum,23,CHI,16,7,39,584,15.0,1,41,2.4,36.5,0,
Mike Renfro,26,HOU,12,12,39,451,11.6,1,43,3.3,37.6,2,
Roger Carr,29,BAL,15,15,38,584,15.4,3,43,2.5,38.9,0,
