Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Jack Holmes,28,NOR,16,15,38,206,5.4,0,19,2.4,12.9,0,
Henry Marshall,27,KAN,12,12,38,620,16.3,4,64,3.2,51.7,2,
Riley Odoms,31,DEN,15,15,38,516,13.6,5,28,2.5,34.4,1,
Drew Pearson,30,DAL,16,15,38,614,16.2,3,42,2.4,38.4,4,
Charlie Smith,31,PHI,16,14,38,564,14.8,4,45,2.4,35.3,2,
Isaac Curtis,31,CIN,15,14,37,609,16.5,2,68,2.5,40.6,1,
Curtis Dickey,25,BAL,15,15,37,419,11.3,3,50,2.5,27.9,8,
Franco Harris,31,PIT,16,16,37,250,6.8,1,26,2.3,15.6,6,
Alfred Jackson,26,ATL,16,0,37,604,16.3,6,49,2.3,37.8,0,
Steve Kreider,23,CIN,16,1,37,520,14.1,5,46,2.3,32.5,2,
Charle Young,30,SFO,16,16,37,400,10.8,5,29,2.3,25.0,0,
Rob Carpenter,26,2TM,14,13,37,281,7.6,1,37,2.6,20.1,3,
Rob Carpenter,26,HOU,4,4,13,80,6.2,1,33,3.3,20.0,1,
Rob Carpenter,26,NYG,10,9,24,201,8.4,0,37,2.4,20.1,2,
Earl Campbell,26,HOU,16,16,36,156,4.3,0,17,2.3,9.8,10,PB
Billy Campfield,25,PHI,16,0,36,326,9.1,3,29,2.3,20.4,3,
Don McCauley,32,BAL,16,0,36,347,9.6,2,31,2.3,21.7,0,
David Hughes,22,SEA,16,2,35,263,7.5,2,22,2.2,16.4,4,
Brian Baschnagel,27,CHI,16,14,34,554,16.3,3,72,2.1,34.6,2,
Tony Reed,26,DEN,15,0,34,317,9.3,0,33,2.3,21.1,1,
Lynn Swann,29,PIT,13,12,34,505,14.9,5,44,2.6,38.8,1,
Mark Brammer,23,BUF,16,16,33,365,11.1,2,24,2.1,22.8,3,
Dave Casper,29,HOU,16,11,33,572,17.3,8,52,2.1,35.8,0,
Roy Green,24,STL,16,2,33,708,21.5,4,60,2.1,44.3,2,
David Hill,27,DET,15,15,33,462,14.0,4,34,2.2,30.8,1,
Matt Suhey,23,CHI,15,14,33,168,5.1,0,15,2.2,11.2,3,
Tommy Vigorito,22,MIA,16,1,33,237,7.2,2,31,2.1,14.8,1,
Tony Dorsett,27,DAL,16,16,32,325,10.2,2,73,2.0,20.3,10,"PB,AP-1,AP MVP-3,AP OPoY-2"
Junior Miller,24,ATL,16,16,32,398,12.4,3,37,2.0,24.9,0,PB
Rick Upchurch,29,DEN,13,10,32,550,17.2,3,63,2.5,42.3,0,
Dave Logan,27,CLE,14,14,31,497,16.0,4,40,2.2,35.5,0,
Billy Waddy,27,RAM,15,14,31,460,14.8,0,46,2.1,30.7,2,
Wayne Wilson,24,NOR,16,0,31,384,12.4,4,55,1.9,24.0,1,
Wallace Francis,30,ATL,16,16,30,441,14.7,4,36,1.9,27.6,1,
Leonard Thompson,29,DET,16,16,30,550,18.3,3,94,1.9,34.4,1,
Adger Armstrong,24,HOU,16,2,29,278,9.6,1,48,1.8,17.4,2,
Jimmy Cefalo,25,MIA,16,6,29,631,21.8,3,69,1.8,39.4,0,
Al Dixon,27,KAN,16,13,29,356,12.3,2,48,1.8,22.3,0,
Ricky Feacher,27,CLE,16,7,29,654,22.6,3,48,1.8,40.9,0,
Guido Merkens,26,NOR,16,11,29,458,15.8,1,50,1.8,28.6,1,
Jim Smith,26,PIT,15,3,29,571,19.7,7,46,1.9,38.1,1,
Don Warren,25,WAS,16,16,29,335,11.6,1,32,1.8,20.9,0,
Theotis Brown,24,2TM,14,10,29,328,11.3,0,51,2.1,23.4,8,
Theotis Brown,24,STL,4,3,4,60,15.0,0,28,1.0,15.0,2,
Theotis Brown,24,SEA,10,7,25,268,10.7,0,51,2.5,26.8,6,
Charles Alexander,24,CIN,15,14,28,262,9.4,1,65,1.9,17.5,0,
Leon Bright,26,NYG,15,1,28,291,10.4,0,36,1.9,19.4,3,
Derrick Jensen,25,OAK,16,13,28,271,9.7,0,21,1.8,16.9,0,
Billy Sims,26,DET,14,14,28,451,16.1,2,81,2.0,32.2,9,"PB,AP-2,AP OPoY-6"
Ricky Thompson,27,WAS,16,5,28,423,15.1,4,57,1.8,26.4,0,
Dan Doornink,25,SEA,15,8,27,350,13.0,4,80,1.8,23.3,3,
Mel Gray,33,STL,12,12,27,310,11.5,2,41,2.3,25.8,0,
Paul Hofer,29,SFO,12,0,27,244,9.0,0,22,2.3,20.3,1,
Mike Holston,23,HOU,16,4,27,427,15.8,2,50,1.7,26.7,0,
Harlan Huckleby,24,GNB,16,12,27,221,8.2,3,39,1.7,13.8,3,
Kenny King,24,OAK,14,14,27,216,8.0,0,30,1.9,15.4,10,
Ricky Patton,27,SFO,16,15,27,195,7.2,1,31,1.7,12.2,3,
Reggie Rucker,34,CLE,14,11,27,532,19.7,1,49,1.9,38.0,0,
Rickey Watts,24,CHI,12,9,27,465,17.2,3,42,2.3,38.8,3,
Charles White,23,CLE,16,8,27,219,8.1,0,21,1.7,13.7,8,
Bob Chandler,32,OAK,11,7,26,458,17.6,4,45,2.4,41.6,2,
Tony Collins,22,NWE,16,11,26,232,8.9,0,22,1.6,14.5,8,
Scott Dierking,26,NYJ,16,4,26,228,8.8,1,23,1.6,14.3,2,
Nat Moore,30,MIA,13,11,26,452,17.4,2,52,2.0,34.8,0,
Virgil Seay,23,WAS,16,7,26,472,18.2,3,60,1.6,29.5,0,
Butch Johnson,27,DAL,16,7,25,552,22.1,5,55,1.6,34.5,0,
Rick Parros,23,DEN,16,16,25,216,8.6,1,26,1.6,13.5,6,
Jerry Eckwood,27,TAM,16,12,24,213,8.9,0,33,1.5,13.3,3,
Terry LeCount,25,MIN,16,2,24,425,17.7,2,43,1.5,26.6,0,
James Hadnot,24,KAN,16,15,23,215,9.3,0,20,1.4,13.4,4,
Larry Hardy,25,NOR,16,16,23,275,12.0,1,27,1.4,17.2,2,
Joe Rose,24,MIA,16,0,23,316,13.7,2,50,1.4,19.8,0,
Toussaint Tyler,22,NOR,16,0,23,135,5.9,0,18,1.4,8.4,4,
Arthur Whittington,26,OAK,16,2,23,213,9.3,2,22,1.4,13.3,4,
Morris Bradshaw,29,OAK,15,8,22,298,13.5,3,29,1.5,19.9,0,
Cullen Bryant,30,RAM,13,12,22,160,7.3,0,39,1.7,12.3,1,
Joe Delaney,23,KAN,15,10,22,246,11.2,0,61,1.5,16.4,9,"PB,AP OPoY-8,AP ORoY-3"
Earnest Gray,24,NYG,16,3,22,360,16.4,2,45,1.4,22.5,1,
Eric Sievers,24,SDG,16,9,22,276,12.5,3,32,1.4,17.3,1,
Theo Bell,28,TAM,16,9,21,318,15.1,2,58,1.3,19.9,1,
Horace King,28,DET,16,0,21,217,10.3,1,41,1.3,13.6,0,
Reese McCall,25,BAL,16,14,21,314,15.0,2,65,1.3,19.6,0,
John Sawyer,28,SEA,16,16,21,272,13.0,0,30,1.3,17.0,0,
Walt Arnold,23,RAM,16,9,20,212,10.6,2,24,1.3,13.3,0,
Archie Griffin,27,CIN,16,2,20,160,8.0,1,17,1.3,10.0,0,
Jeff Groth,24,NOR,15,13,20,380,19.0,1,54,1.3,25.3,0,
Gordon Jones,24,TAM,13,4,20,276,13.8,1,44,1.5,21.2,0,
Lam Jones,23,NYJ,15,3,20,342,17.1,3,47,1.3,22.8,2,
Keith Krepfle,29,PHI,16,16,20,210,10.5,5,26,1.3,13.1,0,
Ronnie Coleman,30,HOU,16,0,19,211,11.1,0,24,1.2,13.2,2,
Billy Joe DuPree,31,DAL,16,15,19,214,11.3,2,33,1.2,13.4,0,
Wayne Morris,27,STL,16,13,19,165,8.7,0,21,1.2,10.3,0,
Frank Pollard,24,PIT,14,10,19,156,8.2,0,26,1.4,11.1,5,
Dwight Scales,28,SDG,16,4,19,429,22.6,1,60,1.2,26.8,1,
Mike Augustyniak,25,NYJ,10,8,18,144,8.0,0,19,1.8,14.4,3,
Dexter Bussey,29,DET,16,15,18,92,5.1,0,16,1.1,5.8,3,
Mike Friede,24,NYG,16,15,18,250,13.9,1,43,1.1,15.6,0,
Tony Galbreath,27,MIN,14,1,18,144,8.0,0,23,1.3,10.3,2,
Mike Guman,23,RAM,16,4,18,130,7.2,0,14,1.1,8.1,2,
Freeman McNeil,22,NYJ,11,6,18,171,9.5,1,18,1.6,15.5,5,
Dave Williams,27,CHI,8,0,18,126,7.0,2,18,2.3,15.8,0,
Doug Cosbie,25,DAL,16,0,17,225,13.2,5,28,1.1,14.1,1,
Zachary Dixon,25,BAL,16,1,17,169,9.9,1,41,1.1,10.6,1,
Ron Egloff,26,DEN,16,6,17,231,13.6,1,40,1.1,14.4,2,
Calvin Hill,34,CLE,14,0,17,150,8.8,2,23,1.2,10.7,1,
Rick Kane,27,DET,16,2,17,181,10.6,1,40,1.1,11.3,2,
Tom Newton,27,NYJ,16,7,17,104,6.1,0,13,1.1,6.5,2,
Stan Rome,25,KAN,16,4,17,203,11.9,1,23,1.1,12.7,0,
Drew Hill,25,RAM,16,2,16,355,22.2,3,45,1.0,22.2,1,
Bobby Jones,26,NYJ,16,3,16,239,14.9,1,36,1.0,14.9,0,
Cleo Miller,29,CLE,12,2,16,139,8.7,0,17,1.3,11.6,0,
George Rogers,23,NOR,16,16,16,126,7.9,0,25,1.0,7.9,13,"PB,AP-1,AP MVP-6,AP OPoY-4,AP ORoY-1"
Bruce Hardy,25,MIA,16,4,15,174,11.6,0,21,0.9,10.9,1,
Ron Jessie,33,BUF,15,0,15,200,13.3,0,44,1.0,13.3,0,
Haven Moses,35,DEN,16,6,15,246,16.4,1,30,0.9,15.4,1,
Derrick Gaffney,26,NYJ,16,13,14,246,17.6,0,39,0.9,15.4,0,
Willard Harrell,29,STL,16,0,14,131,9.4,1,62,0.9,8.2,0,
Greg LaFleur,23,STL,16,11,14,190,13.6,2,27,0.9,11.9,0,
Ronnie Lee,25,MIA,16,16,14,64,4.6,1,11,0.9,4.0,0,
Tom Mullady,24,NYG,16,3,14,136,9.7,1,21,0.9,8.5,1,
Mike Barber,28,HOU,16,5,13,190,14.6,1,35,0.8,11.9,0,
Raymond Chester,33,OAK,16,5,13,93,7.2,1,15,0.8,5.8,0,
M.L. Harris,27,CIN,15,0,13,181,13.9,2,42,0.9,12.1,1,
Kevin Long,26,NYJ,16,0,13,66,5.1,3,18,0.8,4.1,2,
Leon Perry,24,NYG,16,6,13,140,10.8,1,24,0.8,8.8,4,
Henry Childs,30,RAM,7,7,12,145,12.1,1,39,1.7,20.7,1,
Sam Cunningham,31,NWE,11,8,12,92,7.7,0,12,1.1,8.4,2,
Eddie Hill,24,MIA,11,3,12,73,6.1,1,16,1.1,6.6,2,
Terdell Middleton,26,GNB,14,3,12,86,7.2,1,27,0.9,6.1,2,
James Owens,26,TAM,16,1,12,145,12.1,0,35,0.8,9.1,1,
Mosi Tatupu,26,NWE,16,1,12,132,11.0,1,41,0.8,8.3,2,
Clarence Williams,26,SDG,14,1,12,108,9.0,1,15,0.9,7.7,2,
Rich Caster,33,2TM,7,1,12,185,15.4,0,31,1.7,26.4,2,
Rich Caster,33,NOR,4,0,7,108,15.4,0,31,1.8,27.0,2,
Rich Caster,33,WAS,3,1,5,77,15.4,0,26,1.7,25.7,0,
Nick Giaquinto,26,2TM,14,0,12,93,7.8,2,25,0.9,6.6,0,
Nick Giaquinto,26,MIA,8,0,7,38,5.4,1,16,0.9,4.8,0,
Nick Giaquinto,26,WAS,6,0,5,55,11.0,1,25,0.8,9.2,0,
Clarence Harmon,26,WAS,5,0,11,98,8.9,0,23,2.2,19.6,0,
Rick Walker,26,WAS,16,14,11,112,10.2,1,24,0.7,7.0,0,
Randy Burke,26,BAL,16,1,10,153,15.3,0,24,0.6,9.6,0,
John Cappelletti,29,SDG,16,6,10,126,12.6,1,25,0.6,7.9,3,
Robin Earl,26,CHI,16,15,10,118,11.8,1,24,0.6,7.4,0,
Frank Hawkins,22,OAK,13,0,10,109,10.9,0,35,0.8,8.4,1,
Roland Hooks,28,BUF,16,1,10,140,14.0,2,37,0.6,8.8,1,
Willie Miller,34,RAM,13,1,10,147,14.7,0,20,0.8,11.3,0,
Mark Nichols,22,DET,12,0,10,222,22.2,1,59,0.8,18.5,1,
Hubie Oliver,24,PHI,13,10,10,37,3.7,0,27,0.8,2.8,1,
Marcus Anderson,22,CHI,12,1,9,243,27.0,2,85,0.8,20.3,1,
Malcolm Barnwell,23,OAK,16,1,9,190,21.1,1,61,0.6,11.9,2,
Walt Easley,24,SFO,12,1,9,62,6.9,0,21,0.8,5.2,2,
Perry Harrington,23,PHI,4,4,9,27,3.0,0,12,2.3,6.8,1,
Wally Henry,27,PHI,16,0,9,145,16.1,2,44,0.6,9.1,4,
Doug Kotar,30,NYG,7,5,9,32,3.6,0,11,1.3,4.6,0,
Mike Wilson,23,SFO,16,0,9,125,13.9,1,27,0.6,7.8,0,
Ricky Bell,26,TAM,7,3,8,92,11.5,0,22,1.1,13.1,1,
Todd Christensen,25,OAK,16,0,8,115,14.4,2,30,0.5,7.2,0,
Paul Johns,23,SEA,16,0,8,131,16.4,1,34,0.5,8.2,1,
Rich Martini,26,NOR,12,0,8,72,9.0,0,15,0.7,6.0,0,
Ted McKnight,27,KAN,5,5,8,77,9.6,0,23,1.6,15.4,2,
John Mistler,23,NYG,16,0,8,119,14.9,1,31,0.5,7.4,0,
Ulysses Norris,24,DET,12,2,8,132,16.5,0,34,0.7,11.0,0,
Rodney Parker,28,PHI,11,0,8,168,21.0,2,55,0.7,15.3,0,
Jay Saldi,27,DAL,16,5,8,82,10.3,1,18,0.5,5.1,0,
Billy Taylor,25,2TM,8,3,8,71,8.9,0,39,1.0,8.9,2,
Billy Taylor,25,NYG,5,3,8,71,8.9,0,39,1.6,14.2,2,
Billy Taylor,25,NYJ,3,0,0,0,,0,,0.0,0.0,0,
Sidney Thornton,27,PIT,16,6,8,78,9.8,0,30,0.5,4.9,6,
Aundra Thompson,28,2TM,13,2,8,111,13.9,0,25,0.6,8.5,0,
Aundra Thompson,28,GNB,3,2,2,30,15.0,0,25,0.7,10.0,0,
Aundra Thompson,28,NOR,10,0,6,81,13.5,0,25,0.6,8.1,0,
Brooks Williams,27,2TM,12,0,8,82,10.3,0,16,0.7,6.8,0,
Brooks Williams,27,NOR,7,0,5,50,10.0,0,13,0.7,7.1,0,
Brooks Williams,27,CHI,5,0,3,32,10.7,0,16,0.6,6.4,0,
Hoby Brenner,22,NOR,9,1,7,143,20.4,0,34,0.8,15.9,1,
Curtis Brown,27,BUF,14,8,7,46,6.6,1,10,0.5,3.3,4,
Bob Bruer,28,MIN,15,0,7,38,5.4,3,10,0.5,2.5,1,
Don Calhoun,29,NWE,14,7,7,71,10.1,0,20,0.5,5.1,1,
Carlos Carson,23,KAN,5,1,7,179,25.6,1,53,1.4,35.8,1,
Lin Dawson,22,NWE,15,3,7,126,18.0,0,42,0.5,8.4,0,
Lenvil Elliott,30,SFO,4,0,7,81,11.6,0,19,1.8,20.3,2,
Wilbur Jackson,30,WAS,5,2,7,51,7.3,0,16,1.4,10.2,2,
Eric Lane,22,SEA,14,0,7,58,8.3,0,22,0.5,4.1,0,
Roosevelt Leaks,28,BUF,16,5,7,51,7.3,0,13,0.4,3.2,1,
Jeff Moore,24,RAM,10,0,7,105,15.0,0,35,0.7,10.5,0,
Mark van Eeghen,29,OAK,8,3,7,60,8.6,0,13,0.9,7.5,0,
Don Westbrook,28,NWE,12,1,7,122,17.4,2,32,0.6,10.2,0,
Ron Smith,25,2TM,12,1,7,168,24.0,2,42,0.6,14.0,0,
Ron Smith,25,SDG,9,1,3,84,28.0,2,39,0.3,9.3,0,
Ron Smith,25,PHI,3,0,4,84,21.0,0,42,1.3,28.0,0,
Cleveland Franklin,26,BAL,9,0,6,39,6.5,0,10,0.7,4.3,2,
Louie Giammona,28,PHI,8,1,6,54,9.0,1,19,0.8,6.8,2,
Billy Jackson,22,KAN,16,1,6,31,5.2,1,10,0.4,1.9,1,
James Jones,23,DAL,16,0,6,37,6.2,0,16,0.4,2.3,4,
Rob Lytle,27,DEN,16,0,6,47,7.8,1,14,0.4,2.9,1,
Doug Marsh,23,STL,4,3,6,80,13.3,1,20,1.5,20.0,1,
Pat McInally,28,CIN,16,1,6,68,11.3,0,20,0.4,4.3,0,"PB,AP-1"
Stump Mitchell,22,STL,16,0,6,35,5.8,1,16,0.4,2.2,3,
John Riggins,32,WAS,15,4,6,59,9.8,0,22,0.4,3.9,1,
John Spagnola,24,PHI,11,3,6,83,13.8,0,28,0.5,7.5,0,
David Verser,23,CIN,16,0,6,161,26.8,2,73,0.4,10.1,2,
Chris Combs,23,STL,16,2,5,54,10.8,0,13,0.3,3.4,0,
Jim Jensen,28,GNB,15,0,5,49,9.8,0,16,0.3,3.3,1,
Lawrence McCutcheon,31,BUF,6,3,5,40,8.0,0,17,0.8,6.7,1,
Lou Piccone,32,BUF,14,0,5,65,13.0,0,16,0.4,4.6,0,
Willie Scott,22,KAN,16,3,5,72,14.4,1,26,0.3,4.5,0,
Dave Stief,25,STL,12,0,5,77,15.4,1,29,0.4,6.4,0,
Jewerl Thomas,24,RAM,15,1,5,37,7.4,0,13,0.3,2.5,1,
Mike Tice,22,SEA,16,3,5,47,9.4,0,14,0.3,2.9,0,
Ken Toler,22,NWE,16,0,5,70,14.0,0,23,0.3,4.4,0,
Tim Wilson,27,HOU,16,10,5,33,6.6,0,11,0.3,2.1,2,
Dave Young,22,NYG,11,0,5,49,9.8,1,15,0.5,4.5,0,
Buster Barnett,23,BUF,16,0,4,36,9.0,1,16,0.3,2.3,0,
Woody Bennett,26,MIA,3,3,4,22,5.5,0,10,1.3,7.3,1,
Russell Davis,25,PIT,16,0,4,34,8.5,0,19,0.3,2.1,3,
Vagas Ferguson,24,NWE,13,5,4,39,9.8,0,20,0.3,3.0,1,
Greg Hawthorne,25,PIT,10,0,4,23,5.8,0,12,0.4,2.3,1,
Jim Jodat,27,SEA,12,6,4,52,13.0,0,26,0.3,4.3,4,
Mark McGrath,24,SEA,6,0,4,47,11.8,0,16,0.7,7.8,0,
Jim Obradovich,28,TAM,16,3,4,42,10.5,1,16,0.3,2.6,0,
Eason Ramson,25,SFO,11,0,4,45,11.3,0,16,0.4,4.1,0,
Vince Thompson,24,DET,13,1,4,40,10.0,0,17,0.3,3.1,1,
Curtis Bledsoe,24,KAN,13,1,3,27,9.0,0,17,0.2,2.1,4,
Larry Canada,27,DEN,16,0,3,37,12.3,1,20,0.2,2.3,1,
Johnny Davis,25,SFO,16,5,3,-1,-0.3,0,3,0.2,-0.1,1,
Doug Donley,22,DAL,11,0,3,32,10.7,0,17,0.3,2.9,0,
John Floyd,25,STL,4,1,3,32,10.7,0,16,0.8,8.0,0,
Ike Forte,27,NYG,5,3,3,11,3.7,0,6,0.6,2.2,1,
Andra Franklin,22,MIA,16,11,3,6,2.0,1,3,0.2,0.4,5,
Randy Grossman,29,PIT,16,1,3,19,6.3,1,14,0.2,1.2,0,
Louis Jackson,23,NYG,11,3,3,25,8.3,0,19,0.3,2.3,1,
Amos Lawrence,23,SFO,13,0,3,10,3.3,0,5,0.2,0.8,3,
Gary Lewis,23,GNB,16,0,3,31,10.3,0,15,0.2,1.9,0,
Wade Manning,26,DEN,16,0,3,49,16.3,0,34,0.2,3.1,3,
James Mayberry,24,ATL,16,0,3,4,1.3,0,6,0.2,0.3,1,
Greg McCrary,29,WAS,5,0,3,13,4.3,0,12,0.6,2.6,0,
Jeff Moore,25,SEA,2,0,3,18,6.0,0,10,1.5,9.0,0,
Carlos Pennywell,25,NWE,5,2,3,49,16.3,1,22,0.6,9.8,0,
Tracy Porter,22,DET,12,0,3,63,21.0,1,27,0.3,5.3,0,
Bill Ring,25,SFO,12,0,3,28,9.3,1,21,0.3,2.3,1,
Mike Shumann,26,SFO,13,1,3,21,7.0,0,8,0.2,1.6,1,
James Wright,25,DEN,16,0,3,22,7.3,1,14,0.2,1.4,0,
Billy Brooks,28,2TM,10,0,3,37,12.3,0,21,0.3,3.7,0,
Billy Brooks,28,SDG,7,0,1,21,21.0,0,21,0.1,3.0,0,
Billy Brooks,28,HOU,3,0,2,16,8.0,0,16,0.7,5.3,0,
Gordon Banks,23,NOR,6,1,2,18,9.0,0,12,0.3,3.0,2,
Ken Callicutt,26,DET,16,0,2,24,12.0,0,16,0.1,1.5,0,
Mike Cobb,26,CHI,16,1,2,20,10.0,0,11,0.1,1.3,0,
Byron Franklin,23,BUF,13,0,2,29,14.5,0,16,0.2,2.2,2,
Danny Fulton,25,CLE,5,0,2,38,19.0,0,27,0.4,7.6,0,
Steve Grogan,28,NWE,8,7,2,27,13.5,0,16,0.3,3.4,5,
Roland Harper,28,CHI,15,2,2,10,5.0,0,8,0.1,0.7,1,
Sam Harrell,24,MIN,4,0,2,23,11.5,0,17,0.5,5.8,0,
Ike Harris,29,NOR,3,3,2,33,16.5,0,20,0.7,11.0,0,
Steve Howell,25,MIA,10,2,2,9,4.5,0,5,0.2,0.9,0,
Eddie Lee Ivery,24,GNB,1,1,2,10,5.0,0,8,2.0,10.0,0,
Kenny Lewis,24,NYJ,5,0,2,14,7.0,0,8,0.4,2.8,0,
Leo Lewis,25,MIN,4,1,2,58,29.0,0,52,0.5,14.5,0,
