Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Dustin Hopkins,WAS,29,K,16,0,,,8,7,9,8,10,8,3,2,30,25,53,83.3%,22,21,95.5%,68,4231,48,70.6%,62.2
Justin Tucker*+,BAL,30,K,16,0,,,8,8,9,9,11,10,1,1,29,28,51,96.6%,59,57,96.6%,106,6646,57,53.8%,62.7
Dan Bailey,MIN,31,K,16,0,,,10,10,9,9,7,5,3,3,29,27,50,93.1%,44,40,90.9%,87,5597,66,75.9%,64.3
Austin Seibert,CLE,23,K,16,0,,,6,6,9,9,12,9,2,1,29,25,53,86.2%,35,30,85.7%,75,4753,30,40.0%,63.4
Jason Myers,SEA,28,K,16,0,,,6,6,11,11,7,4,4,2,28,23,54,82.1%,44,40,90.9%,85,5337,59,69.4%,62.8
Stephen Hauschka,BUF,34,K,16,0,,,5,5,8,7,10,9,5,1,28,22,51,78.6%,32,30,93.8%,73,4529,42,57.5%,62.0
Eddy Piñeiro,CHI,24,K,16,0,1,1,8,8,10,9,7,3,2,2,28,23,53,82.1%,29,27,93.1%,52,3141,26,50.0%,60.4
Sam Ficken,NYJ,27,K,15,0,,,2,2,8,7,11,7,6,3,27,19,54,70.4%,26,23,88.5%,62,3763,29,46.8%,60.7
Jake Elliott,PHI,24,K,16,0,,,7,7,8,8,7,5,4,2,26,22,53,84.6%,37,35,94.6%,81,5058,52,64.2%,62.4
Daniel Carlson,OAK,24,K,16,0,,,8,8,6,5,10,6,2,,26,19,48,73.1%,36,34,94.4%,71,4496,38,53.5%,63.3
Younghoe Koo,ATL,25,K,8,0,,,6,6,10,9,9,7,1,1,26,23,50,88.5%,16,15,93.8%,50,3041,27,54.0%,60.8
Ka'imi Fairbairn,HOU,25,K,16,0,,,5,5,8,8,6,4,6,3,25,20,54,80.0%,45,40,88.9%,81,5091,42,51.9%,62.9
Adam Vinatieri,IND,47,K,12,0,,,7,6,6,6,7,3,5,2,25,17,55,68.0%,28,22,78.6%,,,,,
Mason Crosby,GNB,35,K,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,91.7%,41,40,97.6%,79,5031,49,62.0%,63.7
Chase McLaughlin,3TM,23,K,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,78.3%,26,26,100.0%,18,1064,7,38.9%,59.1
Aldrick Rosas,NYG,25,K,16,0,,,6,6,6,5,4,1,1,,17,12,45,70.6%,39,35,89.7%,71,4433,50,70.4%,62.4
Nick Folk,NWE,35,K,7,0,1,1,5,5,3,3,7,4,1,1,17,14,51,82.4%,12,12,100.0%,1,41,,,41.0
Michael Badgley,LAC,24,K,8,0,,,5,5,2,2,8,6,1,,16,13,49,81.3%,19,19,100.0%,11,665,1,9.1%,60.5
Matt Bryant,ATL,44,K,7,0,,,1,1,4,3,3,3,6,2,14,9,52,64.3%,15,14,93.3%,5,304,,,60.8
Kai Forbath,2TM,32,K,4,0,,,2,2,1,1,7,7,1,1,11,11,50,100.0%,12,11,91.7%,23,1375,15,65.2%,59.8
Cairo Santos,TEN,28,K,5,0,,,,,3,1,3,2,3,1,9,4,53,44.4%,12,12,100.0%,21,1339,12,57.1%,63.8
Ty Long,LAC,26,P,16,0,,,,,3,2,5,4,1,1,9,7,51,77.8%,9,9,100.0%,47,2978,28,59.6%,63.4
Mike Nugent,NWE,37,K,4,0,,,4,3,3,2,1,,,,8,5,37,62.5%,16,15,93.8%,,,,,
Stephen Gostkowski,NWE,35,K,4,0,,,3,3,3,3,2,1,,,8,7,41,87.5%,15,11,73.3%,26,1687,21,80.8%,64.9
Ryan Succop,TEN,33,K,6,0,,,,,1,1,4,,1,,6,1,31,16.7%,25,24,96.0%,17,1015,3,17.6%,59.7
Cody Parkey,TEN,27,K,3,0,,,,,,,2,2,1,1,3,3,51,100.0%,6,5,83.3%,12,753,9,75.0%,62.8
Kaare Vedvik,NYJ,25,K,1,0,,,,,,,1,,,,1,,,0.0%,1,,0.0%,3,195,3,100.0%,65.0
Greg Joseph,TEN,25,K,2,0,,,,,,,,,,,,,,,9,9,100.0%,11,689,6,54.5%,62.6
Bradley Pinion,TAM,25,P,16,0,,,,,,,,,,,,,,,,,,97,6303,88,90.7%,65.0
Mitch Wishnowsky,SFO,27,P,16,0,,,,,,,,,,,,,,,,,,96,6105,49,51.0%,63.6
Rigoberto Sanchez,IND,25,P,16,0,,,,,,,,,,,,,,,,,,79,5101,60,75.9%,64.6
Jake Bailey,NWE,22,P,16,0,,,,,,,,,,,,,,,,,,65,3973,38,58.5%,61.1
Sam Martin,DET,29,P,16,0,,,,,,,,,,,,,,,,,,61,3740,17,27.9%,61.3
Logan Cooke,JAX,24,P,16,0,,,,,,,,,,,,,,,,,,36,2300,16,44.4%,63.9
Pat O'Donnell,CHI,28,P,16,0,,,,,,,,,,,,,,,,,,15,962,10,66.7%,64.1
Kasey Redfern,ATL,28,P,3,0,,,,,,,,,,,,,,,,,,15,818,9,60.0%,54.5
Matt Wile,ATL,27,P,2,0,,,,,,,,,,,,,,,,,,11,633,7,63.6%,57.5
Matthew Bosher,ATL,32,P,3,0,,,,,,,,,,,,,,,,,,6,318,4,66.7%,53.0
Michael Palardy,CAR,27,P,16,0,,,,,,,,,,,,,,,,,,6,155,,,25.8
Jamie Gillan,CLE,22,P,16,0,,,,,,,,,,,,,,,,,,4,150,,,37.5
Jordan Berry,PIT,28,P,16,0,,,,,,,,,,,,,,,,,,3,183,,,61.0
Lac Edwards,NYJ,27,P,16,0,,,,,,,,,,,,,,,,,,3,159,,,53.0
Matt Haack,MIA,25,P,16,0,,,,,,,,,,,,,,,,,,2,109,,,54.5
Johnny Hekker,LAR,29,P,16,0,,,,,,,,,,,,,,,,,,2,76,1,50.0%,38.0
Bryan Anger,HOU,31,P,14,0,,,,,,,,,,,,,,,,,,1,73,,,73.0
Corey Bojorquez,BUF,23,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0
Britton Colquitt,MIN,34,P,16,0,,,,,,,,,,,,,,,,,,1,63,,,63.0
Riley Dixon,NYG,26,P,16,0,,,,,,,,,,,,,,,,,,1,52,,,52.0
Thomas Morstead,NOR,33,P,16,0,,,,,,,,,,,,,,,,,,1,46,,,46.0
