Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Eddie Murray*+,DET,24,K,16,0,1,,9,9,13,10,15,7,4,1,42,27,52,64.3%,36,35,97.2%,,,,,
Chris Bahr,OAK,27,K,16,0,,,6,4,12,9,13,6,6,,37,19,48,51.4%,44,41,93.2%,,,,,
Rolf Benirschke,SDG,25,K,16,0,,,8,7,12,8,10,6,6,3,36,24,53,66.7%,48,46,95.8%,,,,,
John Smith*,NWE,31,K,16,0,2,2,11,11,14,10,7,3,,,34,26,44,76.5%,51,51,100.0%,,,,,
Fred Steinfort,DEN,28,K,16,0,2,2,5,5,5,4,14,10,8,5,34,26,57,76.5%,33,32,97.0%,,,,,
Mark Moseley,WAS,32,K,16,0,,,4,3,6,5,12,7,11,3,33,18,52,54.5%,30,27,90.0%,,,,,
Tony Franklin,PHI,24,K,16,0,4,4,5,2,11,7,8,2,3,1,31,16,51,51.6%,48,48,100.0%,,,,,
Efren Herrera,SEA,29,K,16,0,1,1,6,6,9,8,10,4,5,1,31,20,50,64.5%,33,33,100.0%,,,,,
Frank Corral,RAM,25,K,16,0,1,1,12,11,5,2,9,2,3,,30,16,47,53.3%,52,51,98.1%,,,,,
Matt Bahr,PIT,24,K,16,0,2,2,9,8,10,7,6,2,1,,28,19,48,67.9%,42,39,92.9%,,,,,
Tim Mazzetti,ATL,24,K,16,0,2,2,8,8,7,4,8,4,2,1,27,19,50,70.4%,49,46,93.9%,,,,,
Don Cockroft,CLE,35,K,16,0,,,7,6,7,5,9,5,3,,26,16,45,61.5%,44,39,88.6%,,,,,
Rick Danmeier,MIN,28,K,16,0,1,1,6,6,10,8,9,1,,,26,16,47,61.5%,38,33,86.8%,,,,,
Nick Lowery,KAN,24,K,16,0,,,6,6,9,7,4,3,7,4,26,20,57,76.9%,37,37,100.0%,,,,,
Joe Danelo,NYG,27,K,16,0,,,6,5,6,4,6,5,6,2,24,16,51,66.7%,28,27,96.4%,,,,,
Toni Fritsch,HOU,35,K,15,0,1,1,9,7,8,7,6,4,,,24,19,46,79.2%,27,26,96.3%,,,,,
Steve Mike-Mayer,BAL,33,K,16,0,,,6,5,8,3,7,4,2,,23,12,46,52.2%,46,43,93.5%,,,,,
Nick Mike-Mayer,BUF,30,K,16,0,,,4,4,9,4,9,5,1,,23,13,49,56.5%,39,37,94.9%,,,,,
Uwe von Schamann,MIA,24,K,16,0,,,10,9,5,3,5,2,3,,23,14,48,60.9%,32,32,100.0%,,,,,
Garo Yepremian,TAM,36,K,16,0,1,1,8,7,9,7,5,1,,,23,16,43,69.6%,32,31,96.9%,,,,,
Pat Leahy,NYJ,29,K,16,0,,,4,4,9,4,8,6,1,,22,14,49,63.6%,36,36,100.0%,,,,,
Ian Sunter,CIN,28,K,10,0,,,7,7,7,3,5,1,1,,20,11,42,55.0%,15,15,100.0%,,,,,
Ray Wersching,SFO,30,K,16,0,1,1,2,2,9,8,5,4,2,,19,15,47,78.9%,39,33,84.6%,,,,,
Bob Thomas,CHI,28,K,16,0,1,1,5,5,8,4,4,3,,,18,13,44,72.2%,37,35,94.6%,,,,,
Rafael Septien,DAL,27,K,16,0,1,1,4,3,6,6,4,,2,1,17,11,52,64.7%,60,59,98.3%,,,,,
Benny Ricardo,NOR,26,K,14,0,,,2,1,6,6,8,3,1,,17,10,47,58.8%,34,31,91.2%,,,,,
Neil O'Donoghue,STL,27,K,10,0,,,3,3,4,3,8,5,,,15,11,43,73.3%,18,18,100.0%,,,,,
Tom Birney,GNB,24,K,7,0,,,2,1,6,4,2,,2,1,12,6,50,50.0%,18,14,77.8%,,,,,
Steve Little,STL,24,K,6,0,,,2,1,4,2,2,,,,8,3,36,37.5%,19,17,89.5%,,,,,
Jim Breech,CIN,24,K,4,0,,,2,2,2,1,3,1,,,7,4,42,57.1%,12,11,91.7%,,,,,
Jan Stenerud,GNB,38,K,4,0,,,1,1,1,1,3,1,,,5,3,40,60.0%,3,3,100.0%,,,,,
Russell Erxleben,NOR,23,P,16,0,,,1,1,4,1,,,,,5,2,37,40.0%,2,2,100.0%,,,,,
Chester Marcol,2TM,31,K,6,0,,,1,1,1,,2,2,,,4,3,46,75.0%,10,8,80.0%,,,,,
Sandro Vitiello,CIN,22,K,2,0,,,,,2,,,,,,2,,,0.0%,1,1,100.0%,,,,,
Ted Thompson,HOU,27,LB,15,3,,,,,,,,,,,,,,,4,4,100.0%,,,,,
Nolan Cromwell*+,RAM,25,FS,16,16,,,,,,,,,,,,,,,1,1,100.0%,,,,,
