Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
John Abraham,29,ATL,RDE,16,16,0,0,0,0,4,4,0,0,0,0,10.0,32,31,1,10,13,0,
Flozell Adams,32,DAL,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Gerald Alexander,23,DET,FS,16,16,2,70,0,36,6,0,0,2,0,0,2.0,81,59,22,2,2,0,
Will Allen,29,MIA,RCB,16,16,1,14,0,14,14,3,0,0,0,0,2.0,62,48,14,4,1,0,
Jamaal Anderson,21,ATL,LDE,16,16,0,0,0,0,3,1,0,0,0,0,0.0,30,26,4,0,4,0,
O.J. Atogwe,26,STL,FS,16,16,8,125,1,52,12,0,0,1,0,0,0.0,75,66,9,1,1,0,
Jeff Backus,30,DET,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Ronde Barber,32,TAM,LCB,16,16,2,32,1,29,14,1,1,2,33,1,1.0,58,48,10,1,1,0,AP DPoY-7
Nick Barnett,26,GNB,MLB,16,16,2,40,0,38,4,0,0,1,0,0,3.5,131,102,29,8,8,0,AP-2
Jon Beason,22,CAR,MLB/RLB,16,16,1,0,0,0,8,0,0,1,2,0,0.0,140,106,34,4,0,0,AP DRoY-2
Jacob Bell,26,TEN,LG,16,16,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,0,
Atari Bigby,26,GNB,SS,16,16,5,50,0,22,9,3,0,0,0,0,0.0,86,66,20,2,0,0,
Matt Birk,31,MIN,C,16,16,0,0,0,0,0,0,1,0,-16,0,0.0,0,0,0,0,0,0,PB
Dre' Bly,30,DEN,RCB,16,16,5,71,0,37,15,0,0,0,0,0,1.0,51,41,10,3,1,0,
Leigh Bodden,26,CLE,RCB,16,16,6,75,0,26,15,0,1,3,0,0,0.0,88,76,12,0,0,0,
Michael Boley,25,ATL,LLB,16,16,2,12,0,12,7,4,0,0,0,0,3.0,110,93,17,5,7,0,
Gary Brackett,27,IND,MLB,16,16,4,128,0,49,7,1,0,1,0,1,0.5,116,86,30,2,1,0,
Tom Brady,30,NWE,QB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Drew Brees,28,NOR,QB,16,16,0,0,0,0,0,0,9,0,-6,0,0.0,0,0,0,0,0,0,
Keith Brooking,32,ATL,MLB,16,16,0,0,0,0,4,0,0,1,2,0,2.0,110,84,26,4,4,0,
Derrick Brooks,34,TAM,RLB,16,16,0,0,0,0,1,3,0,0,0,0,0.0,109,84,25,2,1,0,
C.C. Brown,24,HOU,SS,16,16,1,9,0,9,8,2,0,3,19,0,0.0,84,64,20,1,0,0,
Jason Brown,24,BAL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Sheldon Brown,28,PHI,RCB,16,16,3,3,0,3,14,1,0,0,0,0,0.0,68,61,7,1,0,0,
Tony Brown,27,TEN,LDT,16,16,0,0,0,0,5,1,0,0,0,0,4.0,59,37,22,4,9,0,
Tedy Bruschi,34,NWE,RILB,16,16,0,0,0,0,2,0,0,0,0,0,2.0,92,64,28,3,4,0,
Fernando Bryant,30,DET,LCB,16,16,2,0,0,0,13,1,0,0,0,0,0.0,69,59,10,1,1,0,
Keith Bulluck,30,TEN,RLB,16,16,5,63,0,35,7,1,1,1,2,0,0.0,88,68,20,4,3,0,
Chris Canty,25,DAL,RDE,16,16,0,0,0,0,2,0,0,1,0,0,3.5,43,30,13,7,7,0,
Cooper Carlisle,30,OAK,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Adam Carriker,23,STL,LDT,16,16,0,0,0,0,2,0,0,1,0,0,2.0,32,23,9,6,3,1,
Andre Carter,28,WAS,RDE,16,16,0,0,0,0,2,4,0,1,0,0,10.5,54,42,12,11,21,1,AP CPoY-9
Desmond Clark,30,CHI,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Anthony Clement,31,NYJ,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Nate Clements,28,SFO,LCB,16,16,4,74,0,62,14,3,0,0,0,0,1.0,92,77,15,8,1,0,
Trent Cole,25,PHI,RDE,16,16,0,0,0,0,2,4,0,1,0,0,12.5,70,49,21,17,18,0,PB
Marc Colombo,29,DAL,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Chris Cooley,25,WAS,TE,16,16,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,PB
Stephen Cooper,28,SDG,LILB,16,16,2,23,0,18,6,3,0,2,-1,0,2.0,107,72,35,5,3,0,
Angelo Crowell,26,BUF,LLB,16,16,1,5,0,5,4,1,0,1,0,0,2.0,126,86,40,6,3,1,
Kevin Curtis,29,PHI,WR,16,16,0,0,0,0,0,0,0,2,0,2,0.0,0,0,0,0,0,0,
Jay Cutler,24,DEN,QB,16,16,0,0,0,0,0,0,11,3,-31,0,0.0,0,0,0,0,0,0,
Owen Daniels,25,HOU,TE,16,16,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,
Thomas Davis,24,CAR,LLB,16,16,1,0,0,0,5,2,0,1,0,0,3.0,87,71,16,12,7,0,
Kris Dielman,26,SDG,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Derrick Dockery,27,BUF,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Darnell Dockett,26,ARI,RDT,16,16,0,0,0,0,1,2,0,2,0,0,9.0,58,43,15,13,19,0,PB
Marques Douglas,30,SFO,RDE,16,16,0,0,0,0,3,0,0,0,0,0,3.0,72,56,16,13,4,0,
Elvis Dumervil,23,DEN,RDE,16,16,1,27,0,27,4,4,0,3,0,0,12.5,39,34,5,6,19,0,
Braylon Edwards,24,CLE,WR,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
