Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Dan Fouts,31,SDG,QB,9,9,6-3-0,204,330,61.8,2883,17,5.2,11,3.3,44,8.7,8.27,14.1,320.3,93.3,12,94,3.51,8.15,7.70,1,2,"PB,AP-1,AP MVP-2,AP OPoY-1"
Joe Montana,26,SFO,QB,9,9,3-6-0,213,346,61.6,2613,17,4.9,11,3.2,55,7.6,7.10,12.3,290.3,88.0,20,166,5.46,6.69,6.26,2,2,
Ken Anderson,33,CIN,QB,9,9,7-2-0,218,309,70.6,2495,12,3.9,9,2.9,56,8.1,7.54,11.4,277.2,95.3,26,154,7.76,6.99,6.50,0,0,PB
Danny White,30,DAL,QB,9,9,6-3-0,156,247,63.2,2079,16,6.5,12,4.9,49,8.4,7.53,13.3,231.0,91.1,25,264,9.19,6.67,5.86,0,0,"PB,AP-2,AP MVP-5,AP OPoY-4"
Ron Jaworski,31,PHI,QB,9,9,3-6-0,167,286,58.4,2076,12,4.2,12,4.2,57,7.3,6.21,12.4,230.7,77.5,31,244,9.78,5.78,4.83,2,2,
Doug Williams,27,TAM,QB,9,9,5-4-0,164,307,53.4,2071,9,2.9,11,3.6,62,6.7,5.72,12.6,230.1,69.6,11,128,3.46,6.11,5.12,2,2,
Tommy Kramer,27,MIN,QB,9,9,5-4-0,176,308,57.1,2037,15,4.9,12,3.9,65,6.6,5.83,11.6,226.3,77.3,21,130,6.38,5.80,5.07,1,2,
Jim Plunkett,35,RAI,QB,9,9,8-1-0,152,261,58.2,2035,14,5.4,15,5.7,52,7.8,6.28,13.4,226.1,77.0,23,211,8.10,6.42,5.03,5,4,
Joe Theismann,33,WAS,QB,9,9,8-1-0,161,252,63.9,2033,13,5.2,9,3.6,78,8.1,7.49,12.6,225.9,91.3,30,223,10.64,6.42,5.90,2,2,"PB,AP MVP-4"
Scott Brunner,25,NYG,QB,9,9,4-5-0,161,298,54.0,2017,10,3.4,9,3.0,47,6.8,6.08,12.5,224.1,73.9,17,130,5.40,5.99,5.34,2,2,
Richard Todd,29,NYJ,QB,9,9,6-3-0,153,261,58.6,1961,14,5.4,8,3.1,56,7.5,7.21,12.8,217.9,87.3,23,206,8.10,6.18,5.90,0,0,
Steve Bartkowski,30,ATL,QB,9,9,5-4-0,166,262,63.4,1905,8,3.1,11,4.2,86,7.3,5.99,11.5,211.7,77.9,20,177,7.09,6.13,4.94,1,1,
Lynn Dickey,33,GNB,QB,9,9,5-3-1,124,218,56.9,1790,12,5.5,14,6.4,80,8.2,6.42,14.4,198.9,75.3,25,196,10.29,6.56,4.95,2,2,
Terry Bradshaw,34,PIT,QB,9,9,6-3-0,127,240,52.9,1768,17,7.1,11,4.6,74,7.4,6.72,13.9,196.4,81.4,18,131,6.98,6.34,5.74,1,1,
Vince Ferragamo,28,RAM,QB,7,5,1-4-0,118,209,56.5,1609,9,4.3,9,4.3,85,7.7,6.62,13.6,229.9,77.6,7,65,3.24,7.15,6.11,1,1,
Joe Ferguson,32,BUF,QB,9,9,4-5-0,144,264,54.5,1597,7,2.7,16,6.1,47,6.0,3.85,11.1,177.4,56.3,11,105,4.00,5.43,3.32,1,1,
Jim Zorn,29,SEA,QB,9,7,4-3-0,126,245,51.4,1540,7,2.9,11,4.5,50,6.3,4.84,12.2,171.1,61.9,20,152,7.55,5.24,3.90,1,1,
Jim McMahon,23,CHI,QB,8,7,3-4-0,120,210,57.1,1501,9,4.3,7,3.3,50,7.1,6.50,12.5,187.6,79.9,27,196,11.39,5.51,4.94,0,1,
Steve DeBerg,28,DEN,QB,9,5,1-4-0,131,223,58.7,1405,7,3.1,11,4.9,51,6.3,4.71,10.7,156.1,67.2,16,130,6.69,5.33,3.85,2,2,
Neil Lomax,23,STL,QB,9,9,5-4-0,109,205,53.2,1367,5,2.4,6,2.9,42,6.7,5.84,12.5,151.9,70.1,31,234,13.14,4.80,4.08,1,1,
Gary Danielson,31,DET,QB,8,5,2-3-0,100,197,50.8,1343,10,5.1,14,7.1,70,6.8,4.63,13.4,167.9,60.1,19,145,8.80,5.55,3.56,0,0,
Ken Stabler,37,NOR,QB,8,8,4-4-0,117,189,61.9,1343,6,3.2,10,5.3,48,7.1,5.36,11.5,167.9,71.8,13,106,6.44,6.12,4.49,0,0,
Mike Pagel,22,BAL,QB,9,9,0-8-1,111,221,50.2,1281,5,2.3,7,3.2,53,5.8,4.82,11.5,142.3,62.4,16,129,6.75,4.86,3.95,1,0,
Bill Kenney,27,KAN,QB,7,6,3-3-0,95,169,56.2,1192,7,4.1,6,3.6,51,7.1,6.28,12.5,170.3,77.3,23,166,11.98,5.34,4.67,0,0,
David Woodley,24,MIA,QB,9,9,7-2-0,98,179,54.7,1080,5,2.8,8,4.5,46,6.0,4.58,11.0,120.0,63.5,10,82,5.29,5.28,3.90,0,0,
Brian Sipe,33,CLE,QB,6,6,2-4-0,101,185,54.6,1064,4,2.2,8,4.3,40,5.8,4.24,10.5,177.3,60.7,13,117,6.57,4.78,3.37,0,1,
Gifford Nielsen,28,HOU,QB,9,4,1-3-0,87,161,54.0,1005,6,3.7,8,5.0,46,6.2,4.75,11.6,111.7,64.8,12,92,6.94,5.28,3.89,1,1,
Paul McDonald,24,CLE,QB,9,3,2-1-0,73,149,49.0,993,5,3.4,8,5.4,56,6.7,4.92,13.6,110.3,59.5,13,95,8.02,5.54,3.94,1,1,
Steve Grogan,29,NWE,QB,6,6,4-2-0,66,122,54.1,930,7,5.7,4,3.3,62,7.6,7.30,14.1,155.0,84.4,8,48,6.15,6.78,6.48,0,2,
Archie Manning,33,2TM,QB,7,5,0-5-0,67,132,50.8,880,6,4.5,8,6.1,54,6.7,4.85,13.1,125.7,62.1,29,234,18.01,4.01,2.52,0,0,
Archie Manning,33,NOR,QB,1,0,,1,7,14.3,3,0,0.0,2,28.6,3,0.4,-12.43,3.0,3.0,0.0,2,18,22.22,-1.67,-11.67,0,0,
Archie Manning,33,HOU,QB,6,5,0-5-0,66,125,52.8,877,6,4.8,6,4.8,54,7.0,5.82,13.3,146.2,71.3,27,216,17.76,4.35,3.36,0,0,
Steve Fuller,25,KAN,QB,9,3,0-3-0,49,93,52.7,665,3,3.2,2,2.2,51,7.2,6.83,13.6,73.9,77.6,17,143,15.45,4.75,4.47,0,0,
Bert Jones,31,RAM,QB,4,4,1-3-0,48,87,55.2,527,2,2.3,4,4.6,51,6.1,4.45,11.0,131.8,61.8,8,72,8.42,4.79,3.32,0,0,
Dave Krieg,24,SEA,QB,3,2,0-2-0,49,78,62.8,501,2,2.6,2,2.6,44,6.4,5.78,10.2,167.0,79.1,16,117,17.02,4.09,3.55,1,1,
Matt Cavanaugh,26,NWE,QB,7,3,1-2-0,27,60,45.0,490,5,8.3,5,8.3,75,8.2,6.08,18.1,70.0,66.7,7,86,10.45,6.03,4.16,0,0,
Mark Herrmann,23,DEN,QB,2,1,0-1-0,32,60,53.3,421,1,1.7,4,6.7,39,7.0,4.35,13.2,210.5,53.5,4,48,6.25,5.83,3.33,0,0,
Eric Hipple,25,DET,QB,9,4,2-2-0,36,86,41.9,411,2,2.3,4,4.7,52,4.8,3.15,11.4,45.7,45.3,11,97,11.34,3.24,1.79,1,1,
Don Strock,32,MIA,QB,9,0,,30,55,54.5,306,2,3.6,5,9.1,43,5.6,2.20,10.2,34.0,45.0,1,5,1.79,5.38,2.07,2,2,
David Whitehurst,27,GNB,QB,3,0,,18,47,38.3,235,0,0.0,1,2.1,22,5.0,4.04,13.1,78.3,46.0,7,43,12.96,3.56,2.72,0,0,
Jim Hart,38,STL,QB,4,0,,19,33,57.6,199,1,3.0,0,0.0,22,6.0,6.64,10.5,49.8,85.3,0,0,0.00,6.03,6.64,0,1,
Art Schlichter,22,BAL,QB,3,0,,17,37,45.9,197,0,0.0,2,5.4,24,5.3,2.89,11.6,65.7,40.0,3,35,7.50,4.05,1.80,0,0,
Craig Morton,39,DEN,QB,3,3,1-2-0,18,26,69.2,193,0,0.0,3,11.5,20,7.4,2.23,10.7,64.3,51.1,3,19,10.34,6.00,1.34,0,0,
