Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Guido Merkens,27,NOR,QB,9,1,0-1-0,18,49,36.7,186,1,2.0,2,4.1,37,3.8,2.37,10.3,20.7,38.3,8,49,14.04,2.40,1.18,0,0,
Cliff Stoudt,27,PIT,QB,6,0,,14,35,40.0,154,0,0.0,5,14.3,24,4.4,-2.03,11.0,25.7,14.2,1,8,2.78,4.06,-2.19,0,0,
Pat Ryan,27,NYJ,QB,9,0,,12,18,66.7,146,2,11.1,1,5.6,20,8.1,7.83,12.2,16.2,105.3,0,0,0.00,8.11,7.83,0,0,
David Humm,30,BAL,QB,2,0,,13,23,56.5,130,0,0.0,1,4.3,23,5.7,3.70,10.0,65.0,54.6,1,10,4.17,5.00,3.13,0,0,
Vince Evans,27,CHI,QB,4,0,,12,28,42.9,125,0,0.0,4,14.3,19,4.5,-1.96,10.4,31.3,16.8,2,17,6.67,3.60,-2.40,0,0,
Mike Moroski,25,ATL,QB,9,0,,10,13,76.9,87,1,7.7,0,0.0,15,6.7,8.23,8.7,9.7,119.7,4,31,23.53,3.29,4.47,0,0,
Bob Avellini,29,CHI,QB,2,2,0-2-0,8,20,40.0,84,0,0.0,0,0.0,21,4.2,4.20,10.5,42.0,52.9,4,31,16.67,2.21,2.21,0,0,
Chuck Muncie,29,SDG,RB,9,9,,2,3,66.7,83,2,66.7,0,0.0,66,27.7,41.00,41.5,9.2,149.3,0,0,0.00,27.67,41.00,0,0,PB
Matt Robinson,27,BUF,QB,5,0,,5,8,62.5,74,1,12.5,0,0.0,31,9.3,11.75,14.8,14.8,132.3,1,10,11.11,7.11,9.33,0,0,
Steve Dils,27,MIN,QB,9,0,,11,26,42.3,68,0,0.0,0,0.0,12,2.6,2.62,6.2,7.6,49.8,1,8,3.70,2.22,2.22,0,0,
Ed Luther,25,SDG,QB,9,0,,2,4,50.0,55,0,0.0,1,25.0,55,13.8,2.50,27.5,6.1,56.2,0,0,0.00,13.75,2.50,0,0,
Marcus Allen,22,RAI,RB,9,9,,1,4,25.0,47,0,0.0,0,0.0,47,11.8,11.75,47.0,5.2,76.0,0,0,0.00,11.75,11.75,0,0,"PB,AP-1,AP MVP-3,AP OPoY-2,AP ORoY-1"
Russ Francis,29,SFO,TE,9,4,,1,1,100.0,45,0,0.0,0,0.0,45,45.0,45.00,45.0,5.0,118.7,0,0,0.00,45.00,45.00,0,0,
Gary Hogeboom,24,DAL,QB,4,0,,3,8,37.5,45,0,0.0,1,12.5,26,5.6,0.00,15.0,11.3,17.2,0,0,0.00,5.63,0.00,0,0,
James Lofton,26,GNB,WR,9,9,,1,1,100.0,43,0,0.0,0,0.0,43,43.0,43.00,43.0,4.8,118.7,0,0,0.00,43.00,43.00,0,0,"PB,AP-2"
Russell Erxleben,25,NOR,P,9,0,,1,2,50.0,39,1,50.0,0,0.0,39,19.5,29.50,39.0,4.3,135.4,0,0,0.00,19.50,29.50,0,0,
Walter Payton,29,CHI,RB,9,9,,1,3,33.3,39,1,33.3,0,0.0,39,13.0,19.67,39.0,4.3,121.5,0,0,0.00,13.00,19.67,0,0,
Joe Washington,29,WAS,RB,7,1,,1,1,100.0,35,0,0.0,0,0.0,35,35.0,35.00,35.0,5.0,118.7,0,0,0.00,35.00,35.00,0,0,
Norm Johnson,22,SEA,K,9,0,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.00,27.0,3.0,118.7,0,0,0.00,27.00,27.00,0,0,
Drew Pearson,31,DAL,WR,9,8,,1,2,50.0,26,0,0.0,1,50.0,26,13.0,-9.50,26.0,2.9,56.2,0,0,0.00,13.00,-9.50,0,0,
Joe Pisarcik,30,PHI,QB,1,0,,1,1,100.0,24,0,0.0,0,0.0,24,24.0,24.00,24.0,24.0,118.7,0,0,0.00,24.00,24.00,0,0,
Tony Nathan,26,MIA,RB,8,7,,1,2,50.0,15,1,50.0,0,0.0,15,7.5,17.50,15.0,1.9,114.6,0,0,0.00,7.50,17.50,0,0,
Guy Benjamin,27,SFO,QB,2,0,,1,1,100.0,10,0,0.0,0,0.0,10,10.0,10.00,10.0,5.0,108.3,0,0,0.00,10.00,10.00,0,0,
Willard Harrell,30,STL,RB,7,0,,1,1,100.0,10,0,0.0,0,0.0,10,10.0,10.00,10.0,1.4,108.3,0,0,0.00,10.00,10.00,0,0,
Bob Gagliano,24,KAN,QB,1,0,,1,1,100.0,7,0,0.0,0,0.0,7,7.0,7.00,7.0,7.0,95.8,0,0,0.00,7.00,7.00,0,0,
Turk Schonert,25,CIN,QB,2,0,,1,1,100.0,6,0,0.0,0,0.0,6,6.0,6.00,6.0,3.0,91.7,1,8,50.00,-1.00,-1.00,0,0,
Mike Wood,28,BAL,K,6,0,,1,1,100.0,5,1,100.0,0,0.0,5,5.0,25.00,5.0,0.8,127.1,0,0,0.00,5.00,25.00,0,0,
Marc Wilson,25,RAI,QB,8,0,,1,2,50.0,4,0,0.0,0,0.0,4,2.0,2.00,4.0,0.5,56.2,0,0,0.00,2.00,2.00,0,0,
William Andrews,27,ATL,FB,9,9,,0,0,,0,0,,0,,,,,,0.0,,1,2,100.00,-2.00,-2.00,0,0,"PB,AP-2"
Brian Baschnagel,28,CHI,WR,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Earl Campbell,27,HOU,RB,9,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Joe Cribbs,24,BUF,RB,7,6,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Tony Dorsett,28,DAL,RB,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-2"
Tom Flick,24,NWE,QB,3,0,,0,5,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Louie Giammona,29,PHI,RB,9,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Jerry Golsteyn,28,TAM,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Roy Green,25,STL,WR,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,9,50.00,-4.50,-4.50,0,0,
Mike Guman,24,RAM,FB,9,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Eddie Hill,25,MIA,RB,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Jack Holmes,29,NOR,RB,5,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Eddie Lee Ivery,25,GNB,RB,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Jim Jensen,24,MIA,FB,6,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Eric Lane,23,SEA,RB,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Henry Marshall,28,KAN,WR,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tracy Porter,23,DET,WR,8,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tom Skladany,27,DET,P,7,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Sherman Smith,28,SEA,RB,9,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Rohn Stark,23,BAL,P,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Rick Upchurch,30,DEN,WR,9,8,,0,0,,0,0,,0,,,,,,0.0,,1,3,100.00,-3.00,-3.00,0,0,"PB,AP-1"
Gerald Willhite,23,DEN,RB,9,2,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,0,0,0.00,0.00,-22.50,0,0,
Kellen Winslow,25,SDG,TE,9,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP OPoY-6"
League Average,,,,,,,,,56.4,,,4.0,,4.4,,7.0,5.84,12.4,82.6,73.4,,,7.82,5.84,4.76,,,
