Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Lynn Dickey,34,GNB,QB,16,16,8-8-0,289,484,59.7,4458,32,6.6,29,6.0,75,9.2,7.84,15.4,278.6,87.3,40,307,7.63,7.92,6.65,3,4,"AP MVP-5,AP OPoY-6"
Bill Kenney,28,KAN,QB,16,16,6-10-0,346,603,57.4,4348,24,4.0,18,3.0,53,7.2,6.66,12.6,271.8,80.8,41,284,6.37,6.31,5.80,0,1,PB
Danny White,31,DAL,QB,16,16,12-4-0,334,533,62.7,3980,29,5.4,23,4.3,80,7.5,6.61,11.9,248.8,85.6,37,314,6.49,6.43,5.63,2,2,
Joe Montana,27,SFO,QB,16,16,10-6-0,332,515,64.5,3910,26,5.0,12,2.3,77,7.6,7.55,11.8,244.4,94.6,33,224,6.02,6.73,6.69,2,1,"PB,AP MVP-5,AP OPoY-5"
Joe Theismann,34,WAS,QB,16,16,14-2-0,276,459,60.1,3714,29,6.3,11,2.4,84,8.1,8.28,13.5,232.1,97.0,34,242,6.90,7.04,7.22,2,4,"PB,AP-1,AP MVP-1,AP OPoY-1"
Brian Sipe,34,CLE,QB,15,14,8-6-0,291,496,58.7,3566,26,5.2,23,4.6,66,7.2,6.15,12.3,237.7,79.1,27,233,5.16,6.37,5.39,1,2,
Richard Todd,30,NYJ,QB,16,16,7-9-0,308,518,59.5,3478,18,3.5,26,5.0,64,6.7,5.15,11.3,217.4,70.3,42,314,7.50,5.65,4.20,0,1,
Ron Jaworski,32,PHI,QB,16,16,5-11-0,235,446,52.7,3315,20,4.5,18,4.0,83,7.4,6.51,14.1,207.2,75.1,53,385,10.62,5.87,5.05,2,3,
Vince Ferragamo,29,RAM,QB,16,16,9-7-0,274,464,59.1,3276,22,4.7,23,5.0,61,7.1,5.78,12.0,204.8,75.9,21,178,4.33,6.39,5.16,3,3,
Steve Bartkowski,31,ATL,QB,14,14,6-8-0,274,432,63.4,3167,22,5.1,5,1.2,76,7.3,7.83,11.6,226.2,97.6,51,348,10.56,5.84,6.28,3,3,
Joe Ferguson,33,BUF,QB,16,16,8-8-0,281,508,55.3,2995,26,5.1,25,4.9,43,5.9,4.70,10.7,187.2,69.3,27,266,5.05,5.10,3.97,3,3,
Dan Fouts,32,SDG,QB,10,10,5-5-0,215,340,63.2,2975,20,5.9,15,4.4,59,8.8,7.94,13.8,297.5,92.5,14,107,3.95,8.10,7.32,2,1,PB
